,County,Total Children Served in Fiscal Year 2005,Subsequently Confirmed Victims in Fiscal Years 2005 - 2010
1,ANDERSON,62,12
2,ANDREWS,25,4
3,ANGELINA,66,18
4,ARANSAS,65,9
5,ARCHER,9,1
6,ARMSTRONG,0,0
7,ATASCOSA,146,46
8,AUSTIN,24,4
9,BAILEY,10,5
10,BANDERA,30,3
11,BASTROP,85,17
12,BAYLOR,11,7
13,BEE,169,50
14,BELL,695,135
15,BEXAR,4757,940
16,BLANCO,9,4
17,BORDEN,0,0
18,BOSQUE,9,2
19,BOWIE,168,38
20,BRAZORIA,394,74
21,BRAZOS,185,20
22,BREWSTER,0,0
23,BRISCOE,0,0
24,BROOKS,89,29
25,BROWN,54,19
26,BURLESON,23,7
27,BURNET,141,18
28,CALDWELL,78,22
29,CALHOUN,69,17
30,CALLAHAN,10,1
31,CAMERON,1121,225
32,CAMP,31,12
33,CARSON,1,0
34,CASS,22,9
35,CASTRO,10,0
36,CHAMBERS,56,11
37,CHEROKEE,68,8
38,CHILDRESS,14,5
39,CLAY,11,3
40,COCHRAN,12,0
41,COKE,0,0
42,COLEMAN,30,6
43,COLLIN,258,44
44,COLLINGSWORTH,7,2
45,COLORADO,25,4
46,COMAL,127,24
47,COMANCHE,18,6
48,CONCHO,5,0
49,COOKE,86,22
50,CORYELL,99,18
51,COTTLE,4,3
52,CRANE,5,1
53,CROCKETT,5,0
54,CROSBY,4,0
55,CULBERSON,2,0
56,DALLAM,35,5
57,DALLAS,3013,455
58,DAWSON,26,13
59,DEAF SMITH,45,7
60,DELTA,16,7
61,DENTON,207,45
62,DEWITT,33,13
63,DICKENS,2,0
64,DIMMIT,26,2
65,DONLEY,4,3
66,DUVAL,67,11
67,EASTLAND,29,6
68,ECTOR,282,84
69,EDWARDS,2,0
70,ELLIS,98,35
71,EL PASO,657,119
72,ERATH,104,31
73,FALLS,51,8
74,FANNIN,66,15
75,FAYETTE,39,14
76,FISHER,6,0
77,FLOYD,16,4
78,FOARD,10,4
79,FORT BEND,506,34
80,FRANKLIN,24,8
81,FREESTONE,37,12
82,FRIO,47,9
83,GAINES,17,2
84,GALVESTON,830,140
85,GARZA,3,1
86,GILLESPIE,15,0
87,GLASSCOCK,0,0
88,GOLIAD,20,7
89,GONZALES,73,12
90,GRAY,51,18
91,GRAYSON,90,24
92,GREGG,316,65
93,GRIMES,29,9
94,GUADALUPE,211,48
95,HALE,97,16
96,HALL,7,1
97,HAMILTON,12,5
98,HANSFORD,4,0
99,HARDEMAN,4,2
100,HARDIN,66,16
101,HARRIS,4640,509
102,HARRISON,46,10
103,HARTLEY,8,1
104,HASKELL,5,0
105,HAYS,125,18
106,HEMPHILL,11,1
107,HENDERSON,122,30
108,HIDALGO,2057,429
109,HILL,26,3
110,HOCKLEY,23,4
111,HOOD,101,36
112,HOPKINS,67,13
113,HOUSTON,27,3
114,HOWARD,150,51
115,HUDSPETH,7,4
116,HUNT,104,8
117,HUTCHINSON,36,7
118,IRION,0,0
119,JACK,14,5
120,JACKSON,55,12
121,JASPER,75,15
122,JEFF DAVIS,2,2
123,JEFFERSON,340,51
124,JIM HOGG,27,5
125,JIM WELLS,261,44
126,JOHNSON,222,42
127,JONES,18,6
128,KARNES,31,4
129,KAUFMAN,138,26
130,KENDALL,22,6
131,KENEDY,0,0
132,KENT,0,0
133,KERR,50,11
134,KIMBLE,6,2
135,KING,4,0
136,KINNEY,2,1
137,KLEBERG,186,46
138,KNOX,6,3
139,LAMAR,71,21
140,LAMB,35,5
141,LAMPASAS,40,11
142,LASALLE,22,0
143,LAVACA,28,1
