,County,Total,African American,Anglo,Hispanic,Native American,Other
1,ANDERSON,73,20,38,14,0,1
2,ANDREWS,14,1,6,7,0,0
3,ANGELINA,44,12,32,0,0,0
4,ARANSAS,40,4,8,28,0,0
5,ARCHER,1,0,1,0,0,0
6,ARMSTRONG,0,0,0,0,0,0
7,ATASCOSA,39,0,11,28,0,0
8,AUSTIN,16,4,4,8,0,0
9,BAILEY,5,0,0,5,0,0
10,BANDERA,30,0,24,6,0,0
11,BASTROP,84,15,39,29,0,1
12,BAYLOR,0,0,0,0,0,0
13,BEE,36,0,2,30,3,1
14,BELL,381,178,132,50,5,16
15,BEXAR,1583,281,138,1134,4,26
16,BLANCO,5,0,4,1,0,0
17,BORDEN,2,0,2,0,0,0
18,BOSQUE,10,0,8,2,0,0
19,BOWIE,70,32,35,3,0,0
20,BRAZORIA,178,31,93,47,0,7
21,BRAZOS,78,31,24,22,0,1
22,BREWSTER,2,0,1,1,0,0
23,BRISCOE,0,0,0,0,0,0
24,BROOKS,6,1,0,5,0,0
25,BROWN,65,10,43,12,0,0
26,BURLESON,10,0,8,2,0,0
27,BURNET,41,6,24,9,0,2
28,CALDWELL,22,2,9,11,0,0
29,CALHOUN,0,0,0,0,0,0
30,CALLAHAN,21,1,15,4,0,1
31,CAMERON,319,0,12,307,0,0
32,CAMP,27,13,10,4,0,0
33,CARSON,0,0,0,0,0,0
34,CASS,33,14,14,0,0,5
35,CASTRO,2,0,2,0,0,0
36,CHAMBERS,37,11,23,2,0,1
37,CHEROKEE,55,21,15,18,0,1
38,CHILDRESS,8,0,7,0,0,1
39,CLAY,0,0,0,0,0,0
40,COCHRAN,4,0,0,4,0,0
41,COKE,6,0,4,2,0,0
42,COLEMAN,29,0,18,10,0,1
43,COLLIN,188,40,89,39,7,13
44,COLLINGSWORTH,4,3,0,1,0,0
45,COLORADO,13,8,3,2,0,0
46,COMAL,98,11,49,36,0,2
47,COMANCHE,2,0,1,1,0,0
48,CONCHO,2,0,0,2,0,0
49,COOKE,27,2,18,4,0,3
50,CORYELL,93,23,56,12,0,2
51,COTTLE,0,0,0,0,0,0
52,CRANE,2,1,0,0,0,1
53,CROCKETT,4,0,3,1,0,0
54,CROSBY,10,0,0,10,0,0
55,CULBERSON,0,0,0,0,0,0
56,DALLAM,1,0,0,1,0,0
57,DALLAS,1517,683,323,452,4,55
58,DAWSON,8,2,0,6,0,0
59,DEAF SMITH,10,0,5,5,0,0
60,DELTA,0,0,0,0,0,0
61,DENTON,269,78,117,62,1,11
62,DEWITT,9,4,1,4,0,0
63,DICKENS,4,0,2,2,0,0
64,DIMMIT,32,0,0,31,1,0
65,DONLEY,8,1,4,0,0,3
66,DUVAL,8,0,2,6,0,0
67,EASTLAND,14,1,7,4,0,2
68,ECTOR,142,41,42,59,0,0
69,EDWARDS,12,0,0,12,0,0
70,ELLIS,43,12,15,16,0,0
71,EL PASO,376,30,40,295,6,5
72,ERATH,13,0,8,5,0,0
73,FALLS,5,3,2,0,0,0
74,FANNIN,15,1,12,0,1,1
75,FAYETTE,21,13,7,1,0,0
76,FISHER,0,0,0,0,0,0
77,FLOYD,7,0,2,5,0,0
78,FOARD,0,0,0,0,0,0
79,FORT BEND,125,62,23,22,1,17
80,FRANKLIN,13,0,11,2,0,0
81,FREESTONE,11,0,10,1,0,0
82,FRIO,10,0,1,9,0,0
83,GAINES,20,0,10,10,0,0
84,GALVESTON,166,71,67,24,0,4
85,GARZA,6,0,0,6,0,0
86,GILLESPIE,16,1,8,7,0,0
87,GLASSCOCK,0,0,0,0,0,0
88,GOLIAD,3,0,2,1,0,0
89,GONZALES,0,0,0,0,0,0
90,GRAY,53,6,33,12,0,2
91,GRAYSON,59,11,34,10,0,4
92,GREGG,73,29,28,16,0,0
93,GRIMES,15,4,7,3,0,1
94,GUADALUPE,47,3,14,28,0,2
95,HALE,45,6,11,27,1,0
96,HALL,3,3,0,0,0,0
97,HAMILTON,5,0,3,2,0,0
98,HANSFORD,2,0,0,2,0,0
99,HARDEMAN,6,3,1,1,0,1
100,HARDIN,22,5,15,0,0,2
101,HARRIS,2636,1347,505,715,1,68
102,HARRISON,47,14,26,7,0,0
103,HARTLEY,0,0,0,0,0,0
104,HASKELL,0,0,0,0,0,0
105,HAYS,60,6,27,27,0,0
106,HEMPHILL,0,0,0,0,0,0
107,HENDERSON,105,15,84,6,0,0
108,HIDALGO,232,0,3,227,0,2
109,HILL,18,6,10,2,0,0
110,HOCKLEY,22,3,5,14,0,0
111,HOOD,40,2,36,1,0,1
112,HOPKINS,50,6,37,3,0,4
113,HOUSTON,26,8,11,7,0,0
114,HOWARD,61,4,30,22,0,5
115,HUDSPETH,3,0,3,0,0,0
116,HUNT,115,9,78,20,0,8
117,HUTCHINSON,10,0,9,0,0,1
118,IRION,2,0,0,2,0,0
119,JACK,5,0,3,1,0,1
120,JACKSON,1,0,0,1,0,0
121,JASPER,16,4,12,0,0,0
122,JEFF DAVIS,0,0,0,0,0,0
123,JEFFERSON,100,58,28,11,0,3
124,JIM HOGG,11,0,0,11,0,0
125,JIM WELLS,45,1,2,42,0,0
126,JOHNSON,165,20,113,29,0,3
127,JONES,5,1,4,0,0,0
128,KARNES,7,2,0,5,0,0
129,KAUFMAN,34,5,20,8,0,1
130,KENDALL,15,0,10,5,0,0
131,KENEDY,0,0,0,0,0,0
132,KENT,0,0,0,0,0,0
133,KERR,96,5,65,22,0,4
134,KIMBLE,12,0,12,0,0,0
135,KING,0,0,0,0,0,0
136,KINNEY,0,0,0,0,0,0
137,KLEBERG,37,0,2,35,0,0
138,KNOX,6,4,2,0,0,0
139,LAMAR,40,3,32,0,0,5
140,LAMB,2,0,1,1,0,0
141,LAMPASAS,8,0,6,0,0,2
142,LASALLE,10,0,0,10,0,0
143,LAVACA,3,0,3,0,0,0
144,LEE,19,8,5,6,0,0
145,LEON,4,3,1,0,0,0
146,LIBERTY,89,9,68,5,4,3
147,LIMESTONE,13,3,9,1,0,0
148,LIPSCOMB,4,0,4,0,0,0
149,LIVE OAK,16,1,1,14,0,0
150,LLANO,26,1,13,12,0,0
151,LOVING,0,0,0,0,0,0
152,LUBBOCK,233,47,51,131,0,4
153,LYNN,0,0,0,0,0,0
154,MADISON,6,1,5,0,0,0
155,MARION,8,1,6,1,0,0
156,MARTIN,2,0,1,1,0,0
157,MASON,3,0,3,0,0,0
158,MATAGORDA,14,6,7,1,0,0
159,MAVERICK,9,0,3,6,0,0
160,MCCULLOCH,12,2,7,3,0,0
161,MCLENNAN,119,43,44,26,0,6
162,MCMULLEN,0,0,0,0,0,0
163,MEDINA,77,3,16,56,0,2
164,MENARD,0,0,0,0,0,0
165,MIDLAND,103,26,28,44,0,5
166,MILAM,38,5,15,18,0,0
167,MILLS,5,0,4,1,0,0
168,MITCHELL,12,0,3,9,0,0
169,MONTAGUE,52,0,48,2,0,2
170,MONTGOMERY,383,49,257,62,0,15
171,MOORE,12,0,8,4,0,0
172,MORRIS,20,4,16,0,0,0
173,MOTLEY,1,0,1,0,0,0
174,NACOGDOCHES,77,35,32,10,0,0
175,NAVARRO,24,4,10,10,0,0
176,NEWTON,5,1,4,0,0,0
177,NOLAN,11,7,1,3,0,0
178,NUECES,282,28,51,193,0,10
179,OCHILTREE,1,0,1,0,0,0
180,OLDHAM,0,0,0,0,0,0
181,ORANGE,50,6,38,5,0,1
182,PALO PINTO,25,0,15,6,0,4
183,PANOLA,13,2,11,0,0,0
184,PARKER,27,0,20,6,0,1
185,PARMER,2,0,2,0,0,0
186,PECOS,20,4,2,12,0,2
187,POLK,66,11,42,12,0,1
188,POTTER,79,24,46,7,0,2
189,PRESIDIO,4,0,0,3,0,1
190,RAINS,5,0,5,0,0,0
191,RANDALL,130,19,87,23,0,1
192,REAGAN,3,3,0,0,0,0
193,REAL,7,0,7,0,0,0
194,RED RIVER,17,3,9,5,0,0
195,REEVES,12,2,0,10,0,0
196,REFUGIO,0,0,0,0,0,0
197,ROBERTS,0,0,0,0,0,0
198,ROBERTSON,6,2,3,1,0,0
199,ROCKWALL,8,0,5,3,0,0
200,RUNNELS,22,2,7,12,0,1
201,RUSK,38,13,22,2,0,1
202,SABINE,14,6,5,3,0,0
203,SAN AUGUSTINE,10,4,6,0,0,0
204,SAN JACINTO,18,1,16,1,0,0
205,SAN PATRICIO,53,6,17,28,0,2
206,SAN SABA,5,0,0,5,0,0
207,SCHLEICHER,0,0,0,0,0,0
208,SCURRY,14,4,0,10,0,0
209,SHACKELFORD,0,0,0,0,0,0
210,SHELBY,30,12,13,5,0,0
211,SHERMAN,4,0,0,0,4,0
212,SMITH,141,48,58,28,1,6
213,SOMERVELL,7,0,5,2,0,0
214,STARR,40,0,0,40,0,0
215,STEPHENS,3,0,2,1,0,0
216,STERLING,0,0,0,0,0,0
217,STONEWALL,0,0,0,0,0,0
218,SUTTON,0,0,0,0,0,0
219,SWISHER,10,3,0,7,0,0
220,TARRANT,824,334,257,202,4,27
221,TAYLOR,118,29,52,37,0,0
222,TERRELL,1,0,0,1,0,0
223,TERRY,20,1,4,15,0,0
224,THROCKMORTON,0,0,0,0,0,0
225,TITUS,52,12,22,18,0,0
226,TOM GREEN,147,26,58,60,0,3
227,TRAVIS,484,180,101,193,0,10
228,TRINITY,12,3,8,1,0,0
229,TYLER,5,1,4,0,0,0
230,UPSHUR,55,18,32,0,0,5
231,UPTON,4,0,0,4,0,0
232,UVALDE,11,1,0,9,0,1
233,VAL VERDE,10,0,0,10,0,0
234,VAN ZANDT,84,5,59,12,0,8
235,VICTORIA,27,1,13,13,0,0
236,WALKER,37,13,17,7,0,0
237,WALLER,17,2,5,10,0,0
238,WARD,12,0,6,6,0,0
239,WASHINGTON,21,14,4,2,1,0
240,WEBB,176,1,6,163,0,6
241,WHARTON,52,26,4,21,0,1
242,WHEELER,6,0,3,1,0,2
243,WICHITA,116,28,65,18,2,3
244,WILBARGER,7,3,3,1,0,0
245,WILLACY,33,0,0,33,0,0
246,WILLIAMSON,192,23,86,71,0,12
247,WILSON,20,0,6,14,0,0
248,WINKLER,9,1,2,4,0,2
249,WISE,45,4,31,10,0,0
250,WOOD,54,5,45,1,0,3
251,YOAKUM,3,1,0,2,0,0
252,YOUNG,12,0,4,7,0,1
253,ZAPATA,26,0,1,23,0,2
254,ZAVALA,13,0,1,10,0,2
255,UNKNOWN,1,0,1,0,0,0
256,OUT OF STATE,0,0,0,0,0,0
257,STATE TOTAL,16347,4566,5137,6131,51,462
