,County,Total,African American,Anglo,Hispanic,Native American,Other
1,ANDERSON,247,59,146,37,0,5
2,ANDREWS,60,1,26,32,0,1
3,ANGELINA,243,65,132,44,0,2
4,ARANSAS,115,5,42,65,0,3
5,ARCHER,15,0,13,2,0,0
6,ARMSTRONG,6,1,5,0,0,0
7,ATASCOSA,200,3,54,139,0,4
8,AUSTIN,45,12,18,14,0,1
9,BAILEY,24,0,3,21,0,0
10,BANDERA,60,0,50,7,0,3
11,BASTROP,215,24,117,69,2,3
12,BAYLOR,25,4,12,7,0,2
13,BEE,156,5,18,128,2,3
14,BELL,959,367,375,165,9,43
15,BEXAR,5999,861,809,4138,8,183
16,BLANCO,10,0,7,3,0,0
17,BORDEN,0,0,0,0,0,0
18,BOSQUE,56,0,42,13,0,1
19,BOWIE,239,94,121,16,1,7
20,BRAZORIA,735,106,376,223,2,28
21,BRAZOS,407,183,101,117,0,6
22,BREWSTER,21,1,2,18,0,0
23,BRISCOE,5,3,0,2,0,0
24,BROOKS,51,1,0,49,1,0
25,BROWN,142,23,76,40,1,2
26,BURLESON,42,4,30,8,0,0
27,BURNET,128,4,94,25,0,5
28,CALDWELL,90,16,37,36,0,1
29,CALHOUN,39,1,7,28,1,2
30,CALLAHAN,58,1,50,3,0,4
31,CAMERON,1970,10,81,1846,1,32
32,CAMP,74,25,30,16,0,3
33,CARSON,5,0,4,1,0,0
34,CASS,77,30,44,0,0,3
35,CASTRO,22,0,4,18,0,0
36,CHAMBERS,59,7,45,5,1,1
37,CHEROKEE,192,42,101,42,0,7
38,CHILDRESS,32,1,17,12,0,2
39,CLAY,24,1,19,2,0,2
40,COCHRAN,6,0,2,4,0,0
41,COKE,15,0,10,4,0,1
42,COLEMAN,73,13,39,19,0,2
43,COLLIN,1260,254,623,285,15,83
44,COLLINGSWORTH,11,1,0,10,0,0
45,COLORADO,36,15,11,9,1,0
46,COMAL,308,23,151,126,1,7
47,COMANCHE,31,0,20,11,0,0
48,CONCHO,11,1,4,6,0,0
49,COOKE,58,4,43,7,0,4
50,CORYELL,263,46,169,35,0,13
51,COTTLE,0,0,0,0,0,0
52,CRANE,6,1,4,0,0,1
53,CROCKETT,12,0,2,10,0,0
54,CROSBY,54,3,4,45,0,2
55,CULBERSON,9,0,0,9,0,0
56,DALLAM,46,2,26,17,0,1
57,DALLAS,5591,2262,1042,2051,19,217
58,DAWSON,49,3,4,41,0,1
59,DEAF SMITH,105,3,16,83,0,3
60,DELTA,15,1,12,2,0,0
61,DENTON,976,208,514,214,0,40
62,DEWITT,28,13,10,5,0,0
63,DICKENS,23,0,2,21,0,0
64,DIMMIT,33,0,4,28,1,0
65,DONLEY,19,0,13,3,0,3
66,DUVAL,68,0,6,61,0,1
67,EASTLAND,64,2,40,19,0,3
68,ECTOR,592,79,206,282,0,25
69,EDWARDS,1,0,0,1,0,0
70,ELLIS,282,39,151,83,2,7
71,EL PASO,2285,206,296,1711,12,60
72,ERATH,123,3,86,31,0,3
73,FALLS,23,5,11,2,0,5
74,FANNIN,53,7,41,3,1,1
75,FAYETTE,71,21,41,7,2,0
76,FISHER,16,0,8,8,0,0
77,FLOYD,26,3,4,17,0,2
78,FOARD,9,1,6,2,0,0
79,FORT BEND,586,219,122,210,1,34
80,FRANKLIN,20,3,15,1,0,1
81,FREESTONE,51,9,41,1,0,0
82,FRIO,68,0,5,63,0,0
83,GAINES,35,1,6,26,0,2
84,GALVESTON,578,168,257,120,1,32
85,GARZA,46,9,11,25,0,1
86,GILLESPIE,55,1,28,26,0,0
87,GLASSCOCK,0,0,0,0,0,0
88,GOLIAD,17,1,6,10,0,0
89,GONZALES,47,6,17,24,0,0
90,GRAY,173,13,97,52,2,9
91,GRAYSON,305,46,218,27,0,14
92,GREGG,353,132,164,45,0,12
93,GRIMES,65,9,39,15,0,2
94,GUADALUPE,320,36,93,179,0,12
95,HALE,173,9,35,121,1,7
96,HALL,11,4,2,5,0,0
97,HAMILTON,21,0,16,4,0,1
98,HANSFORD,9,0,3,6,0,0
99,HARDEMAN,23,8,7,7,0,1
100,HARDIN,149,25,113,5,0,6
101,HARRIS,6535,2668,1319,2274,10,264
102,HARRISON,217,73,125,17,1,1
103,HARTLEY,3,0,3,0,0,0
104,HASKELL,6,2,2,2,0,0
105,HAYS,235,9,109,112,0,5
106,HEMPHILL,3,0,2,1,0,0
107,HENDERSON,366,41,282,29,1,13
108,HIDALGO,2593,16,49,2481,2,45
109,HILL,111,13,79,14,0,5
110,HOCKLEY,117,4,22,90,0,1
111,HOOD,290,3,239,36,0,12
112,HOPKINS,110,18,77,9,0,6
113,HOUSTON,75,17,45,13,0,0
114,HOWARD,208,26,91,72,0,19
115,HUDSPETH,4,0,3,1,0,0
116,HUNT,235,40,161,27,0,7
117,HUTCHINSON,79,5,44,26,0,4
118,IRION,3,0,2,1,0,0
119,JACK,40,0,27,7,0,6
120,JACKSON,41,12,16,13,0,0
121,JASPER,121,25,93,3,0,0
122,JEFF DAVIS,3,0,1,2,0,0
123,JEFFERSON,578,329,203,35,0,11
124,JIM HOGG,76,0,3,72,0,1
125,JIM WELLS,234,10,15,200,0,9
126,JOHNSON,662,44,475,114,0,29
127,JONES,69,12,40,17,0,0
128,KARNES,15,2,4,9,0,0
129,KAUFMAN,169,33,101,32,0,3
130,KENDALL,41,1,27,12,0,1
131,KENEDY,0,0,0,0,0,0
132,KENT,0,0,0,0,0,0
133,KERR,185,12,114,53,0,6
134,KIMBLE,19,3,14,0,0,2
135,KING,0,0,0,0,0,0
136,KINNEY,4,0,0,3,0,1
137,KLEBERG,167,25,15,127,0,0
138,KNOX,7,3,4,0,0,0
139,LAMAR,160,26,116,5,0,13
140,LAMB,38,3,6,28,0,1
141,LAMPASAS,45,0,32,11,0,2
142,LASALLE,39,1,1,37,0,0
143,LAVACA,23,1,15,7,0,0
144,LEE,57,23,21,10,0,3
145,LEON,57,5,39,7,0,6
146,LIBERTY,187,26,137,19,0,5
147,LIMESTONE,44,10,27,5,0,2
148,LIPSCOMB,7,0,6,1,0,0
149,LIVE OAK,33,1,3,29,0,0
150,LLANO,78,4,59,14,0,1
151,LOVING,0,0,0,0,0,0
152,LUBBOCK,1523,285,360,828,4,46
153,LYNN,10,1,1,8,0,0
154,MADISON,31,16,10,5,0,0
155,MARION,24,5,18,1,0,0
156,MARTIN,17,0,7,8,0,2
157,MASON,24,0,14,9,0,1
158,MATAGORDA,54,14,17,19,0,4
159,MAVERICK,68,0,2,64,0,2
160,MCCULLOCH,45,3,32,10,0,0
161,MCLENNAN,638,223,234,166,1,14
162,MCMULLEN,2,0,0,2,0,0
