,County,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed
1,ANDERSON,11761,247,21.0,485,135,27.8%
2,ANDREWS,4007,60,15.0,116,35,30.2%
3,ANGELINA,22546,243,10.8,772,148,19.2%
4,ARANSAS,5107,115,22.5,205,58,28.3%
5,ARCHER,2114,15,7.1,40,9,22.5%
6,ARMSTRONG,507,6,11.8,9,2,22.2%
7,ATASCOSA,12726,200,15.7,464,113,24.4%
8,AUSTIN,6493,45,6.9,143,24,16.8%
9,BAILEY,1841,24,13.0,61,10,16.4%
10,BANDERA,4096,60,14.6,141,43,30.5%
11,BASTROP,19732,215,10.9,633,137,21.6%
12,BAYLOR,775,25,32.3,32,12,37.5%
13,BEE,7492,156,20.8,302,81,26.8%
14,BELL,82014,959,11.7,3008,588,19.5%
15,BEXAR,434810,5999,13.8,14735,3333,22.6%
16,BLANCO,2195,10,4.6,60,7,11.7%
17,BORDEN,116,0,0.0,2,0,0.0%
18,BOSQUE,4113,56,13.6,147,31,21.1%
19,BOWIE,21335,239,11.2,843,164,19.5%
20,BRAZORIA,80665,735,9.1,1799,438,24.3%
21,BRAZOS,37829,407,10.8,1005,232,23.1%
22,BREWSTER,1973,21,10.6,47,14,29.8%
23,BRISCOE,426,5,11.7,9,2,22.2%
24,BROOKS,2217,51,23.0,101,24,23.8%
25,BROWN,9562,142,14.9,363,90,24.8%
26,BURLESON,4527,42,9.3,120,25,20.8%
27,BURNET,9631,128,13.3,283,80,28.3%
28,CALDWELL,10045,90,9.0,326,57,17.5%
29,CALHOUN,6199,39,6.3,122,28,23.0%
30,CALLAHAN,3131,58,18.5,94,33,35.1%
31,CAMERON,133737,1970,14.7,3815,1010,26.5%
32,CAMP,3378,74,21.9,132,39,29.5%
33,CARSON,1507,5,3.3,33,3,9.1%
34,CASS,6750,77,11.4,265,50,18.9%
35,CASTRO,2089,22,10.5,47,12,25.5%
36,CHAMBERS,8812,59,6.7,136,35,25.7%
37,CHEROKEE,12658,192,15.2,486,109,22.4%
38,CHILDRESS,1762,32,18.2,66,18,27.3%
39,CLAY,2173,24,11.0,59,15,25.4%
40,COCHRAN,833,6,7.2,34,5,14.7%
41,COKE,759,15,19.8,32,7,21.9%
42,COLEMAN,2008,73,36.4,84,38,45.2%
43,COLLIN,200473,1260,6.3,2922,728,24.9%
44,COLLINGSWORTH,665,11,16.5,24,7,29.2%
45,COLORADO,5291,36,6.8,107,22,20.6%
46,COMAL,24487,308,12.6,654,192,29.4%
47,COMANCHE,3289,31,9.4,105,19,18.1%
48,CONCHO,512,11,21.5,25,8,32.0%
49,COOKE,9765,58,5.9,301,41,13.6%
50,CORYELL,18584,263,14.2,792,151,19.1%
51,COTTLE,398,0,0.0,9,0,0.0%
52,CRANE,1111,6,5.4,20,5,25.0%
53,CROCKETT,1072,12,11.2,34,8,23.5%
54,CROSBY,1679,54,32.2,74,31,41.9%
55,CULBERSON,600,9,15.0,15,5,33.3%
56,DALLAM,1882,46,24.4,82,27,32.9%
57,DALLAS,674958,5591,8.3,14386,3389,23.6%
58,DAWSON,3570,49,13.7,111,24,21.6%
59,DEAF SMITH,6523,105,16.1,211,56,26.5%
60,DELTA,1142,15,13.1,38,11,28.9%
61,DENTON,158223,976,6.2,2939,615,20.9%
62,DEWITT,4648,28,6.0,130,16,12.3%
63,DICKENS,447,23,51.5,24,9,37.5%
64,DIMMIT,2727,33,12.1,95,21,22.1%
65,DONLEY,729,19,26.1,26,11,42.3%
66,DUVAL,3177,68,21.4,104,28,26.9%
67,EASTLAND,4250,64,15.1,142,37,26.1%
68,ECTOR,38527,592,15.4,1326,347,26.2%
69,EDWARDS,451,1,2.2,21,1,4.8%
70,ELLIS,41152,282,6.9,795,174,21.9%
71,EL PASO,225878,2285,10.1,4411,1274,28.9%
72,ERATH,9083,123,13.5,244,81,33.2%
73,FALLS,4325,23,5.3,115,17,14.8%
74,FANNIN,7556,53,7.0,243,35,14.4%
75,FAYETTE,5372,71,13.2,140,36,25.7%
76,FISHER,838,16,19.1,28,8,28.6%
77,FLOYD,1869,26,13.9,67,16,23.9%
78,FOARD,321,9,28.0,13,5,38.5%
79,FORT BEND,135870,586,4.3,1850,401,21.7%
80,FRANKLIN,2260,20,8.8,65,15,23.1%
81,FREESTONE,4646,51,11.0,139,23,16.5%
82,FRIO,4931,68,13.8,188,36,19.1%
83,GAINES,5067,35,6.9,82,26,31.7%
84,GALVESTON,71005,578,8.1,2259,369,16.3%
85,GARZA,1266,46,36.3,59,22,37.3%
86,GILLESPIE,4630,55,11.9,83,33,39.8%
87,GLASSCOCK,381,0,0.0,2,0,0.0%
88,GOLIAD,1717,17,9.9,36,9,25.0%
89,GONZALES,5371,47,8.8,162,28,17.3%
90,GRAY,5160,173,33.5,234,87,37.2%
91,GRAYSON,27949,305,10.9,1087,180,16.6%
92,GREGG,31585,353,11.2,1082,210,19.4%
93,GRIMES,6140,65,10.6,216,43,19.9%
94,GUADALUPE,31168,320,10.3,962,197,20.5%
95,HALE,10977,173,15.8,312,95,30.4%
96,HALL,991,11,11.1,33,4,12.1%
97,HAMILTON,1920,21,10.9,69,14,20.3%
98,HANSFORD,1435,9,6.3,26,6,23.1%
99,HARDEMAN,1014,23,22.7,47,15,31.9%
100,HARDIN,12373,149,12.0,416,99,23.8%
101,HARRIS,1104113,6535,5.9,21727,4169,19.2%
102,HARRISON,15616,217,13.9,556,130,23.4%
103,HARTLEY,1274,3,2.4,9,2,22.2%
104,HASKELL,1280,6,4.7,43,4,9.3%
105,HAYS,32984,235,7.1,774,152,19.6%
106,HEMPHILL,839,3,3.6,8,2,25.0%
107,HENDERSON,18095,366,20.2,689,212,30.8%
108,HIDALGO,253765,2593,10.2,6348,1441,22.7%
109,HILL,9234,111,12.0,297,71,23.9%
110,HOCKLEY,6584,117,17.8,216,75,34.7%
