,County,CBCAP,FSP,TFTS,TOTAL
1,ANDERSON,0,1,0,1
2,ANDREWS,0,0,0,0
3,ANGELINA,0,69,0,69
4,ARANSAS,0,0,0,0
5,ARCHER,0,0,0,0
6,ARMSTRONG,0,0,0,0
7,ATASCOSA,28,2,1,31
8,AUSTIN,0,0,0,0
9,BAILEY,0,0,0,0
10,BANDERA,11,0,0,11
11,BASTROP,0,0,0,0
12,BAYLOR,0,0,0,0
13,BEE,0,0,0,0
14,BELL,0,0,1,1
15,BEXAR,0,395,1000,1395
16,BLANCO,0,0,2,2
17,BORDEN,0,0,0,0
18,BOSQUE,0,0,0,0
19,BOWIE,0,0,0,0
20,BRAZORIA,0,0,0,0
21,BRAZOS,0,63,125,188
22,BREWSTER,0,0,0,0
23,BRISCOE,0,0,0,0
24,BROOKS,0,0,1,1
25,BROWN,0,0,533,533
26,BURLESON,0,2,14,16
27,BURNET,0,0,0,0
28,CALDWELL,0,0,0,0
29,CALHOUN,0,0,0,0
30,CALLAHAN,0,0,2,2
31,CAMERON,0,0,0,0
32,CAMP,0,0,0,0
33,CARSON,0,0,0,0
34,CASS,0,1,0,1
35,CASTRO,0,0,0,0
36,CHAMBERS,0,0,0,0
37,CHEROKEE,0,0,0,0
38,CHILDRESS,0,0,0,0
39,CLAY,0,0,0,0
40,COCHRAN,0,0,0,0
41,COKE,0,0,0,0
42,COLEMAN,1,0,18,19
43,COLLIN,0,0,0,0
44,COLLINGSWORTH,0,0,0,0
45,COLORADO,0,0,0,0
46,COMAL,0,0,0,0
47,COMANCHE,0,0,54,54
48,CONCHO,2,0,2,4
49,COOKE,0,1,0,1
50,CORYELL,0,0,1,1
51,COTTLE,0,0,0,0
52,CRANE,0,0,0,0
53,CROCKETT,0,0,0,0
54,CROSBY,0,0,33,33
55,CULBERSON,0,0,0,0
56,DALLAM,0,0,0,0
57,DALLAS,0,387,0,387
58,DAWSON,0,0,0,0
59,DEAF SMITH,0,0,0,0
60,DELTA,0,0,0,0
61,DENTON,0,0,0,0
62,DEWITT,0,0,0,0
63,DICKENS,0,0,0,0
64,DIMMIT,21,0,0,21
65,DONLEY,0,0,0,0
66,DUVAL,0,0,0,0
67,EASTLAND,0,0,64,64
68,ECTOR,0,0,0,0
69,EDWARDS,0,0,0,0
70,ELLIS,0,0,0,0
71,EL PASO,0,55,313,368
72,ERATH,0,0,3,3
73,FALLS,0,0,0,0
74,FANNIN,0,17,0,17
75,FAYETTE,0,0,0,0
76,FISHER,0,0,0,0
77,FLOYD,0,0,0,0
78,FOARD,0,0,0,0
79,FORT BEND,0,0,0,0
80,FRANKLIN,0,0,0,0
81,FREESTONE,0,0,0,0
82,FRIO,10,0,0,10
83,GAINES,0,0,0,0
84,GALVESTON,0,0,0,0
85,GARZA,0,0,0,0
86,GILLESPIE,0,0,0,0
87,GLASSCOCK,0,0,0,0
88,GOLIAD,0,0,0,0
89,GONZALES,0,0,0,0
90,GRAY,0,0,0,0
91,GRAYSON,0,23,0,23
92,GREGG,0,141,0,141
93,GRIMES,0,6,18,24
94,GUADALUPE,0,0,0,0
95,HALE,0,0,0,0
96,HALL,0,0,0,0
97,HAMILTON,0,0,0,0
98,HANSFORD,0,0,0,0
99,HARDEMAN,0,0,0,0
100,HARDIN,0,0,0,0
101,HARRIS,0,60,235,295
102,HARRISON,0,48,0,48
103,HARTLEY,0,0,0,0
104,HASKELL,0,0,0,0
105,HAYS,2,0,0,2
106,HEMPHILL,0,0,0,0
107,HENDERSON,0,0,0,0
108,HIDALGO,0,0,0,0
109,HILL,0,0,0,0
110,HOCKLEY,0,0,1,1
111,HOOD,0,4,0,4
