,County,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in  Foster Care at Time*
1,ANDERSON,2,0
2,ANGELINA,1,0
3,ARANSAS,1,0
4,ATASCOSA,2,0
5,BEE,1,0
6,BELL,5,0
7,BEXAR,17,1
8,BLANCO,1,0
9,BOSQUE,1,0
10,BOWIE,1,0
11,BRAZORIA,2,0
12,BRAZOS,1,0
13,CAMERON,4,0
14,CHAMBERS,1,0
15,CHEROKEE,1,0
16,COLLIN,3,0
17,COOKE,1,0
18,DALLAS,17,1
19,DENTON,2,0
20,DUVAL,1,0
21,ECTOR,6,1
22,ELLIS,2,1
23,EL PASO,3,0
24,FORT BEND,3,0
25,GALVESTON,2,1
26,GREGG,2,0
27,GUADALUPE,4,1
28,HARRIS,44,8
29,HENDERSON,1,0
30,HIDALGO,6,0
31,HOWARD,1,0
32,HUNT,1,0
33,JACKSON,1,0
34,JEFFERSON,3,0
35,JOHNSON,2,0
36,KERR,1,0
37,KLEBERG,2,0
38,LAMAR,2,0
39,LAMB,1,0
40,LUBBOCK,1,0
41,MATAGORDA,1,0
42,MCLENNAN,3,0
43,MEDINA,1,1
44,MIDLAND,1,0
45,MONTAGUE,1,0
46,MONTGOMERY,4,0
47,MOORE,1,0
48,MORRIS,1,0
49,NUECES,4,0
50,ORANGE,2,0
51,POLK,4,0
52,POTTER,4,0
53,RUSK,1,0
54,SAN PATRICIO,1,0
55,SCURRY,1,0
56,SHELBY,1,0
57,SMITH,1,0
58,SWISHER,1,0
59,TARRANT,18,0
60,TRAVIS,3,0
61,TRINITY,1,0
62,TYLER,1,0
63,VAL VERDE,1,0
64,VAN ZANDT,2,0
65,VICTORIA,3,0
66,WALLER,1,0
67,WEBB,4,0
68,WICHITA,1,0
69,WILLACY,1,0
70,WILLIAMSON,3,0
71,WOOD,1,0
72,ZAPATA,1,0
73,TOTAL,227,15
