,County,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services
1,ANDERSON,63,"$34,683.18",155,52,"$6,933.80",261
2,ANDREWS,13,"$8,809.75",32,7,"$1,748.81",50
3,ANGELINA,44,"$58,221.40",105,58,"$13,008.54",198
4,ARANSAS,20,"$15,547.58",73,24,"$7,172.26",252
5,ARCHER,5,$558.00,1,0,$0.00,12
6,ARMSTRONG,0,$0.00,0,0,$0.00,0
7,ATASCOSA,33,"$23,369.07",126,27,"$5,502.08",361
8,AUSTIN,31,"$15,188.64",26,6,"$1,410.92",59
9,BAILEY,5,"$10,062.21",30,1,$35.00,34
10,BANDERA,4,"$9,020.00",66,4,$139.07,66
11,BASTROP,25,"$24,231.89",203,7,"$2,636.28",239
12,BAYLOR,2,$312.00,6,2,$54.00,30
13,BEE,21,"$19,022.13",87,18,"$2,050.32",292
14,BELL,153,"$128,988.07",862,38,"$4,331.99",1255
15,BEXAR,1755,"$2,257,687.44",4589,803,"$175,483.90",10770
16,BLANCO,6,"$16,275.00",11,2,$190.00,15
17,BORDEN,0,$0.00,2,0,$0.00,2
18,BOSQUE,10,"$8,115.25",24,2,"$1,555.94",69
19,BOWIE,99,"$67,516.98",182,60,"$12,284.94",283
20,BRAZORIA,211,"$99,705.53",402,118,"$50,952.31",1159
21,BRAZOS,67,"$66,437.69",205,4,$302.37,413
22,BREWSTER,0,$0.00,11,8,"$1,001.83",37
23,BRISCOE,0,$0.00,6,0,$0.00,3
24,BROOKS,13,"$34,744.02",35,10,"$3,304.79",67
25,BROWN,123,"$83,193.97",153,2,$107.96,145
26,BURLESON,3,"$1,059.75",35,1,$20.00,30
27,BURNET,36,"$7,558.47",104,9,"$3,163.28",109
28,CALDWELL,22,"$22,290.29",103,12,"$2,721.35",179
29,CALHOUN,0,$0.00,13,6,$946.34,32
30,CALLAHAN,1,$132.00,45,0,$0.00,59
31,CAMERON,272,"$236,982.84",675,160,"$17,951.22",3562
32,CAMP,25,"$12,717.16",55,0,$0.00,88
33,CARSON,0,$0.00,7,0,$0.00,10
34,CASS,39,"$36,213.93",84,19,"$1,991.85",97
35,CASTRO,4,$444.00,7,0,$0.00,73
36,CHAMBERS,18,"$20,281.45",59,4,"$1,996.52",71
37,CHEROKEE,68,"$47,845.87",109,13,"$3,772.21",309
38,CHILDRESS,2,"$5,256.00",20,6,"$1,001.85",33
39,CLAY,4,"$7,175.00",12,2,$72.96,24
40,COCHRAN,0,$0.00,9,0,$0.00,17
41,COKE,1,$765.00,7,1,$36.48,11
42,COLEMAN,14,"$7,496.55",62,1,$113.10,64
43,COLLIN,215,"$104,281.71",397,71,"$21,779.02",1358
44,COLLINGSWORTH,1,$750.00,10,2,$100.00,11
45,COLORADO,14,"$6,054.38",24,0,$0.00,55
46,COMAL,16,"$15,489.95",201,48,"$19,414.86",493
47,COMANCHE,5,"$4,939.12",16,1,$204.44,29
48,CONCHO,0,$0.00,6,0,$0.00,20
49,COOKE,37,"$19,267.19",71,1,$161.58,84
50,CORYELL,24,"$17,033.27",181,3,"$1,229.07",309
51,COTTLE,0,$0.00,2,1,$27.00,2
52,CRANE,1,"$1,575.90",3,1,$27.00,15
53,CROCKETT,4,"$7,530.00",13,1,$56.55,30
54,CROSBY,4,"$1,398.61",40,1,$403.09,61
55,CULBERSON,0,$0.00,0,1,$36.48,26
56,DALLAM,1,$35.00,9,5,"$1,106.98",67
57,DALLAS,1767,"$1,228,102.88",3297,356,"$142,809.48",7409
58,DAWSON,10,"$12,125.72",18,5,"$1,007.60",74
59,DEAF SMITH,3,$894.00,26,5,$631.42,127
60,DELTA,8,"$3,230.06",6,0,$0.00,16
61,DENTON,249,"$147,511.30",517,40,"$13,855.64",1089
62,DEWITT,5,"$1,168.10",36,3,$218.28,20
63,DICKENS,0,$0.00,9,0,$0.00,26
64,DIMMIT,0,$0.00,85,6,$552.26,48
65,DONLEY,2,$316.28,14,7,"$1,354.11",13
66,DUVAL,9,"$4,476.93",22,10,"$2,832.96",115
67,EASTLAND,7,"$4,333.16",41,3,$569.44,97
68,ECTOR,191,"$193,217.34",338,64,"$7,692.87",601
69,EDWARDS,0,$0.00,12,2,$40.00,6
70,ELLIS,106,"$54,809.15",131,68,"$22,304.01",405
71,EL PASO,356,"$382,414.08",852,179,"$36,042.90",3563
72,ERATH,33,"$13,540.33",41,4,"$2,094.01",161
73,FALLS,2,$489.16,13,0,$0.00,19
