,County,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes
1,ANDERSON,9366,9,1046,2,24,20,7
2,ANDREWS,3247,6,399,0,0,6,1
3,ANGELINA,17812,30,2836,2,24,14,7
4,ARANSAS,3853,5,343,0,0,5,1
5,ARCHER,1542,5,265,1,12,4,2
6,ARMSTRONG,395,0,0,0,0,4,1
7,ATASCOSA,9755,13,809,3,36,7,3
8,AUSTIN,4899,10,882,1,12,7,4
9,BAILEY,1501,3,158,0,0,3,0
10,BANDERA,3044,4,332,1,11,3,1
11,BASTROP,15058,42,3012,3,36,22,8
12,BAYLOR,600,3,123,1,12,1,1
13,BEE,5891,9,863,0,0,9,2
14,BELL,67579,170,14973,20,232,101,133
15,BEXAR,343173,582,62309,37,444,401,486
16,BLANCO,1700,3,147,0,0,2,0
17,BORDEN,86,1,13,0,0,0,0
18,BOSQUE,3186,5,214,2,24,4,2
19,BOWIE,16598,43,4036,3,36,54,12
20,BRAZORIA,61932,150,16695,15,180,55,72
21,BRAZOS,30220,68,6388,13,153,55,29
22,BREWSTER,1578,5,345,1,12,9,0
23,BRISCOE,327,0,0,0,0,1,0
24,BROOKS,1777,7,258,1,12,0,0
25,BROWN,7570,17,1253,1,12,11,8
26,BURLESON,3609,5,283,1,12,9,2
27,BURNET,7432,23,1635,3,36,5,3
28,CALDWELL,7870,17,882,1,12,14,0
29,CALHOUN,4837,14,889,2,24,2,1
30,CALLAHAN,2351,3,105,1,12,9,2
31,CAMERON,109643,191,13669,26,307,37,31
32,CAMP,2565,4,388,2,24,5,0
33,CARSON,1156,0,0,0,0,2,3
34,CASS,5195,11,672,2,22,17,1
35,CASTRO,1699,1,17,0,0,7,1
36,CHAMBERS,5962,11,1064,6,60,6,5
37,CHEROKEE,9894,14,1106,1,12,18,1
38,CHILDRESS,1363,4,145,2,24,13,4
39,CLAY,1576,5,219,1,12,1,2
40,COCHRAN,674,2,63,0,0,2,0
41,COKE,587,1,17,0,0,1,0
42,COLEMAN,1588,2,104,4,48,5,4
43,COLLIN,145530,298,43413,91,1055,204,227
44,COLLINGSWORTH,506,0,0,1,12,2,1
45,COLORADO,4214,8,631,3,36,7,5
46,COMAL,17896,40,3700,6,69,33,18
47,COMANCHE,2573,4,192,5,60,6,1
48,CONCHO,392,2,85,0,0,0,1
49,COOKE,7537,7,528,10,120,12,16
50,CORYELL,14298,32,2809,2,24,14,10
51,COTTLE,301,1,34,0,0,0,0
52,CRANE,855,1,40,0,0,3,0
53,CROCKETT,826,2,80,1,12,1,0
54,CROSBY,1341,1,21,0,0,2,1
55,CULBERSON,452,1,59,0,0,0,0
56,DALLAM,1454,2,228,2,24,4,1
57,DALLAS,543521,777,89275,111,1315,882,716
58,DAWSON,2854,3,368,4,48,14,0
59,DEAF SMITH,5270,6,468,0,0,17,2
60,DELTA,840,0,0,1,11,2,0
61,DENTON,123154,225,29702,77,924,201,203
62,DEWITT,3742,7,315,2,24,1,1
63,DICKENS,349,0,0,0,0,0,3
64,DIMMIT,2133,5,304,0,0,4,0
65,DONLEY,561,0,0,2,24,1,2
66,DUVAL,2530,6,212,0,0,2,2
67,EASTLAND,3396,9,361,1,12,7,0
68,ECTOR,31155,44,4096,12,144,103,5
69,EDWARDS,318,2,79,0,0,0,0
70,ELLIS,31079,51,5511,8,96,50,35
71,EL PASO,184236,278,24916,148,1752,317,83
72,ERATH,7165,14,969,7,84,10,22
73,FALLS,3291,4,175,1,12,5,1
74,FANNIN,5647,9,582,1,12,6,6
75,FAYETTE,4088,8,457,6,72,12,6
76,FISHER,600,0,0,0,0,1,0
77,FLOYD,1492,2,227,0,0,1,1
78,FOARD,230,1,35,0,0,1,0
79,FORT BEND,94746,232,28300,19,228,112,225
80,FRANKLIN,1711,5,284,1,12,6,0
81,FREESTONE,3628,9,526,1,12,13,4
82,FRIO,3929,6,475,2,24,12,1
83,GAINES,4106,2,102,4,48,2,2
84,GALVESTON,55321,135,14861,16,192,76,80
85,GARZA,972,2,80,0,0,3,0
86,GILLESPIE,3436,9,526,4,48,7,5
87,GLASSCOCK,273,1,12,0,0,0,0
88,GOLIAD,1325,2,104,0,0,2,0
