,County,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized,DFPS Responsibility Terminated***
147,LIMESTONE,31,0,14,5,7,2,6
148,LIPSCOMB,4,0,4,0,0,0,0
149,LIVE OAK,18,0,16,0,0,0,5
150,LLANO,43,0,26,0,13,3,6
151,LOVING,0,0,0,0,0,0,0
152,LUBBOCK,641,0,277,20,113,157,151
153,LYNN,0,0,0,0,0,0,0
154,MADISON,35,0,6,3,14,4,11
155,MARION,23,0,14,0,4,2,12
156,MARTIN,2,0,2,0,0,0,0
157,MASON,5,0,3,0,1,1,1
158,MATAGORDA,31,0,14,2,1,3,12
159,MAVERICK,25,0,9,0,1,8,7
160,MCCULLOCH,22,0,12,0,1,6,3
161,MCLENNAN,276,0,117,12,66,68,49
162,MCMULLEN,0,0,0,0,0,0,0
163,MEDINA,163,0,85,4,24,38,30
164,MENARD,4,0,0,0,4,0,0
165,MIDLAND,185,0,108,4,17,23,52
166,MILAM,88,0,39,0,6,19,30
167,MILLS,5,0,5,0,0,0,0
168,MITCHELL,13,0,12,1,0,0,4
169,MONTAGUE,67,0,52,1,1,0,14
170,MONTGOMERY,789,0,413,29,136,128,209
171,MOORE,14,0,12,0,0,0,2
172,MORRIS,42,0,22,2,0,3,29
173,MOTLEY,1,0,1,0,0,0,0
174,NACOGDOCHES,165,0,76,14,26,17,56
175,NAVARRO,83,0,24,3,21,25,22
176,NEWTON,15,0,5,1,2,6,4
177,NOLAN,16,0,11,0,0,0,8
178,NUECES,631,0,292,51,85,73,199
179,OCHILTREE,4,0,1,0,0,0,3
180,OLDHAM,1,0,0,0,0,1,0
181,ORANGE,103,0,50,5,12,7,39
182,PALO PINTO,53,0,25,1,9,12,9
183,PANOLA,23,0,15,1,2,0,7
184,PARKER,61,0,27,1,17,11,13
185,PARMER,17,0,2,1,4,0,10
186,PECOS,37,0,20,3,2,1,17
187,POLK,113,0,66,1,16,16,38
188,POTTER,178,0,84,17,30,27,40
189,PRESIDIO,7,0,4,1,0,0,3
190,RAINS,21,0,10,4,3,0,13
191,RANDALL,317,0,152,19,39,39,116
192,REAGAN,5,0,3,0,1,0,1
193,REAL,8,0,7,0,0,0,1
194,RED RIVER,28,0,17,0,1,4,8
195,REEVES,22,0,13,0,0,2,8
196,REFUGIO,0,0,0,0,0,0,0
197,ROBERTS,0,0,0,0,0,0,0
198,ROBERTSON,17,0,6,0,6,7,2
199,ROCKWALL,17,0,8,0,1,0,9
200,RUNNELS,37,0,25,0,6,1,13
201,RUSK,85,0,42,8,3,7,33
202,SABINE,15,0,14,0,0,1,1
203,SAN AUGUSTINE,6,0,6,0,0,0,6
204,SAN JACINTO,38,0,18,6,5,2,8
205,SAN PATRICIO,78,0,55,8,12,2,17
206,SAN SABA,9,0,5,0,0,1,3
207,SCHLEICHER,1,0,0,0,0,1,0
208,SCURRY,23,0,14,2,1,5,1
209,SHACKELFORD,1,0,0,0,0,0,1
210,SHELBY,58,0,30,1,5,7,21
211,SHERMAN,8,0,4,1,0,0,7
212,SMITH,296,0,142,19,42,37,101
213,SOMERVELL,9,0,7,0,0,2,0
214,STARR,93,0,46,7,0,1,59
215,STEPHENS,8,0,3,0,1,1,5
216,STERLING,0,0,0,0,0,0,0
217,STONEWALL,0,0,0,0,0,0,0
218,SUTTON,0,0,0,0,0,0,0
219,SWISHER,15,0,10,0,0,5,2
220,TARRANT,1696,12,840,77,266,258,465
221,TAYLOR,203,0,117,13,20,26,55
222,TERRELL,4,0,1,0,0,0,4
223,TERRY,39,0,23,1,3,1,11
224,THROCKMORTON,0,0,0,0,0,0,0
225,TITUS,111,0,63,5,10,2,41
226,TOM GREEN,342,0,153,22,51,64,72
227,TRAVIS,967,0,473,35,165,192,262
228,TRINITY,33,0,12,2,6,3,15
229,TYLER,17,0,5,3,1,2,6
230,UPSHUR,117,0,63,11,9,12,65
231,UPTON,4,0,2,0,0,0,2
232,UVALDE,56,0,13,0,15,15,18
233,VAL VERDE,36,0,10,0,12,8,6
234,VAN ZANDT,157,0,88,3,21,17,43
235,VICTORIA,87,0,27,11,18,23,14
236,WALKER,82,0,47,2,6,9,41
237,WALLER,46,0,17,0,13,4,12
238,WARD,19,0,12,2,0,3,2
239,WASHINGTON,34,0,22,0,5,7,4
240,WEBB,380,0,180,25,58,55,106
241,WHARTON,74,0,56,0,9,3,22
242,WHEELER,9,0,6,0,0,1,2
243,WICHITA,224,0,116,16,20,28,62
244,WILBARGER,14,0,7,2,1,3,4
245,WILLACY,66,0,33,7,2,5,34
246,WILLIAMSON,451,0,200,14,65,99,112
247,WILSON,24,0,20,0,4,1,6
248,WINKLER,15,0,10,0,0,0,7
249,WISE,67,0,45,2,5,7,12
250,WOOD,111,0,59,6,13,13,37
251,YOAKUM,15,0,3,3,4,0,5
252,YOUNG,16,0,12,0,0,1,3
253,ZAPATA,48,0,29,3,5,4,15
254,ZAVALA,30,0,14,0,8,1,8
255,OUT OF STATE,105,0,0,0,0,0****,1
256,STATE TOTAL,33140,96,16834,1369,4804,4803,9525
