,County,Total,African American,Anglo,Hispanic,Native American,Other
1,ANDERSON,9,7,2,0,0,0
2,ANDREWS,3,1,2,0,0,0
3,ANGELINA,13,4,9,0,0,0
4,ARANSAS,6,0,5,1,0,0
5,ARCHER,0,0,0,0,0,0
6,ARMSTRONG,0,0,0,0,0,0
7,ATASCOSA,34,0,8,26,0,0
8,AUSTIN,1,1,0,0,0,0
9,BAILEY,3,0,0,3,0,0
10,BANDERA,8,0,6,2,0,0
11,BASTROP,21,4,13,4,0,0
12,BAYLOR,0,0,0,0,0,0
13,BEE,10,0,2,8,0,0
14,BELL,92,43,29,17,0,3
15,BEXAR,823,163,87,563,1,9
16,BLANCO,3,0,3,0,0,0
17,BORDEN,0,0,0,0,0,0
18,BOSQUE,0,0,0,0,0,0
19,BOWIE,18,9,3,0,0,6
20,BRAZORIA,24,6,9,9,0,0
21,BRAZOS,32,7,8,17,0,0
22,BREWSTER,2,0,0,2,0,0
23,BRISCOE,0,0,0,0,0,0
24,BROOKS,10,0,0,10,0,0
25,BROWN,28,7,17,3,0,1
26,BURLESON,0,0,0,0,0,0
27,BURNET,22,6,7,9,0,0
28,CALDWELL,11,3,3,5,0,0
29,CALHOUN,5,0,4,1,0,0
30,CALLAHAN,4,0,0,4,0,0
31,CAMERON,60,2,4,54,0,0
32,CAMP,3,0,1,2,0,0
33,CARSON,0,0,0,0,0,0
34,CASS,8,2,4,2,0,0
35,CASTRO,0,0,0,0,0,0
36,CHAMBERS,4,0,3,1,0,0
37,CHEROKEE,24,4,13,7,0,0
38,CHILDRESS,3,1,2,0,0,0
39,CLAY,2,0,2,0,0,0
40,COCHRAN,0,0,0,0,0,0
41,COKE,1,1,0,0,0,0
42,COLEMAN,10,0,9,1,0,0
43,COLLIN,76,25,37,11,0,3
44,COLLINGSWORTH,6,2,0,3,1,0
45,COLORADO,0,0,0,0,0,0
46,COMAL,26,0,8,18,0,0
47,COMANCHE,5,0,3,2,0,0
48,CONCHO,0,0,0,0,0,0
49,COOKE,10,0,9,0,0,1
50,CORYELL,8,3,3,1,0,1
51,COTTLE,0,0,0,0,0,0
52,CRANE,1,1,0,0,0,0
53,CROCKETT,2,0,0,2,0,0
54,CROSBY,6,0,1,5,0,0
55,CULBERSON,0,0,0,0,0,0
56,DALLAM,0,0,0,0,0,0
57,DALLAS,395,204,85,97,3,6
58,DAWSON,1,0,0,1,0,0
59,DEAF SMITH,4,0,1,3,0,0
60,DELTA,0,0,0,0,0,0
61,DENTON,81,24,29,27,0,1
62,DEWITT,11,4,0,7,0,0
63,DICKENS,2,0,2,0,0,0
64,DIMMIT,15,0,0,15,0,0
65,DONLEY,3,0,3,0,0,0
66,DUVAL,6,0,0,6,0,0
67,EASTLAND,4,2,2,0,0,0
68,ECTOR,23,4,5,14,0,0
69,EDWARDS,1,0,0,1,0,0
70,ELLIS,17,1,9,7,0,0
71,EL PASO,104,11,7,80,2,4
72,ERATH,8,0,2,6,0,0
73,FALLS,1,0,0,1,0,0
74,FANNIN,5,1,2,2,0,0
75,FAYETTE,4,1,1,2,0,0
76,FISHER,0,0,0,0,0,0
77,FLOYD,9,0,0,9,0,0
78,FOARD,0,0,0,0,0,0
79,FORT BEND,21,11,4,6,0,0
80,FRANKLIN,1,1,0,0,0,0
81,FREESTONE,9,8,1,0,0,0
82,FRIO,9,0,1,7,0,1
83,GAINES,3,0,1,2,0,0
84,GALVESTON,28,13,10,5,0,0
85,GARZA,2,2,0,0,0,0
86,GILLESPIE,3,0,0,3,0,0
87,GLASSCOCK,0,0,0,0,0,0
88,GOLIAD,0,0,0,0,0,0
89,GONZALES,7,0,2,5,0,0
90,GRAY,10,0,9,1,0,0
91,GRAYSON,30,2,17,9,1,1
92,GREGG,70,38,22,10,0,0
93,GRIMES,8,1,5,2,0,0
94,GUADALUPE,25,3,6,16,0,0
95,HALE,28,2,5,21,0,0
96,HALL,1,0,1,0,0,0
97,HAMILTON,5,0,5,0,0,0
98,HANSFORD,0,0,0,0,0,0
99,HARDEMAN,0,0,0,0,0,0
100,HARDIN,11,0,11,0,0,0
101,HARRIS,1448,927,186,306,0,29
102,HARRISON,12,5,6,1,0,0
103,HARTLEY,0,0,0,0,0,0
104,HASKELL,0,0,0,0,0,0
105,HAYS,15,6,4,5,0,0
106,HEMPHILL,0,0,0,0,0,0
107,HENDERSON,15,1,13,0,0,1
108,HIDALGO,21,1,1,19,0,0
109,HILL,13,0,12,1,0,0
110,HOCKLEY,18,7,1,10,0,0
111,HOOD,11,1,7,2,0,1
112,HOPKINS,4,1,1,2,0,0
113,HOUSTON,4,2,1,1,0,0
114,HOWARD,15,2,4,9,0,0
115,HUDSPETH,0,0,0,0,0,0
116,HUNT,23,9,11,3,0,0
117,HUTCHINSON,3,0,3,0,0,0
118,IRION,0,0,0,0,0,0
119,JACK,4,0,4,0,0,0
120,JACKSON,2,0,0,2,0,0
121,JASPER,8,5,3,0,0,0
122,JEFF DAVIS,0,0,0,0,0,0
123,JEFFERSON,55,37,7,10,0,1
124,JIM HOGG,0,0,0,0,0,0
125,JIM WELLS,3,1,0,2,0,0
126,JOHNSON,33,7,23,3,0,0
127,JONES,0,0,0,0,0,0
128,KARNES,6,0,1,5,0,0
129,KAUFMAN,21,4,15,2,0,0
130,KENDALL,3,0,1,1,0,1
131,KENEDY,0,0,0,0,0,0
132,KENT,0,0,0,0,0,0
133,KERR,26,1,20,4,0,1
134,KIMBLE,0,0,0,0,0,0
135,KING,0,0,0,0,0,0
136,KINNEY,1,0,0,1,0,0
137,KLEBERG,17,0,3,14,0,0
138,KNOX,2,2,0,0,0,0
139,LAMAR,4,3,0,1,0,0
140,LAMB,14,0,0,14,0,0
141,LAMPASAS,13,6,5,2,0,0
142,LASALLE,3,0,0,3,0,0
143,LAVACA,3,3,0,0,0,0
144,LEE,0,0,0,0,0,0
145,LEON,3,1,1,1,0,0
146,LIBERTY,21,8,12,1,0,0
147,LIMESTONE,15,3,4,7,0,1
148,LIPSCOMB,0,0,0,0,0,0
149,LIVE OAK,0,0,0,0,0,0
150,LLANO,9,0,2,7,0,0
151,LOVING,0,0,0,0,0,0
152,LUBBOCK,144,51,37,53,0,3
153,LYNN,0,0,0,0,0,0
154,MADISON,12,1,2,9,0,0
155,MARION,3,0,1,0,0,2
156,MARTIN,0,0,0,0,0,0
157,MASON,0,0,0,0,0,0
158,MATAGORDA,0,0,0,0,0,0
159,MAVERICK,5,0,0,4,1,0
160,MCCULLOCH,1,0,0,1,0,0
161,MCLENNAN,75,21,22,28,0,4
162,MCMULLEN,0,0,0,0,0,0
163,MEDINA,27,0,6,20,0,1
164,MENARD,4,0,0,4,0,0
165,MIDLAND,19,4,11,4,0,0
166,MILAM,3,1,0,2,0,0
167,MILLS,0,0,0,0,0,0
168,MITCHELL,0,0,0,0,0,0
169,MONTAGUE,1,0,1,0,0,0
170,MONTGOMERY,150,11,105,34,0,0
171,MOORE,3,2,1,0,0,0
172,MORRIS,0,0,0,0,0,0
173,MOTLEY,1,0,1,0,0,0
174,NACOGDOCHES,28,12,15,1,0,0
175,NAVARRO,28,8,14,5,0,1
176,NEWTON,2,0,2,0,0,0
177,NOLAN,0,0,0,0,0,0
178,NUECES,109,17,26,64,0,2
179,OCHILTREE,0,0,0,0,0,0
180,OLDHAM,0,0,0,0,0,0
181,ORANGE,13,1,10,2,0,0
182,PALO PINTO,14,3,10,0,0,1
183,PANOLA,2,0,2,0,0,0
184,PARKER,17,0,14,3,0,0
185,PARMER,5,1,2,2,0,0
186,PECOS,1,0,1,0,0,0
