,County,STAR,CYD,SYSN,YRP,TOTAL
1,ANDERSON,93,0,0,0,93
2,ANDREWS,8,0,0,0,8
3,ANGELINA,195,0,6,0,201
4,ARANSAS,71,0,0,0,71
5,ARCHER,4,0,0,0,4
6,ARMSTRONG,0,0,0,0,0
7,ATASCOSA,166,0,1,0,167
8,AUSTIN,92,0,37,0,129
9,BAILEY,11,0,0,0,11
10,BANDERA,90,0,19,0,109
11,BASTROP,256,0,14,0,270
12,BAYLOR,9,0,0,0,9
13,BEE,121,0,0,0,121
14,BELL,198,0,174,1,373
15,BEXAR,1627,1341,215,196,3379
16,BLANCO,33,0,0,0,33
17,BORDEN,0,0,0,0,0
18,BOSQUE,75,0,0,0,75
19,BOWIE,132,0,0,0,132
20,BRAZORIA,427,0,65,0,492
21,BRAZOS,270,0,68,5,343
22,BREWSTER,14,0,0,0,14
23,BRISCOE,3,0,0,0,3
24,BROOKS,8,0,0,0,8
25,BROWN,99,0,33,0,132
26,BURLESON,135,0,0,0,135
27,BURNET,64,0,66,0,130
28,CALDWELL,103,0,6,0,109
29,CALHOUN,88,0,0,0,88
30,CALLAHAN,11,0,0,0,11
31,CAMERON,618,0,169,0,787
32,CAMP,11,0,0,0,11
33,CARSON,3,0,0,0,3
34,CASS,25,0,0,0,25
35,CASTRO,43,0,0,0,43
36,CHAMBERS,16,0,0,0,16
37,CHEROKEE,223,0,0,0,223
38,CHILDRESS,11,0,0,0,11
39,CLAY,7,0,1,0,8
40,COCHRAN,6,0,0,0,6
41,COKE,8,0,10,0,18
42,COLEMAN,30,0,0,0,30
43,COLLIN,148,0,325,82,555
44,COLLINGSWORTH,12,0,0,0,12
45,COLORADO,113,0,29,0,142
46,COMAL,671,0,21,27,719
47,COMANCHE,40,0,0,0,40
48,CONCHO,4,0,0,0,4
49,COOKE,38,0,26,0,64
50,CORYELL,18,0,58,0,76
51,COTTLE,1,0,0,0,1
52,CRANE,3,0,0,0,3
53,CROCKETT,2,0,0,0,2
54,CROSBY,38,0,0,0,38
55,CULBERSON,11,0,0,0,11
56,DALLAM,32,0,5,0,37
57,DALLAS,1190,1857,409,339,3795
58,DAWSON,4,0,8,0,12
59,DEAF SMITH,116,0,35,0,151
60,DELTA,22,0,0,0,22
61,DENTON,602,0,114,64,780
62,DEWITT,76,0,0,0,76
63,DICKENS,5,0,0,0,5
64,DIMMIT,8,0,0,0,8
65,DONLEY,3,0,0,0,3
66,DUVAL,10,0,0,0,10
67,EASTLAND,50,0,0,0,50
68,ECTOR,119,0,21,0,140
69,EDWARDS,8,0,0,0,8
70,ELLIS,142,0,47,2,191
71,EL PASO,804,1955,73,84,2916
72,ERATH,228,0,2,0,230
73,FALLS,5,0,0,0,5
74,FANNIN,123,0,1,0,124
75,FAYETTE,63,0,14,0,77
76,FISHER,3,0,0,0,3
77,FLOYD,18,0,0,0,18
78,FOARD,7,0,0,0,7
79,FORT BEND,295,0,38,0,333
80,FRANKLIN,27,0,0,0,27
81,FREESTONE,12,0,0,0,12
82,FRIO,17,0,0,0,17
83,GAINES,5,0,1,0,6
84,GALVESTON,451,605,50,0,1106
85,GARZA,10,0,0,0,10
86,GILLESPIE,59,0,0,0,59
87,GLASSCOCK,0,0,0,0,0
88,GOLIAD,10,0,1,0,11
89,GONZALES,34,0,0,0,34
90,GRAY,41,0,0,0,41
91,GRAYSON,258,0,51,9,318
92,GREGG,327,0,0,0,327
93,GRIMES,221,0,0,0,221
94,GUADALUPE,182,0,14,14,210
95,HALE,71,0,6,0,77
96,HALL,4,0,0,0,4
97,HAMILTON,42,0,0,0,42
98,HANSFORD,2,0,12,0,14
99,HARDEMAN,32,0,0,0,32
100,HARDIN,41,0,0,0,41
101,HARRIS,949,3165,396,0,4510
102,HARRISON,191,0,68,0,259
103,HARTLEY,19,0,0,0,19
104,HASKELL,23,0,1,0,24
105,HAYS,556,0,46,0,602
106,HEMPHILL,2,0,0,0,2
107,HENDERSON,56,0,0,0,56
108,HIDALGO,503,823,432,6,1764
109,HILL,70,0,0,0,70
110,HOCKLEY,89,0,0,0,89
111,HOOD,50,0,39,0,89
112,HOPKINS,135,0,23,0,158
113,HOUSTON,14,0,12,0,26
114,HOWARD,25,0,13,0,38
115,HUDSPETH,34,0,0,0,34
116,HUNT,203,0,43,0,246
117,HUTCHINSON,39,0,0,0,39
118,IRION,4,0,0,0,4
119,JACK,14,0,0,0,14
120,JACKSON,105,0,0,0,105
121,JASPER,64,0,0,0,64
122,JEFF DAVIS,4,0,0,0,4
123,JEFFERSON,326,0,0,0,326
124,JIM HOGG,14,0,0,0,14
125,JIM WELLS,194,0,0,0,194
126,JOHNSON,76,0,5,4,85
127,JONES,70,0,0,0,70
128,KARNES,32,0,0,0,32
129,KAUFMAN,11,0,1,1,13
130,KENDALL,73,0,0,0,73
131,KENEDY,0,0,0,0,0
132,KENT,4,0,0,0,4
133,KERR,93,0,16,24,133
134,KIMBLE,45,0,0,0,45
135,KING,2,0,0,0,2
136,KINNEY,13,0,0,7,20
137,KLEBERG,353,0,66,4,423
138,KNOX,23,0,0,0,23
139,LAMAR,294,0,2,0,296
140,LAMB,14,0,0,0,14
141,LAMPASAS,1,0,11,0,12
142,LASALLE,10,0,0,0,10
143,LAVACA,56,0,1,0,57
144,LEE,9,0,0,0,9
145,LEON,26,0,0,0,26
146,LIBERTY,73,0,0,0,73
147,LIMESTONE,23,0,0,0,23
148,LIPSCOMB,7,0,0,0,7
149,LIVE OAK,98,0,110,0,208
150,LLANO,61,0,0,0,61
151,LOVING,0,0,0,0,0
152,LUBBOCK,509,1171,106,0,1786
153,LYNN,15,0,0,0,15
154,MADISON,65,0,1,0,66
155,MARION,11,0,0,0,11
156,MARTIN,2,0,1,0,3
157,MASON,15,0,0,0,15
158,MATAGORDA,121,0,0,0,121
159,MAVERICK,91,0,0,0,91
160,MCCULLOCH,22,0,0,0,22
161,MCLENNAN,172,1387,0,0,1559
162,MCMULLEN,0,0,0,0,0
