,County,Paid Foster  Care Clients,Paid Foster  Expenditures*
1,ANDERSON,96,1081189
2,ANDREWS,11,115817
3,ANGELINA,82,983811
4,ARANSAS,45,441599
5,ARCHER,2,7860
6,ARMSTRONG,0,0
7,ATASCOSA,82,1088317
8,AUSTIN,10,138786
9,BAILEY,31,262599
10,BANDERA,37,458231
11,BASTROP,123,1722563
12,BAYLOR,7,39479
13,BEE,56,599760
14,BELL,516,5354868
15,BEXAR,3182,43066746
16,BLANCO,5,82983
17,BORDEN,0,0
18,BOSQUE,10,98882
19,BOWIE,130,1619168
20,BRAZORIA,233,3313002
21,BRAZOS,134,1708635
22,BREWSTER,7,144422
23,BRISCOE,1,12087
24,BROOKS,33,609318
25,BROWN,118,1567867
26,BURLESON,15,215898
27,BURNET,65,899842
28,CALDWELL,93,1453678
29,CALHOUN,11,286942
30,CALLAHAN,15,179309
31,CAMERON,457,5101570
32,CAMP,28,304834
33,CARSON,8,111351
34,CASS,39,486283
35,CASTRO,17,223543
36,CHAMBERS,22,256627
37,CHEROKEE,60,583667
38,CHILDRESS,17,271418
39,CLAY,15,275797
40,COCHRAN,6,84309
41,COKE,1,39
42,COLEMAN,41,544118
43,COLLIN,325,4132460
44,COLLINGSWORTH,3,23370
45,COLORADO,14,204769
46,COMAL,77,818877
47,COMANCHE,15,245905
48,CONCHO,8,126345
49,COOKE,47,534898
50,CORYELL,97,1041635
51,COTTLE,3,52020
52,CRANE,1,7182
53,CROCKETT,9,159598
54,CROSBY,24,291602
55,CULBERSON,4,45343
56,DALLAM,13,164299
57,DALLAS,1957,26592187
58,DAWSON,10,232240
59,DEAF SMITH,34,431041
60,DELTA,16,144913
61,DENTON,281,2989814
62,DEWITT,26,567129
63,DICKENS,7,156275
64,DIMMIT,44,532210
65,DONLEY,7,134909
66,DUVAL,20,277554
67,EASTLAND,27,289788
68,ECTOR,205,3309194
69,EDWARDS,0,0
70,ELLIS,117,1153943
71,EL PASO,513,6587387
72,ERATH,35,494175
73,FALLS,10,243564
74,FANNIN,58,662986
75,FAYETTE,33,575725
76,FISHER,8,68419
77,FLOYD,17,338106
78,FOARD,1,1891
79,FORT BEND,178,2044231
80,FRANKLIN,7,61838
81,FREESTONE,20,339463
82,FRIO,42,502509
83,GAINES,7,116389
84,GALVESTON,181,1973193
85,GARZA,6,97853
86,GILLESPIE,22,210525
87,GLASSCOCK,0,0
88,GOLIAD,4,103559
89,GONZALES,28,353889
90,GRAY,62,827234
91,GRAYSON,141,1793031
92,GREGG,221,3032635
93,GRIMES,41,473506
94,GUADALUPE,57,700599
95,HALE,119,1647408
96,HALL,10,218492
97,HAMILTON,16,158087
98,HANSFORD,1,13597
99,HARDEMAN,5,50776
100,HARDIN,48,727637
101,HARRIS,3994,50914926
102,HARRISON,79,1119946
103,HARTLEY,1,14085
104,HASKELL,4,34928
105,HAYS,86,883643
106,HEMPHILL,1,7117
107,HENDERSON,161,1940613
108,HIDALGO,547,5580821
109,HILL,52,734632
110,HOCKLEY,67,927959
111,HOOD,40,552841
112,HOPKINS,56,734980
113,HOUSTON,23,343274
114,HOWARD,76,1085018
115,HUDSPETH,4,71774
116,HUNT,153,1305929
117,HUTCHINSON,48,594128
118,IRION,1,25630
119,JACK,6,159616
120,JACKSON,15,133312
121,JASPER,37,338460
122,JEFF DAVIS,0,0
123,JEFFERSON,198,2048102
124,JIM HOGG,8,48808
125,JIM WELLS,75,567136
126,JOHNSON,229,2902685
127,JONES,17,257119
128,KARNES,19,343081
129,KAUFMAN,76,938645
130,KENDALL,12,134130
131,KENEDY,2,772
132,KENT,0,0
133,KERR,141,1815557
134,KIMBLE,13,178361
135,KING,0,0
136,KINNEY,1,1659
137,KLEBERG,84,667919
138,KNOX,8,125530
139,LAMAR,51,575470
140,LAMB,53,812531
141,LAMPASAS,52,819369
142,LASALLE,13,105837
143,LAVACA,6,89580
144,LEE,29,217467
145,LEON,22,346608
146,LIBERTY,97,1448138
147,LIMESTONE,34,380546
148,LIPSCOMB,1,14816
149,LIVE OAK,3,24066
150,LLANO,42,607356
151,LOVING,0,0
152,LUBBOCK,660,9095816
153,LYNN,7,123832
154,MADISON,40,351486
155,MARION,15,206914
156,MARTIN,0,0
157,MASON,8,44548
158,MATAGORDA,15,164832
159,MAVERICK,31,505933
160,MCCULLOCH,13,218382
161,MCLENNAN,274,3961454
162,MCMULLEN,0,0
163,MEDINA,79,895631
164,MENARD,7,127438
165,MIDLAND,103,1658939
166,MILAM,49,571049
167,MILLS,4,90027
168,MITCHELL,1,1621
169,MONTAGUE,22,308696
170,MONTGOMERY,438,4832025
171,MOORE,7,59280
172,MORRIS,17,179523
173,MOTLEY,1,32020
174,NACOGDOCHES,108,1021512
175,NAVARRO,129,2129748
176,NEWTON,11,165681
177,NOLAN,21,382429
178,NUECES,546,5555218
179,OCHILTREE,9,207886
180,OLDHAM,3,94202
181,ORANGE,99,1118649
182,PALO PINTO,45,557304
183,PANOLA,18,193766
184,PARKER,66,967512
185,PARMER,28,405273
186,PECOS,32,382235
187,POLK,72,1003217
188,POTTER,249,4158926
189,PRESIDIO,3,13277
190,RAINS,13,240713
191,RANDALL,268,3761335
192,REAGAN,6,14900
193,REAL,5,128330
194,RED RIVER,17,230322
195,REEVES,8,94870
196,REFUGIO,2,2172
197,ROBERTS,0,0
198,ROBERTSON,11,195768
199,ROCKWALL,20,290140
200,RUNNELS,23,300348
201,RUSK,35,416862
202,SABINE,3,60290
203,SAN AUGUSTINE,1,1136
204,SAN JACINTO,50,739984
205,SAN PATRICIO,50,705190
206,SAN SABA,14,328923
207,SCHLEICHER,2,26011
208,SCURRY,19,189457
209,SHACKELFORD,0,0
210,SHELBY,37,452593
211,SHERMAN,2,65655
212,SMITH,223,2941830
213,SOMERVELL,4,30720
214,STARR,80,929421
215,STEPHENS,17,113999
216,STERLING,0,0
217,STONEWALL,0,0
218,SUTTON,2,7199
219,SWISHER,24,398424
220,TARRANT,1520,18840832
221,TAYLOR,171,2255434
222,TERRELL,0,0
223,TERRY,32,359090
224,THROCKMORTON,1,7826
225,TITUS,54,581085
226,TOM GREEN,280,3784066
227,TRAVIS,843,11775678
228,TRINITY,32,298565
229,TYLER,13,171739
230,UPSHUR,57,379540
231,UPTON,6,105461
232,UVALDE,39,831270
233,VAL VERDE,31,499372
234,VAN ZANDT,93,723559
235,VICTORIA,153,2203655
236,WALKER,57,809801
237,WALLER,30,321515
238,WARD,13,137853
239,WASHINGTON,24,283722
240,WEBB,388,4815257
241,WHARTON,20,123899
242,WHEELER,12,184217
243,WICHITA,220,2828594
244,WILBARGER,21,332130
245,WILLACY,79,1039324
246,WILLIAMSON,377,4704688
247,WILSON,10,127997
248,WINKLER,5,100599
249,WISE,42,549590
250,WOOD,70,893959
251,YOAKUM,19,165624
252,YOUNG,18,153722
253,ZAPATA,46,476122
254,ZAVALA,29,494783
255,UNKNOWN,7,40483
256,STATE TOTAL,26858,343704262
