,County,STAR,CYD,SYSN,YRP,TOTAL
86,GILLESPIE,60,0,26,0,86
87,GLASSCOCK,0,0,0,0,0
88,GOLIAD,36,0,0,0,36
89,GONZALES,12,0,0,0,12
90,GRAY,46,0,0,0,46
91,GRAYSON,329,0,25,9,363
92,GREGG,289,0,0,0,289
93,GRIMES,134,0,0,0,134
94,GUADALUPE,122,0,21,25,168
95,HALE,57,0,0,0,57
96,HALL,11,0,0,0,11
97,HAMILTON,29,0,0,0,29
98,HANSFORD,1,0,7,0,8
99,HARDEMAN,60,0,0,0,60
100,HARDIN,29,0,0,0,29
101,HARRIS,829,3132,477,0,4438
102,HARRISON,107,0,90,0,197
103,HARTLEY,13,0,0,0,13
104,HASKELL,24,0,0,0,24
105,HAYS,526,0,123,0,649
106,HEMPHILL,3,0,0,0,3
107,HENDERSON,57,0,1,0,58
108,HIDALGO,475,1367,635,0,2477
109,HILL,55,0,1,0,56
110,HOCKLEY,48,0,0,0,48
111,HOOD,45,0,11,0,56
112,HOPKINS,140,0,31,0,171
113,HOUSTON,15,0,0,0,15
114,HOWARD,18,0,0,0,18
115,HUDSPETH,30,0,0,0,30
116,HUNT,210,0,13,0,223
117,HUTCHINSON,29,0,0,0,29
118,IRION,6,0,0,0,6
119,JACK,26,0,0,0,26
120,JACKSON,76,0,0,0,76
121,JASPER,48,0,0,0,48
122,JEFF DAVIS,0,0,0,0,0
123,JEFFERSON,341,0,0,0,341
124,JIM HOGG,8,0,0,0,8
125,JIM WELLS,212,0,0,0,212
126,JOHNSON,40,0,2,3,45
127,JONES,66,0,0,0,66
128,KARNES,13,0,0,0,13
129,KAUFMAN,19,0,1,0,20
130,KENDALL,75,0,1,1,77
131,KENEDY,1,0,0,0,1
132,KENT,6,0,0,0,6
133,KERR,99,0,10,29,138
134,KIMBLE,39,0,0,0,39
135,KING,0,0,0,0,0
136,KINNEY,5,0,0,3,8
137,KLEBERG,275,0,49,0,324
138,KNOX,16,0,0,0,16
139,LAMAR,304,0,8,0,312
140,LAMB,32,0,0,0,32
141,LAMPASAS,111,0,14,0,125
142,LASALLE,9,0,0,0,9
143,LAVACA,62,0,0,0,62
144,LEE,9,0,0,0,9
145,LEON,25,0,0,0,25
146,LIBERTY,49,0,0,0,49
147,LIMESTONE,53,0,0,0,53
148,LIPSCOMB,0,0,0,0,0
149,LIVE OAK,39,0,89,0,128
150,LLANO,47,0,0,0,47
151,LOVING,1,0,0,0,1
152,LUBBOCK,335,910,152,0,1397
153,LYNN,14,0,0,0,14
154,MADISON,36,0,2,0,38
155,MARION,14,0,0,0,14
156,MARTIN,3,0,1,0,4
157,MASON,10,0,0,0,10
158,MATAGORDA,135,0,15,0,150
159,MAVERICK,110,0,0,0,110
160,MCCULLOCH,23,0,0,0,23
161,MCLENNAN,193,1229,0,0,1422
162,MCMULLEN,3,0,0,0,3
163,MEDINA,111,0,1,0,112
164,MENARD,26,0,0,0,26
165,MIDLAND,142,0,0,0,142
166,MILAM,81,0,0,0,81
167,MILLS,8,0,0,0,8
168,MITCHELL,18,0,0,0,18
169,MONTAGUE,16,0,0,0,16
170,MONTGOMERY,822,0,15,0,837
171,MOORE,18,0,0,0,18
172,MORRIS,12,0,0,0,12
173,MOTLEY,4,0,0,0,4
174,NACOGDOCHES,137,0,30,0,167
175,NAVARRO,28,0,39,0,67
176,NEWTON,24,0,0,0,24
177,NOLAN,37,0,0,0,37
178,NUECES,997,1705,106,91,2899
179,OCHILTREE,9,0,4,0,13
180,OLDHAM,3,0,0,0,3
181,ORANGE,68,0,0,0,68
182,PALO PINTO,44,0,0,0,44
183,PANOLA,84,0,1,0,85
184,PARKER,17,0,1,1,19
185,PARMER,15,0,0,0,15
186,PECOS,37,0,0,0,37
187,POLK,45,0,14,0,59
188,POTTER,158,883,19,0,1060
189,PRESIDIO,26,0,0,0,26
190,RAINS,25,0,0,0,25
191,RANDALL,89,0,11,0,100
192,REAGAN,2,0,0,0,2
193,REAL,2,0,0,0,2
194,RED RIVER,12,0,0,0,12
195,REEVES,18,0,0,0,18
196,REFUGIO,41,0,0,0,41
197,ROBERTS,0,0,0,0,0
198,ROBERTSON,100,0,0,0,100
199,ROCKWALL,116,0,195,5,316
200,RUNNELS,20,0,0,0,20
201,RUSK,62,0,85,0,147
202,SABINE,12,0,0,0,12
203,SAN AUGUSTINE,51,0,34,0,85
204,SAN JACINTO,21,0,0,0,21
205,SAN PATRICIO,337,0,22,0,359
206,SAN SABA,11,0,0,0,11
207,SCHLEICHER,4,0,0,0,4
208,SCURRY,42,0,0,0,42
209,SHACKELFORD,1,0,0,0,1
210,SHELBY,66,0,3,0,69
211,SHERMAN,4,0,1,0,5
212,SMITH,396,0,107,0,503
213,SOMERVELL,48,0,0,0,48
214,STARR,60,0,0,0,60
215,STEPHENS,15,0,0,0,15
216,STERLING,1,0,0,0,1
217,STONEWALL,4,0,0,0,4
218,SUTTON,6,0,0,0,6
219,SWISHER,5,0,0,0,5
220,TARRANT,1219,856,290,412,2777
221,TAYLOR,350,0,181,0,531
222,TERRELL,2,0,0,0,2
223,TERRY,48,0,0,0,48
224,THROCKMORTON,2,0,3,0,5
225,TITUS,19,0,0,0,19
226,TOM GREEN,372,0,144,0,516
227,TRAVIS,799,1433,222,0,2454
228,TRINITY,7,0,0,0,7
229,TYLER,31,0,0,0,31
230,UPSHUR,76,0,0,0,76
231,UPTON,3,0,0,0,3
232,UVALDE,85,0,0,0,85
233,VAL VERDE,463,0,0,128,591
234,VAN ZANDT,27,0,0,0,27
235,VICTORIA,545,0,0,0,545
236,WALKER,12,0,28,0,40
237,WALLER,2,0,28,0,30
238,WARD,5,0,0,0,5
239,WASHINGTON,139,0,20,0,159
240,WEBB,458,0,177,49,684
241,WHARTON,222,0,59,0,281
242,WHEELER,20,0,0,0,20
243,WICHITA,709,0,225,0,934
244,WILBARGER,41,0,28,0,69
245,WILLACY,129,0,0,0,129
246,WILLIAMSON,431,0,30,0,461
247,WILSON,76,0,10,1,87
248,WINKLER,5,0,0,0,5
249,WISE,79,0,1,0,80
250,WOOD,15,0,0,0,15
251,YOAKUM,4,0,0,0,4
252,YOUNG,32,0,0,0,32
253,ZAPATA,77,0,0,0,77
254,ZAVALA,92,0,0,0,92
255,UNKNOWN,0,0,0,0,0
256,OUT OF STATE,5,0,0,0,5
257,STATE TOTAL,29406,19390,6551,1655,57002
