,County,Intakes,Completed Investigation,Confirmed Investigations
1,ANDERSON,3,0,0
2,ANDREWS,0,0,0
3,ANGELINA,247,237,34
4,ARANSAS,0,0,0
5,ARCHER,1,1,0
6,ARMSTRONG,0,0,0
7,ATASCOSA,0,3,0
8,AUSTIN,0,0,0
9,BAILEY,0,0,0
10,BANDERA,0,0,0
11,BASTROP,0,0,0
12,BAYLOR,0,0,0
13,BEE,1,1,0
14,BELL,58,48,14
15,BEXAR,898,715,71
16,BLANCO,0,0,0
17,BORDEN,0,0,0
18,BOSQUE,0,0,0
19,BOWIE,3,0,0
20,BRAZORIA,27,29,1
21,BRAZOS,28,25,5
22,BREWSTER,0,0,0
23,BRISCOE,0,0,0
24,BROOKS,0,0,0
25,BROWN,11,8,2
26,BURLESON,0,0,0
27,BURNET,1,0,0
28,CALDWELL,0,0,0
29,CALHOUN,0,0,0
30,CALLAHAN,0,0,0
31,CAMERON,278,257,20
32,CAMP,0,0,0
33,CARSON,0,0,0
34,CASS,1,0,0
35,CASTRO,0,0,0
36,CHAMBERS,0,0,0
37,CHEROKEE,539,540,41
38,CHILDRESS,0,0,0
39,CLAY,0,0,0
40,COCHRAN,0,0,0
41,COKE,0,0,0
42,COLEMAN,0,0,0
43,COLLIN,26,26,2
44,COLLINGSWORTH,0,0,0
45,COLORADO,0,0,0
46,COMAL,1,1,0
47,COMANCHE,0,0,0
48,CONCHO,0,0,0
49,COOKE,0,0,0
50,CORYELL,1,1,0
51,COTTLE,0,0,0
52,CRANE,0,0,0
53,CROCKETT,0,0,0
54,CROSBY,0,0,0
55,CULBERSON,0,0,0
56,DALLAM,0,0,0
57,DALLAS,175,166,24
58,DAWSON,0,0,0
59,DEAF SMITH,0,0,0
60,DELTA,0,0,0
61,DENTON,411,397,35
62,DEWITT,0,0,0
63,DICKENS,0,0,0
64,DIMMIT,3,2,0
65,DONLEY,0,0,0
66,DUVAL,0,0,0
67,EASTLAND,5,5,0
68,ECTOR,6,5,0
69,EDWARDS,0,0,0
70,ELLIS,1,1,0
71,EL PASO,225,214,44
72,ERATH,4,8,2
73,FALLS,1,3,0
74,FANNIN,0,0,0
75,FAYETTE,0,0,0
76,FISHER,0,0,0
77,FLOYD,0,0,0
78,FOARD,0,0,0
79,FORT BEND,229,217,7
80,FRANKLIN,1,1,0
81,FREESTONE,7,6,4
82,FRIO,1,0,0
83,GAINES,0,0,0
84,GALVESTON,23,16,3
85,GARZA,0,0,0
86,GILLESPIE,6,2,0
87,GLASSCOCK,0,0,0
88,GOLIAD,0,0,0
89,GONZALES,1,1,0
90,GRAY,1,1,0
91,GRAYSON,19,16,3
92,GREGG,43,49,4
93,GRIMES,0,0,0
94,GUADALUPE,16,8,1
95,HALE,5,5,2
96,HALL,0,0,0
97,HAMILTON,0,0,0
98,HANSFORD,0,0,0
99,HARDEMAN,0,0,0
100,HARDIN,2,1,0
101,HARRIS,301,296,25
102,HARRISON,1,2,0
103,HARTLEY,0,0,0
104,HASKELL,1,0,0
105,HAYS,7,6,1
106,HEMPHILL,0,0,0
107,HENDERSON,0,0,0
108,HIDALGO,53,35,4
109,HILL,1,1,0
110,HOCKLEY,0,0,0
111,HOOD,3,3,0
112,HOPKINS,2,2,1
113,HOUSTON,0,0,0
114,HOWARD,216,188,24
115,HUDSPETH,0,0,0
116,HUNT,7,5,1
117,HUTCHINSON,0,0,0
118,IRION,0,0,0
119,JACK,0,0,0
120,JACKSON,0,0,0
121,JASPER,4,2,0
122,JEFF DAVIS,0,0,0
123,JEFFERSON,63,47,12
124,JIM HOGG,0,0,0
125,JIM WELLS,1,1,0
126,JOHNSON,34,53,15
127,JONES,0,0,0
128,KARNES,0,0,0
129,KAUFMAN,318,310,14
130,KENDALL,0,0,0
131,KENEDY,0,0,0
132,KENT,0,0,0
133,KERR,32,43,6
134,KIMBLE,0,0,0
135,KING,0,0,0
136,KINNEY,0,0,0
137,KLEBERG,1,1,1
138,KNOX,0,0,0
139,LAMAR,10,6,2
140,LAMB,0,0,0
141,LAMPASAS,0,0,0
142,LASALLE,0,1,0
143,LAVACA,0,0,0
144,LEE,1,1,0
145,LEON,1,0,0
146,LIBERTY,4,1,0
147,LIMESTONE,721,656,53
148,LIPSCOMB,0,0,0
149,LIVE OAK,0,0,0
150,LLANO,2,2,1
151,LOVING,0,0,0
152,LUBBOCK,367,311,65
153,LYNN,0,0,0
154,MADISON,0,0,0
155,MARION,0,0,0
156,MARTIN,0,0,0
157,MASON,0,0,0
158,MATAGORDA,4,3,0
159,MAVERICK,1,0,0
160,MCCULLOCH,1,0,0
161,MCLENNAN,100,89,12
162,MCMULLEN,0,0,0
163,MEDINA,4,0,0
164,MENARD,0,0,0
165,MIDLAND,18,15,1
166,MILAM,0,0,0
167,MILLS,0,0,0
168,MITCHELL,0,0,0
169,MONTAGUE,0,0,0
170,MONTGOMERY,40,34,4
