,County,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized,DFPS Responsibility Terminated***
141,LAMPASAS,40,0,19,2,7,10,13
142,LASALLE,22,0,1,0,9,6,7
143,LAVACA,5,0,0,0,3,2,0
144,LEE,41,0,19,0,6,1,20
145,LEON,20,0,3,2,3,1,13
146,LIBERTY,136,0,61,5,18,5,64
147,LIMESTONE,41,0,20,1,8,7,12
148,LIPSCOMB,0,0,0,0,0,0,0
149,LIVE OAK,3,0,2,0,0,0,1
150,LLANO,32,0,10,4,10,3,14
151,LOVING,0,0,0,0,0,0,0
152,LUBBOCK,717,0,258,36,165,159,197
153,LYNN,0,0,0,0,0,0,0
154,MADISON,43,0,29,0,4,3,7
155,MARION,17,0,9,3,2,2,2
156,MARTIN,0,0,0,0,0,0,0
157,MASON,8,0,4,0,0,0,7
158,MATAGORDA,28,0,12,1,3,0,13
159,MAVERICK,20,0,5,0,2,0,13
160,MCCULLOCH,19,0,1,1,3,6,8
161,MCLENNAN,327,0,99,12,63,73,105
162,MCMULLEN,0,0,0,0,0,0,0
163,MEDINA,107,0,31,1,36,9,34
164,MENARD,6,0,4,0,0,0,2
165,MIDLAND,149,0,42,14,18,25,59
166,MILAM,79,0,25,2,18,20,22
167,MILLS,2,0,0,0,1,1,1
168,MITCHELL,2,0,1,0,0,0,1
169,MONTAGUE,28,0,14,1,0,4,11
170,MONTGOMERY,738,0,374,34,140,101,253
171,MOORE,5,0,2,0,0,2,1
172,MORRIS,26,0,19,0,5,0,7
173,MOTLEY,2,0,0,0,0,0,2
174,NACOGDOCHES,119,0,66,3,18,7,37
175,NAVARRO,106,0,22,7,29,30,27
176,NEWTON,7,0,0,0,1,0,6
177,NOLAN,19,0,2,3,3,2,11
178,NUECES,582,0,319,29,61,51,188
179,OCHILTREE,6,0,4,0,0,0,2
180,OLDHAM,3,0,2,0,0,0,1
181,ORANGE,103,0,39,8,7,12,44
182,PALO PINTO,44,0,13,0,15,2,15
183,PANOLA,23,0,10,2,2,1,12
184,PARKER,67,0,21,1,11,14,26
185,PARMER,18,0,5,0,2,5,6
186,PECOS,26,0,13,0,1,3,11
187,POLK,99,0,34,6,19,20,36
188,POTTER,199,0,87,17,23,29,70
189,PRESIDIO,4,0,2,0,0,0,2
190,RAINS,16,0,8,0,0,2,6
191,RANDALL,305,0,156,15,20,55,84
192,REAGAN,9,0,1,0,1,3,4
193,REAL,3,0,0,0,1,0,2
194,RED RIVER,19,0,11,0,0,0,13
195,REEVES,19,0,8,3,5,0,6
196,REFUGIO,2,0,2,0,0,0,0
197,ROBERTS,0,0,0,0,0,0,0
198,ROBERTSON,26,0,3,3,7,8,5
199,ROCKWALL,40,0,15,3,4,3,19
200,RUNNELS,26,0,11,4,3,2,9
201,RUSK,52,0,29,9,8,6,13
202,SABINE,3,0,0,0,1,0,2
203,SAN AUGUSTINE,4,0,1,0,0,0,4
204,SAN JACINTO,57,0,29,3,5,7,19
205,SAN PATRICIO,60,0,23,1,6,16,26
206,SAN SABA,9,0,0,0,0,7,2
207,SCHLEICHER,9,0,0,0,1,3,5
208,SCURRY,21,0,5,0,5,6,8
209,SHACKELFORD,2,0,1,0,0,1,0
210,SHELBY,33,0,16,4,0,5,9
211,SHERMAN,4,0,1,0,0,3,0
212,SMITH,267,0,127,21,49,16,90
213,SOMERVELL,4,0,2,0,2,0,0
214,STARR,57,0,37,5,0,1,25
215,STEPHENS,20,0,13,0,1,1,6
216,STERLING,0,0,0,0,0,0,0
217,STONEWALL,0,0,0,0,0,0,0
218,SUTTON,6,0,2,0,0,2,2
219,SWISHER,3,0,0,1,1,0,1
220,TARRANT,1471,25,596,80,237,282,430
221,TAYLOR,186,0,89,7,31,21,59
222,TERRELL,3,0,3,0,0,0,0
223,TERRY,25,0,10,0,4,5,7
224,THROCKMORTON,0,0,0,0,0,0,0
225,TITUS,89,0,54,2,10,1,30
226,TOM GREEN,259,0,96,10,59,51,52
227,TRAVIS,985,0,372,32,187,254,277
228,TRINITY,27,0,15,0,3,3,8
229,TYLER,13,0,6,1,1,0,6
230,UPSHUR,93,0,62,3,11,3,39
231,UPTON,7,0,0,2,0,0,5
232,UVALDE,52,1,15,0,7,14,17
233,VAL VERDE,32,0,22,1,3,1,8
234,VAN ZANDT,128,0,69,3,18,19,32
235,VICTORIA,136,0,31,23,35,30,28
236,WALKER,56,0,31,1,4,4,29
237,WALLER,57,0,30,4,5,17,6
238,WARD,13,0,10,0,2,0,2
239,WASHINGTON,15,0,4,1,3,3,5
240,WEBB,338,0,111,27,74,15,143
241,WHARTON,33,0,24,0,2,2,7
242,WHEELER,6,0,1,0,2,1,3
243,WICHITA,207,0,77,15,24,32,87
244,WILBARGER,23,0,2,2,4,9,9
245,WILLACY,74,0,15,27,3,2,34
246,WILLIAMSON,415,0,182,15,91,38,123
247,WILSON,10,0,6,0,1,1,4
248,WINKLER,14,0,6,0,1,0,7
249,WISE,50,0,20,3,3,6,19
250,WOOD,105,0,47,5,17,4,40
251,YOAKUM,16,0,0,7,2,5,2
252,YOUNG,22,0,7,1,0,0,15
253,ZAPATA,38,0,13,6,0,1,18
254,ZAVALA,37,0,8,6,6,0,17
255,OUT OF STATE,86,0,3,0,0,0****,1
256,STATE TOTAL,30346,65,12636,1506,5003,4859,9896
