,County,CBCAP,FSP,TFTS,TOTAL
1,ANDERSON,0,0,0,0
2,ANDREWS,0,0,0,0
3,ANGELINA,0,0,0,0
4,ARANSAS,0,0,0,0
5,ARCHER,0,0,0,0
6,ARMSTRONG,0,0,0,0
7,ATASCOSA,0,3,0,3
8,AUSTIN,0,0,0,0
9,BAILEY,0,0,0,0
10,BANDERA,0,0,0,0
11,BASTROP,1,0,0,1
12,BAYLOR,0,0,0,0
13,BEE,0,0,0,0
14,BELL,0,1,1,2
15,BEXAR,0,288,787,1075
16,BLANCO,0,0,0,0
17,BORDEN,0,0,0,0
18,BOSQUE,0,0,0,0
19,BOWIE,0,0,0,0
20,BRAZORIA,0,0,0,0
21,BRAZOS,0,0,123,123
22,BREWSTER,0,0,0,0
23,BRISCOE,0,0,0,0
24,BROOKS,0,0,3,3
25,BROWN,0,0,507,507
26,BURLESON,0,0,27,27
27,BURNET,0,0,0,0
28,CALDWELL,0,0,0,0
29,CALHOUN,0,0,0,0
30,CALLAHAN,0,0,0,0
31,CAMERON,0,88,77,165
32,CAMP,0,0,0,0
33,CARSON,0,0,0,0
34,CASS,0,0,0,0
35,CASTRO,0,0,0,0
36,CHAMBERS,0,0,0,0
37,CHEROKEE,0,0,0,0
38,CHILDRESS,0,0,0,0
39,CLAY,0,0,0,0
40,COCHRAN,0,0,0,0
41,COKE,3,0,0,3
42,COLEMAN,1,0,17,18
43,COLLIN,23,0,1,24
44,COLLINGSWORTH,0,0,0,0
45,COLORADO,0,0,0,0
46,COMAL,0,0,1,1
47,COMANCHE,0,0,38,38
48,CONCHO,0,0,0,0
49,COOKE,0,0,0,0
50,CORYELL,1,0,1,2
51,COTTLE,0,0,0,0
52,CRANE,1,0,0,1
53,CROCKETT,0,0,0,0
54,CROSBY,0,0,38,38
55,CULBERSON,0,0,0,0
56,DALLAM,0,0,0,0
57,DALLAS,143,407,1,551
58,DAWSON,1,0,0,1
59,DEAF SMITH,1,0,0,1
60,DELTA,0,0,0,0
61,DENTON,0,0,0,0
62,DEWITT,0,0,0,0
63,DICKENS,0,0,0,0
64,DIMMIT,21,0,0,21
65,DONLEY,0,0,0,0
66,DUVAL,0,0,0,0
67,EASTLAND,0,0,17,17
68,ECTOR,0,0,0,0
69,EDWARDS,0,0,0,0
70,ELLIS,0,0,0,0
71,EL PASO,0,0,0,0
72,ERATH,0,0,1,1
73,FALLS,0,0,0,0
74,FANNIN,0,0,0,0
75,FAYETTE,0,0,0,0
76,FISHER,0,0,0,0
77,FLOYD,0,0,0,0
78,FOARD,0,0,0,0
79,FORT BEND,0,0,0,0
80,FRANKLIN,0,0,0,0
81,FREESTONE,0,0,0,0
82,FRIO,6,0,0,6
83,GAINES,0,0,0,0
84,GALVESTON,0,0,0,0
85,GARZA,0,0,0,0
86,GILLESPIE,0,0,0,0
87,GLASSCOCK,0,0,0,0
88,GOLIAD,0,0,0,0
89,GONZALES,0,0,0,0
90,GRAY,0,0,0,0
91,GRAYSON,0,0,0,0
92,GREGG,0,0,0,0
93,GRIMES,0,0,12,12
94,GUADALUPE,0,0,1,1
95,HALE,0,0,0,0
96,HALL,0,0,0,0
97,HAMILTON,0,0,1,1
98,HANSFORD,0,0,0,0
99,HARDEMAN,1,0,0,1
100,HARDIN,0,0,0,0
101,HARRIS,0,60,256,316
102,HARRISON,0,0,0,0
103,HARTLEY,0,0,0,0
104,HASKELL,1,0,0,1
105,HAYS,0,0,0,0
106,HEMPHILL,0,0,0,0
107,HENDERSON,0,0,0,0
108,HIDALGO,0,105,138,243
109,HILL,0,0,0,0
110,HOCKLEY,0,0,1,1
111,HOOD,0,0,0,0
112,HOPKINS,0,0,0,0
113,HOUSTON,0,0,0,0
114,HOWARD,1,0,0,1
115,HUDSPETH,0,0,0,0
116,HUNT,0,0,0,0
117,HUTCHINSON,0,0,0,0
118,IRION,1,0,0,1
119,JACK,0,0,0,0
120,JACKSON,0,0,0,0
121,JASPER,0,0,0,0
122,JEFF DAVIS,0,0,0,0
123,JEFFERSON,13,0,0,13
124,JIM HOGG,0,0,0,0
125,JIM WELLS,0,0,0,0
126,JOHNSON,0,0,0,0
127,JONES,1,0,0,1
128,KARNES,0,0,0,0
129,KAUFMAN,0,0,0,0
130,KENDALL,0,0,0,0
131,KENEDY,0,0,0,0
132,KENT,0,0,0,0
133,KERR,0,0,0,0
134,KIMBLE,1,0,0,1
135,KING,0,0,0,0
136,KINNEY,0,0,0,0
137,KLEBERG,0,0,0,0
138,KNOX,1,0,0,1
139,LAMAR,0,0,0,0
140,LAMB,0,0,0,0
141,LAMPASAS,0,0,0,0
142,LASALLE,0,0,0,0
143,LAVACA,0,0,0,0
144,LEE,0,0,0,0
145,LEON,0,0,11,11
146,LIBERTY,0,0,0,0
147,LIMESTONE,0,0,0,0
148,LIPSCOMB,0,0,0,0
149,LIVE OAK,0,0,0,0
150,LLANO,0,0,0,0
151,LOVING,0,0,0,0
152,LUBBOCK,0,0,236,236
153,LYNN,0,0,1,1
154,MADISON,0,0,59,59
155,MARION,0,0,0,0
156,MARTIN,0,0,0,0
157,MASON,0,0,1,1
158,MATAGORDA,0,0,0,0
159,MAVERICK,20,0,0,20
160,MCCULLOCH,0,0,30,30
161,MCLENNAN,0,0,0,0
162,MCMULLEN,0,0,0,0
163,MEDINA,0,1,0,1
164,MENARD,0,0,0,0
165,MIDLAND,4,0,0,4
166,MILAM,0,0,0,0
167,MILLS,0,0,21,21
168,MITCHELL,0,0,0,0
169,MONTAGUE,0,0,0,0
170,MONTGOMERY,0,0,0,0
171,MOORE,0,0,0,0
172,MORRIS,0,0,0,0
173,MOTLEY,0,0,0,0
174,NACOGDOCHES,0,0,0,0
175,NAVARRO,0,0,0,0
176,NEWTON,0,0,0,0
177,NOLAN,0,0,0,0
178,NUECES,0,0,0,0
179,OCHILTREE,0,0,0,0
180,OLDHAM,0,0,0,0
181,ORANGE,0,0,0,0
182,PALO PINTO,0,0,0,0
183,PANOLA,0,0,0,0
184,PARKER,0,0,0,0
185,PARMER,0,0,0,0
186,PECOS,0,0,0,0
187,POLK,0,0,0,0
188,POTTER,0,0,0,0
189,PRESIDIO,0,0,0,0
190,RAINS,0,0,0,0
191,RANDALL,4,0,0,4
192,REAGAN,0,0,0,0
193,REAL,0,0,0,0
194,RED RIVER,0,0,0,0
195,REEVES,0,0,0,0
196,REFUGIO,0,0,0,0
197,ROBERTS,0,0,0,0
198,ROBERTSON,0,0,39,39
199,ROCKWALL,0,0,0,0
200,RUNNELS,1,0,2,3
201,RUSK,0,0,0,0
202,SABINE,0,0,0,0
203,SAN AUGUSTINE,0,0,0,0
204,SAN JACINTO,0,0,0,0
205,SAN PATRICIO,0,0,0,0
206,SAN SABA,0,0,29,29
207,SCHLEICHER,0,0,0,0
208,SCURRY,1,0,0,1
209,SHACKELFORD,1,0,1,2
210,SHELBY,0,0,0,0
211,SHERMAN,0,0,0,0
212,SMITH,0,0,0,0
213,SOMERVELL,0,0,0,0
214,STARR,0,0,41,41
215,STEPHENS,1,0,0,1
216,STERLING,0,0,0,0
217,STONEWALL,0,0,0,0
218,SUTTON,0,0,0,0
219,SWISHER,0,0,0,0
220,TARRANT,0,82,272,354
221,TAYLOR,2,165,0,167
222,TERRELL,0,0,0,0
223,TERRY,0,0,1,1
224,THROCKMORTON,0,0,0,0
225,TITUS,0,0,0,0
226,TOM GREEN,169,0,198,367
227,TRAVIS,211,0,0,211
228,TRINITY,0,0,0,0
229,TYLER,0,0,0,0
230,UPSHUR,0,0,0,0
231,UPTON,0,0,0,0
232,UVALDE,18,0,4,22
233,VAL VERDE,0,0,0,0
234,VAN ZANDT,0,0,0,0
235,VICTORIA,0,0,0,0
236,WALKER,0,0,0,0
237,WALLER,0,0,0,0
238,WARD,0,0,0,0
239,WASHINGTON,0,0,30,30
240,WEBB,0,0,0,0
241,WHARTON,0,0,0,0
242,WHEELER,0,0,0,0
243,WICHITA,0,0,0,0
244,WILBARGER,0,0,0,0
245,WILLACY,0,0,14,14
246,WILLIAMSON,4,0,0,4
247,WILSON,0,0,0,0
248,WINKLER,0,0,0,0
249,WISE,0,0,0,0
250,WOOD,0,0,0,0
251,YOAKUM,0,0,0,0
252,YOUNG,0,0,0,0
253,ZAPATA,0,0,0,0
254,ZAVALA,41,0,1,42
255,UNKNOWN,0,0,0,0
256,OUT OF STATE,0,0,0,0
257,STATE TOTAL,699,1200,3040,4939
