,County,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services
1,ANDERSON,58,"$51,103.28",125,30,"$4,822.71",197
2,ANDREWS,4,"$3,080.00",25,12,"$1,636.03",70
3,ANGELINA,60,"$55,501.40",113,21,"$3,651.64",141
4,ARANSAS,16,"$29,299.70",56,24,"$4,492.90",253
5,ARCHER,4,$264.00,2,2,$72.96,7
6,ARMSTRONG,1,"$5,000.00",1,0,$0.00,0
7,ATASCOSA,15,"$19,759.71",150,35,"$4,754.49",229
8,AUSTIN,19,"$8,132.25",27,3,"$1,561.35",76
9,BAILEY,0,$0.00,36,0,$0.00,35
10,BANDERA,20,"$14,609.13",59,0,$0.00,93
11,BASTROP,25,"$28,153.80",188,12,"$3,654.69",153
12,BAYLOR,4,$594.00,10,0,$0.00,20
13,BEE,19,"$25,237.69",81,16,"$2,766.74",393
14,BELL,178,"$162,954.69",874,47,"$9,714.56",1257
15,BEXAR,1817,"$2,100,349.91",4501,745,"$110,679.41",10502
16,BLANCO,8,"$2,254.00",7,0,$0.00,10
17,BORDEN,0,$0.00,0,0,$0.00,0
18,BOSQUE,0,$0.00,18,1,$112.96,61
19,BOWIE,134,"$91,945.68",202,80,"$10,891.24",303
20,BRAZORIA,200,"$116,965.97",351,95,"$41,270.98",1047
21,BRAZOS,62,"$75,001.11",234,14,"$4,286.27",416
22,BREWSTER,1,$300.00,10,4,$630.89,31
23,BRISCOE,1,$54.00,6,0,$0.00,3
24,BROOKS,21,"$9,240.14",41,9,"$1,452.20",135
25,BROWN,163,"$136,751.73",174,15,"$2,622.36",259
26,BURLESON,1,$22.75,43,1,$22.75,41
27,BURNET,44,"$12,929.60",114,6,"$3,576.63",130
28,CALDWELL,21,"$20,390.85",147,6,"$2,139.98",143
29,CALHOUN,7,"$2,082.98",19,6,"$1,457.20",82
30,CALLAHAN,7,"$7,053.35",18,2,$195.18,72
31,CAMERON,241,"$211,946.78",542,193,"$12,899.40",3014
32,CAMP,23,"$25,850.14",58,4,"$1,417.23",96
33,CARSON,1,$65.00,15,3,$195.00,4
34,CASS,23,"$26,286.05",84,81,"$8,603.90",118
35,CASTRO,0,$0.00,13,0,$0.00,55
36,CHAMBERS,21,"$15,085.99",40,4,"$2,910.18",87
37,CHEROKEE,39,"$45,175.41",87,20,"$3,605.39",238
38,CHILDRESS,2,$650.00,22,0,$0.00,33
39,CLAY,0,$0.00,18,8,$408.88,28
40,COCHRAN,1,$15.00,7,0,$0.00,23
41,COKE,0,$0.00,2,0,$0.00,9
42,COLEMAN,13,"$9,369.30",47,4,$136.44,89
43,COLLIN,309,"$163,625.36",436,76,"$21,248.00",1544
44,COLLINGSWORTH,0,$0.00,9,1,$429.38,31
45,COLORADO,10,"$6,206.53",18,0,$0.00,57
46,COMAL,23,"$20,233.22",152,22,"$9,642.57",402
47,COMANCHE,13,"$3,108.36",18,1,$27.00,35
48,CONCHO,1,$815.00,9,0,$0.00,26
49,COOKE,42,"$21,872.54",66,1,$282.75,137
50,CORYELL,16,"$16,279.30",160,6,"$2,048.41",262
51,COTTLE,1,"$2,303.95",3,0,$0.00,2
52,CRANE,1,$770.00,1,0,$0.00,17
53,CROCKETT,1,$370.00,11,1,$36.48,30
54,CROSBY,0,$0.00,33,0,$0.00,63
55,CULBERSON,0,$0.00,3,0,$0.00,14
56,DALLAM,1,$600.00,22,3,"$1,293.69",41
57,DALLAS,1567,"$1,193,552.73",3006,230,"$82,846.17",6573
58,DAWSON,10,"$11,400.00",17,2,$54.00,77
59,DEAF SMITH,7,"$2,712.50",44,5,"$1,322.23",56
60,DELTA,7,"$9,313.15",18,0,$0.00,13
61,DENTON,318,"$174,717.98",427,32,"$11,408.95",991
62,DEWITT,4,"$1,152.50",31,6,$470.40,37
63,DICKENS,0,$0.00,5,0,$0.00,21
64,DIMMIT,4,"$1,152.50",72,9,$580.30,80
65,DONLEY,0,$0.00,7,0,$0.00,10
66,DUVAL,20,"$9,092.06",35,13,"$3,430.87",151
67,EASTLAND,7,"$7,224.87",36,3,$109.44,108
68,ECTOR,186,"$177,681.58",301,27,"$5,628.11",729
69,EDWARDS,0,$0.00,0,0,$0.00,5
70,ELLIS,160,"$84,479.80",181,39,"$27,192.26",364
71,EL PASO,302,"$333,495.59",644,163,"$43,823.93",3139
72,ERATH,38,"$9,791.16",52,14,"$4,947.53",209
73,FALLS,1,$200.00,12,0,$0.00,28
74,FANNIN,27,"$21,323.39",72,0,$0.00,99
75,FAYETTE,6,"$2,200.00",65,1,$575.00,89
76,FISHER,3,"$5,000.00",9,0,$0.00,28
77,FLOYD,0,$0.00,20,0,$0.00,37
78,FOARD,1,"$4,000.00",1,0,$0.00,6
79,FORT BEND,200,"$115,297.97",293,96,"$36,979.71",962
80,FRANKLIN,7,"$3,586.58",11,7,"$1,407.94",56
81,FREESTONE,1,$400.00,25,4,$105.75,42
82,FRIO,10,"$5,855.00",82,14,$627.50,129
83,GAINES,12,"$8,025.00",22,0,$0.00,67
84,GALVESTON,133,"$67,884.00",359,71,"$19,670.84",1161
85,GARZA,0,$0.00,6,0,$0.00,26
86,GILLESPIE,9,"$2,900.00",54,5,$287.93,80
87,GLASSCOCK,0,$0.00,0,0,$0.00,0
88,GOLIAD,4,$756.00,4,2,$45.00,7
89,GONZALES,7,"$10,722.50",44,5,$112.50,42
90,GRAY,14,"$21,971.00",82,15,"$3,748.09",149
91,GRAYSON,88,"$65,593.52",190,21,"$8,350.85",274
92,GREGG,160,"$133,391.78",286,50,"$9,399.11",432
93,GRIMES,18,"$12,219.63",52,6,$983.37,90
94,GUADALUPE,28,"$16,909.49",113,58,"$16,992.55",506
95,HALE,7,"$12,210.00",152,8,$572.06,260
96,HALL,1,"$5,000.00",10,1,$56.55,18
97,HAMILTON,3,"$5,860.14",18,1,$22.75,38
98,HANSFORD,0,$0.00,1,1,$65.00,8
99,HARDEMAN,0,$0.00,6,0,$0.00,14
100,HARDIN,23,"$11,926.71",66,22,"$1,879.35",101
101,HARRIS,3050,"$2,794,707.10",6837,438,"$140,704.23",11807
102,HARRISON,59,"$50,349.67",101,27,"$5,407.83",195
103,HARTLEY,0,$0.00,5,0,$0.00,0
104,HASKELL,2,$866.28,4,1,$36.48,25
105,HAYS,32,"$34,916.47",151,9,"$5,654.04",217
106,HEMPHILL,1,$487.00,3,0,$0.00,5
107,HENDERSON,123,"$108,653.20",238,108,"$25,093.23",544
108,HIDALGO,339,"$368,970.67",680,375,"$42,945.95",4388
109,HILL,12,"$12,000.00",61,2,$135.85,86
110,HOCKLEY,4,"$1,337.50",97,0,$0.00,171
111,HOOD,31,"$22,253.22",54,11,"$1,989.05",258
112,HOPKINS,36,"$27,854.12",78,33,"$5,438.00",132
113,HOUSTON,13,"$12,386.29",30,5,$559.68,28
114,HOWARD,44,"$29,217.19",112,19,"$4,806.50",291
115,HUDSPETH,0,$0.00,3,0,$0.00,4
116,HUNT,163,"$50,465.14",239,11,"$3,595.18",253
117,HUTCHINSON,10,"$6,154.50",62,16,"$3,130.16",106
118,IRION,0,$0.00,1,0,$0.00,5
119,JACK,2,"$1,300.00",5,1,$36.48,48
120,JACKSON,4,$662.50,25,1,$22.50,38
121,JASPER,24,"$21,309.67",47,10,"$3,790.72",99
122,JEFF DAVIS,0,$0.00,0,0,$0.00,6
123,JEFFERSON,302,"$301,398.52",252,45,"$22,805.00",564
124,JIM HOGG,0,$0.00,16,4,"$1,710.08",115
125,JIM WELLS,36,"$39,987.86",125,42,"$9,570.44",503
126,JOHNSON,151,"$80,232.30",294,20,"$9,157.69",787
127,JONES,13,"$3,905.62",18,7,"$1,592.72",102
128,KARNES,5,"$1,230.00",18,2,$316.28,57
129,KAUFMAN,93,"$70,211.54",149,13,"$3,339.86",220
130,KENDALL,8,"$1,386.55",17,10,"$1,355.12",41
131,KENEDY,0,$0.00,2,0,$0.00,2
132,KENT,0,$0.00,0,0,$0.00,2
133,KERR,34,"$34,367.03",193,37,"$5,674.47",334
134,KIMBLE,0,$0.00,13,0,$0.00,29
135,KING,0,$0.00,0,0,$0.00,0
136,KINNEY,0,$0.00,1,0,$0.00,1
137,KLEBERG,31,"$33,703.24",120,22,"$6,092.88",343
138,KNOX,1,$550.00,7,0,$0.00,31
139,LAMAR,46,"$26,496.15",84,25,"$6,449.14",171
140,LAMB,2,$675.00,67,3,$149.07,115
141,LAMPASAS,13,"$7,852.27",59,5,"$1,110.46",75
142,LASALLE,3,$636.25,27,0,$0.00,49
143,LAVACA,23,"$8,622.50",7,2,$438.50,38
144,LEE,2,"$1,000.00",48,2,$710.85,65
145,LEON,5,"$7,512.70",33,4,$293.76,67
146,LIBERTY,97,"$38,804.84",162,9,"$3,665.48",235
147,LIMESTONE,9,"$8,781.40",49,4,"$1,195.50",57
148,LIPSCOMB,0,$0.00,0,0,$0.00,8
149,LIVE OAK,1,$497.00,3,7,$967.80,132
150,LLANO,7,"$10,445.50",45,3,$124.80,39
151,LOVING,0,$0.00,0,0,$0.00,0
152,LUBBOCK,306,"$335,877.21",895,246,"$32,531.67",1725
153,LYNN,0,$0.00,4,0,$0.00,25
154,MADISON,0,$0.00,49,2,$79.30,52
155,MARION,13,"$5,326.90",22,7,$483.00,29
156,MARTIN,3,"$1,552.63",0,1,$780.68,14
157,MASON,1,$770.00,8,0,$0.00,26
158,MATAGORDA,16,"$5,415.20",33,29,"$15,762.73",178
159,MAVERICK,1,$540.00,46,1,$56.55,35
160,MCCULLOCH,6,"$13,685.00",20,0,$0.00,64
161,MCLENNAN,166,"$182,401.77",433,23,"$7,264.08",750
162,MCMULLEN,1,$905.78,0,0,$0.00,3
163,MEDINA,15,"$3,910.01",158,26,"$3,695.63",279
164,MENARD,1,$770.00,7,0,$0.00,19
165,MIDLAND,129,"$130,305.95",186,24,"$4,093.58",319
166,MILAM,19,"$22,196.00",108,2,$45.50,123
