,County,Region,Family Reunification,Relative With PCA,Relative Without PCA,Adoption by Relative,Adoption by Non-Relative,Long Term Care - Emancipation,Long Term Care - Other
82,FRIO,008,16.4,0.0,31.6,30.2,28.5,99.3,0.0
83,GAINES,009,0.0,0.0,0.0,51.7,0.0,57.2,0.0
84,GALVESTON,006,15.9,17.6,16.8,24.5,28.4,36.1,24.5
85,GARZA,001,7.8,0.0,10.1,26.1,0.0,57.6,0.0
86,GILLESPIE,008,1.2,34.5,23.9,25.0,0.0,44.8,0.0
87,GLASSCOCK,009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,GOLIAD,008,10.5,0.0,9.7,0.0,122.9,0.0,0.0
89,GONZALES,008,15.4,0.0,0.0,23.1,37.6,0.0,0.0
90,GRAY,001,17.7,0.0,10.5,25.6,21.3,121.1,0.0
91,GRAYSON,003,17.2,17.9,15.0,21.1,20.6,42.2,8.8
92,GREGG,004,18.3,21.8,13.3,20.7,25.1,39.4,0.0
93,GRIMES,007,8.9,0.0,8.9,18.9,17.0,60.2,0.0
94,GUADALUPE,008,10.9,0.0,11.3,29.8,25.7,55.1,13.5
95,HALE,001,13.1,0.0,16.8,26.6,22.7,50.2,6.4
96,HALL,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,HAMILTON,007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,HANSFORD,001,21.4,0.0,13.6,0.0,0.0,0.0,0.0
99,HARDEMAN,002,0.0,17.8,0.0,0.0,0.0,0.0,0.0
100,HARDIN,005,14.7,0.0,15.4,50.1,20.6,20.4,0.0
101,HARRIS,006,14.9,23.9,18.1,30.8,33.1,70.7,21.7
102,HARRISON,004,13.7,0.0,14.1,26.9,32.9,34.2,0.0
103,HARTLEY,001,0.0,0.0,9.5,0.0,0.0,0.0,0.0
104,HASKELL,002,0.0,0.0,0.0,0.0,25.5,0.0,0.0
105,HAYS,007,10.7,0.0,12.6,16.9,23.0,31.3,0.0
106,HEMPHILL,001,0.0,0.0,18.0,30.2,0.0,0.0,0.0
107,HENDERSON,004,14.4,16.9,11.3,30.4,26.4,25.2,28.6
108,HIDALGO,011,15.1,22.0,13.6,32.0,48.7,36.8,42.7
109,HILL,007,0.6,0.0,17.2,35.6,29.5,30.2,0.0
110,HOCKLEY,001,13.4,0.0,16.4,25.3,29.4,25.8,0.0
111,HOOD,003,13.6,0.0,8.3,19.3,22.5,37.9,0.0
112,HOPKINS,004,8.8,0.0,5.8,20.5,0.0,99.8,0.0
113,HOUSTON,005,24.6,0.0,36.8,27.7,0.0,86.5,13.8
114,HOWARD,009,8.4,15.4,14.1,24.9,22.2,38.7,0.0
115,HUDSPETH,010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,HUNT,003,9.4,15.8,8.4,20.8,16.4,72.0,11.7
117,HUTCHINSON,001,7.5,0.0,10.0,0.0,16.5,69.1,0.0
118,IRION,009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,JACK,002,15.1,13.9,12.7,0.0,0.0,111.1,0.0
120,JACKSON,008,15.8,22.7,0.0,18.4,0.0,0.0,0.0
121,JASPER,005,13.4,0.0,10.0,0.0,124.5,89.4,0.0
122,JEFF DAVIS,010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,JEFFERSON,005,10.5,17.8,11.5,18.0,21.5,78.6,0.0
124,JIM HOGG,011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,JIM WELLS,011,11.4,0.0,16.3,31.2,33.4,0.0,0.0
126,JOHNSON,003,17.0,18.6,20.4,22.7,27.8,40.4,0.0
127,JONES,002,16.4,23.4,28.1,0.0,0.0,0.0,0.0
128,KARNES,008,18.3,0.0,63.6,31.4,23.7,73.1,0.0
129,KAUFMAN,003,12.4,0.0,10.8,13.5,25.0,55.2,0.0
130,KENDALL,008,16.5,0.0,4.3,19.5,23.7,48.7,0.0
131,KENEDY,011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,KENT,002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,KERR,008,13.5,0.0,19.9,18.7,21.0,23.1,12.7
134,KIMBLE,009,18.7,0.0,17.7,0.0,0.0,57.7,0.0
135,KING,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,KINNEY,008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,KLEBERG,011,13.0,0.0,16.9,39.9,0.0,51.2,21.5
138,KNOX,002,16.6,0.0,0.0,0.0,0.0,0.0,0.0
139,LAMAR,004,8.9,20.1,8.9,21.3,22.8,17.4,0.0
140,LAMB,001,13.0,23.9,15.1,0.0,0.0,29.0,0.0
141,LAMPASAS,007,9.3,9.8,7.7,25.1,0.0,0.0,0.0
142,LA SALLE,008,15.3,0.0,0.0,23.1,0.0,30.4,0.0
143,LAVACA,008,17.9,30.5,16.2,26.6,21.0,0.0,0.0
144,LEE,007,14.4,11.6,25.6,33.4,0.0,0.0,0.0
145,LEON,007,13.9,0.0,10.6,0.0,0.0,69.5,0.0
146,LIBERTY,006,12.1,23.7,14.6,30.1,33.1,59.8,12.5
147,LIMESTONE,007,13.9,0.0,14.2,22.1,21.9,67.4,0.0
148,LIPSCOMB,001,0.0,0.0,0.0,20.9,0.0,0.0,0.0
149,LIVE OAK,011,10.3,17.4,10.0,30.9,38.6,0.0,0.0
150,LLANO,007,6.5,20.5,7.9,22.1,56.6,77.1,0.0
151,LOVING,009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,LUBBOCK,001,13.7,0.0,15.8,24.5,32.9,70.8,5.6
153,LYNN,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,MADISON,007,12.1,0.0,10.6,22.3,0.0,0.0,2.8
155,MARION,004,0.0,0.0,8.2,0.0,17.4,27.0,0.0
156,MARTIN,009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,MASON,009,0.0,0.0,12.1,0.0,0.0,0.0,0.0
158,MATAGORDA,006,12.4,25.9,10.3,22.7,34.7,37.2,0.0
159,MAVERICK,008,24.0,0.0,11.6,32.8,0.0,31.2,16.8
160,MCCULLOCH,009,14.5,0.0,0.0,21.2,25.6,33.8,0.0
161,MCLENNAN,007,17.5,27.5,13.1,25.5,29.8,45.5,0.0
162,MCMULLEN,011,6.7,0.0,0.0,0.0,0.0,0.0,0.0
163,MEDINA,008,8.4,0.0,7.7,19.0,20.8,54.8,10.4
164,MENARD,009,0.0,0.0,0.0,0.0,23.7,0.0,0.0
165,MIDLAND,009,16.2,42.8,21.3,25.1,29.6,37.6,0.0
166,MILAM,007,18.0,0.0,13.6,27.2,23.3,40.4,0.0
167,MILLS,007,0.0,14.0,0.0,27.5,0.0,36.0,0.0
168,MITCHELL,002,0.0,0.0,59.3,0.0,0.0,62.4,59.3
169,MONTAGUE,002,0.0,46.4,12.7,19.8,17.4,40.3,0.0
170,MONTGOMERY,006,15.4,22.8,14.4,20.3,28.0,41.3,8.5
171,MOORE,001,11.2,0.0,0.0,22.2,0.0,92.0,0.0
172,MORRIS,004,14.0,0.0,8.3,20.0,0.0,0.0,0.0
173,MOTLEY,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,NACOGDOCHES,005,17.4,23.2,24.0,20.0,29.6,0.0,54.9
175,NAVARRO,003,12.2,0.0,46.2,20.8,20.3,73.7,0.0
176,NEWTON,005,6.1,0.0,13.3,0.0,0.0,0.0,0.0
177,NOLAN,002,0.0,33.8,2.1,33.7,0.0,0.0,0.0
178,NUECES,011,12.5,16.6,9.6,29.9,27.4,31.4,14.8
179,OCHILTREE,001,0.0,0.0,18.0,0.0,0.0,0.0,0.0
180,OLDHAM,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,ORANGE,005,12.9,17.0,13.9,27.2,30.6,44.2,6.2
182,PALO PINTO,003,15.7,11.7,13.2,25.6,24.9,20.1,0.0
183,PANOLA,004,10.1,48.5,10.7,0.0,39.5,13.9,0.0
184,PARKER,003,12.2,21.7,12.7,22.9,21.0,33.3,0.0
185,PARMER,001,8.9,0.0,0.0,0.0,51.8,0.0,0.0
186,PECOS,009,8.6,31.0,7.8,25.9,0.0,104.6,0.0
187,POLK,005,12.4,17.7,11.9,25.0,33.6,67.9,0.0
188,POTTER,001,14.9,0.0,11.4,31.4,34.0,58.0,4.5
189,PRESIDIO,010,37.0,0.0,0.0,20.0,0.0,0.0,0.0
190,RAINS,004,0.0,0.0,8.9,0.0,0.0,0.0,0.0
191,RANDALL,001,22.2,0.0,18.2,35.1,32.9,57.2,16.6
192,REAGAN,009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,REAL,008,0.0,0.0,0.0,18.2,19.4,68.5,0.0
194,RED RIVER,004,4.1,0.0,4.4,26.4,12.0,0.0,0.0
195,REEVES,009,15.0,0.0,0.0,18.0,0.0,0.0,0.0
196,REFUGIO,011,12.7,0.0,8.0,70.7,0.0,13.7,0.0
197,ROBERTS,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,ROBERTSON,007,41.6,0.0,10.9,32.3,21.6,87.4,0.0
199,ROCKWALL,003,8.2,0.0,9.6,18.3,0.0,10.9,14.6
200,RUNNELS,002,10.7,0.0,12.6,28.1,23.8,18.8,0.0
201,RUSK,004,11.7,23.9,9.3,0.0,18.3,63.8,0.0
202,SABINE,005,15.6,0.0,0.0,0.0,0.0,0.0,0.0
203,SAN AUGUSTINE,005,15.8,17.9,35.9,0.0,0.0,0.0,12.9
204,SAN JACINTO,005,13.2,0.0,12.2,19.1,25.9,55.9,0.0
205,SAN PATRICIO,011,12.2,0.0,9.7,24.0,24.5,23.0,12.5
206,SAN SABA,007,12.8,0.0,11.5,16.6,0.0,92.2,0.0
207,SCHLEICHER,009,17.5,0.0,0.0,0.0,30.7,0.0,0.0
208,SCURRY,002,10.2,0.0,1.8,13.9,76.5,0.0,0.0
209,SHACKELFORD,002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,SHELBY,005,11.9,0.0,10.6,18.5,25.9,25.9,0.0
211,SHERMAN,001,0.8,0.0,0.8,0.0,0.0,76.2,0.0
212,SMITH,004,14.6,30.0,11.1,26.6,25.6,63.2,21.3
213,SOMERVELL,003,22.9,0.0,23.0,32.0,26.9,12.2,0.0
214,STARR,011,11.8,29.5,20.5,31.1,0.0,110.1,12.0
215,STEPHENS,002,0.0,24.3,12.7,0.0,22.6,24.5,0.8
216,STERLING,009,1.5,0.0,1.5,0.0,0.0,0.0,0.0
217,STONEWALL,002,0.0,0.0,0.0,0.0,22.3,0.0,0.0
218,SUTTON,009,22.5,0.0,0.0,0.0,0.0,0.0,0.0
219,SWISHER,001,17.4,0.0,26.7,0.0,29.0,69.9,0.0
220,TARRANT,003,14.4,27.9,14.3,25.2,27.4,41.4,8.9
221,TAYLOR,002,12.2,39.3,15.1,27.0,24.8,56.7,0.0
222,TERRELL,009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,TERRY,001,16.5,0.0,16.5,42.1,28.6,0.0,0.0
224,THROCKMORTON,002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,TITUS,004,36.5,0.0,11.7,21.0,67.4,2.1,0.0
226,TOM GREEN,009,16.3,0.0,14.1,29.4,36.0,62.8,47.7
227,TRAVIS,007,13.7,21.3,11.6,23.1,24.7,40.8,18.7
228,TRINITY,005,15.9,0.0,0.0,42.9,50.8,44.7,0.0
229,TYLER,005,0.7,0.0,7.2,0.0,14.1,3.5,2.5
230,UPSHUR,004,10.3,20.7,6.1,0.0,20.0,34.1,0.0
231,UPTON,009,0.0,0.0,32.8,0.0,0.0,0.0,0.0
232,UVALDE,008,17.4,0.0,15.5,23.5,63.1,45.1,0.0
233,VAL VERDE,008,13.3,0.0,9.2,0.0,15.6,62.5,0.0
234,VAN ZANDT,004,16.2,0.0,11.3,25.8,32.7,43.6,0.0
235,VICTORIA,008,17.5,43.8,17.8,19.3,26.1,89.4,31.7
236,WALKER,006,13.7,0.0,24.4,24.9,27.3,28.1,0.0
237,WALLER,006,10.8,26.1,25.0,31.5,19.5,74.3,0.0
238,WARD,009,0.0,0.0,9.5,0.0,0.0,84.6,0.0
239,WASHINGTON,007,13.9,17.3,6.8,24.6,0.0,38.4,0.0
240,WEBB,011,12.6,31.9,11.9,31.9,36.6,51.8,16.0
241,WHARTON,006,0.0,0.0,8.6,0.0,14.5,124.5,0.0
242,WHEELER,001,0.0,18.0,0.0,0.0,0.0,39.1,0.0
243,WICHITA,002,12.5,21.3,16.6,25.5,25.8,70.0,0.0
244,WILBARGER,002,25.8,0.0,4.7,28.5,0.0,39.3,0.0
245,WILLACY,011,16.5,19.0,12.3,0.0,0.0,0.0,7.9
246,WILLIAMSON,007,11.3,14.1,10.3,25.0,33.4,39.7,0.0
247,WILSON,008,14.6,0.0,19.3,24.4,24.5,23.1,0.0
248,WINKLER,009,0.0,0.0,13.9,26.0,0.0,22.2,0.0
249,WISE,003,12.2,8.0,13.6,22.6,24.3,24.5,0.0
250,WOOD,004,10.5,0.0,10.9,18.7,20.3,24.9,0.0
251,YOAKUM,001,0.0,0.0,16.0,26.5,0.0,80.0,0.0
252,YOUNG,002,17.8,17.6,14.0,19.7,0.0,0.0,176.4
253,ZAPATA,011,13.9,72.5,26.5,34.6,0.0,102.7,0.1
254,ZAVALA,008,9.6,0.0,11.3,38.6,60.0,48.7,0.0
255,STATEWIDE,,13.3,25.3,13.4,24.9,29.0,54.3,16.6
