,County,Region,Totals,Family Reunification,Custody Given to Relative Non-PCA,Custody Given to Relative PCA,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other
94,GUADALUPE,008,70,19,18,0,13,12,7,1
95,HALE,001,38,15,6,0,3,6,6,2
96,HALL,001,0,0,0,0,0,0,0,0
97,HAMILTON,007,0,0,0,0,0,0,0,0
98,HANSFORD,001,5,1,4,0,0,0,0,0
99,HARDEMAN,002,3,0,0,3,0,0,0,0
100,HARDIN,005,22,7,6,0,7,1,1,0
101,HARRIS,006,2110,473,473,64,423,467,174,36
102,HARRISON,004,73,30,19,0,9,8,7,0
103,HARTLEY,001,1,0,1,0,0,0,0,0
104,HASKELL,002,4,0,0,0,4,0,0,0
105,HAYS,007,132,64,26,0,12,20,10,0
106,HEMPHILL,001,4,0,2,0,0,2,0,0
107,HENDERSON,004,107,54,14,3,16,9,9,2
108,HIDALGO,011,404,162,186,21,8,5,19,3
109,HILL,007,31,1,7,0,8,11,4,0
110,HOCKLEY,001,27,4,3,0,11,5,4,0
111,HOOD,003,46,17,7,0,8,11,3,0
112,HOPKINS,004,40,22,6,0,0,8,4,0
113,HOUSTON,005,17,5,6,0,0,1,4,1
114,HOWARD,009,47,6,9,4,10,13,5,0
115,HUDSPETH,010,0,0,0,0,0,0,0,0
116,HUNT,003,154,42,57,3,28,16,5,3
117,HUTCHINSON,001,17,8,7,0,1,0,1,0
118,IRION,009,0,0,0,0,0,0,0,0
119,JACK,002,11,4,4,2,0,0,1,0
120,JACKSON,008,4,1,0,2,0,1,0,0
121,JASPER,005,26,7,16,0,1,0,2,0
122,JEFF DAVIS,010,0,0,0,0,0,0,0,0
123,JEFFERSON,005,136,37,24,6,48,15,6,0
124,JIM HOGG,011,0,0,0,0,0,0,0,0
125,JIM WELLS,011,22,6,9,0,4,3,0,0
126,JOHNSON,003,109,33,23,1,23,21,8,0
127,JONES,002,8,2,4,2,0,0,0,0
128,KARNES,008,21,9,2,0,2,6,2,0
129,KAUFMAN,003,60,22,13,0,12,9,4,0
130,KENDALL,008,13,3,1,0,3,5,1,0
131,KENEDY,011,0,0,0,0,0,0,0,0
132,KENT,002,0,0,0,0,0,0,0,0
133,KERR,008,52,20,11,0,8,9,3,1
134,KIMBLE,009,8,6,1,0,0,0,1,0
135,KING,001,0,0,0,0,0,0,0,0
136,KINNEY,008,0,0,0,0,0,0,0,0
137,KLEBERG,011,27,15,6,0,0,1,4,1
138,KNOX,002,3,3,0,0,0,0,0,0
139,LAMAR,004,75,29,35,6,2,2,1,0
140,LAMB,001,10,2,3,3,0,0,2,0
141,LAMPASAS,007,28,7,15,4,0,2,0,0
142,LA SALLE,008,6,2,0,0,0,3,1,0
143,LAVACA,008,15,2,2,4,1,6,0,0
144,LEE,007,18,12,2,1,0,3,0,0
145,LEON,007,15,7,5,0,0,0,3,0
146,LIBERTY,006,103,38,23,8,12,10,9,3
147,LIMESTONE,007,19,6,4,0,5,3,1,0
148,LIPSCOMB,001,1,0,0,0,0,1,0,0
149,LIVE OAK,011,31,21,4,1,4,1,0,0
150,LLANO,007,40,15,10,1,1,11,2,0
151,LOVING,009,0,0,0,0,0,0,0,0
152,LUBBOCK,001,385,148,60,0,84,56,33,4
153,LYNN,001,0,0,0,0,0,0,0,0
154,MADISON,007,15,6,6,0,0,2,0,1
155,MARION,004,16,0,9,0,5,0,2,0
156,MARTIN,009,0,0,0,0,0,0,0,0
157,MASON,009,1,0,1,0,0,0,0,0
158,MATAGORDA,006,30,7,7,3,4,6,3,0
159,MAVERICK,008,13,8,1,0,0,2,1,1
160,MCCULLOCH,009,5,1,0,0,2,1,1,0
161,MCLENNAN,007,280,71,68,10,40,69,22,0
162,MCMULLEN,011,6,6,0,0,0,0,0,0
163,MEDINA,008,74,19,10,0,16,23,5,1
164,MENARD,009,1,0,0,0,1,0,0,0
165,MIDLAND,009,69,20,24,2,8,10,5,0
166,MILAM,007,27,10,6,0,3,4,4,0
167,MILLS,007,4,0,0,2,0,1,1,0
168,MITCHELL,002,4,0,2,0,0,0,1,1
169,MONTAGUE,002,13,0,6,2,1,3,1,0
170,MONTGOMERY,006,238,36,59,21,37,59,24,2
171,MOORE,001,6,1,0,0,0,3,2,0
172,MORRIS,004,15,2,9,0,0,4,0,0
173,MOTLEY,001,0,0,0,0,0,0,0,0
174,NACOGDOCHES,005,70,18,21,5,17,7,0,2
175,NAVARRO,003,32,10,1,0,8,12,1,0
176,NEWTON,005,5,2,3,0,0,0,0,0
177,NOLAN,002,12,0,8,1,0,3,0,0
178,NUECES,011,249,110,87,10,15,12,12,3
179,OCHILTREE,001,1,0,1,0,0,0,0,0
180,OLDHAM,001,0,0,0,0,0,0,0,0
181,ORANGE,005,113,36,38,6,22,6,4,1
182,PALO PINTO,003,81,23,20,1,21,15,1,0
183,PANOLA,004,21,12,5,1,2,0,1,0
184,PARKER,003,118,42,23,4,23,23,3,0
185,PARMER,001,6,4,0,0,2,0,0,0
186,PECOS,009,10,2,4,1,0,2,1,0
187,POLK,005,67,26,22,3,10,4,2,0
188,POTTER,001,131,39,30,0,42,6,10,4
189,PRESIDIO,010,5,3,0,0,0,2,0,0
190,RAINS,004,2,0,2,0,0,0,0,0
191,RANDALL,001,84,15,24,0,18,16,9,2
192,REAGAN,009,0,0,0,0,0,0,0,0
193,REAL,008,5,0,0,0,1,3,1,0
194,RED RIVER,004,15,7,6,0,1,1,0,0
195,REEVES,009,8,7,0,0,0,1,0,0
196,REFUGIO,011,14,4,5,0,0,2,3,0
197,ROBERTS,001,0,0,0,0,0,0,0,0
198,ROBERTSON,007,15,3,3,0,4,2,3,0
199,ROCKWALL,003,17,7,5,0,0,2,2,1
200,RUNNELS,002,19,8,6,0,3,1,1,0
201,RUSK,004,77,41,24,2,5,0,5,0
202,SABINE,005,3,3,0,0,0,0,0,0
203,SAN AUGUSTINE,005,6,2,2,1,0,0,0,1
204,SAN JACINTO,005,21,8,6,0,3,2,2,0
205,SAN PATRICIO,011,69,26,18,0,2,16,6,1
206,SAN SABA,007,21,6,11,0,0,1,3,0
207,SCHLEICHER,009,8,5,0,0,3,0,0,0
208,SCURRY,002,13,3,7,0,1,2,0,0
209,SHACKELFORD,002,0,0,0,0,0,0,0,0
210,SHELBY,005,41,15,11,0,7,5,3,0
211,SHERMAN,001,3,1,1,0,0,0,1,0
212,SMITH,004,136,26,28,17,32,19,10,4
213,SOMERVELL,003,6,1,1,0,1,2,1,0
214,STARR,011,43,24,10,4,0,1,2,2
215,STEPHENS,002,8,0,1,3,2,0,1,1
216,STERLING,009,7,6,1,0,0,0,0,0
217,STONEWALL,002,5,0,0,0,5,0,0,0
218,SUTTON,009,6,6,0,0,0,0,0,0
219,SWISHER,001,9,1,3,0,3,0,2,0
220,TARRANT,003,840,296,152,47,183,97,56,9
221,TAYLOR,002,170,87,38,7,26,3,9,0
222,TERRELL,009,0,0,0,0,0,0,0,0
223,TERRY,001,13,1,8,0,1,3,0,0
224,THROCKMORTON,002,0,0,0,0,0,0,0,0
225,TITUS,004,22,9,7,0,1,4,1,0
226,TOM GREEN,009,185,53,50,0,44,24,12,2
227,TRAVIS,007,671,240,112,20,111,150,30,8
228,TRINITY,005,13,9,0,0,1,2,1,0
229,TYLER,005,14,3,8,0,1,0,1,1
230,UPSHUR,004,26,12,3,5,3,0,3,0
231,UPTON,009,1,0,1,0,0,0,0,0
232,UVALDE,008,15,7,2,0,3,2,1,0
233,VAL VERDE,008,11,2,5,0,1,0,3,0
234,VAN ZANDT,004,59,19,20,0,12,2,6,0
235,VICTORIA,008,69,19,21,1,9,11,7,1
236,WALKER,006,22,5,8,0,4,3,2,0
237,WALLER,006,27,15,1,4,1,4,2,0
238,WARD,009,6,0,5,0,0,0,1,0
239,WASHINGTON,007,27,10,5,4,0,7,1,0
240,WEBB,011,252,130,59,8,17,13,23,2
241,WHARTON,006,8,0,5,0,1,0,2,0
242,WHEELER,001,2,0,0,1,0,0,1,0
243,WICHITA,002,99,34,26,16,17,1,5,0
244,WILBARGER,002,6,2,2,0,0,1,1,0
245,WILLACY,011,15,3,10,1,0,0,0,1
246,WILLIAMSON,007,157,54,44,6,22,15,16,0
247,WILSON,008,31,1,7,0,6,15,2,0
248,WINKLER,009,5,0,3,0,0,1,1,0
249,WISE,003,56,19,21,2,11,1,2,0
250,WOOD,004,53,16,22,0,4,7,4,0
251,YOAKUM,001,5,0,2,0,0,2,1,0
252,YOUNG,002,17,3,8,2,0,3,0,1
253,ZAPATA,011,16,9,1,2,0,2,1,1
254,ZAVALA,008,24,12,1,0,2,4,5,0
255,STATEWIDE,,17896,5449,4827,753,2800,2695,1180,192
