,County,Region,Total,Hispanic,Anglo,African American,Other *,Asian,Native American
114,HOWARD,009,24,7,12,3,2,0,0
115,HUDSPETH,010,0,0,0,0,0,0,0
116,HUNT,003,155,14,106,19,16,0,0
117,HUTCHINSON,001,24,7,15,1,1,0,0
118,IRION,009,0,0,0,0,0,0,0
119,JACK,002,17,2,8,0,7,0,0
120,JACKSON,008,5,0,4,1,0,0,0
121,JASPER,005,47,4,27,4,12,0,0
122,JEFF DAVIS,010,0,0,0,0,0,0,0
123,JEFFERSON,005,147,21,41,66,19,0,0
124,JIM HOGG,011,1,1,0,0,0,0,0
125,JIM WELLS,011,43,36,6,1,0,0,0
126,JOHNSON,003,175,20,141,9,4,0,1
127,JONES,002,7,3,4,0,0,0,0
128,KARNES,008,34,32,2,0,0,0,0
129,KAUFMAN,003,46,4,30,6,5,1,0
130,KENDALL,008,7,6,1,0,0,0,0
131,KENEDY,011,0,0,0,0,0,0,0
132,KENT,002,0,0,0,0,0,0,0
133,KERR,008,55,17,34,3,1,0,0
134,KIMBLE,009,2,1,1,0,0,0,0
135,KING,001,0,0,0,0,0,0,0
136,KINNEY,008,0,0,0,0,0,0,0
137,KLEBERG,011,27,24,3,0,0,0,0
138,KNOX,002,0,0,0,0,0,0,0
139,LAMAR,004,91,9,62,12,8,0,0
140,LAMB,001,9,2,3,3,1,0,0
141,LAMPASAS,007,33,9,23,0,1,0,0
142,LA SALLE,008,5,3,2,0,0,0,0
143,LAVACA,008,7,5,0,1,1,0,0
144,LEE,007,20,9,7,4,0,0,0
145,LEON,007,3,0,3,0,0,0,0
146,LIBERTY,006,94,6,68,13,7,0,0
147,LIMESTONE,007,16,4,10,1,1,0,0
148,LIPSCOMB,001,0,0,0,0,0,0,0
149,LIVE OAK,011,22,19,3,0,0,0,0
150,LLANO,007,48,7,38,0,3,0,0
151,LOVING,009,0,0,0,0,0,0,0
152,LUBBOCK,001,368,240,68,42,17,0,1
153,LYNN,001,8,5,3,0,0,0,0
154,MADISON,007,11,1,8,2,0,0,0
155,MARION,004,16,0,11,4,1,0,0
156,MARTIN,009,0,0,0,0,0,0,0
157,MASON,009,2,1,0,0,1,0,0
158,MATAGORDA,006,17,3,11,2,1,0,0
159,MAVERICK,008,8,8,0,0,0,0,0
160,MCCULLOCH,009,8,5,2,0,1,0,0
161,MCLENNAN,007,323,93,126,76,26,2,0
162,MCMULLEN,011,2,0,2,0,0,0,0
163,MEDINA,008,56,35,19,0,2,0,0
164,MENARD,009,0,0,0,0,0,0,0
165,MIDLAND,009,57,24,20,11,2,0,0
166,MILAM,007,52,18,25,9,0,0,0
167,MILLS,007,12,1,11,0,0,0,0
168,MITCHELL,002,4,3,0,0,1,0,0
169,MONTAGUE,002,35,7,26,0,2,0,0
170,MONTGOMERY,006,161,31,108,9,13,0,0
171,MOORE,001,12,3,6,0,3,0,0
172,MORRIS,004,15,2,8,3,2,0,0
173,MOTLEY,001,2,0,2,0,0,0,0
174,NACOGDOCHES,005,41,5,27,4,4,1,0
175,NAVARRO,003,15,5,7,1,2,0,0
176,NEWTON,005,12,0,12,0,0,0,0
177,NOLAN,002,15,4,10,1,0,0,0
178,NUECES,011,325,252,57,11,4,1,0
179,OCHILTREE,001,6,6,0,0,0,0,0
180,OLDHAM,001,0,0,0,0,0,0,0
181,ORANGE,005,109,6,84,10,9,0,0
182,PALO PINTO,003,75,8,62,0,5,0,0
183,PANOLA,004,26,3,15,6,2,0,0
184,PARKER,003,84,14,64,1,5,0,0
185,PARMER,001,9,5,3,0,1,0,0
186,PECOS,009,4,2,1,0,1,0,0
187,POLK,005,24,4,13,2,4,0,1
188,POTTER,001,116,49,44,11,9,3,0
189,PRESIDIO,010,3,3,0,0,0,0,0
190,RAINS,004,3,0,3,0,0,0,0
191,RANDALL,001,70,25,38,2,5,0,0
192,REAGAN,009,0,0,0,0,0,0,0
193,REAL,008,9,5,4,0,0,0,0
194,RED RIVER,004,17,3,12,0,2,0,0
195,REEVES,009,15,11,4,0,0,0,0
196,REFUGIO,011,6,5,1,0,0,0,0
197,ROBERTS,001,0,0,0,0,0,0,0
198,ROBERTSON,007,4,0,0,4,0,0,0
199,ROCKWALL,003,27,8,14,1,4,0,0
200,RUNNELS,002,22,9,11,0,1,0,1
201,RUSK,004,99,14,62,14,9,0,0
202,SABINE,005,4,0,4,0,0,0,0
203,SAN AUGUSTINE,005,3,0,3,0,0,0,0
204,SAN JACINTO,005,29,0,28,1,0,0,0
205,SAN PATRICIO,011,56,31,24,0,1,0,0
206,SAN SABA,007,13,7,5,1,0,0,0
207,SCHLEICHER,009,4,3,1,0,0,0,0
208,SCURRY,002,24,13,11,0,0,0,0
209,SHACKELFORD,002,6,1,5,0,0,0,0
210,SHELBY,005,43,19,19,4,1,0,0
211,SHERMAN,001,2,0,2,0,0,0,0
212,SMITH,004,258,37,117,82,22,0,0
213,SOMERVELL,003,6,0,6,0,0,0,0
214,STARR,011,24,23,1,0,0,0,0
215,STEPHENS,002,1,0,1,0,0,0,0
216,STERLING,009,1,1,0,0,0,0,0
217,STONEWALL,002,0,0,0,0,0,0,0
218,SUTTON,009,4,4,0,0,0,0,0
219,SWISHER,001,0,0,0,0,0,0,0
220,TARRANT,003,652,175,217,211,48,1,0
221,TAYLOR,002,258,96,95,53,14,0,0
222,TERRELL,009,0,0,0,0,0,0,0
223,TERRY,001,2,0,2,0,0,0,0
224,THROCKMORTON,002,0,0,0,0,0,0,0
225,TITUS,004,43,19,15,2,7,0,0
226,TOM GREEN,009,144,81,50,5,8,0,0
227,TRAVIS,007,745,363,123,211,43,5,0
228,TRINITY,005,32,5,25,0,2,0,0
229,TYLER,005,26,0,14,1,11,0,0
230,UPSHUR,004,45,2,33,5,5,0,0
231,UPTON,009,2,1,1,0,0,0,0
232,UVALDE,008,38,36,2,0,0,0,0
233,VAL VERDE,008,4,4,0,0,0,0,0
234,VAN ZANDT,004,70,5,58,1,5,0,1
235,VICTORIA,008,42,24,17,0,1,0,0
236,WALKER,006,18,0,9,8,1,0,0
237,WALLER,006,21,6,7,7,1,0,0
238,WARD,009,7,1,6,0,0,0,0
239,WASHINGTON,007,22,8,8,5,1,0,0
240,WEBB,011,191,187,3,0,1,0,0
241,WHARTON,006,10,4,1,3,2,0,0
242,WHEELER,001,0,0,0,0,0,0,0
243,WICHITA,002,89,28,38,10,13,0,0
244,WILBARGER,002,13,6,2,4,1,0,0
245,WILLACY,011,17,16,0,0,1,0,0
246,WILLIAMSON,007,173,49,81,26,16,1,0
247,WILSON,008,34,18,16,0,0,0,0
248,WINKLER,009,7,4,3,0,0,0,0
249,WISE,003,66,9,51,0,6,0,0
250,WOOD,004,30,2,27,1,0,0,0
251,YOAKUM,001,2,2,0,0,0,0,0
252,YOUNG,002,10,1,9,0,0,0,0
253,ZAPATA,011,11,11,0,0,0,0,0
254,ZAVALA,008,23,23,0,0,0,0,0
255,STATE TOTAL,,17151,6915,5706,3368,1087,62,13
