,County,Region,Child Population Age 0-17,Child Placing  Agencies (CPA),Homes  Verified by CPAs,General Residential Operations,Indepent Foster and Group Homes,Residential Treatment Centers*,Total Residential,Total Residential Capacity
113,HOUSTON,005,4846,0,5,0,0,0,5,19
114,HOWARD,009,8039,0,8,0,0,0,8,9
115,HUDSPETH,010,947,0,0,0,0,0,0,0
116,HUNT,003,22788,1,52,1,0,1,55,204
117,HUTCHINSON,001,5748,0,10,0,0,0,10,36
118,IRION,009,324,0,0,0,0,0,0,0
119,JACK,002,1926,0,2,0,0,0,2,4
120,JACKSON,008,3555,0,7,0,0,0,7,26
121,JASPER,005,8747,0,25,0,0,0,25,102
122,JEFF DAVIS,010,403,0,0,0,0,1,1,84
123,JEFFERSON,005,61839,6,95,4,0,0,105,409
124,JIM HOGG,011,1538,0,0,0,0,0,0,0
125,JIM WELLS,011,12255,0,8,0,0,0,8,24
126,JOHNSON,003,43808,0,72,0,0,0,72,217
127,JONES,002,3786,0,9,0,0,0,9,15
128,KARNES,008,2924,0,3,0,0,0,3,4
129,KAUFMAN,003,33503,0,56,1,0,0,57,200
130,KENDALL,008,8482,1,32,1,0,1,35,166
131,KENEDY,011,93,0,0,0,0,0,0,0
132,KENT,002,168,0,1,0,0,0,1,12
133,KERR,008,10372,4,16,3,0,1,24,252
134,KIMBLE,009,902,0,2,0,0,0,2,8
135,KING,001,56,0,0,0,0,0,0,0
136,KINNEY,008,686,0,0,0,0,0,0,0
137,KLEBERG,011,8693,0,13,0,0,0,13,46
138,KNOX,002,946,0,1,0,0,0,1,6
139,LAMAR,004,12221,0,14,0,0,0,14,40
140,LAMB,001,3997,0,11,0,0,0,11,39
141,LAMPASAS,007,4989,0,16,1,0,0,17,92
142,LA SALLE,008,1600,0,2,0,0,0,2,4
143,LAVACA,008,4246,0,4,0,0,0,4,13
144,LEE,007,4088,0,10,0,0,0,10,32
145,LEON,007,3913,1,2,0,0,0,3,4
146,LIBERTY,006,20328,0,21,0,0,0,21,57
147,LIMESTONE,007,5699,0,6,0,0,0,6,10
148,LIPSCOMB,001,872,0,2,0,0,0,2,4
149,LIVE OAK,011,2262,0,4,0,0,0,4,9
150,LLANO,007,3139,0,5,0,0,0,5,9
151,LOVING,009,6,0,0,0,0,0,0,0
152,LUBBOCK,001,74078,13,221,4,0,1,239,787
153,LYNN,001,1597,0,2,0,0,0,2,4
154,MADISON,007,3082,0,3,0,0,0,3,6
155,MARION,004,1974,0,1,0,0,0,1,4
156,MARTIN,009,1445,0,1,0,0,0,1,2
157,MASON,009,799,0,1,0,0,0,1,2
158,MATAGORDA,006,9654,0,7,0,0,1,8,34
159,MAVERICK,008,18896,0,5,0,0,0,5,3
160,MCCULLOCH,009,1980,0,15,0,0,0,15,59
161,MCLENNAN,007,61339,4,109,3,0,1,117,687
162,MCMULLEN,011,144,0,0,0,0,0,0,0
163,MEDINA,008,12329,1,28,1,0,0,30,96
164,MENARD,009,449,0,0,0,0,0,0,0
165,MIDLAND,009,39757,3,63,1,0,0,67,178
166,MILAM,007,6357,0,8,1,0,0,9,71
167,MILLS,007,1187,0,9,0,0,1,10,156
168,MITCHELL,002,1830,0,0,0,0,0,0,0
169,MONTAGUE,002,4614,0,7,0,0,0,7,25
170,MONTGOMERY,006,141316,4,170,6,0,2,182,730
171,MOORE,001,7453,0,2,0,0,0,2,5
172,MORRIS,004,3072,0,5,0,0,0,5,18
173,MOTLEY,001,241,0,1,0,0,0,1,2
174,NACOGDOCHES,005,17375,1,40,0,0,0,41,128
175,NAVARRO,003,13513,2,41,1,0,1,45,199
176,NEWTON,005,3080,0,0,0,0,0,0,0
177,NOLAN,002,3880,0,3,0,0,0,3,6
178,NUECES,011,88747,11,132,3,0,0,146,771
179,OCHILTREE,001,3582,0,5,0,0,0,5,13
180,OLDHAM,001,507,0,0,1,0,0,1,437
181,ORANGE,005,20815,0,34,0,0,0,34,134
182,PALO PINTO,003,7188,0,10,0,0,0,10,33
183,PANOLA,004,5953,0,2,0,0,0,2,4
184,PARKER,003,32833,0,42,1,0,0,43,196
185,PARMER,001,3359,0,3,0,0,0,3,10
186,PECOS,009,4024,0,1,0,0,0,1,2
187,POLK,005,9762,0,20,0,0,0,20,89
188,POTTER,001,35308,8,44,1,0,0,53,172
189,PRESIDIO,010,2231,0,0,0,0,0,0,0
190,RAINS,004,2360,0,6,0,0,0,6,10
191,RANDALL,001,32422,2,88,4,0,0,94,419
192,REAGAN,009,987,0,1,0,0,0,1,1
193,REAL,008,590,0,2,0,0,0,2,2
194,RED RIVER,004,2721,0,5,0,0,0,5,11
195,REEVES,009,3126,0,0,0,0,0,0,0
196,REFUGIO,011,1713,0,5,0,0,0,5,12
197,ROBERTS,001,249,0,0,0,0,0,0,0
198,ROBERTSON,007,4269,0,2,0,0,0,2,5
199,ROCKWALL,003,26263,0,40,0,0,0,40,101
200,RUNNELS,002,2595,0,6,0,0,0,6,12
201,RUSK,004,13131,0,24,0,0,0,24,81
202,SABINE,005,2003,0,2,0,0,0,2,7
203,SAN AUGUSTINE,005,1823,0,5,0,0,0,5,21
204,SAN JACINTO,005,6494,0,8,0,0,0,8,13
205,SAN PATRICIO,011,18202,0,27,2,0,1,30,202
206,SAN SABA,007,1180,2,6,1,0,0,9,83
207,SCHLEICHER,009,1119,0,0,0,0,0,0,0
208,SCURRY,002,4437,0,4,0,0,0,4,8
209,SHACKELFORD,002,815,0,3,0,0,0,3,9
210,SHELBY,005,6943,1,17,0,0,0,18,57
211,SHERMAN,001,857,0,0,0,0,0,0,0
212,SMITH,004,56308,12,111,3,0,3,129,516
213,SOMERVELL,003,2190,0,4,0,0,0,4,14
214,STARR,011,20828,0,9,0,0,0,9,43
215,STEPHENS,002,2280,0,3,0,0,0,3,3
216,STERLING,009,278,0,1,0,0,0,1,2
217,STONEWALL,002,316,0,1,0,0,0,1,7
218,SUTTON,009,1114,0,2,0,0,0,2,9
219,SWISHER,001,2013,0,4,0,0,0,4,11
220,TARRANT,003,529252,38,641,6,0,1,686,2088
221,TAYLOR,002,33528,6,95,4,0,0,105,388
222,TERRELL,009,213,0,0,0,0,0,0,0
223,TERRY,001,3384,0,2,0,0,0,2,3
224,THROCKMORTON,002,322,0,0,0,0,0,0,0
225,TITUS,004,10093,0,5,0,0,0,5,11
226,TOM GREEN,009,27329,5,49,2,0,0,56,233
227,TRAVIS,007,277652,23,362,6,0,2,393,1091
228,TRINITY,005,2976,0,4,0,0,0,4,17
229,TYLER,005,4113,0,11,1,0,1,13,86
230,UPSHUR,004,9926,0,18,0,0,0,18,80
231,UPTON,009,972,0,2,0,0,0,2,3
232,UVALDE,008,7796,0,9,0,0,0,9,25
233,VAL VERDE,008,15158,1,7,0,0,0,8,12
234,VAN ZANDT,004,12538,0,44,0,0,0,44,147
235,VICTORIA,008,23457,3,35,2,0,1,41,215
236,WALKER,006,12035,0,15,1,0,1,17,304
237,WALLER,006,12249,0,14,0,0,0,14,34
238,WARD,009,2879,0,0,0,0,0,0,0
239,WASHINGTON,007,7718,0,6,1,0,0,7,41
240,WEBB,011,93646,4,86,2,0,0,92,404
241,WHARTON,006,10951,0,9,0,0,0,9,32
242,WHEELER,001,1402,0,1,0,0,0,1,4
243,WICHITA,002,31225,4,48,1,0,0,53,201
244,WILBARGER,002,3562,0,1,0,0,0,1,5
245,WILLACY,011,6311,0,4,1,0,0,5,57
246,WILLIAMSON,007,140333,7,254,5,0,1,267,971
247,WILSON,008,11867,0,24,0,0,0,24,69
248,WINKLER,009,2134,0,1,0,0,0,1,1
249,WISE,003,16466,0,12,0,0,0,12,30
250,WOOD,004,8734,0,18,1,0,0,19,95
251,YOAKUM,001,2623,0,3,0,0,0,3,5
252,YOUNG,002,4587,0,5,0,0,0,5,6
253,ZAPATA,011,5327,0,4,0,0,0,4,12
254,ZAVALA,008,3765,0,2,0,0,0,2,0
255,OUT OF STATE,,0,0,143,0,0,0,143,306
256,STATE TOTAL,,7311923,391,9866,161,3,74,10495,41073
