,County,Region,Total,African American,Anglo,Hispanic,Native American,Other**
1,ANDERSON,004,174,22,118,26,0,8
2,ANDREWS,009,85,8,30,43,0,4
3,ANGELINA,005,281,66,145,46,1,23
4,ARANSAS,011,107,9,50,44,0,4
5,ARCHER,002,9,1,3,2,0,3
6,ARMSTRONG,001,3,0,3,0,0,0
7,ATASCOSA,008,266,1,72,189,0,4
8,AUSTIN,006,71,12,36,15,0,8
9,BAILEY,001,20,0,7,12,0,1
10,BANDERA,008,62,0,43,18,0,1
11,BASTROP,007,260,17,137,95,0,11
12,BAYLOR,002,16,1,7,6,0,2
13,BEE,011,165,4,29,128,0,4
14,BELL,007,1100,272,416,266,2,144
15,BEXAR,008,5846,521,824,4242,1,258
16,BLANCO,007,17,0,12,5,0,0
17,BORDEN,009,6,0,3,3,0,0
18,BOSQUE,007,51,0,40,11,0,0
19,BOWIE,004,252,90,122,20,0,20
20,BRAZORIA,006,522,48,276,159,1,38
21,BRAZOS,007,402,112,120,144,0,26
22,BREWSTER,010,21,0,6,15,0,0
23,BRISCOE,001,0,0,0,0,0,0
24,BROOKS,011,41,0,0,40,0,1
25,BROWN,002,134,7,81,40,0,6
26,BURLESON,007,24,2,13,5,1,3
27,BURNET,007,117,2,64,40,0,11
28,CALDWELL,007,127,6,33,82,0,6
29,CALHOUN,008,69,0,30,39,0,0
30,CALLAHAN,002,27,2,21,2,0,2
31,CAMERON,011,1608,1,44,1539,1,23
32,CAMP,004,67,14,37,12,0,4
33,CARSON,001,8,0,7,1,0,0
34,CASS,004,89,8,66,4,0,11
35,CASTRO,001,53,0,5,44,0,4
36,CHAMBERS,006,53,3,36,3,0,11
37,CHEROKEE,004,145,20,87,26,0,12
38,CHILDRESS,001,25,1,14,9,0,1
39,CLAY,002,18,0,17,0,0,1
40,COCHRAN,001,24,0,1,23,0,0
41,COKE,009,8,0,3,5,0,0
42,COLEMAN,002,73,2,47,20,1,3
43,COLLIN,003,1168,178,586,278,1,125
44,COLLINGSWORTH,001,11,3,2,5,0,1
45,COLORADO,006,41,6,16,16,0,3
46,COMAL,008,377,14,146,199,0,18
47,COMANCHE,002,28,0,19,9,0,0
48,CONCHO,009,4,0,2,2,0,0
49,COOKE,003,208,7,121,62,0,18
50,CORYELL,007,282,30,159,60,0,33
