,County,Region,Total,Family Reunification,Custody Given to Relative PCA,Custody Given to Relative Non-PCA,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other
104,HASKELL,002,0,0,0,0,0,0,0,0
105,HAYS,007,83,33,2,22,8,10,8,0
106,HEMPHILL,001,2,2,0,0,0,0,0,0
107,HENDERSON,004,73,27,3,17,3,12,10,1
108,HIDALGO,011,543,330,7,153,13,1,31,8
109,HILL,007,21,11,0,4,3,2,1,0
110,HOCKLEY,001,35,14,0,8,9,2,2,0
111,HOOD,003,54,17,1,24,8,0,4,0
112,HOPKINS,004,32,5,1,14,2,7,3,0
113,HOUSTON,005,15,5,0,6,3,0,1,0
114,HOWARD,009,46,13,5,12,2,10,3,1
115,HUDSPETH,010,0,0,0,0,0,0,0,0
116,HUNT,003,127,45,1,31,36,8,4,2
117,HUTCHINSON,001,33,4,0,15,4,9,1,0
118,IRION,009,0,0,0,0,0,0,0,0
119,JACK,002,6,3,0,2,0,1,0,0
120,JACKSON,008,4,1,0,0,3,0,0,0
121,JASPER,005,23,4,0,12,5,0,2,0
122,JEFF DAVIS,010,0,0,0,0,0,0,0,0
123,JEFFERSON,005,183,47,5,46,45,31,5,4
124,JIM HOGG,011,13,10,0,3,0,0,0,0
125,JIM WELLS,011,64,17,3,30,4,8,1,1
126,JOHNSON,003,137,48,0,19,48,11,11,0
127,JONES,002,11,3,0,3,4,0,1,0
128,KARNES,008,10,7,0,0,2,1,0,0
129,KAUFMAN,003,49,4,0,25,8,8,4,0
130,KENDALL,008,13,2,0,2,5,3,1,0
131,KENEDY,011,1,0,0,1,0,0,0,0
132,KENT,002,0,0,0,0,0,0,0,0
133,KERR,008,49,12,0,9,12,11,5,0
134,KIMBLE,009,8,0,0,3,0,4,1,0
135,KING,001,0,0,0,0,0,0,0,0
136,KINNEY,008,0,0,0,0,0,0,0,0
137,KLEBERG,011,12,4,2,2,1,0,3,0
138,KNOX,002,3,0,0,2,0,0,1,0
139,LAMAR,004,41,13,0,9,9,8,1,1
140,LAMB,001,6,0,0,3,0,1,2,0
141,LAMPASAS,007,32,7,0,16,2,4,3,0
142,LA SALLE,008,15,3,0,0,5,6,1,0
143,LAVACA,008,14,2,0,8,1,2,1,0
144,LEE,007,29,15,2,5,2,2,3,0
145,LEON,007,12,5,0,2,1,1,3,0
146,LIBERTY,006,134,46,4,47,10,22,5,0
147,LIMESTONE,007,14,1,0,6,1,5,1,0
148,LIPSCOMB,001,5,0,0,0,5,0,0,0
149,LIVE OAK,011,22,8,0,9,1,3,1,0
150,LLANO,007,27,9,0,9,5,3,1,0
151,LOVING,009,0,0,0,0,0,0,0,0
152,LUBBOCK,001,271,63,2,52,58,64,29,3
153,LYNN,001,1,0,0,0,0,0,1,0
154,MADISON,007,12,3,6,3,0,0,0,0
155,MARION,004,12,6,0,3,0,2,0,1
156,MARTIN,009,1,0,0,1,0,0,0,0
157,MASON,009,1,0,0,0,0,1,0,0
158,MATAGORDA,006,12,0,0,8,1,0,2,1
159,MAVERICK,008,4,1,0,0,0,3,0,0
160,MCCULLOCH,009,4,0,0,0,3,0,0,1
161,MCLENNAN,007,183,52,0,23,42,41,25,0
162,MCMULLEN,011,2,0,0,2,0,0,0,0
163,MEDINA,008,61,19,3,12,10,11,6,0
164,MENARD,009,3,0,0,1,0,2,0,0
165,MIDLAND,009,71,17,7,18,19,6,3,1
166,MILAM,007,44,14,2,8,6,11,3,0
167,MILLS,007,2,0,0,0,1,0,1,0
168,MITCHELL,002,5,3,1,1,0,0,0,0
169,MONTAGUE,002,37,13,5,13,2,0,4,0
170,MONTGOMERY,006,320,89,24,84,42,53,26,2
171,MOORE,001,20,9,0,8,0,3,0,0
172,MORRIS,004,8,2,1,3,2,0,0,0
173,MOTLEY,001,2,0,0,0,0,1,1,0
174,NACOGDOCHES,005,93,21,9,19,16,22,6,0
175,NAVARRO,003,34,5,0,6,10,11,2,0
176,NEWTON,005,10,6,0,2,2,0,0,0
177,NOLAN,002,25,17,2,3,2,0,0,1
178,NUECES,011,245,70,8,88,34,20,23,2
179,OCHILTREE,001,3,1,0,2,0,0,0,0
180,OLDHAM,001,0,0,0,0,0,0,0,0
181,ORANGE,005,100,53,3,18,18,2,6,0
182,PALO PINTO,003,28,11,0,11,0,4,1,1
183,PANOLA,004,6,5,0,1,0,0,0,0
184,PARKER,003,48,14,0,12,17,1,4,0
185,PARMER,001,0,0,0,0,0,0,0,0
186,PECOS,009,2,1,0,1,0,0,0,0
187,POLK,005,64,28,3,17,5,5,6,0
188,POTTER,001,100,30,4,20,24,5,17,0
189,PRESIDIO,010,0,0,0,0,0,0,0,0
190,RAINS,004,6,3,0,1,2,0,0,0
191,RANDALL,001,156,46,6,40,23,20,20,1
192,REAGAN,009,1,0,0,1,0,0,0,0
193,REAL,008,4,0,0,0,0,3,1,0
194,RED RIVER,004,14,4,0,3,1,4,1,1
195,REEVES,009,4,4,0,0,0,0,0,0
196,REFUGIO,011,2,0,0,1,0,0,1,0
197,ROBERTS,001,0,0,0,0,0,0,0,0
198,ROBERTSON,007,19,6,0,10,0,2,1,0
199,ROCKWALL,003,22,9,0,7,1,3,0,2
200,RUNNELS,002,10,4,0,2,4,0,0,0
201,RUSK,004,47,27,0,11,3,3,2,1
202,SABINE,005,5,0,3,0,1,0,0,1
203,SAN AUGUSTINE,005,6,2,1,0,0,3,0,0
204,SAN JACINTO,005,36,27,0,7,1,0,1,0
205,SAN PATRICIO,011,49,15,0,16,6,9,3,0
206,SAN SABA,007,2,0,0,0,0,0,2,0
207,SCHLEICHER,009,0,0,0,0,0,0,0,0
208,SCURRY,002,12,0,8,2,0,0,2,0
209,SHACKELFORD,002,0,0,0,0,0,0,0,0
210,SHELBY,005,47,19,0,22,1,0,5,0
211,SHERMAN,001,0,0,0,0,0,0,0,0
212,SMITH,004,190,57,5,49,44,21,13,1
213,SOMERVELL,003,6,3,0,3,0,0,0,0
214,STARR,011,53,36,0,13,0,0,3,1
215,STEPHENS,002,2,2,0,0,0,0,0,0
216,STERLING,009,1,0,0,0,1,0,0,0
217,STONEWALL,002,1,0,0,1,0,0,0,0
218,SUTTON,009,4,0,0,1,3,0,0,0
219,SWISHER,001,3,0,0,0,3,0,0,0
220,TARRANT,003,848,303,14,189,192,68,79,3
221,TAYLOR,002,130,60,9,35,8,5,7,6
222,TERRELL,009,0,0,0,0,0,0,0,0
223,TERRY,001,8,2,0,2,2,1,1,0
224,THROCKMORTON,002,1,0,0,0,0,0,1,0
225,TITUS,004,25,3,1,10,4,5,1,1
226,TOM GREEN,009,163,47,11,37,32,19,13,4
227,TRAVIS,007,652,280,19,109,106,82,49,7
228,TRINITY,005,16,12,0,3,0,1,0,0
229,TYLER,005,15,1,0,10,3,0,1,0
230,UPSHUR,004,27,10,0,12,1,3,1,0
231,UPTON,009,1,0,0,0,0,0,1,0
232,UVALDE,008,38,13,0,1,7,16,1,0
233,VAL VERDE,008,20,8,0,2,4,2,4,0
234,VAN ZANDT,004,41,7,1,11,7,7,8,0
235,VICTORIA,008,63,16,2,27,5,7,6,0
236,WALKER,006,33,8,0,19,4,0,2,0
237,WALLER,006,49,21,3,14,5,2,4,0
238,WARD,009,0,0,0,0,0,0,0,0
239,WASHINGTON,007,17,7,4,3,0,2,1,0
240,WEBB,011,294,181,0,74,6,7,23,3
241,WHARTON,006,34,7,4,8,6,7,1,1
242,WHEELER,001,2,0,0,0,1,0,1,0
243,WICHITA,002,103,33,9,17,28,5,11,0
244,WILBARGER,002,5,1,0,3,0,0,1,0
245,WILLACY,011,21,2,7,7,2,0,3,0
246,WILLIAMSON,007,180,42,10,29,44,38,16,1
247,WILSON,008,33,12,0,6,3,11,0,1
248,WINKLER,009,3,1,0,0,2,0,0,0
249,WISE,003,53,18,0,15,4,12,4,0
250,WOOD,004,70,27,0,29,8,4,2,0
251,YOAKUM,001,1,0,0,0,0,0,0,1
252,YOUNG,002,29,12,5,5,0,5,2,0
253,ZAPATA,011,10,6,0,2,0,0,2,0
254,ZAVALA,008,11,0,0,0,3,7,1,0
255,TOTAL,,17445,5647,582,4326,2688,2676,1328,198
