,County,Region,Total Completed Investigations,Total Confirmed Investigations,Percent Confirmed Investigations,Unconfirmed Investigations - Ruled Out,Unconfirmed Investigations - Unable To Determine,Unconfirmed Investigations - Unable To Complete,Total Unconfirmed,Percent Unconfirmed
1,ANDERSON,004,370,121,32.7%,225,19,5,249,67.3%
2,ANDREWS,009,112,47,42.0%,54,11,0,65,58.0%
3,ANGELINA,005,655,164,25.0%,423,67,1,491,75.0%
4,ARANSAS,011,201,66,32.8%,115,15,5,135,67.2%
5,ARCHER,002,40,6,15.0%,29,5,0,34,85.0%
6,ARMSTRONG,001,13,2,15.4%,8,3,0,11,84.6%
7,ATASCOSA,008,344,135,39.2%,196,10,3,209,60.8%
8,AUSTIN,006,139,47,33.8%,75,13,4,92,66.2%
9,BAILEY,001,41,10,24.4%,28,3,0,31,75.6%
10,BANDERA,008,120,33,27.5%,81,3,3,87,72.5%
11,BASTROP,007,569,168,29.5%,349,46,6,401,70.5%
12,BAYLOR,002,28,8,28.6%,14,5,1,20,71.4%
13,BEE,011,273,90,33.0%,144,34,5,183,67.0%
14,BELL,007,3172,685,21.6%,2357,83,47,2487,78.4%
15,BEXAR,008,13163,3348,25.4%,8824,880,111,9815,74.6%
16,BLANCO,007,65,13,20.0%,45,7,0,52,80.0%
17,BORDEN,009,3,2,66.7%,1,0,0,1,33.3%
18,BOSQUE,007,114,30,26.3%,79,4,1,84,73.7%
19,BOWIE,004,687,148,21.5%,405,108,26,539,78.5%
20,BRAZORIA,006,1441,329,22.8%,901,176,35,1112,77.2%
21,BRAZOS,007,913,237,26.0%,588,85,3,676,74.0%
22,BREWSTER,010,37,12,32.4%,21,3,1,25,67.6%
23,BRISCOE,001,8,0,0.0%,5,2,1,8,100.0%
24,BROOKS,011,103,19,18.4%,74,6,4,84,81.6%
25,BROWN,002,328,87,26.5%,227,11,3,241,73.5%
26,BURLESON,007,94,14,14.9%,75,5,0,80,85.1%
27,BURNET,007,281,70,24.9%,193,16,2,211,75.1%
28,CALDWELL,007,298,81,27.2%,201,13,3,217,72.8%
29,CALHOUN,008,146,43,29.5%,92,8,3,103,70.5%
30,CALLAHAN,002,99,17,17.2%,71,10,1,82,82.8%
31,CAMERON,011,2987,849,28.4%,1837,278,23,2138,71.6%
32,CAMP,004,122,36,29.5%,73,11,2,86,70.5%
33,CARSON,001,39,7,17.9%,27,3,2,32,82.1%
34,CASS,004,253,64,25.3%,162,23,4,189,74.7%
35,CASTRO,001,49,22,44.9%,21,5,1,27,55.1%
36,CHAMBERS,006,192,38,19.8%,133,14,7,154,80.2%
37,CHEROKEE,004,395,94,23.8%,267,32,2,301,76.2%
38,CHILDRESS,001,52,17,32.7%,24,7,4,35,67.3%
39,CLAY,002,52,14,26.9%,26,11,1,38,73.1%
40,COCHRAN,001,21,9,42.9%,10,2,0,12,57.1%
41,COKE,009,27,5,18.5%,20,2,0,22,81.5%
42,COLEMAN,002,90,40,44.4%,47,2,1,50,55.6%
43,COLLIN,003,2897,729,25.2%,1560,549,59,2168,74.8%
44,COLLINGSWORTH,001,20,7,35.0%,9,2,2,13,65.0%
45,COLORADO,006,126,28,22.2%,82,11,5,98,77.8%
46,COMAL,008,670,227,33.9%,393,42,8,443,66.1%
47,COMANCHE,002,95,19,20.0%,70,4,2,76,80.0%
48,CONCHO,009,24,4,16.7%,18,2,0,20,83.3%
49,COOKE,003,371,114,30.7%,212,40,5,257,69.3%
50,CORYELL,007,764,164,21.5%,569,27,4,600,78.5%
51,COTTLE,002,11,3,27.3%,6,2,0,8,72.7%
52,CRANE,009,14,3,21.4%,11,0,0,11,78.6%
53,CROCKETT,009,22,3,13.6%,18,1,0,19,86.4%
54,CROSBY,001,56,20,35.7%,31,5,0,36,64.3%
55,CULBERSON,010,9,2,22.2%,6,1,0,7,77.8%
56,DALLAM,001,63,13,20.6%,47,1,2,50,79.4%
57,DALLAS,003,13953,3442,24.7%,8211,2006,294,10511,75.3%
58,DAWSON,009,130,48,36.9%,68,14,0,82,63.1%
59,DEAF SMITH,001,156,37,23.7%,115,2,2,119,76.3%
60,DELTA,004,34,8,23.5%,26,0,0,26,76.5%
61,DENTON,003,3029,624,20.6%,1848,483,74,2405,79.4%
62,DE WITT,008,163,27,16.6%,119,17,0,136,83.4%
63,DICKENS,001,26,8,30.8%,15,1,2,18,69.2%
64,DIMMIT,008,95,17,17.9%,71,4,3,78,82.1%
65,DONLEY,001,23,6,26.1%,12,5,0,17,73.9%
66,DUVAL,011,100,24,24.0%,72,4,0,76,76.0%
67,EASTLAND,002,128,28,21.9%,84,15,1,100,78.1%
68,ECTOR,009,1287,386,30.0%,767,95,39,901,70.0%
69,EDWARDS,008,9,4,44.4%,5,0,0,5,55.6%
70,ELLIS,003,864,161,18.6%,602,89,12,703,81.4%
71,EL PASO,010,4315,1250,29.0%,2655,358,52,3065,71.0%
72,ERATH,003,213,86,40.4%,111,15,1,127,59.6%
73,FALLS,007,88,18,20.5%,65,5,0,70,79.5%
74,FANNIN,003,243,53,21.8%,146,34,10,190,78.2%
75,FAYETTE,007,137,31,22.6%,95,11,0,106,77.4%
76,FISHER,002,26,8,30.8%,17,1,0,18,69.2%
77,FLOYD,001,61,17,27.9%,38,5,1,44,72.1%
78,FOARD,002,9,6,66.7%,2,1,0,3,33.3%
79,FORT BEND,006,1790,373,20.8%,1018,347,52,1417,79.2%
80,FRANKLIN,004,52,17,32.7%,33,2,0,35,67.3%
81,FREESTONE,007,119,27,22.7%,87,4,1,92,77.3%
82,FRIO,008,148,47,31.8%,95,4,2,101,68.2%
83,GAINES,009,73,25,34.2%,42,2,4,48,65.8%
84,GALVESTON,006,1848,399,21.6%,1238,174,37,1449,78.4%
85,GARZA,001,50,28,56.0%,20,2,0,22,44.0%
86,GILLESPIE,008,100,29,29.0%,66,5,0,71,71.0%
87,GLASSCOCK,009,1,0,0.0%,1,0,0,1,100.0%
88,GOLIAD,008,51,9,17.6%,38,4,0,42,82.4%
89,GONZALES,008,127,34,26.8%,80,9,4,93,73.2%
90,GRAY,001,226,63,27.9%,118,34,11,163,72.1%
91,GRAYSON,003,1046,336,32.1%,541,152,17,710,67.9%
92,GREGG,004,1017,304,29.9%,552,142,19,713,70.1%
93,GRIMES,007,147,36,24.5%,100,9,2,111,75.5%
94,GUADALUPE,008,833,199,23.9%,569,63,2,634,76.1%
95,HALE,001,287,97,33.8%,161,20,9,190,66.2%
96,HALL,001,25,7,28.0%,11,6,1,18,72.0%
97,HAMILTON,007,56,18,32.1%,36,2,0,38,67.9%
98,HANSFORD,001,32,3,9.4%,25,3,1,29,90.6%
99,HARDEMAN,002,39,11,28.2%,23,5,0,28,71.8%
100,HARDIN,005,346,87,25.1%,243,15,1,259,74.9%
101,HARRIS,006,19996,3884,19.4%,12751,2401,960,16112,80.6%
102,HARRISON,004,477,144,30.2%,283,43,7,333,69.8%
103,HARTLEY,001,14,3,21.4%,11,0,0,11,78.6%
104,HASKELL,002,32,7,21.9%,19,6,0,25,78.1%
105,HAYS,007,971,191,19.7%,652,117,11,780,80.3%
106,HEMPHILL,001,11,4,36.4%,6,1,0,7,63.6%
107,HENDERSON,004,637,164,25.7%,407,58,8,473,74.3%
108,HIDALGO,011,5962,1579,26.5%,3808,525,50,4383,73.5%
109,HILL,007,278,68,24.5%,195,13,2,210,75.5%
110,HOCKLEY,001,226,79,35.0%,132,13,2,147,65.0%
111,HOOD,003,427,164,38.4%,219,40,4,263,61.6%
112,HOPKINS,004,227,47,20.7%,163,13,4,180,79.3%
113,HOUSTON,005,144,47,32.6%,88,8,1,97,67.4%
114,HOWARD,009,314,117,37.3%,160,27,10,197,62.7%
115,HUDSPETH,010,8,2,25.0%,4,1,1,6,75.0%
116,HUNT,003,712,204,28.7%,374,114,20,508,71.3%
117,HUTCHINSON,001,214,33,15.4%,164,15,2,181,84.6%
118,IRION,009,4,1,25.0%,3,0,0,3,75.0%
