,County,Region,Total,African American,Anglo,Hispanic,Native American,Other**
1,ANDERSON,004,32,5,22,3,0,2
2,ANDREWS,009,16,0,7,8,0,1
3,ANGELINA,005,38,6,25,3,0,4
4,ARANSAS,011,32,7,7,15,0,3
5,ARCHER,002,5,1,2,1,0,1
6,ARMSTRONG,001,2,0,2,0,0,0
7,ATASCOSA,008,108,0,38,68,0,2
8,AUSTIN,006,15,5,9,1,0,0
9,BAILEY,001,5,0,2,3,0,0
10,BANDERA,008,22,0,12,10,0,0
11,BASTROP,007,130,8,61,51,0,10
12,BAYLOR,002,0,0,0,0,0,0
13,BEE,011,42,1,4,37,0,0
14,BELL,007,472,128,163,122,0,59
15,BEXAR,008,1877,213,215,1387,0,62
16,BLANCO,007,2,0,2,0,0,0
17,BORDEN,009,5,0,2,3,0,0
18,BOSQUE,007,14,0,8,6,0,0
19,BOWIE,004,104,27,59,7,0,11
20,BRAZORIA,006,93,3,65,18,0,7
21,BRAZOS,007,50,14,18,18,0,0
22,BREWSTER,010,0,0,0,0,0,0
23,BRISCOE,001,0,0,0,0,0,0
24,BROOKS,011,17,4,0,13,0,0
25,BROWN,002,29,2,19,7,0,1
26,BURLESON,007,16,4,8,4,0,0
27,BURNET,007,65,0,39,22,0,4
28,CALDWELL,007,48,1,24,23,0,0
29,CALHOUN,008,8,0,0,7,0,1
30,CALLAHAN,002,1,1,0,0,0,0
31,CAMERON,011,253,0,10,240,0,3
32,CAMP,004,32,9,14,7,0,2
33,CARSON,001,1,0,0,1,0,0
34,CASS,004,40,6,30,0,0,4
35,CASTRO,001,10,0,0,8,0,2
36,CHAMBERS,006,19,1,10,0,0,8
37,CHEROKEE,004,51,5,32,9,1,4
38,CHILDRESS,001,5,0,5,0,0,0
39,CLAY,002,6,0,6,0,0,0
40,COCHRAN,001,4,0,0,4,0,0
41,COKE,009,4,0,2,2,0,0
42,COLEMAN,002,14,2,3,9,0,0
43,COLLIN,003,206,26,107,52,1,20
44,COLLINGSWORTH,001,1,1,0,0,0,0
45,COLORADO,006,11,2,6,3,0,0
46,COMAL,008,114,3,41,67,0,3
47,COMANCHE,002,12,0,5,7,0,0
48,CONCHO,009,0,0,0,0,0,0
49,COOKE,003,65,4,35,23,0,3
50,CORYELL,007,98,2,61,24,0,11
51,COTTLE,002,0,0,0,0,0,0
52,CRANE,009,5,1,3,1,0,0
53,CROCKETT,009,0,0,0,0,0,0
54,CROSBY,001,7,0,0,7,0,0
55,CULBERSON,010,6,0,0,6,0,0
56,DALLAM,001,0,0,0,0,0,0
57,DALLAS,003,1670,652,329,586,2,101
58,DAWSON,009,37,0,5,30,0,2
59,DEAF SMITH,001,17,0,0,17,0,0
60,DELTA,004,3,1,1,0,0,1
61,DENTON,003,199,27,115,44,1,12
62,DE WITT,008,21,0,9,11,0,1
63,DICKENS,001,1,0,1,0,0,0
64,DIMMIT,008,18,0,1,17,0,0
65,DONLEY,001,0,0,0,0,0,0
66,DUVAL,011,10,0,0,10,0,0
67,EASTLAND,002,9,0,6,3,0,0
68,ECTOR,009,168,27,75,54,0,12
69,EDWARDS,008,1,0,0,1,0,0
70,ELLIS,003,43,8,24,11,0,0
71,EL PASO,010,311,24,50,220,3,14
72,ERATH,003,23,0,13,10,0,0
73,FALLS,007,9,2,3,4,0,0
74,FANNIN,003,13,0,12,0,0,1
75,FAYETTE,007,21,1,15,3,0,2
76,FISHER,002,0,0,0,0,0,0
77,FLOYD,001,19,0,0,19,0,0
78,FOARD,002,2,0,1,0,0,1
79,FORT BEND,006,91,31,11,45,0,4
80,FRANKLIN,004,21,0,9,7,0,5
81,FREESTONE,007,9,2,7,0,0,0
82,FRIO,008,32,0,2,30,0,0
83,GAINES,009,7,0,4,3,0,0
84,GALVESTON,006,118,35,42,31,0,10
85,GARZA,001,22,0,9,10,0,3
86,GILLESPIE,008,15,0,3,12,0,0
87,GLASSCOCK,009,0,0,0,0,0,0
88,GOLIAD,008,1,0,0,1,0,0
89,GONZALES,008,21,0,6,15,0,0
90,GRAY,001,18,1,15,1,0,1
91,GRAYSON,003,117,6,72,19,0,20
92,GREGG,004,141,35,70,24,0,12
93,GRIMES,007,18,1,9,6,0,2
94,GUADALUPE,008,52,6,21,22,0,3
95,HALE,001,36,1,4,31,0,0
96,HALL,001,7,0,0,7,0,0
97,HAMILTON,007,7,0,4,0,0,3
98,HANSFORD,001,3,0,0,3,0,0
99,HARDEMAN,002,5,0,2,3,0,0
