,County,Region,Total,African American,Anglo,Hispanic,Native American,Other***
1,ANDERSON,004,16,4,8,3,0,1
2,ANDREWS,009,7,0,3,4,0,0
3,ANGELINA,005,12,2,8,1,0,1
4,ARANSAS,011,15,0,3,12,0,0
5,ARCHER,002,0,0,0,0,0,0
6,ARMSTRONG,001,0,0,0,0,0,0
7,ATASCOSA,008,50,0,20,29,1,0
8,AUSTIN,006,2,0,2,0,0,0
9,BAILEY,001,2,0,0,2,0,0
10,BANDERA,008,12,0,11,0,0,1
11,BASTROP,007,31,10,11,6,0,4
12,BAYLOR,002,0,0,0,0,0,0
13,BEE,011,12,0,4,7,0,1
14,BELL,007,92,48,18,21,0,5
15,BEXAR,008,1006,123,120,737,0,26
16,BLANCO,007,0,0,0,0,0,0
17,BORDEN,009,0,0,0,0,0,0
18,BOSQUE,007,3,0,3,0,0,0
19,BOWIE,004,27,8,11,6,0,2
20,BRAZORIA,006,14,3,7,2,0,2
21,BRAZOS,007,35,16,9,9,0,1
22,BREWSTER,010,0,0,0,0,0,0
23,BRISCOE,001,0,0,0,0,0,0
24,BROOKS,011,4,0,0,4,0,0
25,BROWN,002,15,1,8,3,0,3
26,BURLESON,007,8,2,3,3,0,0
27,BURNET,007,12,0,7,5,0,0
28,CALDWELL,007,19,0,8,11,0,0
29,CALHOUN,008,1,0,0,1,0,0
30,CALLAHAN,002,1,1,0,0,0,0
31,CAMERON,011,36,0,1,35,0,0
32,CAMP,004,5,3,2,0,0,0
33,CARSON,001,0,0,0,0,0,0
34,CASS,004,3,1,1,0,0,1
35,CASTRO,001,16,2,1,13,0,0
36,CHAMBERS,006,8,2,6,0,0,0
37,CHEROKEE,004,35,10,17,8,0,0
38,CHILDRESS,001,7,0,6,0,0,1
39,CLAY,002,3,0,3,0,0,0
40,COCHRAN,001,2,0,0,1,0,1
41,COKE,009,0,0,0,0,0,0
42,COLEMAN,002,4,0,3,1,0,0
43,COLLIN,003,48,6,27,11,0,4
44,COLLINGSWORTH,001,0,0,0,0,0,0
45,COLORADO,006,2,2,0,0,0,0
46,COMAL,008,23,0,6,15,0,2
47,COMANCHE,002,1,0,1,0,0,0
48,CONCHO,009,1,0,1,0,0,0
49,COOKE,003,27,1,22,2,1,1
50,CORYELL,007,17,0,12,4,0,1
51,COTTLE,002,0,0,0,0,0,0
52,CRANE,009,0,0,0,0,0,0
53,CROCKETT,009,1,0,1,0,0,0
54,CROSBY,001,4,0,2,2,0,0
55,CULBERSON,010,0,0,0,0,0,0
56,DALLAM,001,4,0,0,4,0,0
57,DALLAS,003,472,183,87,162,0,40
58,DAWSON,009,4,0,0,4,0,0
59,DEAF SMITH,001,15,0,3,12,0,0
60,DELTA,004,0,0,0,0,0,0
61,DENTON,003,106,29,44,20,1,12
62,DE WITT,008,6,0,0,6,0,0
63,DICKENS,001,3,0,3,0,0,0
64,DIMMIT,008,20,0,0,20,0,0
65,DONLEY,001,6,0,2,0,0,4
66,DUVAL,011,8,0,3,4,0,1
67,EASTLAND,002,5,0,4,0,0,1
68,ECTOR,009,50,8,12,27,0,3
69,EDWARDS,008,4,0,0,3,0,1
70,ELLIS,003,9,0,3,6,0,0
71,EL PASO,010,171,10,21,137,0,3
72,ERATH,003,8,0,2,6,0,0
73,FALLS,007,3,3,0,0,0,0
74,FANNIN,003,2,0,1,1,0,0
75,FAYETTE,007,21,4,15,1,0,1
76,FISHER,002,0,0,0,0,0,0
77,FLOYD,001,7,1,1,5,0,0
78,FOARD,002,0,0,0,0,0,0
79,FORT BEND,006,21,7,1,9,0,4
80,FRANKLIN,004,2,0,2,0,0,0
81,FREESTONE,007,7,0,2,5,0,0
82,FRIO,008,29,0,3,26,0,0
83,GAINES,009,7,0,1,6,0,0
84,GALVESTON,006,48,24,10,12,0,2
85,GARZA,001,0,0,0,0,0,0
86,GILLESPIE,008,11,1,4,6,0,0
87,GLASSCOCK,009,0,0,0,0,0,0
88,GOLIAD,008,0,0,0,0,0,0
89,GONZALES,008,8,0,5,3,0,0
90,GRAY,001,15,1,10,4,0,0
91,GRAYSON,003,26,4,17,2,2,1
92,GREGG,004,47,21,18,6,0,2
93,GRIMES,007,7,1,3,3,0,0
94,GUADALUPE,008,41,8,7,25,0,1
95,HALE,001,21,1,0,20,0,0
96,HALL,001,2,2,0,0,0,0
97,HAMILTON,007,1,0,1,0,0,0
98,HANSFORD,001,2,0,0,2,0,0
99,HARDEMAN,002,0,0,0,0,0,0
100,HARDIN,005,6,0,5,0,0,1
101,HARRIS,006,1282,664,194,351,1,72
102,HARRISON,004,17,2,11,2,0,2
103,HARTLEY,001,0,0,0,0,0,0
104,HASKELL,002,2,0,2,0,0,0
105,HAYS,007,23,0,10,13,0,0
106,HEMPHILL,001,2,0,0,1,0,1
107,HENDERSON,004,29,1,21,0,0,7
108,HIDALGO,011,18,0,1,17,0,0
109,HILL,007,17,1,13,0,0,3
110,HOCKLEY,001,21,3,1,16,0,1
111,HOOD,003,18,1,14,3,0,0
112,HOPKINS,004,4,1,1,1,0,1
113,HOUSTON,005,10,2,8,0,0,0
114,HOWARD,009,17,0,5,10,0,2
115,HUDSPETH,010,1,0,1,0,0,0
116,HUNT,003,29,9,18,0,0,2
117,HUTCHINSON,001,5,0,2,3,0,0
118,IRION,009,0,0,0,0,0,0
119,JACK,002,3,0,3,0,0,0
120,JACKSON,008,1,0,0,1,0,0
121,JASPER,005,5,1,4,0,0,0
122,JEFF DAVIS,010,0,0,0,0,0,0
123,JEFFERSON,005,50,30,13,3,0,4
124,JIM HOGG,011,5,0,0,5,0,0
125,JIM WELLS,011,7,0,0,7,0,0
126,JOHNSON,003,50,3,35,8,0,4
127,JONES,002,0,0,0,0,0,0
128,KARNES,008,9,4,0,5,0,0
129,KAUFMAN,003,4,1,3,0,0,0
130,KENDALL,008,6,0,1,5,0,0
131,KENEDY,011,0,0,0,0,0,0
132,KENT,002,0,0,0,0,0,0
133,KERR,008,21,4,9,8,0,0
134,KIMBLE,009,4,0,4,0,0,0
135,KING,001,0,0,0,0,0,0
136,KINNEY,008,0,0,0,0,0,0
137,KLEBERG,011,22,0,1,21,0,0
138,KNOX,002,4,2,2,0,0,0
139,LAMAR,004,6,0,3,2,0,1
140,LAMB,001,8,0,1,7,0,0
141,LAMPASAS,007,8,0,1,6,1,0
142,LA SALLE,008,7,0,0,7,0,0
143,LAVACA,008,4,0,4,0,0,0
144,LEE,007,10,7,1,1,0,1
145,LEON,007,4,0,1,0,0,3
146,LIBERTY,006,33,7,19,3,0,4
147,LIMESTONE,007,8,2,4,1,0,1
148,LIPSCOMB,001,0,0,0,0,0,0
149,LIVE OAK,011,6,0,1,5,0,0
150,LLANO,007,10,0,8,2,0,0
151,LOVING,009,0,0,0,0,0,0
152,LUBBOCK,001,162,40,21,94,0,7
153,LYNN,001,0,0,0,0,0,0
154,MADISON,007,3,1,1,0,0,1
155,MARION,004,0,0,0,0,0,0
156,MARTIN,009,0,0,0,0,0,0
157,MASON,009,0,0,0,0,0,0
158,MATAGORDA,006,4,1,1,1,0,1
159,MAVERICK,008,4,0,1,3,0,0
160,MCCULLOCH,009,7,0,7,0,0,0
161,MCLENNAN,007,111,29,32,38,0,12
162,MCMULLEN,011,0,0,0,0,0,0
163,MEDINA,008,31,0,9,21,0,1
164,MENARD,009,4,0,1,3,0,0
165,MIDLAND,009,48,10,15,19,0,4
166,MILAM,007,9,2,7,0,0,0
167,MILLS,007,0,0,0,0,0,0
168,MITCHELL,002,4,0,0,4,0,0
169,MONTAGUE,002,2,0,2,0,0,0
170,MONTGOMERY,006,113,6,80,16,0,11
171,MOORE,001,8,2,3,3,0,0
172,MORRIS,004,3,1,1,1,0,0
173,MOTLEY,001,0,0,0,0,0,0
174,NACOGDOCHES,005,18,6,6,2,0,4
175,NAVARRO,003,9,5,3,1,0,0
176,NEWTON,005,5,5,0,0,0,0
177,NOLAN,002,8,0,1,7,0,0
178,NUECES,011,55,3,15,36,0,1
179,OCHILTREE,001,0,0,0,0,0,0
180,OLDHAM,001,0,0,0,0,0,0
181,ORANGE,005,14,1,12,0,0,1
