,County,Region,Number of Families,Number of Children,Children* Removed From Home,Percent of Children Removed
1,ANDERSON,004,58,137,16,11.7%
2,ANDREWS,009,32,82,9,11.0%
3,ANGELINA,005,64,177,13,7.3%
4,ARANSAS,011,69,167,6,3.6%
5,ARCHER,002,6,20,3,15.0%
6,ARMSTRONG,001,0,0,0,0.0%
7,ATASCOSA,008,86,251,19,7.6%
8,AUSTIN,006,32,90,7,7.8%
9,BAILEY,001,5,12,0,0.0%
10,BANDERA,008,22,56,9,16.1%
11,BASTROP,007,78,205,36,17.6%
12,BAYLOR,002,9,23,0,0.0%
13,BEE,011,106,294,17,5.8%
14,BELL,007,321,886,47,5.3%
15,BEXAR,008,3483,10073,687,6.8%
16,BLANCO,007,3,11,2,18.2%
17,BORDEN,009,1,2,1,50.0%
18,BOSQUE,007,14,40,2,5.0%
19,BOWIE,004,68,204,11,5.4%
20,BRAZORIA,006,298,848,33,3.9%
21,BRAZOS,007,82,236,0,0.0%
22,BREWSTER,010,10,21,0,0.0%
23,BRISCOE,001,0,0,0,0.0%
24,BROOKS,011,27,76,0,0.0%
25,BROWN,002,44,98,1,1.0%
26,BURLESON,007,2,3,0,0.0%
27,BURNET,007,27,67,7,10.4%
28,CALDWELL,007,24,57,6,10.5%
29,CALHOUN,008,29,81,4,4.9%
30,CALLAHAN,002,12,28,0,0.0%
31,CAMERON,011,918,2770,56,2.0%
32,CAMP,004,24,67,7,10.4%
33,CARSON,001,2,6,0,0.0%
34,CASS,004,32,79,4,5.1%
35,CASTRO,001,17,60,8,13.3%
36,CHAMBERS,006,25,65,1,1.5%
37,CHEROKEE,004,37,96,14,14.6%
38,CHILDRESS,001,20,52,5,9.6%
39,CLAY,002,4,8,1,12.5%
40,COCHRAN,001,2,5,0,0.0%
41,COKE,009,2,7,0,0.0%
42,COLEMAN,002,25,58,4,6.9%
43,COLLIN,003,416,1011,24,2.4%
44,COLLINGSWORTH,001,7,16,0,0.0%
45,COLORADO,006,19,55,0,0.0%
46,COMAL,008,184,436,27,6.2%
47,COMANCHE,002,11,21,3,14.3%
48,CONCHO,009,0,0,0,0.0%
49,COOKE,003,59,138,3,2.2%
50,CORYELL,007,81,222,8,3.6%
51,COTTLE,002,1,4,0,0.0%
52,CRANE,009,1,1,0,0.0%
53,CROCKETT,009,6,17,0,0.0%
54,CROSBY,001,9,22,2,9.1%
55,CULBERSON,010,4,15,6,40.0%
56,DALLAM,001,13,33,0,0.0%
57,DALLAS,003,2034,5558,441,7.9%
58,DAWSON,009,34,95,13,13.7%
59,DEAF SMITH,001,26,77,8,10.4%
60,DELTA,004,9,24,1,4.2%
61,DENTON,003,341,742,28,3.8%
62,DE WITT,008,19,45,0,0.0%
63,DICKENS,001,9,26,1,3.8%
64,DIMMIT,008,11,32,5,15.6%
65,DONLEY,001,4,14,0,0.0%
66,DUVAL,011,30,101,2,2.0%
67,EASTLAND,002,23,51,3,5.9%
68,ECTOR,009,223,598,30,5.0%
69,EDWARDS,008,3,7,1,14.3%
70,ELLIS,003,106,264,6,2.3%
71,EL PASO,010,970,2633,135,5.1%
72,ERATH,003,47,127,4,3.1%
73,FALLS,007,6,26,7,26.9%
74,FANNIN,003,31,66,0,0.0%
75,FAYETTE,007,9,24,2,8.3%
76,FISHER,002,3,14,0,0.0%
77,FLOYD,001,7,13,5,38.5%
78,FOARD,002,2,4,0,0.0%
79,FORT BEND,006,396,1148,20,1.7%
80,FRANKLIN,004,14,37,2,5.4%
81,FREESTONE,007,5,12,0,0.0%
82,FRIO,008,29,85,0,0.0%
83,GAINES,009,9,28,0,0.0%
84,GALVESTON,006,407,1165,38,3.3%
85,GARZA,001,16,58,8,13.8%
86,GILLESPIE,008,21,51,8,15.7%
87,GLASSCOCK,009,0,0,0,0.0%
88,GOLIAD,008,8,18,0,0.0%
89,GONZALES,008,19,41,11,26.8%
90,GRAY,001,45,112,3,2.7%
91,GRAYSON,003,181,449,14,3.1%
92,GREGG,004,149,392,17,4.3%
93,GRIMES,007,13,32,0,0.0%
94,GUADALUPE,008,118,343,6,1.7%
95,HALE,001,75,199,6,3.0%
96,HALL,001,10,23,2,8.7%
97,HAMILTON,007,5,12,0,0.0%
98,HANSFORD,001,1,4,2,50.0%
99,HARDEMAN,002,4,9,3,33.3%
100,HARDIN,005,41,105,10,9.5%
101,HARRIS,006,3509,10583,422,4.0%
102,HARRISON,004,70,174,9,5.2%
103,HARTLEY,001,2,3,0,0.0%
104,HASKELL,002,4,12,3,25.0%
105,HAYS,007,64,160,9,5.6%
106,HEMPHILL,001,2,6,2,33.3%
107,HENDERSON,004,81,218,17,7.8%
108,HIDALGO,011,1648,5387,236,4.4%
109,HILL,007,24,70,1,1.4%
110,HOCKLEY,001,52,152,5,3.3%
111,HOOD,003,114,291,12,4.1%
112,HOPKINS,004,29,74,9,12.2%
113,HOUSTON,005,16,41,0,0.0%
114,HOWARD,009,56,134,27,20.1%
115,HUDSPETH,010,2,4,0,0.0%
116,HUNT,003,100,253,12,4.7%
117,HUTCHINSON,001,27,71,5,7.0%
118,IRION,009,1,2,0,0.0%
119,JACK,002,16,41,0,0.0%
120,JACKSON,008,15,33,6,18.2%
121,JASPER,005,49,113,9,8.0%
122,JEFF DAVIS,010,1,6,0,0.0%
123,JEFFERSON,005,193,520,23,4.4%
124,JIM HOGG,011,17,55,5,9.1%
125,JIM WELLS,011,92,274,3,1.1%
126,JOHNSON,003,307,798,23,2.9%
127,JONES,002,22,53,7,13.2%
128,KARNES,008,22,71,18,25.4%
129,KAUFMAN,003,109,305,9,3.0%
130,KENDALL,008,22,45,1,2.2%
131,KENEDY,011,1,4,0,0.0%
132,KENT,002,3,9,0,0.0%
133,KERR,008,88,222,21,9.5%
134,KIMBLE,009,5,9,5,55.6%
135,KING,001,0,0,0,0.0%
136,KINNEY,008,0,0,0,0.0%
137,KLEBERG,011,71,184,0,0.0%
138,KNOX,002,3,6,0,0.0%
139,LAMAR,004,67,179,18,10.1%
140,LAMB,001,25,71,6,8.5%
141,LAMPASAS,007,13,37,4,10.8%
142,LA SALLE,008,15,41,0,0.0%
143,LAVACA,008,9,16,3,18.8%
144,LEE,007,18,51,4,7.8%
145,LEON,007,9,24,2,8.3%
146,LIBERTY,006,109,256,13,5.1%
147,LIMESTONE,007,9,22,1,4.5%
148,LIPSCOMB,001,3,6,0,0.0%
149,LIVE OAK,011,29,68,2,2.9%
150,LLANO,007,16,36,0,0.0%
151,LOVING,009,0,0,0,0.0%
152,LUBBOCK,001,570,1572,61,3.9%
153,LYNN,001,12,41,0,0.0%
154,MADISON,007,3,8,3,37.5%
155,MARION,004,18,51,1,2.0%
156,MARTIN,009,4,11,1,9.1%
157,MASON,009,2,5,0,0.0%
158,MATAGORDA,006,45,137,3,2.2%
159,MAVERICK,008,18,61,5,8.2%
160,MCCULLOCH,009,15,30,10,33.3%
161,MCLENNAN,007,306,888,34,3.8%
162,MCMULLEN,011,2,4,0,0.0%
163,MEDINA,008,83,243,22,9.1%
164,MENARD,009,2,3,0,0.0%
165,MIDLAND,009,122,317,20,6.3%
166,MILAM,007,38,95,4,4.2%
167,MILLS,007,3,10,0,0.0%
168,MITCHELL,002,18,53,3,5.7%
169,MONTAGUE,002,46,122,1,0.8%
170,MONTGOMERY,006,352,927,48,5.2%
171,MOORE,001,23,72,0,0.0%
172,MORRIS,004,22,53,0,0.0%
173,MOTLEY,001,0,0,0,0.0%
174,NACOGDOCHES,005,31,84,3,3.6%
175,NAVARRO,003,42,129,15,11.6%
176,NEWTON,005,8,23,2,8.7%
177,NOLAN,002,35,87,3,3.4%
178,NUECES,011,696,1834,44,2.4%
179,OCHILTREE,001,9,23,0,0.0%
180,OLDHAM,001,1,4,0,0.0%
181,ORANGE,005,60,132,16,12.1%
182,PALO PINTO,003,90,219,17,7.8%
183,PANOLA,004,18,47,0,0.0%
184,PARKER,003,154,375,26,6.9%
185,PARMER,001,8,22,0,0.0%
186,PECOS,009,11,33,5,15.2%
187,POLK,005,39,105,3,2.9%
188,POTTER,001,353,916,12,1.3%
189,PRESIDIO,010,4,10,2,20.0%
190,RAINS,004,8,25,0,0.0%
191,RANDALL,001,142,344,17,4.9%
192,REAGAN,009,1,2,0,0.0%
193,REAL,008,9,18,2,11.1%
194,RED RIVER,004,23,62,0,0.0%
195,REEVES,009,13,48,4,8.3%
196,REFUGIO,011,15,37,1,2.7%
197,ROBERTS,001,0,0,0,0.0%
198,ROBERTSON,007,8,24,0,0.0%
199,ROCKWALL,003,27,67,1,1.5%
200,RUNNELS,002,11,27,0,0.0%
201,RUSK,004,37,91,6,6.6%
202,SABINE,005,11,25,0,0.0%
203,SAN AUGUSTINE,005,6,18,1,5.6%
204,SAN JACINTO,005,22,71,8,11.3%
205,SAN PATRICIO,011,213,585,21,3.6%
206,SAN SABA,007,9,30,1,3.3%
207,SCHLEICHER,009,5,11,0,0.0%
208,SCURRY,002,20,55,0,0.0%
209,SHACKELFORD,002,2,4,0,0.0%
210,SHELBY,005,25,70,9,12.9%
211,SHERMAN,001,2,3,0,0.0%
