,County,Region,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Custody Terminated***
1,ANDERSON,004,85,0,35,10,11,16,25
2,ANDREWS,009,37,0,17,5,3,6,7
3,ANGELINA,005,82,0,40,6,14,11,29
4,ARANSAS,011,91,0,36,5,17,6,33
5,ARCHER,002,7,0,5,0,0,1,2
6,ARMSTRONG,001,4,0,2,2,0,0,2
7,ATASCOSA,008,214,0,108,6,63,29,26
8,AUSTIN,006,28,0,16,3,2,1,12
9,BAILEY,001,6,0,5,0,0,0,1
10,BANDERA,008,56,0,22,6,8,10,11
11,BASTROP,007,230,0,136,8,35,21,65
12,BAYLOR,002,1,0,0,0,0,0,1
13,BEE,011,109,0,42,20,7,8,50
14,BELL,007,924,0,485,35,112,127,379
15,BEXAR,008,4554,1,1903,161,995,1002,1091
16,BLANCO,007,5,0,2,0,0,1,2
17,BORDEN,009,8,0,5,0,0,0,3
18,BOSQUE,007,35,0,16,0,6,8,9
19,BOWIE,004,203,3,134,10,24,18,83
20,BRAZORIA,006,198,0,93,11,10,23,80
21,BRAZOS,007,144,0,49,6,23,30,46
22,BREWSTER,010,1,0,0,0,1,1,0
23,BRISCOE,001,2,0,0,0,1,0,1
24,BROOKS,011,24,0,17,0,1,2,10
25,BROWN,002,107,0,30,7,31,32,25
26,BURLESON,007,40,0,16,2,4,4,15
27,BURNET,007,128,0,69,10,21,9,42
28,CALDWELL,007,106,0,51,3,13,13,35
29,CALHOUN,008,13,0,8,0,1,1,3
30,CALLAHAN,002,10,0,1,1,1,1,7
31,CAMERON,011,481,0,257,55,9,11,227
32,CAMP,004,56,0,32,0,8,6,15
33,CARSON,001,1,0,1,0,0,0,0
34,CASS,004,74,0,43,3,9,9,28
35,CASTRO,001,27,0,10,0,16,0,1
36,CHAMBERS,006,50,0,19,2,9,5,23
37,CHEROKEE,004,148,0,52,4,40,13,56
38,CHILDRESS,001,14,0,2,2,5,3,4
39,CLAY,002,9,0,6,0,1,0,2
40,COCHRAN,001,6,0,4,1,1,0,0
41,COKE,009,7,0,5,0,0,0,3
42,COLEMAN,002,26,0,11,1,4,5,11
43,COLLIN,003,388,0,205,5,50,52,140
44,COLLINGSWORTH,001,1,0,1,0,0,0,0
45,COLORADO,006,21,0,11,1,1,6,7
46,COMAL,008,199,0,117,8,23,24,58
47,COMANCHE,002,32,0,14,1,2,0,18
48,CONCHO,009,4,0,0,0,1,0,3
49,COOKE,003,105,0,65,5,16,11,24
50,CORYELL,007,184,0,102,1,21,8,88
51,COTTLE,002,0,0,0,0,0,0,0
52,CRANE,009,5,0,5,0,0,0,0
53,CROCKETT,009,1,0,0,0,1,0,0
54,CROSBY,001,11,0,7,0,2,0,2
55,CULBERSON,010,6,0,6,0,0,0,0
56,DALLAM,001,5,0,0,0,1,0,5
57,DALLAS,003,3339,29,1693,193,345,246,1297
58,DAWSON,009,64,0,47,0,5,8,17
59,DEAF SMITH,001,47,0,17,1,13,14,5
60,DELTA,004,12,0,3,0,1,2,8
61,DENTON,003,525,0,203,9,104,96,179
62,DE WITT,008,44,0,21,2,5,17,3
63,DICKENS,001,3,0,1,0,1,2,0
64,DIMMIT,008,52,0,18,3,12,13,12
65,DONLEY,001,6,0,0,0,4,0,2
66,DUVAL,011,23,0,11,2,6,3,11
67,EASTLAND,002,35,0,9,7,2,5,19
68,ECTOR,009,361,0,171,20,60,36,120
69,EDWARDS,008,8,0,1,0,0,7,0
70,ELLIS,003,68,0,43,2,17,12,14
71,EL PASO,010,666,0,314,20,124,84,199
72,ERATH,003,47,0,23,0,7,1,21
73,FALLS,007,27,0,9,5,4,7,8
74,FANNIN,003,21,0,14,1,2,0,5
75,FAYETTE,007,62,0,21,1,17,11,22
76,FISHER,002,4,0,0,0,0,0,4
77,FLOYD,001,46,0,19,7,6,3,12
78,FOARD,002,2,0,2,0,0,0,0
79,FORT BEND,006,183,0,98,3,19,16,69
80,FRANKLIN,004,30,0,23,1,3,1,15
81,FREESTONE,007,22,0,8,3,3,5,7
82,FRIO,008,71,0,32,4,22,11,10
83,GAINES,009,18,0,7,0,5,1,5
84,GALVESTON,006,246,0,120,8,43,40,56
85,GARZA,001,34,0,22,0,0,0,15
86,GILLESPIE,008,41,0,15,1,8,6,16
87,GLASSCOCK,009,0,0,0,0,0,0,0
88,GOLIAD,008,2,0,1,0,0,1,0
89,GONZALES,008,37,0,22,0,8,7,5
90,GRAY,001,72,0,19,0,9,14,32
91,GRAYSON,003,176,0,119,9,27,11,29
92,GREGG,004,259,0,140,6,29,39,67
93,GRIMES,007,38,0,18,0,2,7,14
94,GUADALUPE,008,163,0,56,4,28,23,66
95,HALE,001,104,0,30,1,31,13,47
96,HALL,001,17,0,11,0,1,0,6
97,HAMILTON,007,18,0,7,0,8,8,6
98,HANSFORD,001,6,0,3,0,2,0,1
99,HARDEMAN,002,8,0,5,0,0,0,3
100,HARDIN,005,41,0,17,0,7,8,16
101,HARRIS,006,4981,0,2058,191,810,1032,1302
102,HARRISON,004,117,0,60,13,16,7,47
103,HARTLEY,001,0,0,0,0,0,0,0
104,HASKELL,002,10,0,5,3,3,0,0
105,HAYS,007,158,0,71,2,19,18,65
106,HEMPHILL,001,10,0,6,0,2,0,2
107,HENDERSON,004,187,0,88,22,23,15,58
108,HIDALGO,011,1096,0,564,81,14,14,532
109,HILL,007,54,0,22,3,13,5,16
110,HOCKLEY,001,89,0,43,2,22,11,24
111,HOOD,003,112,0,54,6,18,8,46
112,HOPKINS,004,62,0,30,4,5,9,23
113,HOUSTON,005,45,0,20,4,10,3,12
114,HOWARD,009,142,0,88,6,17,12,36
115,HUDSPETH,010,1,0,0,0,1,0,0
116,HUNT,003,229,0,102,1,49,44,83
117,HUTCHINSON,001,44,0,11,0,6,13,20
118,IRION,009,1,0,0,1,0,0,0
119,JACK,002,17,0,9,0,3,1,5
120,JACKSON,008,13,0,10,0,0,3,1
121,JASPER,005,43,0,20,0,6,5,19
122,JEFF DAVIS,010,0,0,0,0,0,0,0
123,JEFFERSON,005,345,0,149,7,57,76,107
124,JIM HOGG,011,20,0,9,0,0,0,13
125,JIM WELLS,011,113,1,39,11,9,12,52
126,JOHNSON,003,306,0,122,6,61,59,79
127,JONES,002,24,0,16,0,1,4,7
128,KARNES,008,38,0,23,1,6,3,7
129,KAUFMAN,003,107,0,56,6,13,16,33
130,KENDALL,008,27,0,9,0,5,8,5
131,KENEDY,011,1,0,1,0,0,0,1
132,KENT,002,4,0,0,4,4,0,0
133,KERR,008,125,0,57,4,25,23,26
134,KIMBLE,009,21,0,11,0,2,4,4
135,KING,001,0,0,0,0,0,0,0
136,KINNEY,008,2,0,0,0,2,0,0
137,KLEBERG,011,36,0,8,9,9,1,11
138,KNOX,002,5,0,0,0,2,0,3
139,LAMAR,004,86,0,56,1,8,17,24
140,LAMB,001,23,0,13,1,7,1,5
141,LAMPASAS,007,60,0,31,1,7,6,26
142,LA SALLE,008,23,0,8,0,0,11,4
143,LAVACA,008,41,0,21,0,7,3,11
144,LEE,007,57,0,25,4,3,4,25
145,LEON,007,24,0,13,1,1,2,10
146,LIBERTY,006,270,0,126,2,30,32,102
