,County,Region,Intakes,Completed Investigations,Confirmed Investigations
1,ANDERSON,004,5,3,0
2,ANDREWS,009,2,0,0
3,ANGELINA,005,181,172,37
4,ARANSAS,011,2,2,0
5,ARCHER,002,2,4,0
6,ARMSTRONG,001,0,0,0
7,ATASCOSA,008,0,1,0
8,AUSTIN,006,1,0,0
9,BAILEY,001,0,0,0
10,BANDERA,008,0,0,0
11,BASTROP,007,14,16,0
12,BAYLOR,002,0,0,0
13,BEE,011,3,3,1
14,BELL,007,73,69,9
15,BEXAR,008,1194,1091,140
16,BLANCO,007,0,0,0
17,BORDEN,009,0,0,0
18,BOSQUE,007,0,0,0
19,BOWIE,004,16,14,3
20,BRAZORIA,006,72,63,9
21,BRAZOS,007,34,26,3
22,BREWSTER,010,0,0,0
23,BRISCOE,001,0,0,0
24,BROOKS,011,0,0,0
25,BROWN,002,26,23,2
26,BURLESON,007,0,0,0
27,BURNET,007,5,5,1
28,CALDWELL,007,7,7,0
29,CALHOUN,008,3,3,0
30,CALLAHAN,002,0,0,0
31,CAMERON,011,258,216,13
32,CAMP,004,2,0,0
33,CARSON,001,0,0,0
34,CASS,004,0,0,0
35,CASTRO,001,0,0,0
36,CHAMBERS,006,1,1,0
37,CHEROKEE,004,507,486,32
38,CHILDRESS,001,2,2,0
39,CLAY,002,2,2,0
40,COCHRAN,001,0,0,0
41,COKE,009,0,0,0
42,COLEMAN,002,0,0,0
43,COLLIN,003,59,54,8
44,COLLINGSWORTH,001,0,0,0
45,COLORADO,006,0,0,0
46,COMAL,008,61,60,7
47,COMANCHE,002,0,0,0
48,CONCHO,009,0,0,0
49,COOKE,003,0,0,0
50,CORYELL,007,0,0,0
51,COTTLE,002,0,0,0
52,CRANE,009,0,0,0
53,CROCKETT,009,0,0,0
54,CROSBY,001,0,0,0
55,CULBERSON,010,0,0,0
56,DALLAM,001,0,0,0
57,DALLAS,003,242,212,31
58,DAWSON,009,1,2,0
59,DEAF SMITH,001,4,4,1
60,DELTA,004,1,2,1
61,DENTON,003,273,254,31
62,DE WITT,008,1,2,0
63,DICKENS,001,0,0,0
64,DIMMIT,008,0,0,0
65,DONLEY,001,0,0,0
66,DUVAL,011,0,0,0
67,EASTLAND,002,10,9,4
68,ECTOR,009,2,2,0
69,EDWARDS,008,0,0,0
70,ELLIS,003,10,6,0
71,EL PASO,010,333,324,67
72,ERATH,003,10,10,2
73,FALLS,007,0,0,0
74,FANNIN,003,0,0,0
75,FAYETTE,007,2,2,0
76,FISHER,002,1,0,0
77,FLOYD,001,0,0,0
78,FOARD,002,0,0,0
79,FORT BEND,006,310,288,36
80,FRANKLIN,004,4,3,0
81,FREESTONE,007,2,3,0
82,FRIO,008,0,0,0
83,GAINES,009,1,1,0
84,GALVESTON,006,21,22,3
85,GARZA,001,0,0,0
86,GILLESPIE,008,1,0,0
87,GLASSCOCK,009,0,0,0
88,GOLIAD,008,0,0,0
89,GONZALES,008,4,4,0
90,GRAY,001,4,3,2
91,GRAYSON,003,15,15,0
92,GREGG,004,67,67,14
93,GRIMES,007,0,0,0
94,GUADALUPE,008,37,38,9
95,HALE,001,4,3,0
96,HALL,001,0,0,0
97,HAMILTON,007,0,0,0
98,HANSFORD,001,0,0,0
99,HARDEMAN,002,0,0,0
100,HARDIN,005,7,8,2
101,HARRIS,006,473,403,71
102,HARRISON,004,6,4,1
103,HARTLEY,001,0,0,0
104,HASKELL,002,0,0,0
105,HAYS,007,30,29,4
106,HEMPHILL,001,0,0,0
107,HENDERSON,004,4,4,0
108,HIDALGO,011,26,28,8
109,HILL,007,0,0,0
110,HOCKLEY,001,5,4,2
111,HOOD,003,0,0,0
112,HOPKINS,004,0,0,0
113,HOUSTON,005,0,0,0
114,HOWARD,009,245,234,24
115,HUDSPETH,010,0,0,0
116,HUNT,003,20,21,2
117,HUTCHINSON,001,3,1,0
118,IRION,009,0,0,0
119,JACK,002,0,0,0
120,JACKSON,008,0,0,0
121,JASPER,005,5,4,1
122,JEFF DAVIS,010,0,0,0
123,JEFFERSON,005,127,113,31
124,JIM HOGG,011,0,0,0
125,JIM WELLS,011,5,4,0
126,JOHNSON,003,54,53,8
127,JONES,002,4,3,0
128,KARNES,008,0,0,0
129,KAUFMAN,003,301,251,18
130,KENDALL,008,1,1,1
131,KENEDY,011,0,0,0
132,KENT,002,0,0,0
133,KERR,008,40,37,3
134,KIMBLE,009,0,0,0
135,KING,001,0,0,0
136,KINNEY,008,0,0,0
137,KLEBERG,011,7,6,0
138,KNOX,002,2,0,0
139,LAMAR,004,15,13,2
140,LAMB,001,0,0,0
141,LAMPASAS,007,0,0,0
142,LA SALLE,008,0,0,0
143,LAVACA,008,0,0,0
144,LEE,007,1,1,0
145,LEON,007,8,13,5
146,LIBERTY,006,9,9,4
147,LIMESTONE,007,836,807,45
148,LIPSCOMB,001,0,0,0
149,LIVE OAK,011,0,0,0
150,LLANO,007,5,5,1
151,LOVING,009,0,0,0
152,LUBBOCK,001,305,294,70
153,LYNN,001,0,1,0
154,MADISON,007,2,2,1
155,MARION,004,0,0,0
156,MARTIN,009,0,0,0
157,MASON,009,0,0,0
158,MATAGORDA,006,4,4,1
159,MAVERICK,008,0,0,0
160,MCCULLOCH,009,0,0,0
161,MCLENNAN,007,109,96,13
162,MCMULLEN,011,0,0,0
163,MEDINA,008,7,6,2
164,MENARD,009,0,0,0
165,MIDLAND,009,31,26,1
166,MILAM,007,0,0,0
167,MILLS,007,0,0,0
168,MITCHELL,002,0,0,0
169,MONTAGUE,002,6,5,0
170,MONTGOMERY,006,56,55,5
171,MOORE,001,1,1,0
172,MORRIS,004,0,0,0
173,MOTLEY,001,0,0,0
174,NACOGDOCHES,005,3,3,1
175,NAVARRO,003,57,50,12
176,NEWTON,005,2,2,0
177,NOLAN,002,4,5,1
178,NUECES,011,664,599,63
179,OCHILTREE,001,0,0,0
180,OLDHAM,001,0,0,0
181,ORANGE,005,17,17,4
182,PALO PINTO,003,1,1,0
183,PANOLA,004,0,0,0
184,PARKER,003,2,2,1
185,PARMER,001,0,0,0
186,PECOS,009,0,0,0
187,POLK,005,2,2,0
188,POTTER,001,32,23,6
189,PRESIDIO,010,0,0,0
190,RAINS,004,0,0,0
191,RANDALL,001,84,80,18
192,REAGAN,009,0,0,0
193,REAL,008,0,0,0
194,RED RIVER,004,0,0,0
195,REEVES,009,0,0,0
196,REFUGIO,011,0,0,0
197,ROBERTS,001,0,0,0
198,ROBERTSON,007,0,0,0
199,ROCKWALL,003,1,1,0
200,RUNNELS,002,3,1,0
201,RUSK,004,6,4,0
202,SABINE,005,1,1,0
203,SAN AUGUSTINE,005,1,1,1
204,SAN JACINTO,005,0,0,0
205,SAN PATRICIO,011,3,4,1
206,SAN SABA,007,0,0,0
207,SCHLEICHER,009,0,0,0
208,SCURRY,002,0,0,0
209,SHACKELFORD,002,0,0,0
210,SHELBY,005,2,3,0
211,SHERMAN,001,0,0,0
212,SMITH,004,37,35,6
213,SOMERVELL,003,0,0,0
214,STARR,011,4,4,1
215,STEPHENS,002,1,2,0
216,STERLING,009,0,0,0
217,STONEWALL,002,0,0,0
218,SUTTON,009,0,0,0
219,SWISHER,001,0,0,0
220,TARRANT,003,513,436,60
221,TAYLOR,002,427,401,67
222,TERRELL,009,0,0,0
223,TERRY,001,0,0,0
224,THROCKMORTON,002,0,0,0
225,TITUS,004,8,13,4
226,TOM GREEN,009,887,866,101
227,TRAVIS,007,1029,944,148
228,TRINITY,005,0,0,0
229,TYLER,005,0,0,0
230,UPSHUR,004,4,4,1
231,UPTON,009,0,0,0
232,UVALDE,008,4,5,0
233,VAL VERDE,008,7,6,1
234,VAN ZANDT,004,5,4,0
235,VICTORIA,008,15,13,2
236,WALKER,006,7,7,2
237,WALLER,006,4,5,0
238,WARD,009,3,3,1
239,WASHINGTON,007,148,136,10
240,WEBB,011,36,32,6
241,WHARTON,006,19,18,0
242,WHEELER,001,1,1,1
243,WICHITA,002,353,340,30
244,WILBARGER,002,511,504,18
245,WILLACY,011,2,2,0
246,WILLIAMSON,007,96,90,14
247,WILSON,008,2,2,0
248,WINKLER,009,0,0,0
249,WISE,003,0,0,0
250,WOOD,004,0,0,0
251,YOAKUM,001,0,0,0
252,YOUNG,002,0,0,0
253,ZAPATA,011,0,0,0
254,ZAVALA,008,1,1,0
255,STATE TOTAL,,11661,10818,1373
