,County,Region,Total Children Served in Fiscal Year 2008,Subsequently Confirmed Victims in Fiscal Years 2008 - 2013
1,ANDERSON,004,141,36
2,ANDREWS,009,104,29
3,ANGELINA,005,120,35
4,ARANSAS,011,192,74
5,ARCHER,002,12,3
6,ARMSTRONG,001,0,0
7,ATASCOSA,008,187,30
8,AUSTIN,006,42,8
9,BAILEY,001,37,4
10,BANDERA,008,61,10
11,BASTROP,007,120,23
12,BAYLOR,002,9,4
13,BEE,011,140,34
14,BELL,007,965,116
15,BEXAR,008,6230,1234
16,BLANCO,007,23,0
17,BORDEN,009,2,0
18,BOSQUE,007,32,7
19,BOWIE,004,158,24
20,BRAZORIA,006,623,100
21,BRAZOS,007,301,56
22,BREWSTER,010,20,4
23,BRISCOE,001,7,0
24,BROOKS,011,59,15
25,BROWN,002,158,47
26,BURLESON,007,24,4
27,BURNET,007,99,22
28,CALDWELL,007,162,25
29,CALHOUN,008,54,21
30,CALLAHAN,002,52,16
31,CAMERON,011,1385,358
32,CAMP,004,39,10
33,CARSON,001,23,3
34,CASS,004,60,8
35,CASTRO,001,10,0
36,CHAMBERS,006,39,6
37,CHEROKEE,004,97,16
38,CHILDRESS,001,25,9
39,CLAY,002,5,2
40,COCHRAN,001,14,0
41,COKE,009,0,0
42,COLEMAN,002,60,23
43,COLLIN,003,712,116
44,COLLINGSWORTH,001,7,0
45,COLORADO,006,40,8
46,COMAL,008,195,57
47,COMANCHE,002,57,11
48,CONCHO,009,5,4
49,COOKE,003,88,22
50,CORYELL,007,274,43
51,COTTLE,002,6,0
52,CRANE,009,8,2
53,CROCKETT,009,38,7
54,CROSBY,001,24,2
55,CULBERSON,010,2,1
56,DALLAM,001,57,13
57,DALLAS,003,4131,654
58,DAWSON,009,45,8
59,DEAF SMITH,001,41,6
60,DELTA,004,8,0
61,DENTON,003,561,116
62,DE WITT,008,59,12
63,DICKENS,001,9,8
64,DIMMIT,008,87,17
65,DONLEY,001,0,0
66,DUVAL,011,147,33
67,EASTLAND,002,96,27
68,ECTOR,009,579,137
69,EDWARDS,008,2,0
70,ELLIS,003,262,47
71,EL PASO,010,1525,331
72,ERATH,003,116,26
73,FALLS,007,28,1
74,FANNIN,003,56,5
75,FAYETTE,007,38,13
76,FISHER,002,1,0
77,FLOYD,001,13,4
78,FOARD,002,11,3
79,FORT BEND,006,731,91
80,FRANKLIN,004,18,3
81,FREESTONE,007,22,9
82,FRIO,008,146,40
83,GAINES,009,36,2
84,GALVESTON,006,720,117
85,GARZA,001,13,2
86,GILLESPIE,008,40,10
87,GLASSCOCK,009,0,0
88,GOLIAD,008,16,3
89,GONZALES,008,82,14
90,GRAY,001,72,24
91,GRAYSON,003,216,38
92,GREGG,004,257,46
93,GRIMES,007,58,13
94,GUADALUPE,008,415,93
95,HALE,001,145,36
96,HALL,001,6,3
97,HAMILTON,007,19,6
98,HANSFORD,001,5,1
99,HARDEMAN,002,13,5
100,HARDIN,005,114,18
101,HARRIS,006,6167,751
102,HARRISON,004,130,29
103,HARTLEY,001,5,0
104,HASKELL,002,9,0
105,HAYS,007,253,47
106,HEMPHILL,001,2,0
107,HENDERSON,004,497,106
108,HIDALGO,011,1792,371
109,HILL,007,45,8
110,HOCKLEY,001,70,20
111,HOOD,003,114,38
112,HOPKINS,004,86,18
113,HOUSTON,005,27,9
114,HOWARD,009,242,76
115,HUDSPETH,010,2,0
116,HUNT,003,130,23
117,HUTCHINSON,001,67,10
118,IRION,009,3,1
119,JACK,002,14,5
120,JACKSON,008,32,3
121,JASPER,005,73,5
122,JEFF DAVIS,010,0,0
123,JEFFERSON,005,269,40
124,JIM HOGG,011,42,18
125,JIM WELLS,011,474,102
126,JOHNSON,003,359,126
127,JONES,002,64,24
128,KARNES,008,62,2
129,KAUFMAN,003,170,31
