,County,Region,Family Reunification,Relative With PCA,Relative Without PCA,Adoption by Relative,Adoption by Non-Relative,Long Term Care - Emancipation,Long Term Care - Other
1,ANDERSON,004,24.0,17.5,12.8,25.5,52.2,39.5,17.1
2,ANDREWS,009,11.1,0.0,16.5,0.0,52.4,145.4,0.0
3,ANGELINA,005,8.1,29.4,10.7,30.0,38.0,69.3,1.3
4,ARANSAS,011,17.2,0.0,7.8,29.4,37.0,46.3,0.0
5,ARCHER,002,0.7,0.0,14.5,0.0,56.7,0.0,0.0
6,ARMSTRONG,001,0.7,0.0,0.0,0.0,0.0,0.0,0.0
7,ATASCOSA,008,22.8,17.9,17.5,32.1,25.3,26.2,0.0
8,AUSTIN,006,6.7,22.5,9.5,0.0,33.4,64.5,0.0
9,BAILEY,001,0.0,0.0,0.0,0.0,0.0,21.5,0.0
10,BANDERA,008,20.6,0.0,15.3,19.8,31.7,45.4,0.0
11,BASTROP,007,11.7,20.7,12.4,26.2,45.0,31.8,0.0
12,BAYLOR,002,0.0,0.0,0.0,0.0,0.0,26.2,0.0
13,BEE,011,11.6,0.0,14.1,26.2,39.8,27.2,41.6
14,BELL,007,8.6,21.7,8.8,20.9,29.8,60.3,6.3
15,BEXAR,008,12.9,22.9,13.1,22.8,30.1,53.1,37.3
16,BLANCO,007,21.8,0.0,0.0,18.8,0.0,129.9,0.0
17,BORDEN,009,6.7,0.0,0.0,0.0,0.0,0.0,0.0
18,BOSQUE,007,18.7,0.0,0.0,21.3,27.3,0.0,0.0
19,BOWIE,004,9.8,0.0,8.5,22.8,29.1,12.3,0.0
20,BRAZORIA,006,12.8,41.0,16.4,0.0,40.3,64.9,0.0
21,BRAZOS,007,8.6,33.4,13.9,27.1,32.1,61.2,0.0
22,BREWSTER,010,0.0,0.0,0.0,0.0,31.7,0.0,0.0
23,BRISCOE,001,16.8,0.0,0.0,0.0,0.0,0.0,0.0
24,BROOKS,011,3.1,0.0,10.9,29.4,16.8,55.9,0.0
25,BROWN,002,11.0,0.0,13.6,26.8,36.3,41.5,0.0
