,County,Region,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***
1,ANDERSON,004,0,3,2
2,ANDREWS,009,0,0,0
3,ANGELINA,005,1,13,4
4,ARANSAS,011,0,1,1
5,ARCHER,002,0,0,0
6,ARMSTRONG,001,0,0,0
7,ATASCOSA,008,0,1,8
8,AUSTIN,006,1,0,2
9,BAILEY,001,0,1,0
10,BANDERA,008,0,1,0
11,BASTROP,007,1,2,5
12,BAYLOR,002,0,0,0
13,BEE,011,0,0,0
14,BELL,007,1,34,11
15,BEXAR,008,2,78,194
16,BLANCO,007,0,0,1
17,BORDEN,009,0,0,0
18,BOSQUE,007,0,1,0
19,BOWIE,004,0,8,7
20,BRAZORIA,006,2,13,9
21,BRAZOS,007,2,12,7
22,BREWSTER,010,0,1,0
23,BRISCOE,001,0,1,0
24,BROOKS,011,0,0,0
25,BROWN,002,0,1,2
26,BURLESON,007,0,3,1
27,BURNET,007,0,9,1
28,CALDWELL,007,0,1,0
29,CALHOUN,008,0,1,1
30,CALLAHAN,002,0,1,0
31,CAMERON,011,3,6,4
32,CAMP,004,0,0,2
33,CARSON,001,0,1,0
34,CASS,004,0,3,1
35,CASTRO,001,0,3,0
36,CHAMBERS,006,0,3,0
37,CHEROKEE,004,0,2,2
38,CHILDRESS,001,0,0,0
39,CLAY,002,0,1,0
40,COCHRAN,001,0,0,0
41,COKE,009,0,0,0
42,COLEMAN,002,0,0,0
43,COLLIN,003,3,16,7
44,COLLINGSWORTH,001,0,0,0
45,COLORADO,006,0,0,2
46,COMAL,008,0,5,1
47,COMANCHE,002,0,1,0
48,CONCHO,009,0,0,0
49,COOKE,003,0,0,0
50,CORYELL,007,0,8,2
51,COTTLE,002,0,0,0
52,CRANE,009,0,0,0
53,CROCKETT,009,0,1,0
54,CROSBY,001,0,1,0
55,CULBERSON,010,0,0,0
56,DALLAM,001,0,0,0
57,DALLAS,003,29,82,26
58,DAWSON,009,0,0,0
59,DEAF SMITH,001,0,2,0
60,DELTA,004,0,0,1
61,DENTON,003,1,16,0
62,DE WITT,008,0,0,0
63,DICKENS,001,0,0,0
64,DIMMIT,008,0,0,0
65,DONLEY,001,0,1,0
66,DUVAL,011,0,0,0
67,EASTLAND,002,0,0,0
68,ECTOR,009,0,5,1
69,EDWARDS,008,0,1,0
70,ELLIS,003,1,13,2
71,EL PASO,010,1,39,11
72,ERATH,003,0,1,0
73,FALLS,007,0,4,0
74,FANNIN,003,0,4,2
75,FAYETTE,007,0,1,0
76,FISHER,002,0,0,0
77,FLOYD,001,0,0,0
78,FOARD,002,0,0,0
79,FORT BEND,006,2,16,14
80,FRANKLIN,004,0,2,1
81,FREESTONE,007,0,1,1
82,FRIO,008,0,1,1
83,GAINES,009,0,0,0
84,GALVESTON,006,2,16,6
85,GARZA,001,0,0,0
86,GILLESPIE,008,0,0,2
87,GLASSCOCK,009,0,0,0
88,GOLIAD,008,1,2,0
89,GONZALES,008,0,0,1
90,GRAY,001,0,5,0
91,GRAYSON,003,3,7,1
92,GREGG,004,1,8,3
93,GRIMES,007,1,0,0
94,GUADALUPE,008,0,10,10
95,HALE,001,0,5,0
96,HALL,001,0,1,0
97,HAMILTON,007,0,1,0
98,HANSFORD,001,0,1,1
99,HARDEMAN,002,0,1,0
100,HARDIN,005,0,3,7
101,HARRIS,006,22,118,82
102,HARRISON,004,1,11,4
103,HARTLEY,001,0,2,0
104,HASKELL,002,0,0,0
105,HAYS,007,0,6,9
106,HEMPHILL,001,0,0,0
107,HENDERSON,004,1,9,3
108,HIDALGO,011,2,10,3
109,HILL,007,0,0,2
110,HOCKLEY,001,0,5,1
111,HOOD,003,0,1,0
112,HOPKINS,004,0,2,0
113,HOUSTON,005,0,3,0
114,HOWARD,009,0,1,0
115,HUDSPETH,010,0,1,0
116,HUNT,003,0,11,3
117,HUTCHINSON,001,0,4,1
118,IRION,009,0,0,1
119,JACK,002,0,1,1
120,JACKSON,008,0,4,0
121,JASPER,005,0,8,0
122,JEFF DAVIS,010,0,0,0
123,JEFFERSON,005,10,33,14
124,JIM HOGG,011,0,0,0
125,JIM WELLS,011,0,1,3
126,JOHNSON,003,0,5,6
127,JONES,002,0,1,1
128,KARNES,008,0,0,0
129,KAUFMAN,003,0,6,1
130,KENDALL,008,0,0,0
131,KENEDY,011,0,0,0
132,KENT,002,0,0,0
133,KERR,008,0,1,0
134,KIMBLE,009,0,0,0
135,KING,001,0,0,0
136,KINNEY,008,0,0,2
137,KLEBERG,011,0,1,1
138,KNOX,002,0,0,0
139,LAMAR,004,0,4,1
140,LAMB,001,0,1,0
141,LAMPASAS,007,0,0,0
142,LA SALLE,008,0,0,0
143,LAVACA,008,0,4,2
144,LEE,007,0,2,1
145,LEON,007,0,0,2
146,LIBERTY,006,0,3,1
147,LIMESTONE,007,0,4,1
148,LIPSCOMB,001,0,1,0
149,LIVE OAK,011,0,0,0
150,LLANO,007,0,0,1
151,LOVING,009,0,0,0
152,LUBBOCK,001,3,33,13
153,LYNN,001,0,1,1
154,MADISON,007,0,1,1
155,MARION,004,0,0,1
156,MARTIN,009,0,0,0
157,MASON,009,0,0,0
158,MATAGORDA,006,1,3,0
159,MAVERICK,008,0,2,1
160,MCCULLOCH,009,0,0,0
161,MCLENNAN,007,3,12,9
162,MCMULLEN,011,0,0,0
163,MEDINA,008,0,5,2
164,MENARD,009,0,0,0
165,MIDLAND,009,0,11,0
166,MILAM,007,0,0,0
167,MILLS,007,0,0,1
168,MITCHELL,002,0,0,0
169,MONTAGUE,002,0,7,1
170,MONTGOMERY,006,1,17,10
171,MOORE,001,0,2,1
172,MORRIS,004,0,2,0
173,MOTLEY,001,0,0,1
174,NACOGDOCHES,005,2,8,3
175,NAVARRO,003,0,4,1
176,NEWTON,005,0,0,0
177,NOLAN,002,0,4,0
178,NUECES,011,0,6,4
179,OCHILTREE,001,0,4,0
180,OLDHAM,001,0,0,0
181,ORANGE,005,1,18,6
182,PALO PINTO,003,0,0,0
183,PANOLA,004,0,1,1
184,PARKER,003,0,1,0
185,PARMER,001,0,2,0
186,PECOS,009,0,1,1
187,POLK,005,0,5,1
188,POTTER,001,0,16,3
189,PRESIDIO,010,0,0,0
190,RAINS,004,0,1,0
191,RANDALL,001,0,26,2
192,REAGAN,009,0,0,0
193,REAL,008,0,0,1
194,RED RIVER,004,0,1,0
195,REEVES,009,0,0,0
196,REFUGIO,011,0,0,1
197,ROBERTS,001,0,0,0
198,ROBERTSON,007,0,0,1
199,ROCKWALL,003,0,5,0
200,RUNNELS,002,0,1,1
201,RUSK,004,1,7,3
202,SABINE,005,0,0,0
203,SAN AUGUSTINE,005,0,2,1
204,SAN JACINTO,005,1,2,0
205,SAN PATRICIO,011,0,0,2
206,SAN SABA,007,0,0,1
207,SCHLEICHER,009,0,1,0
208,SCURRY,002,0,4,0
209,SHACKELFORD,002,0,0,0
210,SHELBY,005,0,1,1
211,SHERMAN,001,0,0,0
212,SMITH,004,2,14,9
213,SOMERVELL,003,0,0,0
214,STARR,011,0,2,0
215,STEPHENS,002,0,0,0
216,STERLING,009,0,0,0
217,STONEWALL,002,0,0,0
218,SUTTON,009,0,4,0
219,SWISHER,001,0,3,0
220,TARRANT,003,6,51,23
221,TAYLOR,002,0,14,3
222,TERRELL,009,0,0,0
223,TERRY,001,0,1,1
224,THROCKMORTON,002,0,0,0
225,TITUS,004,0,0,4
226,TOM GREEN,009,0,7,0
227,TRAVIS,007,2,20,27
228,TRINITY,005,1,1,0
229,TYLER,005,0,4,1
230,UPSHUR,004,0,3,0
231,UPTON,009,0,0,0
232,UVALDE,008,0,1,7
233,VAL VERDE,008,0,1,2
234,VAN ZANDT,004,0,9,4
235,VICTORIA,008,1,11,1
236,WALKER,006,0,2,4
237,WALLER,006,1,1,2
