,County,Paid Foster  Care Clients,Paid Foster  Expenditures*
1,ANDERSON,91,1306881
2,ANDREWS,27,472530
3,ANGELINA,84,816067
4,ARANSAS,76,1130408
5,ARCHER,0,0
6,ARMSTRONG,5,24855
7,ATASCOSA,155,2109743
8,AUSTIN,20,148743
9,BAILEY,34,312213
10,BANDERA,46,796754
11,BASTROP,140,1368528
12,BAYLOR,4,44532
13,BEE,90,970598
14,BELL,587,6280663
15,BEXAR,3655,44966220
16,BLANCO,4,69629
17,BORDEN,0,0
18,BOSQUE,31,288968
19,BOWIE,115,1408608
20,BRAZORIA,200,2656973
21,BRAZOS,165,2125366
22,BREWSTER,5,130988
23,BRISCOE,2,20780
24,BROOKS,18,406486
25,BROWN,111,1333102
26,BURLESON,29,405349
27,BURNET,67,923011
28,CALDWELL,69,831181
29,CALHOUN,20,440347
30,CALLAHAN,16,268099
31,CAMERON,330,3687632
32,CAMP,29,320939
33,CARSON,7,62672
34,CASS,39,277511
35,CASTRO,16,145118
36,CHAMBERS,39,385749
37,CHEROKEE,147,1356707
38,CHILDRESS,20,322523
39,CLAY,6,174806
40,COCHRAN,7,127674
41,COKE,8,41487
42,COLEMAN,28,374497
43,COLLIN,304,3357288
44,COLLINGSWORTH,7,30401
45,COLORADO,13,207390
46,COMAL,120,1384907
47,COMANCHE,16,130553
48,CONCHO,9,143986
49,COOKE,76,986803
50,CORYELL,110,928767
51,COTTLE,0,0
52,CRANE,1,28844
53,CROCKETT,6,52985
54,CROSBY,12,145052
55,CULBERSON,0,0
56,DALLAM,8,283741
57,DALLAS,2444,26647969
58,DAWSON,20,243008
59,DEAF SMITH,36,423296
60,DELTA,13,134019
61,DENTON,454,4222697
62,DEWITT,27,484201
63,DICKENS,8,170840
64,DIMMIT,52,877207
65,DONLEY,10,174509
66,DUVAL,25,334362
67,EASTLAND,37,326510
68,ECTOR,314,4433217
69,EDWARDS,5,48551
70,ELLIS,52,720294
71,EL PASO,608,7298146
72,ERATH,40,394583
73,FALLS,16,219465
74,FANNIN,19,361374
75,FAYETTE,42,439422
76,FISHER,6,120866
77,FLOYD,22,282802
78,FOARD,0,0
79,FORT BEND,147,1975894
80,FRANKLIN,3,13350
81,FREESTONE,25,349633
82,FRIO,60,675548
83,GAINES,18,318938
84,GALVESTON,167,2248520
85,GARZA,17,198539
86,GILLESPIE,38,560241
87,GLASSCOCK,0,0
88,GOLIAD,2,46569
89,GONZALES,17,223021
90,GRAY,87,1271126
91,GRAYSON,120,1305463
92,GREGG,210,3044668
93,GRIMES,25,343643
94,GUADALUPE,138,1256451
95,HALE,74,991832
96,HALL,16,220081
97,HAMILTON,15,225691
98,HANSFORD,3,75982
99,HARDEMAN,8,18412
100,HARDIN,42,442252
101,HARRIS,4311,58823466
102,HARRISON,86,1034089
103,HARTLEY,1,4302
104,HASKELL,7,68941
105,HAYS,89,1228663
106,HEMPHILL,5,62199
107,HENDERSON,148,1826589
108,HIDALGO,955,7994615
109,HILL,52,620876
110,HOCKLEY,82,1165294
111,HOOD,85,999062
112,HOPKINS,37,400887
113,HOUSTON,42,406340
114,HOWARD,66,744581
115,HUDSPETH,1,3721
116,HUNT,192,1735353
117,HUTCHINSON,22,386512
118,IRION,3,1661
119,JACK,10,171850
120,JACKSON,2,84554
121,JASPER,36,500645
122,JEFF DAVIS,0,0
123,JEFFERSON,326,2722811
124,JIM HOGG,13,94251
125,JIM WELLS,93,951521
126,JOHNSON,315,3732378
127,JONES,8,120103
128,KARNES,32,497684
129,KAUFMAN,77,880630
130,KENDALL,33,377473
131,KENEDY,0,0
132,KENT,4,48393
133,KERR,132,1622558
134,KIMBLE,13,274567
135,KING,0,0
136,KINNEY,3,8312
137,KLEBERG,55,859295
138,KNOX,11,153754
139,LAMAR,85,976652
140,LAMB,23,332670
141,LAMPASAS,56,788797
142,LASALLE,17,318078
143,LAVACA,21,164941
144,LEE,51,661416
145,LEON,20,267663
146,LIBERTY,147,1896969
147,LIMESTONE,38,440344
148,LIPSCOMB,7,122201
149,LIVE OAK,21,167300
150,LLANO,45,468099
151,LOVING,0,0
152,LUBBOCK,608,8733088
153,LYNN,7,88070
154,MADISON,28,239101
155,MARION,6,94430
156,MARTIN,0,0
157,MASON,2,26044
158,MATAGORDA,34,399844
159,MAVERICK,18,302379
160,MCCULLOCH,17,181651
161,MCLENNAN,346,4791334
162,MCMULLEN,0,0
163,MEDINA,148,1873844
164,MENARD,10,141878
165,MIDLAND,143,1779534
166,MILAM,61,668045
167,MILLS,7,156379
168,MITCHELL,17,184539
169,MONTAGUE,77,714285
170,MONTGOMERY,505,6549864
171,MOORE,19,396969
172,MORRIS,13,200615
173,MOTLEY,1,27843
174,NACOGDOCHES,161,1718052
175,NAVARRO,82,1100759
176,NEWTON,19,386575
177,NOLAN,58,327468
178,NUECES,421,4973072
179,OCHILTREE,11,150355
180,OLDHAM,2,3440
181,ORANGE,185,1552428
182,PALO PINTO,73,649514
183,PANOLA,16,228212
184,PARKER,68,959854
185,PARMER,5,115372
186,PECOS,22,229706
187,POLK,79,739196
188,POTTER,306,4674298
189,PRESIDIO,12,88668
190,RAINS,10,113124
191,RANDALL,284,4354797
192,REAGAN,4,18179
193,REAL,7,148453
194,RED RIVER,22,290509
195,REEVES,6,133170
196,REFUGIO,7,50525
197,ROBERTS,0,0
198,ROBERTSON,20,293125
199,ROCKWALL,24,222074
200,RUNNELS,20,245555
201,RUSK,41,423582
202,SABINE,5,65704
203,SAN AUGUSTINE,4,20950
204,SAN JACINTO,68,824693
205,SAN PATRICIO,85,811993
206,SAN SABA,6,167882
207,SCHLEICHER,5,23435
208,SCURRY,27,335903
209,SHACKELFORD,0,0
210,SHELBY,67,709350
211,SHERMAN,1,38256
212,SMITH,288,3071229
213,SOMERVELL,12,97869
214,STARR,102,1073298
215,STEPHENS,8,162608
216,STERLING,0,0
217,STONEWALL,0,0
218,SUTTON,4,39077
219,SWISHER,10,190678
220,TARRANT,1709,19615634
221,TAYLOR,217,2362665
222,TERRELL,0,0
223,TERRY,44,520962
224,THROCKMORTON,0,0
225,TITUS,36,608125
226,TOM GREEN,382,5229689
227,TRAVIS,934,11696686
228,TRINITY,42,308525
229,TYLER,9,78935
230,UPSHUR,26,310514
231,UPTON,3,23633
232,UVALDE,65,916879
233,VAL VERDE,39,464784
234,VAN ZANDT,99,1219846
235,VICTORIA,169,2275806
236,WALKER,61,828964
237,WALLER,52,530024
238,WARD,4,73459
239,WASHINGTON,34,378374
240,WEBB,569,6325867
241,WHARTON,39,386927
242,WHEELER,6,72001
243,WICHITA,233,2618272
244,WILBARGER,23,273856
245,WILLACY,43,387191
246,WILLIAMSON,317,4227146
247,WILSON,48,512570
248,WINKLER,5,122973
249,WISE,88,770230
250,WOOD,98,1048669
251,YOAKUM,6,60428
252,YOUNG,36,359573
253,ZAPATA,46,657096
254,ZAVALA,38,613935
255,UNKNOWN,0,0
256,STATE TOTAL,30828,373644867
