,County,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed
1,ANDERSON,11498,187,16.3,509,123,24.2%
2,ANDREWS,4431,47,10.6,102,28,27.5%
3,ANGELINA,23448,297,12.7,690,173,25.1%
4,ARANSAS,4505,127,28.2,213,76,35.7%
5,ARCHER,2159,13,6.0,26,8,30.8%
6,ARMSTRONG,396,4,10.1,12,2,16.7%
7,ATASCOSA,13238,251,19.0,448,120,26.8%
8,AUSTIN,7331,34,4.6,99,21,21.2%
9,BAILEY,2302,12,5.2,45,7,15.6%
10,BANDERA,4003,47,11.7,126,33,26.2%
11,BASTROP,20398,254,12.5,598,153,25.6%
12,BAYLOR,760,11,14.5,31,5,16.1%
13,BEE,6904,138,20.0,241,82,34.0%
14,BELL,93172,924,9.9,2881,579,20.1%
15,BEXAR,477922,6205,13.0,14472,3550,24.5%
16,BLANCO,2281,6,2.6,49,5,10.2%
17,BORDEN,128,0,0.0,0,0,0.0%
18,BOSQUE,4102,61,14.9,155,42,27.1%
19,BOWIE,22147,258,11.6,808,159,19.7%
20,BRAZORIA,91471,448,4.9,1579,292,18.5%
21,BRAZOS,43546,346,7.9,958,215,22.4%
22,BREWSTER,1929,6,3.1,45,6,13.3%
23,BRISCOE,344,5,14.5,9,2,22.2%
24,BROOKS,1983,41,20.7,70,20,28.6%
25,BROWN,9115,131,14.4,324,80,24.7%
26,BURLESON,4118,41,10.0,114,23,20.2%
27,BURNET,10064,135,13.4,322,85,26.4%
28,CALDWELL,10088,125,12.4,301,74,24.6%
29,CALHOUN,5726,50,8.7,159,34,21.4%
30,CALLAHAN,3262,49,15.0,109,29,26.6%
31,CAMERON,137876,1819,13.2,3372,909,27.0%
32,CAMP,3396,32,9.4,105,23,21.9%
33,CARSON,1545,16,10.4,36,8,22.2%
34,CASS,7036,81,11.5,287,51,17.8%
35,CASTRO,2497,40,16.0,62,17,27.4%
36,CHAMBERS,10367,79,7.6,201,51,25.4%
37,CHEROKEE,13396,169,12.6,449,106,23.6%
38,CHILDRESS,1520,26,17.1,52,20,38.5%
39,CLAY,2394,19,7.9,42,13,31.0%
40,COCHRAN,885,12,13.6,19,8,42.1%
41,COKE,661,3,4.5,15,2,13.3%
42,COLEMAN,1957,41,21.0,75,21,28.0%
43,COLLIN,237706,1082,4.6,2885,682,23.6%
44,COLLINGSWORTH,840,14,16.7,22,8,36.4%
45,COLORADO,4928,31,6.3,95,18,18.9%
46,COMAL,26685,421,15.8,619,238,38.4%
