,County,Total Children Served in Fiscal Year 2006,Subsequently Confirmed Victims in Fiscal Years 2006 - 2011
1,ANDERSON,164,23
2,ANDREWS,43,19
3,ANGELINA,125,23
4,ARANSAS,143,46
5,ARCHER,1,1
6,ARMSTRONG,0,0
7,ATASCOSA,189,36
8,AUSTIN,38,3
9,BAILEY,6,1
10,BANDERA,30,11
11,BASTROP,132,31
12,BAYLOR,23,8
13,BEE,221,55
14,BELL,862,121
15,BEXAR,5982,1126
16,BLANCO,4,0
17,BORDEN,0,0
18,BOSQUE,26,8
19,BOWIE,272,44
20,BRAZORIA,547,97
21,BRAZOS,242,43
22,BREWSTER,19,0
23,BRISCOE,0,0
24,BROOKS,107,17
25,BROWN,149,39
26,BURLESON,47,14
27,BURNET,121,20
28,CALDWELL,117,16
29,CALHOUN,68,7
30,CALLAHAN,17,3
31,CAMERON,1560,384
32,CAMP,56,22
33,CARSON,6,0
34,CASS,49,2
35,CASTRO,22,4
36,CHAMBERS,27,8
37,CHEROKEE,73,8
38,CHILDRESS,8,2
39,CLAY,20,14
40,COCHRAN,3,0
41,COKE,18,5
42,COLEMAN,31,13
43,COLLIN,551,97
44,COLLINGSWORTH,16,0
45,COLORADO,51,3
46,COMAL,169,53
47,COMANCHE,57,14
48,CONCHO,5,2
49,COOKE,119,25
50,CORYELL,318,68
51,COTTLE,0,0
52,CRANE,11,0
53,CROCKETT,36,5
54,CROSBY,4,0
55,CULBERSON,14,5
56,DALLAM,54,12
57,DALLAS,3605,557
58,DAWSON,53,24
59,DEAF SMITH,73,14
60,DELTA,25,5
61,DENTON,450,64
62,DEWITT,53,8
63,DICKENS,7,1
64,DIMMIT,43,13
65,DONLEY,7,0
66,DUVAL,79,28
67,EASTLAND,48,11
68,ECTOR,458,103
69,EDWARDS,0,0
70,ELLIS,291,43
71,EL PASO,1478,306
72,ERATH,63,13
73,FALLS,33,3
74,FANNIN,61,9
75,FAYETTE,36,9
76,FISHER,21,8
77,FLOYD,30,10
78,FOARD,3,0
79,FORT BEND,365,40
80,FRANKLIN,18,2
81,FREESTONE,37,8
82,FRIO,156,21
83,GAINES,36,4
