,County,Total,Family Reunification,Custody Given to Relative,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other*
105,HAYS,62,31,19,3,3,6,0
106,HEMPHILL,2,0,0,0,1,1,0
107,HENDERSON,102,48,21,16,13,4,0
108,HIDALGO,612,302,268,5,2,31,4
109,HILL,14,2,6,3,2,1,0
110,HOCKLEY,28,8,6,5,3,6,0
111,HOOD,30,15,8,4,1,1,1
112,HOPKINS,22,6,6,6,3,1,0
113,HOUSTON,16,7,6,0,3,0,0
114,HOWARD,21,5,5,6,2,3,0
115,HUDSPETH,3,2,0,0,0,1,0
116,HUNT,106,10,55,22,15,2,2
117,HUTCHINSON,24,13,7,2,0,2,0
118,IRION,4,0,1,0,0,1,2
119,JACK,9,5,3,1,0,0,0
120,JACKSON,2,0,0,1,1,0,0
121,JASPER,12,0,4,8,0,0,0
122,JEFF DAVIS,0,0,0,0,0,0,0
123,JEFFERSON,172,67,52,24,20,8,1
124,JIM HOGG,9,6,3,0,0,0,0
125,JIM WELLS,47,16,26,2,0,2,1
126,JOHNSON,129,38,36,35,14,6,0
127,JONES,2,0,1,0,0,1,0
128,KARNES,11,6,2,2,0,1,0
129,KAUFMAN,66,22,11,18,11,4,0
130,KENDALL,21,2,8,4,5,2,0
131,KENEDY,0,0,0,0,0,0,0
132,KENT,0,0,0,0,0,0,0
133,KERR,112,30,9,25,39,9,0
134,KIMBLE,3,0,0,1,0,2,0
135,KING,0,0,0,0,0,0,0
136,KINNEY,2,0,2,0,0,0,0
137,KLEBERG,22,0,9,9,2,2,0
138,KNOX,1,0,0,0,0,1,0
139,LAMAR,77,17,52,2,1,3,2
140,LAMB,11,8,0,0,0,3,0
141,LAMPASAS,29,7,7,3,3,9,0
142,LASALLE,2,0,0,0,0,2,0
143,LAVACA,7,0,3,4,0,0,0
144,LEE,27,20,1,4,2,0,0
145,LEON,6,2,3,1,0,0,0
146,LIBERTY,90,42,32,4,8,4,0
147,LIMESTONE,22,2,2,8,5,5,0
148,LIPSCOMB,2,0,1,0,0,1,0
149,LIVE OAK,10,0,9,0,0,1,0
150,LLANO,17,0,6,3,7,1,0
151,LOVING,0,0,0,0,0,0,0
152,LUBBOCK,352,109,54,95,47,44,3
153,LYNN,4,2,0,1,0,1,0
154,MADISON,23,6,8,2,4,2,1
155,MARION,12,3,1,4,2,2,0
156,MARTIN,1,0,1,0,0,0,0
157,MASON,4,2,0,1,0,1,0
158,MATAGORDA,21,0,15,1,1,1,3
159,MAVERICK,10,0,0,4,6,0,0
160,MCCULLOCH,7,4,1,1,0,1,0
161,MCLENNAN,169,53,26,31,35,21,3
162,MCMULLEN,1,1,0,0,0,0,0
163,MEDINA,95,24,19,27,21,4,0
164,MENARD,5,2,1,0,0,2,0
165,MIDLAND,73,34,17,8,10,3,1
166,MILAM,37,11,13,4,7,1,1
167,MILLS,6,3,2,0,0,1,0
168,MITCHELL,6,0,6,0,0,0,0
169,MONTAGUE,46,30,10,1,2,3,0
170,MONTGOMERY,364,115,105,44,69,21,10
171,MOORE,13,5,7,0,1,0,0
172,MORRIS,7,1,3,1,0,2,0
173,MOTLEY,0,0,0,0,0,0,0
174,NACOGDOCHES,43,11,14,2,12,4,0
175,NAVARRO,38,12,4,14,1,7,0
176,NEWTON,7,3,4,0,0,0,0
177,NOLAN,33,19,10,2,1,1,0
178,NUECES,420,186,111,51,45,23,4
179,OCHILTREE,5,2,0,0,1,2,0
180,OLDHAM,1,0,0,0,0,1,0
181,ORANGE,75,30,30,13,0,2,0
182,PALO PINTO,41,20,5,6,5,4,1
183,PANOLA,11,2,8,0,0,1,0
184,PARKER,22,10,3,2,3,3,1
185,PARMER,1,0,0,0,0,1,0
186,PECOS,19,6,5,2,2,4,0
187,POLK,36,18,11,4,2,1,0
188,POTTER,109,24,27,31,5,18,4
189,PRESIDIO,7,0,7,0,0,0,0
190,RAINS,8,4,1,3,0,0,0
191,RANDALL,185,62,48,38,19,15,3
192,REAGAN,3,0,0,3,0,0,0
193,REAL,2,1,0,0,0,1,0
194,RED RIVER,17,4,8,4,0,1,0
195,REEVES,2,1,0,0,1,0,0
196,REFUGIO,3,2,1,0,0,0,0
197,ROBERTS,0,0,0,0,0,0,0
198,ROBERTSON,9,1,2,0,2,4,0
199,ROCKWALL,23,1,17,3,1,1,0
200,RUNNELS,17,7,5,2,1,2,0
201,RUSK,51,21,18,3,3,4,2
202,SABINE,6,2,1,3,0,0,0
203,SAN AUGUSTINE,0,0,0,0,0,0,0
204,SAN JACINTO,28,15,6,2,3,2,0
205,SAN PATRICIO,35,10,15,5,1,4,0
206,SAN SABA,6,5,0,1,0,0,0
207,SCHLEICHER,2,2,0,0,0,0,0
208,SCURRY,6,0,1,0,3,2,0
209,SHACKELFORD,0,0,0,0,0,0,0
210,SHELBY,24,8,10,0,5,1,0
211,SHERMAN,0,0,0,0,0,0,0
212,SMITH,148,26,34,39,32,13,4
213,SOMERVELL,8,2,2,2,1,0,1
214,STARR,54,34,12,0,0,7,1
215,STEPHENS,0,0,0,0,0,0,0
216,STERLING,0,0,0,0,0,0,0
217,STONEWALL,0,0,0,0,0,0,0
218,SUTTON,1,0,1,0,0,0,0
219,SWISHER,17,3,10,3,0,1,0
220,TARRANT,766,275,201,156,61,68,5
221,TAYLOR,103,45,27,9,9,13,0
222,TERRELL,0,0,0,0,0,0,0
223,TERRY,23,5,3,2,10,3,0
224,THROCKMORTON,0,0,0,0,0,0,0
225,TITUS,23,9,8,1,2,3,0
226,TOM GREEN,167,54,55,22,20,16,0
227,TRAVIS,638,277,143,78,95,35,10
228,TRINITY,24,13,8,1,0,2,0
229,TYLER,8,3,4,1,0,0,0
230,UPSHUR,23,3,12,3,3,2,0
231,UPTON,6,3,2,0,0,1,0
232,UVALDE,40,17,4,7,7,5,0
233,VAL VERDE,7,3,1,1,2,0,0
234,VAN ZANDT,72,16,24,18,11,2,1
235,VICTORIA,63,21,18,6,13,5,0
236,WALKER,34,19,8,1,2,3,1
237,WALLER,39,13,11,5,6,3,1
238,WARD,5,2,2,0,0,0,1
239,WASHINGTON,17,10,4,1,2,0,0
240,WEBB,251,132,56,29,17,11,6
241,WHARTON,27,0,17,3,6,1,0
242,WHEELER,6,3,1,1,0,1,0
243,WICHITA,131,43,41,23,9,11,4
244,WILBARGER,10,3,1,5,0,1,0
245,WILLACY,14,6,5,2,1,0,0
246,WILLIAMSON,227,74,57,48,24,23,1
247,WILSON,18,10,6,2,0,0,0
248,WINKLER,2,0,1,0,0,1,0
249,WISE,40,15,12,6,0,7,0
250,WOOD,47,9,22,11,5,0,0
251,YOAKUM,5,2,0,0,2,1,0
252,YOUNG,9,3,4,1,0,1,0
253,ZAPATA,17,13,2,0,0,1,1
254,ZAVALA,10,0,3,4,2,1,0
255,OUT OF STATE,6,0,6,0,0,0,0
256,TOTAL,17625,5873,5135,2682,2358,1363,214
