,County,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Responsibility Terminated***
1,ANDERSON,122,0,41,6,16,24,47
2,ANDREWS,45,0,18,2,10,3,14
3,ANGELINA,83,0,42,7,11,14,23
4,ARANSAS,83,0,39,3,10,10,36
5,ARCHER,0,0,0,0,0,0,0
6,ARMSTRONG,3,0,3,0,0,0,0
7,ATASCOSA,171,0,90,4,37,28,33
8,AUSTIN,15,0,10,1,0,3,2
9,BAILEY,22,0,10,4,10,2,1
10,BANDERA,55,0,20,0,20,12,12
11,BASTROP,192,0,112,10,21,25,65
12,BAYLOR,4,0,3,1,0,0,0
13,BEE,103,0,69,7,10,3,34
14,BELL,794,4,447,17,92,100,283
15,BEXAR,4679,1,2198,95,936,884,1231
16,BLANCO,5,0,1,0,2,1,3
17,BORDEN,3,0,3,0,0,0,0
18,BOSQUE,33,0,24,0,1,3,7
19,BOWIE,193,0,135,0,22,12,83
20,BRAZORIA,234,0,89,23,20,12,118
21,BRAZOS,160,0,73,16,22,10,68
22,BREWSTER,3,0,0,1,0,0,3
23,BRISCOE,2,0,2,0,0,0,0
24,BROOKS,22,0,7,0,2,2,16
25,BROWN,119,0,63,3,14,29,16
26,BURLESON,31,0,18,0,4,2,7
27,BURNET,90,0,49,0,10,18,22
28,CALDWELL,122,0,61,6,24,28,28
29,CALHOUN,14,0,8,3,0,0,6
30,CALLAHAN,17,0,4,2,0,3,9
31,CAMERON,416,0,195,44,24,19,192
32,CAMP,42,0,20,4,6,2,16
33,CARSON,11,0,5,0,0,4,2
34,CASS,56,0,39,5,8,7,20
35,CASTRO,30,0,30,0,0,0,5
36,CHAMBERS,66,0,37,4,1,8,20
37,CHEROKEE,174,0,100,5,19,13,54
38,CHILDRESS,17,0,9,0,5,5,2
39,CLAY,7,0,2,0,2,2,1
40,COCHRAN,5,0,1,0,0,0,4
41,COKE,12,0,5,0,2,1,4
42,COLEMAN,26,0,9,5,4,1,10
43,COLLIN,358,0,168,24,59,33,137
44,COLLINGSWORTH,9,0,2,0,0,4,3
45,COLORADO,23,0,4,0,7,5,8
46,COMAL,182,0,79,17,26,32,58
47,COMANCHE,18,0,15,1,0,1,2
48,CONCHO,5,0,1,3,1,0,0
49,COOKE,67,0,27,0,20,4,18
50,CORYELL,198,0,101,16,5,8,103
51,COTTLE,0,0,0,0,0,0,0
52,CRANE,2,0,0,0,0,0,2
53,CROCKETT,4,0,2,0,0,1,2
54,CROSBY,13,0,6,0,1,5,2
55,CULBERSON,0,0,0,0,0,0,0
56,DALLAM,4,0,3,1,0,0,0
57,DALLAS,3316,56,1628,219,315,273,1321
58,DAWSON,30,0,14,3,10,1,3
59,DEAF SMITH,43,0,15,3,14,7,9
60,DELTA,14,0,8,0,1,0,5
61,DENTON,578,0,271,7,104,92,153
62,DEWITT,31,0,8,7,15,5,3
63,DICKENS,5,0,0,0,2,0,3
64,DIMMIT,31,0,5,3,12,5,7
65,DONLEY,10,0,4,4,0,0,7
66,DUVAL,17,0,7,0,2,1,8
67,EASTLAND,32,0,18,2,4,0,13
68,ECTOR,345,0,162,19,40,22,118
69,EDWARDS,7,0,0,2,5,0,0
70,ELLIS,69,0,25,0,13,16,27
71,EL PASO,647,0,298,37,118,89,211
72,ERATH,52,0,23,2,7,6,20
73,FALLS,16,0,9,0,7,0,1
74,FANNIN,23,0,3,2,2,5,13
75,FAYETTE,64,0,31,3,16,10,22
76,FISHER,2,0,2,0,0,0,0
77,FLOYD,27,0,16,0,2,3,7
78,FOARD,0,0,0,0,0,0,0
79,FORT BEND,191,0,73,14,15,34,75
80,FRANKLIN,8,0,6,0,0,2,1
81,FREESTONE,20,0,11,0,7,8,3
82,FRIO,84,0,44,0,14,15,14
83,GAINES,26,0,8,1,3,3,12
84,GALVESTON,264,0,99,14,34,43,101
85,GARZA,8,0,6,0,0,0,2
86,GILLESPIE,40,0,20,2,3,4,16
87,GLASSCOCK,0,0,0,0,0,0,0
88,GOLIAD,5,0,0,0,0,0,5
89,GONZALES,23,0,8,1,7,2,7
90,GRAY,114,0,26,23,26,11,41
91,GRAYSON,127,0,61,9,16,21,41
92,GREGG,207,0,85,4,43,19,66
93,GRIMES,29,0,13,0,3,6,8
94,GUADALUPE,211,0,119,5,33,21,71
95,HALE,83,0,50,1,8,7,22
96,HALL,11,0,4,3,2,1,1
97,HAMILTON,10,0,3,2,0,2,3
98,HANSFORD,1,0,0,0,0,0,1
99,HARDEMAN,9,0,4,3,0,1,1
100,HARDIN,36,0,16,4,7,6,12
101,HARRIS,5322,1,1839,230,1065,942,1638
102,HARRISON,93,0,45,5,5,2,57
103,HARTLEY,0,0,0,0,0,0,0
104,HASKELL,5,0,2,0,2,2,1
105,HAYS,145,0,89,4,16,6,56
106,HEMPHILL,6,0,4,0,0,1,1
107,HENDERSON,203,0,79,15,25,29,73
108,HIDALGO,1144,0,604,33,22,7,607
109,HILL,63,0,46,2,6,5,9
110,HOCKLEY,66,0,34,3,13,8,20
111,HOOD,90,0,54,5,13,5,25
112,HOPKINS,54,0,26,6,7,9,13
113,HOUSTON,41,0,21,4,4,3,13
114,HOWARD,90,0,60,6,9,8,13
115,HUDSPETH,4,0,1,0,0,0,3
116,HUNT,229,0,131,2,41,37,70
117,HUTCHINSON,53,0,24,1,7,2,22
118,IRION,4,0,0,0,0,0,4
119,JACK,15,0,6,0,0,1,8
120,JACKSON,2,0,0,0,1,2,0
121,JASPER,29,0,17,0,4,8,4
122,JEFF DAVIS,0,0,0,0,0,0,0
123,JEFFERSON,374,0,207,16,75,44,129
124,JIM HOGG,24,0,15,1,4,0,9
125,JIM WELLS,122,0,68,7,14,2,45
126,JOHNSON,314,0,154,2,62,49,80
127,JONES,7,0,2,0,3,0,2
128,KARNES,23,0,11,2,2,2,9
129,KAUFMAN,119,0,56,1,27,29,39
130,KENDALL,47,0,13,2,17,9,12
131,KENEDY,0,0,0,0,0,0,0
132,KENT,4,0,4,0,0,0,0
133,KERR,172,0,44,5,30,64,48
134,KIMBLE,14,0,8,0,3,1,2
135,KING,0,0,0,0,0,0,0
136,KINNEY,5,0,3,0,0,0,2
137,KLEBERG,59,0,19,3,20,11,11
138,KNOX,5,0,4,0,0,0,1
139,LAMAR,110,0,47,3,18,3,74
140,LAMB,16,0,5,0,1,0,11
141,LAMPASAS,62,0,31,3,8,6,23
142,LASALLE,24,0,12,0,13,0,2
143,LAVACA,25,0,16,0,2,4,3
144,LEE,52,0,16,5,11,6,21
145,LEON,23,0,12,1,6,1,5
146,LIBERTY,242,0,128,11,31,12,80
147,LIMESTONE,47,0,20,0,12,13,9
148,LIPSCOMB,8,0,2,1,5,0,2
149,LIVE OAK,21,0,17,0,1,0,10
150,LLANO,52,0,28,2,17,10,7
151,LOVING,0,0,0,0,0,0,0
152,LUBBOCK,708,0,292,21,148,142,211
153,LYNN,5,0,1,0,0,1,3
154,MADISON,40,0,18,2,1,6,17
155,MARION,24,0,11,0,3,6,7
156,MARTIN,2,0,1,0,0,0,1
157,MASON,5,0,0,0,2,1,3
158,MATAGORDA,45,0,22,1,8,2,19
159,MAVERICK,21,0,10,1,5,10,0
160,MCCULLOCH,18,0,11,0,2,1,6
161,MCLENNAN,408,0,174,23,78,66,103
162,MCMULLEN,3,0,3,0,0,0,1
163,MEDINA,175,0,68,5,30,48,48
164,MENARD,9,0,4,0,3,0,5
165,MIDLAND,185,0,80,16,37,18,55
166,MILAM,94,0,40,3,26,11,26
167,MILLS,8,0,4,2,1,0,6
168,MITCHELL,12,0,7,1,4,0,6
169,MONTAGUE,94,0,34,11,6,3,47
170,MONTGOMERY,724,0,331,40,92,113,261
171,MOORE,31,0,18,0,5,1,12
172,MORRIS,14,0,6,3,3,1,6
173,MOTLEY,0,0,0,0,0,0,0
174,NACOGDOCHES,145,0,66,8,41,14,29
175,NAVARRO,84,0,38,4,12,15,25
176,NEWTON,20,0,13,0,0,0,7
177,NOLAN,75,0,52,0,2,3,30
178,NUECES,572,0,231,27,66,96,323
179,OCHILTREE,12,0,6,1,1,1,4
180,OLDHAM,2,0,1,0,0,0,1
181,ORANGE,177,0,78,11,26,13,65
182,PALO PINTO,98,0,55,0,7,11,31
183,PANOLA,25,0,11,5,4,0,11
184,PARKER,78,0,47,2,10,5,18
185,PARMER,1,0,0,0,0,0,1
186,PECOS,30,0,16,0,0,4,15
187,POLK,93,0,47,10,11,6,30
188,POTTER,268,0,139,24,42,36,74
189,PRESIDIO,14,0,10,2,0,0,7
190,RAINS,18,0,8,0,2,3,5
191,RANDALL,370,0,180,29,25,57,128
192,REAGAN,4,0,1,0,0,3,0
193,REAL,6,0,1,0,3,0,2
194,RED RIVER,30,0,12,0,9,4,13
195,REEVES,7,0,0,5,0,1,1
196,REFUGIO,4,0,2,0,0,0,3
197,ROBERTS,0,0,0,0,0,0,0
198,ROBERTSON,30,0,18,0,3,2,7
199,ROCKWALL,41,0,16,0,7,4,19
200,RUNNELS,27,0,7,0,5,3,14
201,RUSK,98,0,47,1,10,6,45
202,SABINE,9,0,3,0,3,3,3
203,SAN AUGUSTINE,6,0,6,0,3,0,0
204,SAN JACINTO,62,0,33,1,5,5,23
205,SAN PATRICIO,92,0,64,0,7,6,29
206,SAN SABA,9,0,3,0,0,1,5
207,SCHLEICHER,5,0,3,0,0,0,2
208,SCURRY,19,0,10,1,2,3,3
209,SHACKELFORD,0,0,0,0,0,0,0
210,SHELBY,65,0,37,7,7,5,19
211,SHERMAN,0,0,0,0,0,0,0
212,SMITH,379,0,229,13,62,71,79
213,SOMERVELL,11,0,3,2,1,3,5
214,STARR,102,0,60,4,2,0,54
215,STEPHENS,2,0,2,0,0,0,0
216,STERLING,0,0,0,0,0,0,0
217,STONEWALL,0,0,0,0,0,0,0
218,SUTTON,6,0,3,2,0,0,1
219,SWISHER,18,0,0,0,1,3,14
220,TARRANT,1665,4,796,121,252,217,553
221,TAYLOR,251,0,135,29,17,18,90
222,TERRELL,0,0,0,0,0,0,0
223,TERRY,55,1,19,3,15,12,11
224,THROCKMORTON,0,0,0,0,0,0,0
225,TITUS,51,0,24,3,13,3,20
226,TOM GREEN,394,0,168,24,72,42,125
227,TRAVIS,1326,0,662,37,169,173,466
228,TRINITY,53,0,38,1,2,1,23
229,TYLER,15,0,7,0,2,1,7
230,UPSHUR,46,0,22,1,4,6,18
231,UPTON,8,0,2,0,0,0,6
232,UVALDE,92,0,36,2,25,14,27
233,VAL VERDE,30,0,23,2,1,3,4
234,VAN ZANDT,125,0,42,1,26,29,43
235,VICTORIA,158,0,85,6,21,19,44
236,WALKER,84,0,55,2,8,3,31
237,WALLER,72,0,25,7,3,11,28
238,WARD,7,0,1,0,1,0,5
239,WASHINGTON,48,0,28,2,8,3,14
240,WEBB,571,0,354,23,35,46,199
241,WHARTON,52,0,10,4,19,9,18
242,WHEELER,13,0,7,0,4,1,5
243,WICHITA,250,0,99,21,29,32,100
244,WILBARGER,26,0,17,0,0,5,5
245,WILLACY,43,0,20,8,2,3,11
246,WILLIAMSON,396,0,141,18,55,72,155
247,WILSON,77,0,49,3,16,2,16
248,WINKLER,7,0,4,1,2,0,2
249,WISE,92,0,44,2,13,6,34
250,WOOD,120,0,69,5,17,16,31
251,YOAKUM,9,0,3,0,1,2,3
252,YOUNG,30,0,8,0,14,1,10
253,ZAPATA,33,0,14,1,2,0,17
254,ZAVALA,35,0,15,0,10,6,5
255,OUT OF STATE,74,0,6,0,0,0,6
256,STATE TOTAL,37706,67,17447,1735,5707,5040,12679
