,County,Intakes,Completed Investigation,Confirmed Investigations
1,ANDERSON,4,4,0
2,ANDREWS,0,0,0
3,ANGELINA,219,194,35
4,ARANSAS,1,0,0
5,ARCHER,3,4,1
6,ARMSTRONG,0,0,0
7,ATASCOSA,1,2,0
8,AUSTIN,0,0,0
9,BAILEY,0,0,0
10,BANDERA,0,0,0
11,BASTROP,6,4,0
12,BAYLOR,0,0,0
13,BEE,1,1,0
14,BELL,93,85,11
15,BEXAR,1179,1064,99
16,BLANCO,0,0,0
17,BORDEN,0,0,0
18,BOSQUE,0,0,0
19,BOWIE,11,11,1
20,BRAZORIA,62,61,10
21,BRAZOS,38,36,1
22,BREWSTER,1,1,0
23,BRISCOE,0,0,0
24,BROOKS,2,2,0
25,BROWN,37,36,9
26,BURLESON,0,0,0
27,BURNET,0,0,0
28,CALDWELL,5,4,2
29,CALHOUN,0,0,0
30,CALLAHAN,0,0,0
31,CAMERON,297,268,38
32,CAMP,0,0,0
33,CARSON,0,0,0
34,CASS,1,1,0
35,CASTRO,0,0,0
36,CHAMBERS,0,0,0
37,CHEROKEE,523,492,17
38,CHILDRESS,0,0,0
39,CLAY,1,1,0
40,COCHRAN,0,0,0
41,COKE,0,0,0
42,COLEMAN,0,0,0
43,COLLIN,68,60,5
44,COLLINGSWORTH,0,0,0
45,COLORADO,0,0,0
46,COMAL,39,29,6
47,COMANCHE,0,0,0
48,CONCHO,0,0,0
49,COOKE,1,0,0
50,CORYELL,2,1,0
51,COTTLE,0,0,0
52,CRANE,0,0,0
53,CROCKETT,0,0,0
54,CROSBY,0,0,0
55,CULBERSON,0,0,0
56,DALLAM,0,0,0
57,DALLAS,255,212,35
58,DAWSON,0,0,0
59,DEAF SMITH,1,1,0
60,DELTA,0,0,0
61,DENTON,278,263,35
62,DEWITT,1,0,0
63,DICKENS,0,0,0
64,DIMMIT,0,0,0
65,DONLEY,0,0,0
66,DUVAL,0,0,0
67,EASTLAND,11,9,4
68,ECTOR,7,6,2
69,EDWARDS,0,0,0
70,ELLIS,3,4,2
71,EL PASO,273,274,52
72,ERATH,3,6,0
73,FALLS,2,2,0
74,FANNIN,0,0,0
75,FAYETTE,2,1,0
76,FISHER,0,0,0
77,FLOYD,0,0,0
78,FOARD,0,0,0
79,FORT BEND,245,227,26
80,FRANKLIN,3,9,1
81,FREESTONE,5,4,0
82,FRIO,1,0,0
83,GAINES,1,1,0
84,GALVESTON,31,25,2
85,GARZA,0,0,0
86,GILLESPIE,1,1,0
87,GLASSCOCK,0,0,0
88,GOLIAD,0,0,0
89,GONZALES,1,1,0
90,GRAY,7,6,3
91,GRAYSON,22,18,6
92,GREGG,107,110,10
93,GRIMES,0,1,1
94,GUADALUPE,26,24,7
95,HALE,1,1,0
96,HALL,0,0,0
97,HAMILTON,0,0,0
98,HANSFORD,0,0,0
99,HARDEMAN,0,0,0
100,HARDIN,7,7,0
101,HARRIS,412,356,70
102,HARRISON,0,0,0
103,HARTLEY,0,0,0
104,HASKELL,0,0,0
105,HAYS,30,24,5
106,HEMPHILL,0,0,0
107,HENDERSON,5,5,0
108,HIDALGO,37,36,7
109,HILL,0,0,0
110,HOCKLEY,6,6,1
111,HOOD,4,4,2
112,HOPKINS,3,2,0
113,HOUSTON,0,0,0
114,HOWARD,299,284,17
115,HUDSPETH,0,0,0
116,HUNT,17,14,3
117,HUTCHINSON,1,1,1
118,IRION,0,0,0
119,JACK,0,0,0
120,JACKSON,0,0,0
121,JASPER,2,1,0
122,JEFF DAVIS,0,0,0
123,JEFFERSON,99,94,31
124,JIM HOGG,0,0,0
125,JIM WELLS,3,3,1
126,JOHNSON,43,36,10
127,JONES,5,5,0
128,KARNES,0,0,0
129,KAUFMAN,160,151,9
130,KENDALL,0,0,0
131,KENEDY,0,0,0
132,KENT,0,0,0
133,KERR,83,82,2
134,KIMBLE,0,0,0
135,KING,0,0,0
136,KINNEY,0,0,0
137,KLEBERG,4,3,1
138,KNOX,0,0,0
139,LAMAR,14,12,0
140,LAMB,0,0,0
141,LAMPASAS,0,0,0
142,LASALLE,0,0,0
143,LAVACA,0,0,0
144,LEE,7,5,1
145,LEON,13,1,0
146,LIBERTY,13,10,3
147,LIMESTONE,1044,980,43
148,LIPSCOMB,0,0,0
149,LIVE OAK,0,0,0
150,LLANO,1,1,0
151,LOVING,0,0,0
152,LUBBOCK,300,288,68
153,LYNN,0,0,0
154,MADISON,2,2,0
155,MARION,2,1,0
156,MARTIN,0,0,0
157,MASON,0,0,0
158,MATAGORDA,6,6,1
159,MAVERICK,6,6,1
160,MCCULLOCH,0,0,0
161,MCLENNAN,104,92,4
162,MCMULLEN,0,0,0
163,MEDINA,3,2,0
164,MENARD,0,0,0
165,MIDLAND,36,35,1
166,MILAM,1,1,0
167,MILLS,0,0,0
168,MITCHELL,0,0,0
169,MONTAGUE,0,0,0
170,MONTGOMERY,39,31,6
171,MOORE,0,1,0
172,MORRIS,0,1,0
173,MOTLEY,0,0,0
174,NACOGDOCHES,3,4,1
175,NAVARRO,45,46,5
176,NEWTON,2,2,1
177,NOLAN,3,3,1
178,NUECES,591,560,49
179,OCHILTREE,0,0,0
180,OLDHAM,0,0,0
181,ORANGE,9,9,2
182,PALO PINTO,1,1,1
183,PANOLA,2,1,0
184,PARKER,0,1,0
185,PARMER,0,0,0
186,PECOS,0,0,0
187,POLK,0,0,0
188,POTTER,23,22,7
189,PRESIDIO,0,0,0
190,RAINS,0,0,0
191,RANDALL,102,90,33
192,REAGAN,0,0,0
193,REAL,0,0,0
194,RED RIVER,0,0,0
195,REEVES,0,0,0
196,REFUGIO,0,0,0
197,ROBERTS,0,0,0
198,ROBERTSON,3,2,0
199,ROCKWALL,4,2,0
200,RUNNELS,0,0,0
201,RUSK,1,1,0
202,SABINE,0,0,0
203,SAN AUGUSTINE,8,7,0
204,SAN JACINTO,0,0,0
205,SAN PATRICIO,3,3,0
206,SAN SABA,0,0,0
207,SCHLEICHER,0,0,0
208,SCURRY,0,0,0
209,SHACKELFORD,0,0,0
210,SHELBY,1,0,0
211,SHERMAN,0,0,0
212,SMITH,29,25,1
213,SOMERVELL,0,0,0
214,STARR,6,0,0
215,STEPHENS,1,1,0
216,STERLING,0,0,0
217,STONEWALL,0,0,0
218,SUTTON,0,0,0
219,SWISHER,0,0,0
220,TARRANT,316,280,65
221,TAYLOR,489,481,80
222,TERRELL,0,0,0
223,TERRY,1,0,0
224,THROCKMORTON,0,0,0
225,TITUS,12,8,1
226,TOM GREEN,910,889,98
227,TRAVIS,1078,1001,120
228,TRINITY,0,0,0
229,TYLER,0,0,0
230,UPSHUR,4,4,2
231,UPTON,0,0,0
232,UVALDE,2,2,0
233,VAL VERDE,5,4,0
234,VAN ZANDT,3,2,0
235,VICTORIA,6,5,0
236,WALKER,4,3,2
237,WALLER,8,8,2
238,WARD,2,1,0
239,WASHINGTON,178,173,11
240,WEBB,21,21,6
241,WHARTON,6,7,2
242,WHEELER,0,0,0
243,WICHITA,350,341,27
244,WILBARGER,588,569,23
245,WILLACY,0,0,0
246,WILLIAMSON,69,63,7
247,WILSON,3,3,2
248,WINKLER,0,0,0
249,WISE,0,0,0
250,WOOD,0,0,0
251,YOAKUM,0,0,0
252,YOUNG,2,2,1
253,ZAPATA,0,0,0
254,ZAVALA,0,0,0
255,UNKNOWN,0,0,0
256,STATE TOTAL,11587,10803,1259
