,County,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***
1,ANDERSON,0,0,0
2,ANDREWS,0,1,0
3,ANGELINA,0,8,1
4,ARANSAS,0,2,0
5,ARCHER,0,0,0
6,ARMSTRONG,0,0,0
7,ATASCOSA,0,2,2
8,AUSTIN,0,0,3
9,BAILEY,0,0,0
10,BANDERA,0,1,1
11,BASTROP,2,4,4
12,BAYLOR,0,0,0
13,BEE,0,0,2
14,BELL,7,48,12
15,BEXAR,4,94,80
16,BLANCO,0,0,1
17,BORDEN,0,0,0
18,BOSQUE,0,1,0
19,BOWIE,0,9,4
20,BRAZORIA,2,21,15
21,BRAZOS,2,8,4
22,BREWSTER,0,0,1
23,BRISCOE,0,1,0
24,BROOKS,0,1,0
25,BROWN,0,6,1
26,BURLESON,0,2,1
27,BURNET,0,3,1
28,CALDWELL,0,0,0
29,CALHOUN,1,1,0
30,CALLAHAN,0,0,0
31,CAMERON,5,14,6
32,CAMP,0,0,0
33,CARSON,0,0,1
34,CASS,0,5,2
35,CASTRO,0,5,0
36,CHAMBERS,0,2,1
37,CHEROKEE,2,1,3
38,CHILDRESS,0,0,0
39,CLAY,0,1,0
40,COCHRAN,0,0,0
41,COKE,0,0,0
42,COLEMAN,0,1,1
43,COLLIN,2,22,6
44,COLLINGSWORTH,0,0,0
45,COLORADO,0,0,0
46,COMAL,0,7,3
47,COMANCHE,2,1,1
48,CONCHO,0,0,1
49,COOKE,0,0,1
50,CORYELL,1,8,6
51,COTTLE,0,0,0
52,CRANE,0,0,0
53,CROCKETT,0,0,0
54,CROSBY,0,0,0
55,CULBERSON,0,0,0
56,DALLAM,0,0,1
57,DALLAS,25,93,24
58,DAWSON,0,1,0
59,DEAF SMITH,0,1,0
60,DELTA,0,0,0
61,DENTON,1,14,3
62,DEWITT,0,0,1
63,DICKENS,0,0,0
64,DIMMIT,0,1,2
65,DONLEY,0,2,0
66,DUVAL,0,0,0
67,EASTLAND,1,1,0
68,ECTOR,0,10,2
69,EDWARDS,0,0,0
70,ELLIS,0,11,3
71,EL PASO,2,42,9
72,ERATH,0,1,0
73,FALLS,1,2,0
74,FANNIN,0,4,2
75,FAYETTE,0,0,1
76,FISHER,0,1,0
77,FLOYD,0,0,0
78,FOARD,0,0,0
79,FORT BEND,6,25,24
80,FRANKLIN,0,1,0
81,FREESTONE,0,0,1
82,FRIO,0,2,0
83,GAINES,0,2,0
84,GALVESTON,2,20,13
85,GARZA,0,1,0
86,GILLESPIE,0,0,0
87,GLASSCOCK,0,0,0
88,GOLIAD,1,1,0
89,GONZALES,0,0,1
90,GRAY,0,1,0
91,GRAYSON,2,10,0
92,GREGG,0,5,5
93,GRIMES,2,3,0
94,GUADALUPE,0,6,4
95,HALE,0,3,2
96,HALL,0,0,0
97,HAMILTON,0,0,0
98,HANSFORD,0,1,0
99,HARDEMAN,0,4,0
100,HARDIN,0,3,1
101,HARRIS,23,146,169
102,HARRISON,2,13,1
103,HARTLEY,0,1,0
104,HASKELL,0,1,0
105,HAYS,0,4,6
106,HEMPHILL,0,1,0
107,HENDERSON,1,8,3
108,HIDALGO,0,15,3
109,HILL,0,0,2
110,HOCKLEY,0,5,0
111,HOOD,0,1,0
112,HOPKINS,0,0,1
113,HOUSTON,0,4,0
114,HOWARD,0,3,2
115,HUDSPETH,0,1,0
116,HUNT,0,10,1
117,HUTCHINSON,0,3,0
118,IRION,0,0,0
119,JACK,0,2,1
120,JACKSON,0,2,0
121,JASPER,1,7,1
122,JEFF DAVIS,0,0,0
123,JEFFERSON,10,37,10
124,JIM HOGG,0,0,0
125,JIM WELLS,0,0,2
126,JOHNSON,0,5,7
127,JONES,0,1,0
128,KARNES,0,0,1
129,KAUFMAN,0,7,2
130,KENDALL,0,1,0
131,KENEDY,0,0,0
132,KENT,0,0,0
133,KERR,0,1,1
134,KIMBLE,0,1,0
135,KING,0,0,0
136,KINNEY,0,1,0
137,KLEBERG,0,2,0
138,KNOX,0,0,0
139,LAMAR,0,0,0
140,LAMB,0,1,0
141,LAMPASAS,0,1,0
142,LASALLE,0,0,0
143,LAVACA,0,4,0
144,LEE,0,2,1
145,LEON,0,1,2
146,LIBERTY,1,4,2
147,LIMESTONE,0,1,2
148,LIPSCOMB,0,0,0
149,LIVE OAK,0,0,0
150,LLANO,0,0,1
151,LOVING,0,0,0
152,LUBBOCK,3,42,4
