,County,Total,African American,Anglo,Hispanic,Native American,Other**
116,HUNT,129,21,79,23,0,6
117,HUTCHINSON,24,0,14,8,0,2
118,IRION,0,0,0,0,0,0
119,JACK,8,0,7,0,0,1
120,JACKSON,0,0,0,0,0,0
121,JASPER,17,5,11,0,0,1
122,JEFF DAVIS,0,0,0,0,0,0
123,JEFFERSON,202,109,66,16,0,11
124,JIM HOGG,15,0,0,14,0,1
125,JIM WELLS,68,0,0,63,0,5
126,JOHNSON,150,3,116,22,0,9
127,JONES,2,1,0,1,0,0
128,KARNES,11,0,2,9,0,0
129,KAUFMAN,58,18,33,6,0,1
130,KENDALL,13,0,7,6,0,0
131,KENEDY,0,0,0,0,0,0
132,KENT,4,0,4,0,0,0
133,KERR,44,4,17,18,0,5
134,KIMBLE,8,0,8,0,0,0
135,KING,0,0,0,0,0,0
136,KINNEY,3,0,0,1,0,2
137,KLEBERG,19,1,0,18,0,0
138,KNOX,4,0,4,0,0,0
139,LAMAR,47,4,35,1,0,7
140,LAMB,5,0,2,3,0,0
141,LAMPASAS,30,0,16,14,0,0
142,LASALLE,12,0,0,11,0,1
143,LAVACA,16,0,10,5,0,1
144,LEE,16,4,4,6,0,2
145,LEON,12,5,3,2,0,2
146,LIBERTY,123,14,85,14,1,9
147,LIMESTONE,20,6,9,4,0,1
148,LIPSCOMB,2,0,2,0,0,0
149,LIVE OAK,15,0,2,13,0,0
150,LLANO,28,0,22,3,1,2
151,LOVING,0,0,0,0,0,0
152,LUBBOCK,276,50,66,143,1,16
153,LYNN,1,0,0,1,0,0
154,MADISON,20,7,11,1,0,1
155,MARION,9,1,8,0,0,0
156,MARTIN,1,0,0,1,0,0
157,MASON,0,0,0,0,0,0
158,MATAGORDA,22,4,1,10,0,7
159,MAVERICK,10,0,0,10,0,0
160,MCCULLOCH,11,0,10,1,0,0
161,MCLENNAN,157,30,71,39,0,17
162,MCMULLEN,2,0,2,0,0,0
163,MEDINA,66,1,15,48,0,2
164,MENARD,4,0,4,0,0,0
165,MIDLAND,73,5,30,31,0,7
166,MILAM,41,7,19,15,0,0
167,MILLS,4,0,4,0,0,0
168,MITCHELL,7,0,6,1,0,0
169,MONTAGUE,30,0,29,1,0,0
170,MONTGOMERY,318,16,216,73,1,12
171,MOORE,18,0,7,10,0,1
172,MORRIS,4,1,2,0,0,1
173,MOTLEY,0,0,0,0,0,0
174,NACOGDOCHES,67,24,15,20,0,8
175,NAVARRO,37,11,25,0,0,1
176,NEWTON,13,5,8,0,0,0
177,NOLAN,51,8,19,22,0,2
178,NUECES,211,15,42,135,0,19
179,OCHILTREE,6,0,0,5,0,1
180,OLDHAM,1,0,1,0,0,0
181,ORANGE,79,14,60,1,0,4
182,PALO PINTO,53,2,38,12,0,1
183,PANOLA,11,0,10,0,0,1
184,PARKER,45,0,31,12,0,2
185,PARMER,0,0,0,0,0,0
186,PECOS,16,0,8,8,0,0
187,POLK,45,1,39,0,0,5
188,POTTER,105,29,30,35,0,11
189,PRESIDIO,10,1,0,9,0,0
190,RAINS,6,0,6,0,0,0
191,RANDALL,135,11,65,44,0,15
192,REAGAN,1,0,0,0,0,1
193,REAL,1,0,1,0,0,0
194,RED RIVER,11,1,7,0,0,3
195,REEVES,0,0,0,0,0,0
196,REFUGIO,2,0,0,2,0,0
197,ROBERTS,0,0,0,0,0,0
198,ROBERTSON,18,11,4,2,0,1
199,ROCKWALL,16,0,11,5,0,0
200,RUNNELS,7,0,2,5,0,0
201,RUSK,44,5,30,8,0,1
202,SABINE,3,0,3,0,0,0
203,SAN AUGUSTINE,6,0,6,0,0,0
204,SAN JACINTO,33,0,27,2,0,4
205,SAN PATRICIO,62,0,11,51,0,0
206,SAN SABA,3,0,3,0,0,0
207,SCHLEICHER,3,0,1,2,0,0
208,SCURRY,9,0,3,6,0,0
209,SHACKELFORD,0,0,0,0,0,0
210,SHELBY,38,8,16,9,0,5
211,SHERMAN,0,0,0,0,0,0
212,SMITH,231,53,132,33,0,13
213,SOMERVELL,3,0,1,2,0,0
214,STARR,58,0,0,58,0,0
215,STEPHENS,2,0,0,2,0,0
216,STERLING,0,0,0,0,0,0
217,STONEWALL,0,0,0,0,0,0
218,SUTTON,3,0,0,3,0,0
219,SWISHER,0,0,0,0,0,0
220,TARRANT,787,219,247,252,1,68
221,TAYLOR,130,20,50,49,0,11
222,TERRELL,0,0,0,0,0,0
223,TERRY,20,3,3,13,0,1
224,THROCKMORTON,0,0,0,0,0,0
225,TITUS,24,5,8,10,0,1
226,TOM GREEN,169,6,77,77,0,9
227,TRAVIS,647,154,130,322,1,40
228,TRINITY,36,9,23,2,0,2
229,TYLER,7,0,5,0,0,2
230,UPSHUR,21,4,12,3,0,2
231,UPTON,2,0,0,2,0,0
232,UVALDE,36,1,7,26,0,2
233,VAL VERDE,21,0,1,19,0,1
234,VAN ZANDT,43,0,32,11,0,0
235,VICTORIA,86,7,13,55,0,11
236,WALKER,49,15,21,9,0,4
237,WALLER,23,12,11,0,0,0
238,WARD,1,0,1,0,0,0
239,WASHINGTON,28,13,3,12,0,0
240,WEBB,357,6,16,332,0,3
241,WHARTON,10,4,0,6,0,0
242,WHEELER,7,0,4,3,0,0
243,WICHITA,100,17,61,13,0,9
244,WILBARGER,17,1,4,12,0,0
245,WILLACY,20,0,1,19,0,0
246,WILLIAMSON,139,16,44,63,0,16
247,WILSON,49,3,14,31,0,1
248,WINKLER,4,0,1,3,0,0
249,WISE,43,0,33,8,0,2
250,WOOD,68,0,54,8,0,6
251,YOAKUM,3,0,0,3,0,0
252,YOUNG,6,0,4,2,0,0
253,ZAPATA,15,0,1,14,0,0
254,ZAVALA,13,0,0,13,0,0
255,UNKNOWN,8,3,3,2,0,0
256,OUT OF STATE,8,0,5,3,0,0
257,STATE TOTAL,16972,3170,5241,7465,15,1081
