,County,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location
1,ANDERSON,665,583,6
2,ANDREWS,149,129,2
3,ANGELINA,984,789,7
4,ARANSAS,303,275,0
5,ARCHER,35,27,0
6,ARMSTRONG,17,17,0
7,ATASCOSA,540,463,4
8,AUSTIN,175,152,3
9,BAILEY,55,51,0
10,BANDERA,185,147,0
11,BASTROP,884,729,10
12,BAYLOR,56,51,0
13,BEE,388,326,7
14,BELL,4388,3900,28
15,BEXAR,20948,17220,170
16,BLANCO,71,61,0
17,BORDEN,7,2,0
18,BOSQUE,173,148,0
19,BOWIE,1074,895,9
20,BRAZORIA,2310,1991,22
21,BRAZOS,1201,1052,13
22,BREWSTER,67,59,0
23,BRISCOE,6,4,0
24,BROOKS,136,127,0
25,BROWN,504,389,2
26,BURLESON,161,141,1
27,BURNET,511,444,6
28,CALDWELL,482,393,2
29,CALHOUN,240,202,3
30,CALLAHAN,176,134,0
31,CAMERON,4549,3806,43
32,CAMP,132,111,0
33,CARSON,57,44,0
34,CASS,382,313,4
35,CASTRO,75,63,0
36,CHAMBERS,292,249,0
37,CHEROKEE,628,554,5
38,CHILDRESS,90,79,1
39,CLAY,67,58,0
40,COCHRAN,22,22,0
41,COKE,35,34,0
42,COLEMAN,121,89,1
43,COLLIN,4578,3824,35
44,COLLINGSWORTH,28,22,2
45,COLORADO,152,138,1
46,COMAL,1051,876,10
47,COMANCHE,130,108,0
48,CONCHO,24,22,0
49,COOKE,483,445,5
50,CORYELL,937,860,8
51,COTTLE,18,18,0
52,CRANE,25,17,0
53,CROCKETT,37,32,0
54,CROSBY,91,88,0
55,CULBERSON,18,13,0
56,DALLAM,77,71,1
57,DALLAS,21273,18533,176
58,DAWSON,167,144,1
59,DEAF SMITH,229,187,3
60,DELTA,63,52,0
61,DENTON,4483,3790,37
62,DEWITT,214,156,1
63,DICKENS,27,25,0
64,DIMMIT,123,103,0
65,DONLEY,42,38,0
66,DUVAL,123,109,0
67,EASTLAND,229,182,0
68,ECTOR,1917,1666,19
69,EDWARDS,16,12,0
70,ELLIS,1237,1035,6
71,EL PASO,7111,5959,55
72,ERATH,329,298,3
73,FALLS,130,111,1
74,FANNIN,347,312,2
75,FAYETTE,172,146,0
76,FISHER,43,37,0
77,FLOYD,88,82,0
78,FOARD,13,11,0
79,FORT BEND,2558,2208,22
80,FRANKLIN,112,93,1
81,FREESTONE,131,109,0
82,FRIO,283,248,4
83,GAINES,117,94,0
84,GALVESTON,2986,2600,23
85,GARZA,82,72,0
86,GILLESPIE,175,139,0
87,GLASSCOCK,1,1,0
88,GOLIAD,82,71,0
89,GONZALES,248,201,3
90,GRAY,352,331,5
91,GRAYSON,1557,1355,14
92,GREGG,1380,1158,13
93,GRIMES,230,199,0
94,GUADALUPE,1401,1054,10
95,HALE,390,359,3
96,HALL,58,56,0
97,HAMILTON,76,67,2
98,HANSFORD,27,20,0
99,HARDEMAN,50,41,0
100,HARDIN,603,484,4
101,HARRIS,30773,25985,243
102,HARRISON,721,631,5
103,HARTLEY,14,14,0
104,HASKELL,56,45,4
105,HAYS,1157,971,12
106,HEMPHILL,15,14,0
107,HENDERSON,1068,923,5
108,HIDALGO,8306,7167,67
109,HILL,349,307,4
110,HOCKLEY,287,251,1
111,HOOD,623,546,6
112,HOPKINS,301,252,4
113,HOUSTON,206,175,1
114,HOWARD,429,371,3
115,HUDSPETH,22,16,0
116,HUNT,990,900,10
117,HUTCHINSON,340,298,4
118,IRION,8,8,0
119,JACK,81,65,0
120,JACKSON,124,108,0
121,JASPER,383,339,5
122,JEFF DAVIS,5,5,0
123,JEFFERSON,2495,2272,24
124,JIM HOGG,58,53,0
125,JIM WELLS,557,522,7
126,JOHNSON,1879,1684,16
127,JONES,245,192,0
128,KARNES,158,122,0
129,KAUFMAN,964,836,11
130,KENDALL,152,131,1
131,KENEDY,7,5,0
132,KENT,4,4,0
133,KERR,513,437,7
134,KIMBLE,66,61,0
135,KING,1,1,0
136,KINNEY,12,10,0
137,KLEBERG,311,283,4
138,KNOX,32,27,0
139,LAMAR,587,464,5
140,LAMB,200,177,2
141,LAMPASAS,246,222,1
142,LASALLE,64,59,0
143,LAVACA,143,118,1
144,LEE,156,123,2
145,LEON,170,149,0
146,LIBERTY,935,819,8
147,LIMESTONE,248,208,3
148,LIPSCOMB,29,23,0
149,LIVE OAK,136,109,0
150,LLANO,220,199,0
151,LOVING,0,0,0
152,LUBBOCK,3288,2987,34
153,LYNN,56,47,0
154,MADISON,119,108,2
155,MARION,172,148,0
156,MARTIN,26,23,0
157,MASON,17,15,0
158,MATAGORDA,303,267,2
159,MAVERICK,294,249,3
