,County,Region,Intakes,Completed Investigations,Confirmed Investigations
1,ANDERSON,004,5,3,0
2,ANDREWS,009,0,0,0
3,ANGELINA,005,231,212,44
4,ARANSAS,011,0,0,0
5,ARCHER,002,0,0,0
6,ARMSTRONG,001,0,0,0
7,ATASCOSA,008,3,1,0
8,AUSTIN,006,2,3,0
9,BAILEY,001,0,0,0
10,BANDERA,008,0,0,0
11,BASTROP,007,10,11,4
12,BAYLOR,002,0,0,0
13,BEE,011,4,4,0
14,BELL,007,78,69,13
15,BEXAR,008,1395,1276,125
16,BLANCO,007,0,0,0
17,BORDEN,009,0,0,0
18,BOSQUE,007,0,0,0
19,BOWIE,004,7,8,2
20,BRAZORIA,006,42,45,6
21,BRAZOS,007,36,40,3
22,BREWSTER,010,0,0,0
23,BRISCOE,001,0,0,0
24,BROOKS,011,0,0,0
25,BROWN,002,30,30,9
26,BURLESON,007,2,1,0
27,BURNET,007,1,1,1
28,CALDWELL,007,15,9,1
29,CALHOUN,008,1,1,0
30,CALLAHAN,002,0,0,0
31,CAMERON,011,330,297,16
32,CAMP,004,0,0,0
33,CARSON,001,0,0,0
34,CASS,004,2,2,0
35,CASTRO,001,0,0,0
36,CHAMBERS,006,0,0,0
37,CHEROKEE,004,629,583,37
38,CHILDRESS,001,0,0,0
39,CLAY,002,1,1,0
40,COCHRAN,001,0,0,0
41,COKE,009,0,0,0
42,COLEMAN,002,0,0,0
43,COLLIN,003,61,57,3
44,COLLINGSWORTH,001,0,0,0
45,COLORADO,006,2,1,0
46,COMAL,008,39,33,3
47,COMANCHE,002,0,0,0
48,CONCHO,009,0,0,0
49,COOKE,003,0,0,0
50,CORYELL,007,4,5,1
51,COTTLE,002,0,0,0
52,CRANE,009,0,0,0
53,CROCKETT,009,0,0,0
54,CROSBY,001,0,0,0
55,CULBERSON,010,0,0,0
56,DALLAM,001,0,0,0
57,DALLAS,003,362,301,28
58,DAWSON,009,0,0,0
59,DEAF SMITH,001,2,2,1
60,DELTA,004,0,0,0
61,DENTON,003,315,289,34
62,DEWITT,008,0,0,0
63,DICKENS,001,0,0,0
64,DIMMIT,008,0,0,0
65,DONLEY,001,0,0,0
66,DUVAL,011,0,0,0
67,EASTLAND,002,15,15,9
68,ECTOR,009,6,5,0
69,EDWARDS,008,0,0,0
70,ELLIS,003,7,4,1
71,EL PASO,010,363,340,45
72,ERATH,003,4,5,0
73,FALLS,007,5,6,0
74,FANNIN,003,0,0,0
75,FAYETTE,007,8,6,1
76,FISHER,002,0,0,0
77,FLOYD,001,0,0,0
78,FOARD,002,0,0,0
79,FORT BEND,006,339,331,43
80,FRANKLIN,004,4,2,1
81,FREESTONE,007,3,3,0
82,FRIO,008,0,0,0
83,GAINES,009,0,0,0
84,GALVESTON,006,19,16,3
85,GARZA,001,0,0,0
86,GILLESPIE,008,2,2,0
87,GLASSCOCK,009,0,0,0
88,GOLIAD,008,0,0,0
89,GONZALES,008,2,2,1
90,GRAY,001,5,5,2
91,GRAYSON,003,20,17,2
92,GREGG,004,66,59,6
93,GRIMES,007,1,1,0
94,GUADALUPE,008,48,36,1
95,HALE,001,8,7,2
96,HALL,001,0,0,0
97,HAMILTON,007,0,0,0
98,HANSFORD,001,0,0,0
99,HARDEMAN,002,0,0,0
100,HARDIN,005,7,8,1
101,HARRIS,006,466,447,54
102,HARRISON,004,5,6,0
103,HARTLEY,001,0,0,0
104,HASKELL,002,0,0,0
105,HAYS,007,24,22,1
106,HEMPHILL,001,0,0,0
107,HENDERSON,004,11,10,2
108,HIDALGO,011,28,27,4
109,HILL,007,0,0,0
110,HOCKLEY,001,6,4,0
111,HOOD,003,2,3,1
112,HOPKINS,004,7,5,1
113,HOUSTON,005,0,0,0
114,HOWARD,009,337,306,32
115,HUDSPETH,010,0,0,0
116,HUNT,003,20,20,3
117,HUTCHINSON,001,0,2,0
118,IRION,009,0,0,0
119,JACK,002,0,0,0
120,JACKSON,008,0,0,0
121,JASPER,005,1,2,1
122,JEFF DAVIS,010,0,0,0
123,JEFFERSON,005,112,97,21
124,JIM HOGG,011,0,0,0
125,JIM WELLS,011,1,1,0
126,JOHNSON,003,56,54,11
127,JONES,002,1,2,0
128,KARNES,008,0,0,0
129,KAUFMAN,003,220,212,6
130,KENDALL,008,0,0,0
131,KENEDY,011,0,0,0
132,KENT,002,0,0,0
133,KERR,008,56,52,2
134,KIMBLE,009,0,0,0
135,KING,001,0,0,0
136,KINNEY,008,0,0,0
137,KLEBERG,011,8,7,0
138,KNOX,002,0,0,0
139,LAMAR,004,18,14,4
140,LAMB,001,0,0,0
141,LAMPASAS,007,0,0,0
142,LASALLE,008,0,0,0
143,LAVACA,008,0,0,0
144,LEE,007,2,2,0
145,LEON,007,0,0,0
146,LIBERTY,006,8,8,1
147,LIMESTONE,007,712,665,47
148,LIPSCOMB,001,0,0,0
149,LIVE OAK,011,0,0,0
150,LLANO,007,3,3,1
151,LOVING,009,0,0,0
152,LUBBOCK,001,330,300,48
153,LYNN,001,0,0,0
154,MADISON,007,5,5,0
155,MARION,004,0,0,0
156,MARTIN,009,0,0,0
157,MASON,009,0,0,0
158,MATAGORDA,006,11,7,0
159,MAVERICK,008,1,2,0
160,MCCULLOCH,009,0,0,0
161,MCLENNAN,007,134,120,10
162,MCMULLEN,011,0,0,0
163,MEDINA,008,0,1,0
164,MENARD,009,0,0,0
165,MIDLAND,009,31,26,2
166,MILAM,007,0,0,0
167,MILLS,007,0,0,0
168,MITCHELL,002,0,0,0
169,MONTAGUE,002,0,0,0
170,MONTGOMERY,006,47,44,1
171,MOORE,001,0,0,0
172,MORRIS,004,0,0,0
