,County,Region,Total,African American,Anglo,Hispanic,Native American,Other**
1,ANDERSON,004,208,50,109,37,0,12
2,ANDREWS,009,39,0,19,18,0,2
3,ANGELINA,005,304,55,179,44,0,26
4,ARANSAS,011,137,4,64,59,0,10
5,ARCHER,002,35,3,30,0,1,1
6,ARMSTRONG,001,6,0,6,0,0,0
7,ATASCOSA,008,210,4,33,169,0,4
8,AUSTIN,006,47,12,23,6,0,6
9,BAILEY,001,27,0,8,16,0,3
10,BANDERA,008,54,0,45,5,0,4
11,BASTROP,007,291,35,131,112,0,13
12,BAYLOR,002,9,0,6,3,0,0
13,BEE,011,132,3,33,93,0,3
14,BELL,007,1046,280,391,245,1,129
15,BEXAR,008,5434,496,758,3961,3,216
16,BLANCO,007,29,0,22,6,0,1
17,BORDEN,009,0,0,0,0,0,0
18,BOSQUE,007,55,3,35,9,0,8
19,BOWIE,004,265,112,124,10,0,19
20,BRAZORIA,006,551,64,280,172,0,35
21,BRAZOS,007,308,76,107,104,0,21
22,BREWSTER,010,11,0,2,6,0,3
23,BRISCOE,001,7,0,2,3,0,2
24,BROOKS,011,43,0,0,43,0,0
25,BROWN,002,162,5,109,30,0,18
26,BURLESON,007,70,10,43,11,0,6
27,BURNET,007,172,1,116,42,0,13
28,CALDWELL,007,122,11,26,80,0,5
29,CALHOUN,008,128,2,40,83,0,3
30,CALLAHAN,002,46,0,37,6,0,3
31,CAMERON,011,1547,4,64,1467,1,11
32,CAMP,004,39,13,11,15,0,0
33,CARSON,001,21,1,18,1,0,1
34,CASS,004,113,7,91,6,1,8
35,CASTRO,001,18,0,1,17,0,0
36,CHAMBERS,006,88,2,68,12,1,5
37,CHEROKEE,004,184,31,108,21,0,24
38,CHILDRESS,001,15,1,4,9,0,1
39,CLAY,002,20,1,18,1,0,0
40,COCHRAN,001,13,0,3,10,0,0
41,COKE,009,6,0,4,2,0,0
42,COLEMAN,002,29,0,20,7,1,1
43,COLLIN,003,1393,211,726,304,3,149
44,COLLINGSWORTH,001,11,0,4,7,0,0
45,COLORADO,006,29,5,9,15,0,0
46,COMAL,008,435,2,168,250,1,14
47,COMANCHE,002,45,0,28,17,0,0
48,CONCHO,009,7,0,5,2,0,0
49,COOKE,003,198,11,128,50,2,7
50,CORYELL,007,259,33,157,33,2,34
51,COTTLE,002,9,0,5,4,0,0
52,CRANE,009,3,0,1,2,0,0
53,CROCKETT,009,25,0,3,19,0,3
54,CROSBY,001,59,2,11,40,0,6
55,CULBERSON,010,13,0,2,11,0,0
56,DALLAM,001,16,1,5,10,0,0
57,DALLAS,003,5967,2292,1100,2195,8,372
58,DAWSON,009,105,1,13,87,0,4
59,DEAF SMITH,001,50,2,11,37,0,0
60,DELTA,004,17,3,11,1,0,2
61,DENTON,003,972,151,485,239,1,96
62,DE WITT,008,60,4,17,36,0,3
