,County,Region,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in Foster Care at Time*
1,ANGELINA,005,1,0
2,ARANSAS,011,1,0
3,ATASCOSA,008,1,0
4,BASTROP,007,1,0
5,BELL,007,1,0
6,BEXAR,008,12,1
7,BOWIE,004,1,0
8,BRAZORIA,006,1,0
9,CALLAHAN,002,1,0
10,CAMP,004,1,0
11,CHAMBERS,006,1,0
12,CHEROKEE,004,1,0
13,COLLIN,003,4,1
14,DALLAS,003,14,1
15,DENTON,003,3,0
16,DIMMIT,008,1,0
17,ECTOR,009,2,0
18,ELLIS,003,1,1
19,EL PASO,010,4,0
20,GALVESTON,006,3,0
21,GARZA,001,1,0
22,GRAYSON,003,1,0
23,HAMILTON,007,1,0
24,HARDIN,005,1,0
25,HARRIS,006,21,0
26,HARRISON,004,1,0
27,HAYS,007,1,0
28,HENDERSON,004,2,0
29,JASPER,005,1,0
30,JEFFERSON,005,4,0
31,JOHNSON,003,1,0
32,KENDALL,008,1,0
33,LAMAR,004,1,0
34,LAMPASAS,007,1,0
35,LIMESTONE,007,1,0
36,MCLENNAN,007,3,0
37,MONTGOMERY,006,1,0
38,NACOGDOCHES,005,2,0
39,NAVARRO,003,1,0
40,NOLAN,002,1,0
41,NUECES,011,2,0
42,ORANGE,005,2,0
43,PANOLA,004,1,0
44,PARKER,003,1,0
45,SHELBY,005,1,0
46,SMITH,004,3,0
47,TARRANT,003,11,0
48,TAYLOR,002,1,0
49,TERRY,001,1,0
50,TOM GREEN,009,1,0
51,TRAVIS,007,9,0
52,VICTORIA,008,2,0
53,WEBB,011,2,0
54,WICHITA,002,2,0
55,WILBARGER,002,2,0
56,WILLIAMSON,007,4,3
57,WOOD,004,2,0
58,YOAKUM,001,1,0
59,YOUNG,002,1,0
60,STATE TOTAL,,151,7
