,County,Region,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/Neglect per 1000 Children,Total CPS Completed Investigations,Confirmed CPS Investigations,Percent Investigations Confirmed
1,ANDERSON,004,11594,208,17.9,437,121,27.7%
2,ANDREWS,009,4542,39,8.6,117,25,21.4%
3,ANGELINA,005,23772,304,12.8,670,183,27.3%
4,ARANSAS,011,4520,137,30.3,272,85,31.3%
5,ARCHER,002,2117,35,16.5,58,20,34.5%
6,ARMSTRONG,001,375,6,16.0,14,4,28.6%
7,ATASCOSA,008,13538,210,15.5,407,114,28.0%
8,AUSTIN,006,7524,47,6.2,149,28,18.8%
9,BAILEY,001,2383,27,11.3,49,16,32.7%
10,BANDERA,008,3979,54,13.6,128,36,28.1%
11,BASTROP,007,21379,291,13.6,668,176,26.3%
12,BAYLOR,002,764,9,11.8,34,8,23.5%
13,BEE,011,6856,132,19.3,292,83,28.4%
14,BELL,007,98721,1046,10.6,3160,664,21.0%
15,BEXAR,008,491136,5434,11.1,13558,3147,23.2%
16,BLANCO,007,2278,29,12.7,45,19,42.2%
17,BORDEN,009,117,0,0.0,1,0,0.0%
18,BOSQUE,007,4089,55,13.5,141,35,24.8%
19,BOWIE,004,21900,265,12.1,763,163,21.4%
20,BRAZORIA,006,96020,551,5.7,1629,325,20.0%
21,BRAZOS,007,47729,308,6.5,976,195,20.0%
22,BREWSTER,010,1947,11,5.6,50,8,16.0%
23,BRISCOE,001,333,7,21.0,10,3,30.0%
24,BROOKS,011,1996,43,21.5,94,25,26.6%
25,BROWN,002,9154,162,17.7,338,99,29.3%
26,BURLESON,007,4140,70,16.9,167,40,24.0%
27,BURNET,007,10299,172,16.7,409,113,27.6%
28,CALDWELL,007,10317,122,11.8,335,83,24.8%
29,CALHOUN,008,5879,128,21.8,168,72,42.9%
30,CALLAHAN,002,3306,46,13.9,115,29,25.2%
31,CAMERON,011,141748,1547,10.9,3250,803,24.7%
32,CAMP,004,3404,39,11.5,107,21,19.6%
33,CARSON,001,1509,21,13.9,30,11,36.7%
34,CASS,004,6993,113,16.2,242,68,28.1%
35,CASTRO,001,2502,18,7.2,42,8,19.0%
36,CHAMBERS,006,10728,88,8.2,192,52,27.1%
37,CHEROKEE,004,13753,184,13.4,416,117,28.1%
38,CHILDRESS,001,1524,15,9.8,40,11,27.5%
39,CLAY,002,2362,20,8.5,63,19,30.2%
40,COCHRAN,001,884,13,14.7,24,6,25.0%
41,COKE,009,630,6,9.5,33,5,15.2%
42,COLEMAN,002,1970,29,14.7,72,22,30.6%
43,COLLIN,003,250047,1393,5.6,3169,868,27.4%
44,COLLINGSWORTH,001,838,11,13.1,20,7,35.0%
45,COLORADO,006,4972,29,5.8,109,21,19.3%
46,COMAL,008,27772,435,15.7,852,254,29.8%
47,COMANCHE,002,3350,45,13.4,124,32,25.8%
48,CONCHO,009,568,7,12.3,20,5,25.0%
49,COOKE,003,9873,198,20.1,372,117,31.5%
50,CORYELL,007,22926,259,11.3,681,162,23.8%
51,COTTLE,002,341,9,26.4,11,4,36.4%
52,CRANE,009,1293,3,2.3,17,3,17.6%
53,CROCKETT,009,968,25,25.8,38,14,36.8%
54,CROSBY,001,1772,59,33.3,63,27,42.9%
55,CULBERSON,010,651,13,20.0,26,7,26.9%
56,DALLAM,001,2138,16,7.5,62,12,19.4%
57,DALLAS,003,684069,5967,8.7,14522,3659,25.2%
58,DAWSON,009,3405,105,30.8,157,51,32.5%
59,DEAF SMITH,001,6519,50,7.7,124,29,23.4%
60,DELTA,004,1116,17,15.2,32,8,25.0%
61,DENTON,003,204770,972,4.7,3176,628,19.8%
62,DE WITT,008,4497,60,13.3,154,34,22.1%
63,DICKENS,001,461,16,34.7,26,9,34.6%
64,DIMMIT,008,2903,43,14.8,104,25,24.0%
65,DONLEY,001,728,22,30.2,28,11,39.3%
66,DUVAL,011,3025,29,9.6,85,16,18.8%
67,EASTLAND,002,4237,77,18.2,169,47,27.8%
68,ECTOR,009,42345,497,11.7,1200,294,24.5%
69,EDWARDS,008,406,3,7.4,8,3,37.5%
70,ELLIS,003,46146,368,8.0,979,225,23.0%
71,EL PASO,010,248080,2269,9.1,4860,1310,27.0%
72,ERATH,003,8966,81,9.0,208,53,25.5%
73,FALLS,007,3876,77,19.9,129,26,20.2%
74,FANNIN,003,7611,126,16.6,230,74,32.2%
75,FAYETTE,007,5417,38,7.0,123,27,22.0%
76,FISHER,002,805,16,19.9,33,7,21.2%
77,FLOYD,001,1784,20,11.2,51,10,19.6%
78,FOARD,002,247,1,4.0,6,1,16.7%
79,FORT BEND,006,195786,531,2.7,1988,371,18.7%
80,FRANKLIN,004,2717,19,7.0,55,11,20.0%
81,FREESTONE,007,4646,39,8.4,135,21,15.6%
82,FRIO,008,4250,97,22.8,169,41,24.3%
83,GAINES,009,6804,34,5.0,85,19,22.4%
84,GALVESTON,006,76964,476,6.2,1932,322,16.7%
85,GARZA,001,1303,29,22.3,37,13,35.1%
86,GILLESPIE,008,5226,31,5.9,112,19,17.0%
87,GLASSCOCK,009,304,0,0.0,2,0,0.0%
88,GOLIAD,008,1583,22,13.9,49,13,26.5%
89,GONZALES,008,5590,75,13.4,157,36,22.9%
90,GRAY,001,5972,110,18.4,239,62,25.9%
91,GRAYSON,003,29638,584,19.7,1106,346,31.3%
92,GREGG,004,32181,525,16.3,936,306,32.7%
93,GRIMES,007,6105,81,13.3,171,48,28.1%
94,GUADALUPE,008,39986,305,7.6,956,194,20.3%
95,HALE,001,10700,185,17.3,259,97,37.5%
96,HALL,001,805,7,8.7,23,5,21.7%
97,HAMILTON,007,1789,14,7.8,59,11,18.6%
98,HANSFORD,001,1702,11,6.5,18,4,22.2%
99,HARDEMAN,002,1028,25,24.3,33,13,39.4%
100,HARDIN,005,14554,155,10.6,483,109,22.6%
101,HARRIS,006,1201493,6070,5.1,20657,3987,19.3%
102,HARRISON,004,17542,220,12.5,475,141,29.7%
103,HARTLEY,001,1297,3,2.3,11,3,27.3%
104,HASKELL,002,1205,24,19.9,33,15,45.5%
105,HAYS,007,47624,378,7.9,938,227,24.2%
106,HEMPHILL,001,1144,8,7.0,15,6,40.0%
107,HENDERSON,004,18376,342,18.6,678,215,31.7%
108,HIDALGO,011,284166,2144,7.5,5999,1191,19.9%
109,HILL,007,8734,133,15.2,278,85,30.6%
110,HOCKLEY,001,6387,113,17.7,189,64,33.9%
111,HOOD,003,11219,251,22.4,469,151,32.2%
112,HOPKINS,004,9229,93,10.1,271,56,20.7%
113,HOUSTON,005,4811,78,16.2,151,50,33.1%
114,HOWARD,009,8012,174,21.7,322,105,32.6%
115,HUDSPETH,010,953,14,14.7,17,8,47.1%
116,HUNT,003,22830,349,15.3,727,203,27.9%
117,HUTCHINSON,001,5750,99,17.2,195,53,27.2%
118,IRION,009,310,2,6.5,10,2,20.0%
119,JACK,002,1959,41,20.9,65,20,30.8%
120,JACKSON,008,3562,62,17.4,93,33,35.5%
121,JASPER,005,8806,79,9.0,308,59,19.2%
122,JEFF DAVIS,010,367,1,2.7,10,1,10.0%
123,JEFFERSON,005,61551,639,10.4,1974,405,20.5%
124,JIM HOGG,011,1548,34,22.0,63,16,25.4%
