,County,Region,Total Completed Investigations,Total Confirmed Investigations,Percent Confirmed Investigations,Unconfirmed Investigations - Ruled Out,Unconfirmed Investigations - Unable To Determine,Unconfirmed Investigations - Unable To Complete,Total Unconfirmed,Percent Unconfirmed
1,ANDERSON,004,437,121,27.7%,280,32,4,316,72.3%
2,ANDREWS,009,117,25,21.4%,73,17,2,92,78.6%
3,ANGELINA,005,670,183,27.3%,383,100,4,487,72.7%
4,ARANSAS,011,272,85,31.3%,162,18,7,187,68.8%
5,ARCHER,002,58,20,34.5%,33,5,0,38,65.5%
6,ARMSTRONG,001,14,4,28.6%,6,3,1,10,71.4%
7,ATASCOSA,008,407,114,28.0%,280,13,0,293,72.0%
8,AUSTIN,006,149,28,18.8%,103,15,3,121,81.2%
9,BAILEY,001,49,16,32.7%,33,0,0,33,67.3%
10,BANDERA,008,128,36,28.1%,82,10,0,92,71.9%
11,BASTROP,007,668,176,26.3%,434,51,7,492,73.7%
12,BAYLOR,002,34,8,23.5%,19,6,1,26,76.5%
13,BEE,011,292,83,28.4%,185,19,5,209,71.6%
14,BELL,007,3160,664,21.0%,2361,99,36,2496,79.0%
15,BEXAR,008,13558,3147,23.2%,9419,880,112,10411,76.8%
16,BLANCO,007,45,19,42.2%,26,0,0,26,57.8%
17,BORDEN,009,1,0,0.0%,1,0,0,1,100.0%
18,BOSQUE,007,141,35,24.8%,97,9,0,106,75.2%
19,BOWIE,004,763,163,21.4%,467,105,28,600,78.6%
20,BRAZORIA,006,1629,325,20.0%,1069,190,45,1304,80.0%
21,BRAZOS,007,976,195,20.0%,686,90,5,781,80.0%
22,BREWSTER,010,50,8,16.0%,39,2,1,42,84.0%
23,BRISCOE,001,10,3,30.0%,5,2,0,7,70.0%
24,BROOKS,011,94,25,26.6%,61,8,0,69,73.4%
25,BROWN,002,338,99,29.3%,217,21,1,239,70.7%
26,BURLESON,007,167,40,24.0%,117,9,1,127,76.0%
27,BURNET,007,409,113,27.6%,275,20,1,296,72.4%
28,CALDWELL,007,335,83,24.8%,216,28,8,252,75.2%
29,CALHOUN,008,168,72,42.9%,86,8,2,96,57.1%
30,CALLAHAN,002,115,29,25.2%,74,9,3,86,74.8%
31,CAMERON,011,3250,803,24.7%,2169,254,24,2447,75.3%
32,CAMP,004,107,21,19.6%,79,6,1,86,80.4%
33,CARSON,001,30,11,36.7%,14,4,1,19,63.3%
34,CASS,004,242,68,28.1%,141,21,12,174,71.9%
35,CASTRO,001,42,8,19.0%,27,5,2,34,81.0%
36,CHAMBERS,006,192,52,27.1%,121,15,4,140,72.9%
37,CHEROKEE,004,416,117,28.1%,262,36,1,299,71.9%
38,CHILDRESS,001,40,11,27.5%,21,7,1,29,72.5%
39,CLAY,002,63,19,30.2%,35,8,1,44,69.8%
40,COCHRAN,001,24,6,25.0%,16,2,0,18,75.0%
41,COKE,009,33,5,15.2%,23,5,0,28,84.8%
42,COLEMAN,002,72,22,30.6%,47,3,0,50,69.4%
43,COLLIN,003,3169,868,27.4%,1608,602,91,2301,72.6%
44,COLLINGSWORTH,001,20,7,35.0%,10,1,2,13,65.0%
45,COLORADO,006,109,21,19.3%,85,3,0,88,80.7%
46,COMAL,008,852,254,29.8%,525,62,11,598,70.2%
47,COMANCHE,002,124,32,25.8%,81,8,3,92,74.2%
48,CONCHO,009,20,5,25.0%,15,0,0,15,75.0%
49,COOKE,003,372,117,31.5%,209,37,9,255,68.5%
50,CORYELL,007,681,162,23.8%,484,25,10,519,76.2%
51,COTTLE,002,11,4,36.4%,7,0,0,7,63.6%
52,CRANE,009,17,3,17.6%,14,0,0,14,82.4%
53,CROCKETT,009,38,14,36.8%,22,2,0,24,63.2%
54,CROSBY,001,63,27,42.9%,36,0,0,36,57.1%
55,CULBERSON,010,26,7,26.9%,18,1,0,19,73.1%
56,DALLAM,001,62,12,19.4%,47,2,1,50,80.6%
57,DALLAS,003,14522,3659,25.2%,8535,2009,319,10863,74.8%
58,DAWSON,009,157,51,32.5%,91,8,7,106,67.5%
59,DEAF SMITH,001,124,29,23.4%,91,1,3,95,76.6%
60,DELTA,004,32,8,25.0%,22,2,0,24,75.0%
61,DENTON,003,3176,628,19.8%,2004,486,58,2548,80.2%
62,DE WITT,008,154,34,22.1%,97,23,0,120,77.9%
63,DICKENS,001,26,9,34.6%,16,1,0,17,65.4%
64,DIMMIT,008,104,25,24.0%,71,8,0,79,76.0%
65,DONLEY,001,28,11,39.3%,14,3,0,17,60.7%
66,DUVAL,011,85,16,18.8%,63,6,0,69,81.2%
67,EASTLAND,002,169,47,27.8%,104,14,4,122,72.2%
68,ECTOR,009,1200,294,24.5%,811,76,19,906,75.5%
69,EDWARDS,008,8,3,37.5%,5,0,0,5,62.5%
70,ELLIS,003,979,225,23.0%,574,166,14,754,77.0%
71,EL PASO,010,4860,1310,27.0%,3042,448,60,3550,73.0%
72,ERATH,003,208,53,25.5%,122,30,3,155,74.5%
73,FALLS,007,129,26,20.2%,92,11,0,103,79.8%
74,FANNIN,003,230,74,32.2%,124,29,3,156,67.8%
75,FAYETTE,007,123,27,22.0%,85,11,0,96,78.0%
76,FISHER,002,33,7,21.2%,25,0,1,26,78.8%
77,FLOYD,001,51,10,19.6%,36,4,1,41,80.4%
78,FOARD,002,6,1,16.7%,2,2,1,5,83.3%
79,FORT BEND,006,1988,371,18.7%,1226,346,45,1617,81.3%
80,FRANKLIN,004,55,11,20.0%,42,2,0,44,80.0%
81,FREESTONE,007,135,21,15.6%,103,10,1,114,84.4%
82,FRIO,008,169,41,24.3%,124,4,0,128,75.7%
83,GAINES,009,85,19,22.4%,54,10,2,66,77.6%
84,GALVESTON,006,1932,322,16.7%,1292,244,74,1610,83.3%
85,GARZA,001,37,13,35.1%,20,3,1,24,64.9%
86,GILLESPIE,008,112,19,17.0%,82,10,1,93,83.0%
87,GLASSCOCK,009,2,0,0.0%,2,0,0,2,100.0%
88,GOLIAD,008,49,13,26.5%,33,3,0,36,73.5%
89,GONZALES,008,157,36,22.9%,106,13,2,121,77.1%
90,GRAY,001,239,62,25.9%,129,36,12,177,74.1%
91,GRAYSON,003,1106,346,31.3%,581,154,25,760,68.7%
92,GREGG,004,936,306,32.7%,492,126,12,630,67.3%
93,GRIMES,007,171,48,28.1%,106,12,5,123,71.9%
94,GUADALUPE,008,956,194,20.3%,679,76,7,762,79.7%
95,HALE,001,259,97,37.5%,137,23,2,162,62.5%
96,HALL,001,23,5,21.7%,15,3,0,18,78.3%
97,HAMILTON,007,59,11,18.6%,40,4,4,48,81.4%
98,HANSFORD,001,18,4,22.2%,13,1,0,14,77.8%
99,HARDEMAN,002,33,13,39.4%,15,4,1,20,60.6%
100,HARDIN,005,483,109,22.6%,333,37,4,374,77.4%
101,HARRIS,006,20657,3987,19.3%,13645,2211,814,16670,80.7%
102,HARRISON,004,475,141,29.7%,284,43,7,334,70.3%
103,HARTLEY,001,11,3,27.3%,8,0,0,8,72.7%
104,HASKELL,002,33,15,45.5%,16,2,0,18,54.5%
105,HAYS,007,938,227,24.2%,606,95,10,711,75.8%
106,HEMPHILL,001,15,6,40.0%,8,1,0,9,60.0%
107,HENDERSON,004,678,215,31.7%,379,69,15,463,68.3%
108,HIDALGO,011,5999,1191,19.9%,4230,533,45,4808,80.1%
109,HILL,007,278,85,30.6%,174,17,2,193,69.4%
110,HOCKLEY,001,189,64,33.9%,110,11,4,125,66.1%
111,HOOD,003,469,151,32.2%,268,46,4,318,67.8%
112,HOPKINS,004,271,56,20.7%,191,22,2,215,79.3%
113,HOUSTON,005,151,50,33.1%,88,12,1,101,66.9%
114,HOWARD,009,322,105,32.6%,179,13,25,217,67.4%
115,HUDSPETH,010,17,8,47.1%,9,0,0,9,52.9%
116,HUNT,003,727,203,27.9%,402,100,22,524,72.1%
117,HUTCHINSON,001,195,53,27.2%,129,9,4,142,72.8%
118,IRION,009,10,2,20.0%,8,0,0,8,80.0%
119,JACK,002,65,20,30.8%,40,4,1,45,69.2%
120,JACKSON,008,93,33,35.5%,52,8,0,60,64.5%
121,JASPER,005,308,59,19.2%,197,50,2,249,80.8%
122,JEFF DAVIS,010,10,1,10.0%,7,1,1,9,90.0%
123,JEFFERSON,005,1974,405,20.5%,1351,159,59,1569,79.5%
124,JIM HOGG,011,63,16,25.4%,45,1,1,47,74.6%
125,JIM WELLS,011,350,56,16.0%,273,18,3,294,84.0%
126,JOHNSON,003,1238,359,29.0%,706,160,13,879,71.0%
127,JONES,002,151,43,28.5%,81,26,1,108,71.5%
128,KARNES,008,110,24,21.8%,75,10,1,86,78.2%
129,KAUFMAN,003,664,197,29.7%,346,110,11,467,70.3%
130,KENDALL,008,162,41,25.3%,114,6,1,121,74.7%
131,KENEDY,011,0,0,0.0%,0,0,0,0,0.0%
132,KENT,002,7,2,28.6%,5,0,0,5,71.4%
133,KERR,008,448,118,26.3%,298,32,0,330,73.7%
134,KIMBLE,009,38,7,18.4%,26,4,1,31,81.6%
135,KING,001,1,1,100.0%,0,0,0,0,0.0%
136,KINNEY,008,21,0,0.0%,19,1,1,21,100.0%
137,KLEBERG,011,241,71,29.5%,151,11,8,170,70.5%
138,KNOX,002,19,7,36.8%,7,5,0,12,63.2%
139,LAMAR,004,479,124,25.9%,315,31,9,355,74.1%
140,LAMB,001,96,30,31.3%,60,2,4,66,68.8%
141,LAMPASAS,007,181,47,26.0%,121,10,3,134,74.0%
142,LA SALLE,008,62,16,25.8%,44,2,0,46,74.2%
143,LAVACA,008,99,22,22.2%,63,13,1,77,77.8%
144,LEE,007,116,28,24.1%,82,6,0,88,75.9%
145,LEON,007,119,29,24.4%,78,12,0,90,75.6%
146,LIBERTY,006,693,203,29.3%,423,53,14,490,70.7%
147,LIMESTONE,007,193,51,26.4%,136,5,1,142,73.6%
148,LIPSCOMB,001,12,0,0.0%,10,1,1,12,100.0%
149,LIVE OAK,011,74,28,37.8%,41,5,0,46,62.2%
150,LLANO,007,186,53,28.5%,122,9,2,133,71.5%
151,LOVING,009,0,0,0.0%,0,0,0,0,0.0%
152,LUBBOCK,001,2338,722,30.9%,1391,156,69,1616,69.1%
153,LYNN,001,46,19,41.3%,25,2,0,27,58.7%
154,MADISON,007,88,15,17.0%,59,12,2,73,83.0%
155,MARION,004,93,20,21.5%,54,15,4,73,78.5%
156,MARTIN,009,21,5,23.8%,14,2,0,16,76.2%
157,MASON,009,28,3,10.7%,24,0,1,25,89.3%
158,MATAGORDA,006,273,70,25.6%,172,20,11,203,74.4%
159,MAVERICK,008,231,20,8.7%,203,8,0,211,91.3%
160,MCCULLOCH,009,88,23,26.1%,56,8,1,65,73.9%
161,MCLENNAN,007,2055,548,26.7%,1389,104,14,1507,73.3%
162,MCMULLEN,011,9,5,55.6%,4,0,0,4,44.4%
163,MEDINA,008,298,71,23.8%,201,26,0,227,76.2%
164,MENARD,009,13,4,30.8%,6,3,0,9,69.2%
165,MIDLAND,009,841,186,22.1%,596,36,23,655,77.9%
166,MILAM,007,197,63,32.0%,124,9,1,134,68.0%
167,MILLS,007,41,7,17.1%,30,3,1,34,82.9%
