,County,Region,Total,African American,Anglo,Hispanic,Native American,Other***
129,KAUFMAN,003,12,0,10,2,0,0
130,KENDALL,008,4,0,0,4,0,0
131,KENEDY,011,0,0,0,0,0,0
132,KENT,002,4,0,4,0,0,0
133,KERR,008,29,1,18,10,0,0
134,KIMBLE,009,5,0,2,3,0,0
135,KING,001,0,0,0,0,0,0
136,KINNEY,008,0,0,0,0,0,0
137,KLEBERG,011,14,1,1,12,0,0
138,KNOX,002,4,2,2,0,0,0
139,LAMAR,004,5,0,1,4,0,0
140,LAMB,001,5,0,0,5,0,0
141,LAMPASAS,007,5,0,1,2,1,1
142,LA SALLE,008,9,0,0,9,0,0
143,LAVACA,008,12,5,3,4,0,0
144,LEE,007,6,4,2,0,0,0
145,LEON,007,4,0,2,0,0,2
146,LIBERTY,006,30,7,23,0,0,0
147,LIMESTONE,007,7,3,3,0,0,1
148,LIPSCOMB,001,1,0,1,0,0,0
149,LIVE OAK,011,4,0,0,4,0,0
150,LLANO,007,15,0,14,1,0,0
151,LOVING,009,0,0,0,0,0,0
152,LUBBOCK,001,151,27,27,88,0,9
153,LYNN,001,2,0,0,2,0,0
154,MADISON,007,2,0,2,0,0,0
155,MARION,004,5,0,5,0,0,0
156,MARTIN,009,0,0,0,0,0,0
157,MASON,009,0,0,0,0,0,0
158,MATAGORDA,006,11,2,5,3,0,1
159,MAVERICK,008,6,0,1,5,0,0
160,MCCULLOCH,009,6,0,5,1,0,0
161,MCLENNAN,007,127,39,47,33,0,8
162,MCMULLEN,011,0,0,0,0,0,0
163,MEDINA,008,65,0,20,44,0,1
164,MENARD,009,3,0,1,2,0,0
165,MIDLAND,009,38,6,15,12,1,4
166,MILAM,007,11,2,4,5,0,0
167,MILLS,007,1,0,1,0,0,0
168,MITCHELL,002,4,0,0,4,0,0
169,MONTAGUE,002,2,0,2,0,0,0
170,MONTGOMERY,006,111,7,81,14,0,9
171,MOORE,001,5,2,3,0,0,0
172,MORRIS,004,1,1,0,0,0,0
173,MOTLEY,001,0,0,0,0,0,0
174,NACOGDOCHES,005,31,13,11,3,0,4
175,NAVARRO,003,20,5,15,0,0,0
176,NEWTON,005,7,5,1,0,0,1
177,NOLAN,002,11,0,1,10,0,0
178,NUECES,011,50,2,11,33,0,4
179,OCHILTREE,001,0,0,0,0,0,0
180,OLDHAM,001,0,0,0,0,0,0
181,ORANGE,005,30,4,25,0,0,1
182,PALO PINTO,003,39,0,28,10,0,1
183,PANOLA,004,5,0,5,0,0,0
184,PARKER,003,34,0,30,4,0,0
185,PARMER,001,2,0,1,1,0,0
186,PECOS,009,1,0,1,0,0,0
187,POLK,005,12,0,11,1,0,0
188,POTTER,001,65,24,16,21,0,4
189,PRESIDIO,010,0,0,0,0,0,0
190,RAINS,004,5,0,3,1,0,1
191,RANDALL,001,42,0,20,12,0,10
192,REAGAN,009,0,0,0,0,0,0
193,REAL,008,2,0,1,1,0,0
194,RED RIVER,004,3,0,2,1,0,0
195,REEVES,009,1,0,0,1,0,0
196,REFUGIO,011,2,0,0,2,0,0
197,ROBERTS,001,0,0,0,0,0,0
198,ROBERTSON,007,6,5,0,1,0,0
199,ROCKWALL,003,3,0,2,0,0,1
200,RUNNELS,002,0,0,0,0,0,0
201,RUSK,004,8,0,2,4,0,2
202,SABINE,005,0,0,0,0,0,0
203,SAN AUGUSTINE,005,1,0,1,0,0,0
204,SAN JACINTO,005,7,0,5,0,0,2
205,SAN PATRICIO,011,33,0,10,23,0,0
206,SAN SABA,007,2,0,1,1,0,0
207,SCHLEICHER,009,3,0,1,2,0,0
208,SCURRY,002,7,0,2,4,0,1
209,SHACKELFORD,002,0,0,0,0,0,0
210,SHELBY,005,7,0,4,3,0,0
211,SHERMAN,001,0,0,0,0,0,0
212,SMITH,004,53,10,22,17,0,4
213,SOMERVELL,003,1,0,1,0,0,0
214,STARR,011,2,0,0,2,0,0
215,STEPHENS,002,9,0,2,7,0,0
216,STERLING,009,0,0,0,0,0,0
217,STONEWALL,002,0,0,0,0,0,0
218,SUTTON,009,0,0,0,0,0,0
219,SWISHER,001,5,3,0,2,0,0
220,TARRANT,003,227,67,82,55,0,23
221,TAYLOR,002,14,3,5,4,0,2
222,TERRELL,009,0,0,0,0,0,0
223,TERRY,001,10,0,1,7,0,2
224,THROCKMORTON,002,0,0,0,0,0,0
225,TITUS,004,9,4,3,1,0,1
226,TOM GREEN,009,73,2,24,46,0,1
227,TRAVIS,007,187,46,36,95,0,10
228,TRINITY,005,1,1,0,0,0,0
229,TYLER,005,1,0,1,0,0,0
230,UPSHUR,004,13,1,9,2,0,1
231,UPTON,009,0,0,0,0,0,0
232,UVALDE,008,7,0,0,6,0,1
233,VAL VERDE,008,6,0,0,6,0,0
234,VAN ZANDT,004,27,2,19,4,0,2
235,VICTORIA,008,35,1,14,17,0,3
236,WALKER,006,13,2,6,1,0,4
237,WALLER,006,3,2,0,1,0,0
238,WARD,009,0,0,0,0,0,0
239,WASHINGTON,007,7,4,3,0,0,0
240,WEBB,011,128,3,5,117,0,3
241,WHARTON,006,3,2,0,1,0,0
242,WHEELER,001,2,0,2,0,0,0
243,WICHITA,002,28,4,16,4,0,4
244,WILBARGER,002,11,0,0,11,0,0
245,WILLACY,011,0,0,0,0,0,0
246,WILLIAMSON,007,45,5,17,17,0,6
247,WILSON,008,18,0,7,10,0,1
248,WINKLER,009,2,0,2,0,0,0
249,WISE,003,9,0,9,0,0,0
250,WOOD,004,24,3,18,2,0,1
251,YOAKUM,001,2,0,0,2,0,0
252,YOUNG,002,1,0,1,0,0,0
253,ZAPATA,011,13,0,1,12,0,0
254,ZAVALA,008,13,0,0,13,0,0
255,STATE TOTAL,,6595,1527,1899,2779,5,385
