,County,Region,Paid Foster  Care Clients,Foster Care  Expenditures*
1,ANDERSON,004,102,1297537
2,ANDREWS,009,19,411733
3,ANGELINA,005,107,948973
4,ARANSAS,011,91,1027636
5,ARCHER,002,6,45058
6,ARMSTRONG,001,2,16863
7,ATASCOSA,008,130,1801265
8,AUSTIN,006,25,160710
9,BAILEY,001,18,297114
10,BANDERA,008,52,822292
11,BASTROP,007,164,1777951
12,BAYLOR,002,3,66393
13,BEE,011,85,1011409
14,BELL,007,558,5979230
15,BEXAR,008,3366,46728259
16,BLANCO,007,7,41376
17,BORDEN,009,5,106916
18,BOSQUE,007,32,365033
19,BOWIE,004,110,1654521
20,BRAZORIA,006,186,2935718
21,BRAZOS,007,140,1935595
22,BREWSTER,010,2,58713
23,BRISCOE,001,3,64019
24,BROOKS,011,21,268031
25,BROWN,002,94,1209685
26,BURLESON,007,38,359878
27,BURNET,007,90,1054312
28,CALDWELL,007,59,851631
29,CALHOUN,008,35,513785
30,CALLAHAN,002,10,212797
31,CAMERON,011,356,4046062
32,CAMP,004,38,329592
33,CARSON,001,9,53647
34,CASS,004,39,212914
35,CASTRO,001,16,182410
36,CHAMBERS,006,33,389661
37,CHEROKEE,004,105,1409146
38,CHILDRESS,001,15,182376
39,CLAY,002,5,83707
40,COCHRAN,001,7,103286
41,COKE,009,6,77775
42,COLEMAN,002,16,216820
43,COLLIN,003,322,3934818
44,COLLINGSWORTH,001,10,43018
45,COLORADO,006,12,128032
46,COMAL,008,173,1995449
47,COMANCHE,002,12,221322
48,CONCHO,009,2,39515
49,COOKE,003,101,1039610
50,CORYELL,007,105,866746
51,COTTLE,002,1,14491
52,CRANE,009,0,0
53,CROCKETT,009,3,14904
54,CROSBY,001,17,166400
55,CULBERSON,010,0,0
56,DALLAM,001,7,240691
57,DALLAS,003,2789,29760987
58,DAWSON,009,45,621853
59,DEAF SMITH,001,47,511940
60,DELTA,004,15,237530
61,DENTON,003,410,4285063
62,DE WITT,008,39,621160
63,DICKENS,001,8,74351
64,DIMMIT,008,43,700288
65,DONLEY,001,8,232860
66,DUVAL,011,25,375900
67,EASTLAND,002,17,291284
68,ECTOR,009,301,4753191
69,EDWARDS,008,8,160627
70,ELLIS,003,91,820597
71,EL PASO,010,635,8088476
72,ERATH,003,40,547666
73,FALLS,007,18,98326
74,FANNIN,003,31,330209
75,FAYETTE,007,32,303049
76,FISHER,002,1,22541
77,FLOYD,001,23,271587
