,County,Region,STAR*,CYD**,SYSN***,TOTAL
1,ANDERSON,004,126,1,1,128
2,ANDREWS,009,4,0,0,4
3,ANGELINA,005,235,0,30,265
4,ARANSAS,011,78,0,0,78
5,ARCHER,002,1,0,0,1
6,ARMSTRONG,001,1,0,0,1
7,ATASCOSA,008,121,0,0,121
8,AUSTIN,006,64,0,40,104
9,BAILEY,001,16,0,0,16
10,BANDERA,008,50,1,16,67
11,BASTROP,007,114,0,5,119
12,BAYLOR,002,11,0,0,11
13,BEE,011,85,0,0,85
14,BELL,007,317,2,180,499
15,BEXAR,008,732,962,253,1947
16,BLANCO,007,55,0,0,55
17,BORDEN,009,0,0,0,0
18,BOSQUE,007,17,0,0,17
19,BOWIE,004,106,0,0,106
20,BRAZORIA,006,271,0,65,336
21,BRAZOS,007,220,0,1,221
22,BREWSTER,010,9,0,0,9
23,BRISCOE,001,0,0,0,0
24,BROOKS,011,7,0,0,7
25,BROWN,002,27,0,20,47
26,BURLESON,007,99,0,0,99
27,BURNET,007,9,0,13,22
28,CALDWELL,007,122,2,4,128
29,CALHOUN,008,93,0,0,93
30,CALLAHAN,002,0,0,0,0
31,CAMERON,011,464,1902,72,2438
32,CAMP,004,18,0,0,18
33,CARSON,001,6,0,0,6
34,CASS,004,44,0,0,44
35,CASTRO,001,19,0,0,19
36,CHAMBERS,006,3,0,0,3
37,CHEROKEE,004,164,0,0,164
38,CHILDRESS,001,4,0,0,4
39,CLAY,002,0,0,0,0
40,COCHRAN,001,10,0,0,10
41,COKE,009,14,0,0,14
42,COLEMAN,002,33,0,0,33
43,COLLIN,003,314,0,152,466
44,COLLINGSWORTH,001,11,0,0,11
45,COLORADO,006,69,0,30,99
46,COMAL,008,520,0,13,533
47,COMANCHE,002,44,0,0,44
48,CONCHO,009,0,0,0,0
49,COOKE,003,13,0,33,46
50,CORYELL,007,58,0,54,112
51,COTTLE,002,8,0,0,8
52,CRANE,009,3,0,0,3
53,CROCKETT,009,4,0,0,4
54,CROSBY,001,30,0,0,30
55,CULBERSON,010,7,0,0,7
56,DALLAM,001,13,6,1,20
57,DALLAS,003,580,1940,335,2855
58,DAWSON,009,15,0,7,22
59,DEAF SMITH,001,110,0,24,134
60,DELTA,004,22,0,1,23
61,DENTON,003,549,1,72,622
62,DE WITT,008,34,0,0,34
63,DICKENS,001,8,0,0,8
64,DIMMIT,008,0,0,0,0
65,DONLEY,001,5,0,0,5
66,DUVAL,011,4,0,0,4
67,EASTLAND,002,4,0,0,4
68,ECTOR,009,64,0,23,87
69,EDWARDS,008,11,0,1,12
70,ELLIS,003,69,2,32,103
71,EL PASO,010,779,1620,61,2460
72,ERATH,003,173,0,12,185
73,FALLS,007,31,0,10,41
74,FANNIN,003,31,0,1,32
75,FAYETTE,007,81,0,17,98
76,FISHER,002,2,0,0,2
77,FLOYD,001,8,0,0,8
78,FOARD,002,6,0,0,6
79,FORT BEND,006,128,0,79,207
80,FRANKLIN,004,1,0,0,1
81,FREESTONE,007,28,0,0,28
82,FRIO,008,7,0,0,7
83,GAINES,009,24,0,0,24
84,GALVESTON,006,433,933,1,1367
85,GARZA,001,4,0,0,4
86,GILLESPIE,008,45,0,0,45
87,GLASSCOCK,009,0,0,0,0
88,GOLIAD,008,8,1,0,9
89,GONZALES,008,75,0,0,75
90,GRAY,001,33,0,0,33
91,GRAYSON,003,100,0,17,117
92,GREGG,004,299,0,15,314
93,GRIMES,007,246,0,0,246
94,GUADALUPE,008,129,0,2,131
95,HALE,001,89,0,19,108
