,County,Region,Family Reunification,Relative With PCA,Relative Without PCA,Adoption by Relative,Adoption by Non-Relavive,Long Term Care - Emancipaion,Long Term Care - Other
82,FRIO,008,18.4,0.0,13.1,43.5,44.0,54.6,0.0
83,GAINES,009,15.4,0.0,0.0,28.6,24.0,36.7,0.0
84,GALVESTON,006,19.1,0.0,13.5,33.9,32.7,53.3,0.0
85,GARZA,001,17.4,0.0,9.9,0.0,0.0,32.7,0.0
86,GILLESPIE,008,20.5,17.5,10.8,25.3,30.5,48.4,0.0
87,GLASSCOCK,009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,GOLIAD,008,0.0,0.0,0.0,21.7,0.0,0.0,0.0
89,GONZALES,008,0.0,0.0,11.4,15.1,30.5,0.0,0.0
90,GRAY,001,19.4,36.2,0.0,21.2,18.8,98.2,22.1
91,GRAYSON,003,22.5,17.9,11.2,21.2,22.0,30.4,17.4
92,GREGG,004,12.0,23.2,13.0,22.6,37.8,71.7,0.0
93,GRIMES,007,12.8,0.0,12.5,43.3,18.0,0.0,0.0
94,GUADALUPE,008,21.6,31.6,13.8,27.3,31.0,56.0,16.8
95,HALE,001,13.8,0.0,0.0,26.7,0.0,75.1,0.0
96,HALL,001,16.7,0.0,0.0,0.0,22.0,0.0,0.0
97,HAMILTON,007,0.0,0.0,11.8,0.0,0.0,0.0,16.1
98,HANSFORD,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,HARDEMAN,002,10.8,0.0,17.5,0.0,0.0,0.0,0.0
100,HARDIN,005,8.6,0.0,7.3,52.8,74.5,0.0,0.0
101,HARRIS,006,14.1,23.0,16.2,33.2,36.5,62.9,13.2
102,HARRISON,004,14.6,15.3,9.3,21.8,28.0,67.5,0.0
103,HARTLEY,001,0.0,0.0,0.0,0.0,29.8,0.0,0.0
104,HASKELL,002,0.0,13.4,0.0,0.0,18.6,0.0,0.0
105,HAYS,007,7.5,31.7,14.1,23.8,32.7,48.5,0.0
106,HEMPHILL,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,HENDERSON,004,14.7,17.2,16.4,23.6,33.6,19.5,0.0
108,HIDALGO,011,15.6,21.5,11.9,20.5,43.0,38.7,12.3
109,HILL,007,22.3,0.0,12.1,28.5,23.8,84.4,13.8
110,HOCKLEY,001,13.9,0.0,25.4,22.5,27.1,44.9,0.0
111,HOOD,003,13.3,20.2,16.9,31.0,28.7,8.8,0.0
112,HOPKINS,004,8.8,0.0,6.9,25.1,18.3,211.3,5.3
113,HOUSTON,005,16.4,0.0,16.1,20.3,26.6,31.4,0.0
114,HOWARD,009,11.7,0.0,14.0,24.0,25.8,15.8,0.0
115,HUDSPETH,010,0.0,0.0,0.0,25.1,0.0,0.0,0.0
116,HUNT,003,10.4,13.6,7.6,16.9,23.1,20.2,0.0
117,HUTCHINSON,001,0.2,0.0,7.2,0.0,35.5,52.0,0.0
118,IRION,009,0.0,29.6,0.0,0.0,0.0,0.0,0.0
119,JACK,002,13.2,0.0,11.3,0.0,0.0,97.7,0.0
120,JACKSON,008,14.5,0.0,14.0,0.0,22.5,0.0,0.0
121,JASPER,005,15.7,0.0,14.3,24.1,18.0,97.5,0.0
122,JEFF DAVIS,010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,JEFFERSON,005,8.0,22.0,10.9,20.0,24.1,81.0,1.7
124,JIM HOGG,011,0.0,0.0,11.3,0.0,0.0,0.0,0.0
125,JIM WELLS,011,14.3,0.0,16.1,22.9,28.7,44.6,7.3
126,JOHNSON,003,17.3,19.1,17.6,24.0,26.2,56.9,0.0
127,JONES,002,0.0,0.0,0.0,23.2,0.0,0.0,0.0
128,KARNES,008,28.1,0.0,0.0,79.9,15.3,80.2,0.0
129,KAUFMAN,003,12.0,0.0,12.5,17.3,33.5,34.3,2.5
130,KENDALL,008,18.4,32.8,9.7,28.0,25.6,2.6,0.0
131,KENEDY,011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,KENT,002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,KERR,008,17.4,23.4,16.2,22.5,34.0,49.4,0.0
134,KIMBLE,009,15.2,0.0,0.0,20.4,0.0,0.0,0.0
135,KING,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,KINNEY,008,0.0,0.0,18.0,23.6,0.0,0.0,0.0
137,KLEBERG,011,28.0,0.0,18.3,37.6,48.6,44.2,0.0
138,KNOX,002,0.0,0.0,0.0,0.0,0.0,158.0,0.0
139,LAMAR,004,9.7,17.5,5.7,0.0,23.7,51.9,0.0
140,LAMB,001,11.3,0.0,0.8,20.2,84.5,77.8,0.0
141,LAMPASAS,007,12.2,0.0,9.0,20.8,37.9,60.5,0.0
142,LA SALLE,008,6.8,0.0,17.9,18.6,0.0,0.0,0.0
143,LAVACA,008,9.1,0.0,0.0,0.0,27.7,0.0,0.0
144,LEE,007,12.0,0.0,17.6,0.0,61.9,45.2,2.0
145,LEON,007,9.7,0.0,5.3,0.0,0.0,0.0,42.6
146,LIBERTY,006,10.7,19.9,11.9,21.8,21.8,70.4,0.8
147,LIMESTONE,007,12.8,28.7,16.5,29.5,17.3,0.0,0.0
148,LIPSCOMB,001,0.0,0.0,0.0,0.0,45.1,0.0,0.0
149,LIVE OAK,011,6.3,0.0,6.9,31.0,41.8,0.0,0.0
150,LLANO,007,7.7,0.0,16.0,19.8,16.9,25.2,0.0
151,LOVING,009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,LUBBOCK,001,14.1,26.8,15.5,30.6,25.7,70.7,29.5
153,LYNN,001,21.5,0.0,0.7,18.4,34.5,0.0,0.0
154,MADISON,007,13.1,0.0,18.0,12.0,26.8,0.0,0.0
155,MARION,004,6.7,0.0,10.5,0.0,0.0,0.0,0.0
156,MARTIN,009,0.0,0.0,11.7,0.0,0.0,0.0,0.0
157,MASON,009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,MATAGORDA,006,12.9,31.3,13.1,0.0,0.0,120.5,0.0
159,MAVERICK,008,0.0,0.0,0.0,0.0,0.0,2.2,2.3
160,MCCULLOCH,009,14.1,0.0,8.7,147.7,22.5,67.9,0.0
161,MCLENNAN,007,15.6,21.9,13.1,27.7,31.2,47.8,21.7
162,MCMULLEN,011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,MEDINA,008,14.6,25.6,12.7,17.8,33.1,35.9,0.0
164,MENARD,009,0.0,0.0,0.0,0.0,0.0,68.3,32.6
165,MIDLAND,009,10.9,0.0,15.8,27.2,29.8,92.3,19.8
166,MILAM,007,13.9,0.0,15.3,25.9,39.1,0.0,0.0
167,MILLS,007,12.3,0.0,0.0,0.0,0.0,30.4,0.0
168,MITCHELL,002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,MONTAGUE,002,14.0,0.0,20.6,0.0,36.5,106.5,0.0
170,MONTGOMERY,006,12.2,21.5,15.1,25.7,25.3,44.8,60.2
171,MOORE,001,15.0,0.0,4.7,0.0,29.4,28.4,15.6
172,MORRIS,004,20.7,35.1,6.8,0.0,10.0,36.8,0.0
173,MOTLEY,001,0.0,0.0,0.0,20.3,0.0,81.9,0.0
174,NACOGDOCHES,005,14.4,20.9,15.1,28.9,28.3,71.5,0.0
175,NAVARRO,003,15.0,0.0,6.3,23.3,34.1,80.7,0.0
176,NEWTON,005,24.5,17.9,4.2,0.0,0.0,49.2,0.0
177,NOLAN,002,11.4,37.9,11.2,0.0,0.0,21.7,0.0
178,NUECES,011,7.7,16.2,6.0,33.6,33.1,76.2,21.6
179,OCHILTREE,001,17.4,0.0,12.1,0.0,0.0,125.8,0.0
180,OLDHAM,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,ORANGE,005,16.8,0.0,14.7,20.2,29.3,92.9,28.1
182,PALO PINTO,003,16.7,0.0,15.2,15.9,32.2,29.9,0.0
183,PANOLA,004,18.6,0.0,10.6,35.9,28.5,91.4,0.0
184,PARKER,003,13.0,0.0,17.0,0.0,31.5,16.0,3.6
185,PARMER,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,PECOS,009,16.7,28.9,0.0,20.0,0.0,5.1,0.0
187,POLK,005,7.7,17.5,13.4,20.9,36.5,51.3,0.1
188,POTTER,001,8.1,36.9,31.0,36.0,36.8,85.2,18.7
189,PRESIDIO,010,32.9,0.0,0.0,23.3,0.0,0.0,0.0
190,RAINS,004,32.8,0.0,8.0,0.0,0.0,50.4,0.0
191,RANDALL,001,18.1,33.3,19.1,23.3,32.2,64.5,22.1
192,REAGAN,009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,REAL,008,11.0,0.0,18.7,20.8,0.0,0.0,0.0
194,RED RIVER,004,6.3,0.0,9.6,0.0,0.0,103.7,0.0
195,REEVES,009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,REFUGIO,011,7.8,0.0,10.9,0.0,0.0,0.0,0.4
197,ROBERTS,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,ROBERTSON,007,21.6,0.0,13.1,0.0,17.3,41.2,0.0
199,ROCKWALL,003,10.9,0.0,10.3,28.6,27.1,25.9,17.6
200,RUNNELS,002,22.3,0.0,29.2,42.8,0.0,0.0,0.0
201,RUSK,004,13.2,19.1,10.3,18.5,17.5,6.0,0.0
202,SABINE,005,0.0,0.0,4.5,0.0,0.0,3.4,0.0
203,SAN AUGUSTINE,005,0.0,0.0,7.9,0.0,0.0,0.0,0.0
204,SAN JACINTO,005,27.4,0.0,26.4,0.0,54.8,81.8,0.0
205,SAN PATRICIO,011,8.5,20.1,10.6,22.5,52.1,31.4,0.0
206,SAN SABA,007,10.5,0.0,4.1,18.9,0.0,4.2,0.0
207,SCHLEICHER,009,12.5,0.0,12.0,0.0,0.0,0.0,0.0
208,SCURRY,002,0.0,21.6,12.4,0.0,17.5,58.2,0.0
209,SHACKELFORD,002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,SHELBY,005,0.0,0.0,12.3,0.0,33.0,19.3,5.4
211,SHERMAN,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,SMITH,004,14.8,21.5,10.7,24.0,25.9,31.6,0.0
213,SOMERVELL,003,11.2,0.0,14.7,0.0,0.0,0.0,47.8
214,STARR,011,11.0,0.0,11.1,31.9,109.2,20.2,30.7
215,STEPHENS,002,16.5,0.0,13.6,0.0,0.0,0.0,0.0
216,STERLING,009,0.0,0.0,11.1,0.0,0.0,0.0,0.0
217,STONEWALL,002,0.0,0.0,13.7,0.0,0.0,0.0,0.0
218,SUTTON,009,20.7,0.0,0.0,23.6,0.0,0.0,0.0
219,SWISHER,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,TARRANT,003,15.2,24.7,12.9,24.7,27.7,45.3,7.8
221,TAYLOR,002,16.6,33.3,13.5,25.7,40.0,56.3,0.0
222,TERRELL,009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,TERRY,001,15.4,0.0,19.0,36.0,0.0,23.6,0.0
224,THROCKMORTON,002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,TITUS,004,10.1,0.0,11.0,16.6,17.1,53.2,0.0
226,TOM GREEN,009,12.4,23.4,20.0,27.9,40.9,57.9,5.4
227,TRAVIS,007,13.3,21.2,15.1,24.9,27.5,33.6,10.8
228,TRINITY,005,13.8,0.0,14.0,31.3,26.3,78.1,0.0
229,TYLER,005,13.0,0.0,7.1,0.0,0.0,104.0,0.0
230,UPSHUR,004,10.8,21.2,11.6,0.0,29.1,0.0,0.0
231,UPTON,009,15.2,0.0,0.0,0.0,0.0,0.0,0.0
232,UVALDE,008,16.8,18.7,8.0,18.7,61.7,6.1,0.0
233,VAL VERDE,008,15.8,0.0,13.5,25.9,16.7,69.7,0.0
234,VAN ZANDT,004,12.0,0.0,11.4,22.5,30.5,82.1,0.0
235,VICTORIA,008,17.2,24.4,13.8,27.1,19.5,88.1,2.9
236,WALKER,006,11.6,20.2,9.8,0.0,53.9,47.7,0.0
237,WALLER,006,8.8,22.5,7.4,17.4,19.0,0.0,0.0
238,WARD,009,3.0,0.0,12.1,26.6,0.0,13.0,0.0
239,WASHINGTON,007,11.6,0.0,6.9,35.7,23.9,210.8,0.0
240,WEBB,011,11.5,22.3,13.0,30.6,63.2,44.9,7.3
241,WHARTON,006,13.7,21.4,11.0,45.7,36.5,139.7,0.0
242,WHEELER,001,0.0,0.0,11.6,0.0,0.0,0.0,0.0
243,WICHITA,002,12.0,17.9,13.6,30.0,26.4,40.3,50.7
244,WILBARGER,002,16.0,0.0,11.1,0.0,0.0,31.2,1.9
245,WILLACY,011,10.4,0.0,15.9,0.0,71.2,41.8,0.0
246,WILLIAMSON,007,13.8,27.0,15.3,25.4,42.4,42.7,5.4
247,WILSON,008,14.3,30.0,11.9,22.9,26.2,35.9,0.0
248,WINKLER,009,0.0,0.0,41.4,0.0,22.5,0.0,0.0
249,WISE,003,13.7,0.0,12.3,29.9,38.5,27.8,0.0
250,WOOD,004,11.4,17.2,9.3,21.5,27.1,32.6,1.0
251,YOAKUM,001,12.4,0.0,13.3,0.0,0.0,4.5,0.0
252,YOUNG,002,0.0,31.5,20.4,82.4,0.0,0.0,45.5
253,ZAPATA,011,9.2,27.0,23.7,53.0,92.1,120.5,0.0
254,ZAVALA,008,17.5,0.0,23.6,25.2,0.0,88.8,0.0
255,STATE TOTAL,,13.2,24.2,13.1,26.6,30.8,54.0,13.2
