,County,Region,Total,Family Reunification,Custody Given to Relative PCA,Custody Given to Relative Non-PCA,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other
80,FRANKLIN,004,11,4,1,3,0,3,0,0
81,FREESTONE,007,21,12,0,2,1,4,2,0
82,FRIO,008,23,6,0,3,9,3,2,0
83,GAINES,009,8,4,0,0,1,2,1,0
84,GALVESTON,006,92,25,0,25,21,13,8,0
85,GARZA,001,9,4,0,3,0,0,2,0
86,GILLESPIE,008,12,2,1,1,4,2,2,0
87,GLASSCOCK,009,0,0,0,0,0,0,0,0
88,GOLIAD,008,1,0,0,0,0,1,0,0
89,GONZALES,008,6,0,0,2,2,2,0,0
90,GRAY,001,25,9,5,0,6,3,1,1
91,GRAYSON,003,85,15,2,46,12,4,5,1
92,GREGG,004,123,34,3,38,31,12,5,0
93,GRIMES,007,17,11,0,3,1,2,0,0
94,GUADALUPE,008,82,10,3,14,13,29,12,1
95,HALE,001,31,18,0,0,0,6,7,0
96,HALL,001,6,5,0,0,1,0,0,0
97,HAMILTON,007,4,0,0,3,0,0,0,1
98,HANSFORD,001,0,0,0,0,0,0,0,0
99,HARDEMAN,002,6,2,0,4,0,0,0,0
100,HARDIN,005,13,5,0,5,1,2,0,0
101,HARRIS,006,2281,530,79,627,344,459,201,41
102,HARRISON,004,49,14,4,15,8,2,6,0
103,HARTLEY,001,3,0,0,0,3,0,0,0
104,HASKELL,002,7,0,4,0,3,0,0,0
105,HAYS,007,69,25,4,16,16,4,4,0
106,HEMPHILL,001,0,0,0,0,0,0,0,0
107,HENDERSON,004,92,37,3,18,16,10,8,0
108,HIDALGO,011,437,206,13,176,5,5,24,8
109,HILL,007,25,5,0,10,2,5,2,1
110,HOCKLEY,001,40,16,0,10,5,7,2,0
111,HOOD,003,40,10,5,10,13,1,1,0
112,HOPKINS,004,36,7,0,22,3,2,1,1
113,HOUSTON,005,24,9,0,7,4,2,2,0
114,HOWARD,009,57,21,0,27,2,5,2,0
115,HUDSPETH,010,1,0,0,0,0,1,0,0
116,HUNT,003,107,19,9,32,26,18,3,0
117,HUTCHINSON,001,17,4,0,10,1,0,2,0
118,IRION,009,1,0,1,0,0,0,0,0
119,JACK,002,7,3,0,3,0,0,1,0
120,JACKSON,008,6,4,0,1,1,0,0,0
121,JASPER,005,15,3,0,6,2,1,3,0
122,JEFF DAVIS,010,0,0,0,0,0,0,0,0
123,JEFFERSON,005,150,53,8,40,25,18,5,1
124,JIM HOGG,011,5,0,0,5,0,0,0,0
125,JIM WELLS,011,30,10,0,13,2,2,2,1
126,JOHNSON,003,150,29,2,45,37,29,8,0
127,JONES,002,1,0,0,0,0,1,0,0
128,KARNES,008,12,8,0,0,2,1,1,0
129,KAUFMAN,003,54,5,0,34,4,7,3,1
130,KENDALL,008,15,1,1,4,2,6,1,0
131,KENEDY,011,0,0,0,0,0,0,0,0
132,KENT,002,0,0,0,0,0,0,0,0
133,KERR,008,50,21,3,2,12,8,4,0
134,KIMBLE,009,5,3,0,0,0,2,0,0
135,KING,001,0,0,0,0,0,0,0,0
136,KINNEY,008,5,0,0,3,0,2,0,0
137,KLEBERG,011,35,10,0,4,4,15,2,0
138,KNOX,002,2,0,0,0,0,0,2,0
139,LAMAR,004,56,31,2,15,4,0,4,0
140,LAMB,001,18,3,0,6,2,5,2,0
141,LAMPASAS,007,41,15,0,13,7,4,2,0
142,LA SALLE,008,7,1,0,4,0,2,0,0
143,LAVACA,008,6,4,0,0,2,0,0,0
144,LEE,007,15,3,0,8,1,0,2,1
145,LEON,007,14,5,0,7,0,0,0,2
146,LIBERTY,006,111,34,9,41,9,4,9,5
147,LIMESTONE,007,18,5,4,2,1,6,0,0
148,LIPSCOMB,001,1,0,0,0,1,0,0,0
149,LIVE OAK,011,22,10,0,7,3,2,0,0
150,LLANO,007,24,7,0,8,2,6,1,0
151,LOVING,009,0,0,0,0,0,0,0,0
152,LUBBOCK,001,303,80,3,56,57,76,26,5
153,LYNN,001,7,4,0,1,1,1,0,0
154,MADISON,007,10,2,0,5,2,1,0,0
155,MARION,004,12,7,0,5,0,0,0,0
156,MARTIN,009,1,0,0,1,0,0,0,0
157,MASON,009,0,0,0,0,0,0,0,0
158,MATAGORDA,006,15,4,2,6,0,0,3,0
159,MAVERICK,008,2,0,0,0,0,0,1,1
160,MCCULLOCH,009,10,1,0,1,6,1,1,0
161,MCLENNAN,007,143,31,3,31,31,29,15,3
162,MCMULLEN,011,0,0,0,0,0,0,0,0
163,MEDINA,008,78,24,2,28,11,10,3,0
164,MENARD,009,2,0,0,0,0,0,1,1
165,MIDLAND,009,58,13,0,17,16,7,3,2
166,MILAM,007,32,12,0,16,2,2,0,0
167,MILLS,007,5,4,0,0,0,0,1,0
168,MITCHELL,002,0,0,0,0,0,0,0,0
169,MONTAGUE,002,32,16,0,12,3,0,1,0
170,MONTGOMERY,006,265,65,22,77,34,35,30,2
171,MOORE,001,11,2,0,3,3,0,2,1
172,MORRIS,004,11,2,2,4,1,0,2,0
173,MOTLEY,001,2,0,0,0,0,1,1,0
174,NACOGDOCHES,005,45,10,1,5,18,5,6,0
175,NAVARRO,003,46,11,0,5,14,12,3,1
176,NEWTON,005,9,3,1,4,0,0,1,0
177,NOLAN,002,23,10,4,7,0,0,2,0
178,NUECES,011,129,50,11,26,16,10,15,1
179,OCHILTREE,001,3,1,0,1,0,0,1,0
180,OLDHAM,001,0,0,0,0,0,0,0,0
181,ORANGE,005,52,14,0,16,13,3,5,1
182,PALO PINTO,003,39,25,0,7,5,1,1,0
183,PANOLA,004,11,2,0,3,2,3,1,0
184,PARKER,003,58,25,0,25,4,0,2,2
185,PARMER,001,0,0,0,0,0,0,0,0
186,PECOS,009,14,11,1,0,0,1,1,0
187,POLK,005,40,11,2,12,3,8,3,1
188,POTTER,001,121,35,7,14,45,10,8,2
189,PRESIDIO,010,4,3,0,0,0,1,0,0
190,RAINS,004,5,2,0,1,0,0,2,0
191,RANDALL,001,102,41,3,18,22,8,9,1
192,REAGAN,009,0,0,0,0,0,0,0,0
193,REAL,008,9,6,0,2,0,1,0,0
194,RED RIVER,004,14,7,0,6,0,0,1,0
195,REEVES,009,0,0,0,0,0,0,0,0
196,REFUGIO,011,4,2,0,1,0,0,0,1
197,ROBERTS,001,0,0,0,0,0,0,0,0
198,ROBERTSON,007,9,2,0,5,1,0,1,0
199,ROCKWALL,003,19,1,0,3,3,10,1,1
200,RUNNELS,002,11,2,0,8,0,1,0,0
201,RUSK,004,65,37,4,21,1,1,1,0
202,SABINE,005,2,0,0,1,0,0,1,0
203,SAN AUGUSTINE,005,1,0,0,1,0,0,0,0
204,SAN JACINTO,005,24,7,0,11,4,0,2,0
205,SAN PATRICIO,011,55,28,2,9,4,9,3,0
206,SAN SABA,007,4,1,0,1,0,1,1,0
207,SCHLEICHER,009,4,1,0,3,0,0,0,0
208,SCURRY,002,12,0,1,8,2,0,1,0
209,SHACKELFORD,002,0,0,0,0,0,0,0,0
210,SHELBY,005,14,0,0,6,6,0,1,1
211,SHERMAN,001,0,0,0,0,0,0,0,0
212,SMITH,004,207,53,16,63,41,21,13,0
213,SOMERVELL,003,6,1,0,3,0,0,0,2
214,STARR,011,45,20,0,13,4,4,3,1
215,STEPHENS,002,3,1,0,2,0,0,0,0
216,STERLING,009,4,0,0,4,0,0,0,0
217,STONEWALL,002,1,0,0,1,0,0,0,0
218,SUTTON,009,2,1,0,0,0,1,0,0
219,SWISHER,001,0,0,0,0,0,0,0,0
220,TARRANT,003,802,256,27,165,231,45,69,9
221,TAYLOR,002,110,47,9,19,12,12,10,1
222,TERRELL,009,0,0,0,0,0,0,0,0
223,TERRY,001,36,12,0,18,0,5,1,0
224,THROCKMORTON,002,0,0,0,0,0,0,0,0
225,TITUS,004,15,2,0,4,3,3,3,0
226,TOM GREEN,009,199,51,7,39,51,33,15,3
227,TRAVIS,007,675,273,13,95,112,131,33,18
228,TRINITY,005,21,8,0,5,4,2,2,0
229,TYLER,005,13,8,0,4,0,0,1,0
230,UPSHUR,004,37,13,2,17,5,0,0,0
231,UPTON,009,3,3,0,0,0,0,0,0
232,UVALDE,008,34,11,5,4,8,5,1,0
233,VAL VERDE,008,19,9,0,2,2,4,2,0
234,VAN ZANDT,004,64,23,0,19,11,9,2,0
235,VICTORIA,008,75,15,1,30,8,13,6,2
236,WALKER,006,42,22,2,15,2,0,1,0
237,WALLER,006,20,10,1,5,3,1,0,0
238,WARD,009,5,1,0,2,0,1,1,0
239,WASHINGTON,007,25,16,0,1,2,5,1,0
240,WEBB,011,249,126,4,70,11,14,22,2
241,WHARTON,006,16,3,1,3,5,2,2,0
242,WHEELER,001,5,0,0,5,0,0,0,0
243,WICHITA,002,110,37,14,18,24,5,11,1
244,WILBARGER,002,7,1,0,2,0,0,1,3
245,WILLACY,011,51,28,0,12,10,0,1,0
246,WILLIAMSON,007,186,63,6,32,33,29,21,2
247,WILSON,008,39,9,1,6,6,12,5,0
248,WINKLER,009,2,0,0,1,1,0,0,0
249,WISE,003,73,30,0,32,6,3,2,0
250,WOOD,004,54,12,1,17,12,4,7,1
251,YOAKUM,001,6,3,0,2,0,0,1,0
252,YOUNG,002,7,0,2,2,0,2,0,1
253,ZAPATA,011,13,2,1,5,3,1,1,0
254,ZAVALA,008,17,9,0,2,0,4,2,0
255,TOTAL,,16912,5192,601,4488,2647,2528,1246,210
