,County,Paid Foster  Care Clients,Paid Foster  Expenditures*
1,ANDERSON,110,1577318
2,ANDREWS,18,269689
3,ANGELINA,75,760241
4,ARANSAS,74,1020222
5,ARCHER,1,6418
6,ARMSTRONG,0,0
7,ATASCOSA,117,1288474
8,AUSTIN,12,120635
9,BAILEY,24,334934
10,BANDERA,51,522621
11,BASTROP,111,1405214
12,BAYLOR,1,26098
13,BEE,57,825147
14,BELL,597,6252058
15,BEXAR,3491,45742172
16,BLANCO,8,66239
17,BORDEN,0,0
18,BOSQUE,24,249275
19,BOWIE,95,1455798
20,BRAZORIA,243,3193187
21,BRAZOS,173,1789004
22,BREWSTER,6,184399
23,BRISCOE,0,0
24,BROOKS,27,377416
25,BROWN,107,1642006
26,BURLESON,22,355316
27,BURNET,80,857029
28,CALDWELL,74,1134175
29,CALHOUN,16,341559
30,CALLAHAN,28,376187
31,CAMERON,466,4813882
32,CAMP,30,251373
33,CARSON,4,31534
34,CASS,39,269926
35,CASTRO,5,112735
36,CHAMBERS,33,407230
37,CHEROKEE,109,1144997
38,CHILDRESS,21,294797
39,CLAY,10,158177
40,COCHRAN,5,108160
41,COKE,7,86566
42,COLEMAN,39,486930
43,COLLIN,326,3642559
44,COLLINGSWORTH,6,61637
45,COLORADO,21,299352
46,COMAL,147,1357663
47,COMANCHE,15,213280
48,CONCHO,6,79521
49,COOKE,69,762542
50,CORYELL,122,1281022
51,COTTLE,0,0
52,CRANE,2,4563
53,CROCKETT,6,113262
54,CROSBY,20,277546
55,CULBERSON,0,0
56,DALLAM,8,133468
57,DALLAS,2304,26540623
58,DAWSON,17,235255
59,DEAF SMITH,31,290312
60,DELTA,7,142978
61,DENTON,410,3698021
62,DEWITT,30,572516
63,DICKENS,10,193145
64,DIMMIT,59,807642
65,DONLEY,16,280417
66,DUVAL,24,341151
67,EASTLAND,28,404763
68,ECTOR,296,4655717
69,EDWARDS,5,5059
70,ELLIS,71,917043
71,EL PASO,601,6911899
72,ERATH,40,329157
73,FALLS,15,236746
74,FANNIN,34,428141
75,FAYETTE,32,501849
76,FISHER,5,88530
