,County,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed
1,ANDERSON,11844,145,12.2,522,94,18.0%
2,ANDREWS,4056,78,19.2,146,45,30.8%
3,ANGELINA,22656,293,12.9,795,174,21.9%
4,ARANSAS,5091,185,36.3,262,101,38.5%
5,ARCHER,2105,17,8.1,42,10,23.8%
6,ARMSTRONG,514,2,3.9,11,1,9.1%
7,ATASCOSA,12801,220,17.2,378,119,31.5%
8,AUSTIN,6584,37,5.6,147,24,16.3%
9,BAILEY,1834,8,4.4,49,6,12.2%
10,BANDERA,4133,56,13.5,145,37,25.5%
11,BASTROP,20172,200,9.9,583,131,22.5%
12,BAYLOR,780,12,15.4,31,5,16.1%
13,BEE,7508,194,25.8,354,99,28.0%
14,BELL,83087,946,11.4,3294,583,17.7%
15,BEXAR,438724,5915,13.5,15375,3453,22.5%
16,BLANCO,2232,12,5.4,53,9,17.0%
17,BORDEN,111,0,0.0,2,0,0.0%
18,BOSQUE,4161,57,13.7,155,32,20.6%
19,BOWIE,21313,253,11.9,838,154,18.4%
20,BRAZORIA,81797,505,6.2,1781,318,17.9%
21,BRAZOS,38287,382,10.0,954,242,25.4%
22,BREWSTER,2002,20,10.0,56,13,23.2%
23,BRISCOE,428,1,2.3,10,1,10.0%
24,BROOKS,2212,57,25.8,128,31,24.2%
25,BROWN,9651,144,14.9,323,92,28.5%
26,BURLESON,4591,60,13.1,126,34,27.0%
27,BURNET,9853,132,13.4,338,80,23.7%
28,CALDWELL,10198,99,9.7,367,65,17.7%
29,CALHOUN,6195,42,6.8,168,27,16.1%
30,CALLAHAN,3166,50,15.8,119,21,17.6%
31,CAMERON,136046,2158,15.9,3705,1060,28.6%
32,CAMP,3410,42,12.3,124,24,19.4%
33,CARSON,1508,7,4.6,48,5,10.4%
34,CASS,6731,75,11.1,239,46,19.2%
35,CASTRO,2084,16,7.7,45,8,17.8%
36,CHAMBERS,8852,69,7.8,142,39,27.5%
37,CHEROKEE,12719,167,13.1,438,104,23.7%
38,CHILDRESS,1765,16,9.1,48,13,27.1%
39,CLAY,2141,26,12.1,63,17,27.0%
40,COCHRAN,837,8,9.6,24,6,25.0%
41,COKE,757,16,21.1,20,9,45.0%
42,COLEMAN,2000,75,37.5,100,43,43.0%
43,COLLIN,204247,1097,5.4,3100,692,22.3%
44,COLLINGSWORTH,658,13,19.8,20,6,30.0%
45,COLORADO,5357,49,9.1,134,32,23.9%
46,COMAL,25006,315,12.6,599,193,32.2%
47,COMANCHE,3282,37,11.3,88,22,25.0%
48,CONCHO,513,8,15.6,23,5,21.7%
49,COOKE,9847,100,10.2,324,62,19.1%
50,CORYELL,18291,300,16.4,794,161,20.3%
51,COTTLE,396,4,10.1,16,2,12.5%
52,CRANE,1114,4,3.6,14,2,14.3%
53,CROCKETT,1066,4,3.8,22,4,18.2%
54,CROSBY,1681,37,22.0,70,21,30.0%
55,CULBERSON,577,10,17.3,20,5,25.0%
56,DALLAM,1874,48,25.6,77,27,35.1%
57,DALLAS,678936,5069,7.5,13846,3084,22.3%
58,DAWSON,3562,71,19.9,155,38,24.5%
59,DEAF SMITH,6566,94,14.3,177,43,24.3%
60,DELTA,1114,20,18.0,44,10,22.7%
61,DENTON,162374,909,5.6,3085,591,19.2%
62,DEWITT,4686,44,9.4,160,22,13.8%
63,DICKENS,451,15,33.3,15,7,46.7%
64,DIMMIT,2678,41,15.3,83,19,22.9%
65,DONLEY,739,24,32.5,39,13,33.3%
66,DUVAL,3158,58,18.4,123,33,26.8%
67,EASTLAND,4269,65,15.2,167,43,25.7%
68,ECTOR,38841,721,18.6,1476,418,28.3%
69,EDWARDS,444,5,11.3,9,2,22.2%
70,ELLIS,42250,239,5.7,721,143,19.8%
71,EL PASO,227531,2429,10.7,5173,1370,26.5%
72,ERATH,9233,129,14.0,256,74,28.9%
73,FALLS,4281,49,11.4,115,28,24.3%
74,FANNIN,7598,56,7.4,193,35,18.1%
75,FAYETTE,5455,72,13.2,131,44,33.6%
76,FISHER,816,15,18.4,37,10,27.0%
77,FLOYD,1864,50,26.8,63,18,28.6%
78,FOARD,322,3,9.3,9,1,11.1%
79,FORT BEND,137850,688,5.0,2032,435,21.4%
80,FRANKLIN,2272,17,7.5,61,10,16.4%
81,FREESTONE,4715,29,6.2,107,18,16.8%
82,FRIO,4942,82,16.6,138,38,27.5%
83,GAINES,5172,62,12.0,100,32,32.0%
84,GALVESTON,71609,537,7.5,2139,344,16.1%
85,GARZA,1265,53,41.9,64,28,43.8%
86,GILLESPIE,4675,52,11.1,122,33,27.0%
87,GLASSCOCK,372,0,0.0,2,0,0.0%
88,GOLIAD,1734,32,18.5,58,19,32.8%
89,GONZALES,5435,53,9.8,170,36,21.2%
90,GRAY,5161,121,23.4,216,65,30.1%
91,GRAYSON,28207,289,10.2,1145,187,16.3%
92,GREGG,31957,313,9.8,1036,186,18.0%
93,GRIMES,6213,55,8.9,179,33,18.4%
94,GUADALUPE,31772,358,11.3,929,214,23.0%
95,HALE,10966,182,16.6,316,99,31.3%
96,HALL,1003,18,17.9,23,9,39.1%
97,HAMILTON,1927,31,16.1,68,18,26.5%
98,HANSFORD,1436,10,7.0,24,6,25.0%
99,HARDEMAN,1011,19,18.8,43,10,23.3%
100,HARDIN,12282,125,10.2,414,89,21.5%
101,HARRIS,1117039,5493,4.9,22097,3597,16.3%
102,HARRISON,15597,219,14.0,564,134,23.8%
103,HARTLEY,1297,5,3.9,12,3,25.0%
104,HASKELL,1295,16,12.4,43,9,20.9%
105,HAYS,34231,261,7.6,943,167,17.7%
106,HEMPHILL,846,6,7.1,12,3,25.0%
107,HENDERSON,18230,319,17.5,742,181,24.4%
108,HIDALGO,259479,2837,10.9,6770,1543,22.8%
109,HILL,9364,122,13.0,325,83,25.5%
110,HOCKLEY,6614,161,24.3,208,88,42.3%
111,HOOD,10577,268,25.3,458,162,35.4%
112,HOPKINS,8844,66,7.5,271,38,14.0%
113,HOUSTON,4926,42,8.5,170,21,12.4%
114,HOWARD,7696,162,21.0,459,104,22.7%
115,HUDSPETH,904,6,6.6,17,2,11.8%
116,HUNT,21239,213,10.0,590,138,23.4%
117,HUTCHINSON,6092,65,10.7,206,42,20.4%
118,IRION,292,2,6.8,14,1,7.1%
119,JACK,1967,18,9.2,53,12,22.6%
120,JACKSON,3988,26,6.5,82,14,17.1%
121,JASPER,8642,103,11.9,339,63,18.6%
122,JEFF DAVIS,423,4,9.5,13,2,15.4%
123,JEFFERSON,60449,618,10.2,2105,427,20.3%
124,JIM HOGG,1444,49,33.9,65,23,35.4%
125,JIM WELLS,12090,243,20.1,507,119,23.5%
126,JOHNSON,44740,672,15.0,1333,391,29.3%
127,JONES,4188,59,14.1,137,32,23.4%
128,KARNES,3410,47,13.8,110,21,19.1%
129,KAUFMAN,26938,196,7.3,707,136,19.2%
130,KENDALL,7188,62,8.6,147,40,27.2%
131,KENEDY,118,1,8.5,2,1,50.0%
132,KENT,115,3,26.1,6,2,33.3%
133,KERR,8900,163,18.3,373,94,25.2%
134,KIMBLE,1060,17,16.0,43,11,25.6%
135,KING,66,0,0.0,0,0,0.0%
136,KINNEY,795,2,2.5,15,2,13.3%
137,KLEBERG,8211,140,17.1,350,83,23.7%
138,KNOX,1001,6,6.0,16,4,25.0%
139,LAMAR,12535,148,11.8,395,82,20.8%
140,LAMB,4428,65,14.7,157,32,20.4%
141,LAMPASAS,5182,52,10.0,187,34,18.2%
142,LASALLE,1586,24,15.1,42,14,33.3%
143,LAVACA,4394,25,5.7,79,12,15.2%
144,LEE,4350,46,10.6,104,32,30.8%
145,LEON,3557,36,10.1,105,23,21.9%
146,LIBERTY,20386,269,13.2,607,158,26.0%
147,LIMESTONE,5590,53,9.5,184,35,19.0%
148,LIPSCOMB,718,8,11.1,20,5,25.0%
149,LIVE OAK,2424,67,27.6,110,38,34.5%
150,LLANO,3066,56,18.3,142,37,26.1%
151,LOVING,3,0,0.0,1,0,0.0%
152,LUBBOCK,67626,1378,20.4,2521,770,30.5%
153,LYNN,1422,28,19.7,41,9,22.0%
154,MADISON,3046,55,18.1,108,31,28.7%
155,MARION,2233,33,14.8,110,22,20.0%
156,MARTIN,1590,2,1.3,26,2,7.7%
157,MASON,704,14,19.9,30,6,20.0%
158,MATAGORDA,10427,81,7.8,217,58,26.7%
159,MAVERICK,18819,43,2.3,238,25,10.5%
160,MCCULLOCH,2091,44,21.0,94,26,27.7%
161,MCLENNAN,60002,794,13.2,2315,481,20.8%
162,MCMULLEN,119,0,0.0,6,0,0.0%
163,MEDINA,11545,158,13.7,330,88,26.7%
164,MENARD,478,6,12.6,26,4,15.4%
165,MIDLAND,35971,415,11.5,941,241,25.6%
166,MILAM,6940,116,16.7,231,62,26.8%
167,MILLS,1200,5,4.2,33,5,15.2%
168,MITCHELL,1769,24,13.6,79,20,25.3%
169,MONTAGUE,4578,125,27.3,199,65,32.7%
170,MONTGOMERY,118020,996,8.4,2781,630,22.7%
171,MOORE,5900,109,18.5,190,55,28.9%
172,MORRIS,3082,46,14.9,130,30,23.1%
173,MOTLEY,254,0,0.0,6,0,0.0%
174,NACOGDOCHES,15040,190,12.6,383,93,24.3%
175,NAVARRO,13385,78,5.8,296,50,16.9%
176,NEWTON,3219,12,3.7,94,12,12.8%
177,NOLAN,3603,122,33.9,192,58,30.2%
178,NUECES,87714,1256,14.3,3455,756,21.9%
179,OCHILTREE,2932,28,9.5,72,14,19.4%
