,County,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services
1,ANDERSON,31,"$21,259.26",149,7,"$1,707.22",282
2,ANDREWS,13,12485.29,41,13,1298.84,52
3,ANGELINA,70,66451.49,101,17,2646.73,175
4,ARANSAS,22,23011.77,84,8,2359.58,200
5,ARCHER,0,0.00,1,0,0.00,28
6,ARMSTRONG,0,0.00,2,0,0.00,4
7,ATASCOSA,14,32821.76,172,31,5259.46,339
8,AUSTIN,12,7683.02,20,7,2274.74,82
9,BAILEY,0,0.00,27,0,0.00,19
10,BANDERA,6,7490.70,66,0,0.00,60
11,BASTROP,14,11923.63,187,3,84.40,280
12,BAYLOR,2,1656.60,1,0,0.00,25
13,BEE,11,3612.87,92,5,310.21,290
14,BELL,130,153069.45,865,29,3759.50,1072
15,BEXAR,1466,2292171.66,5184,544,133906.94,10248
16,BLANCO,0,0.00,11,0,0.00,12
17,BORDEN,0,0.00,0,0,0.00,2
18,BOSQUE,3,896.75,28,2,1807.36,53
19,BOWIE,68,50146.51,168,38,3979.79,301
20,BRAZORIA,115,92849.54,370,99,34214.77,853
21,BRAZOS,68,109913.49,217,3,748.14,406
22,BREWSTER,0,0.00,7,5,511.48,47
23,BRISCOE,0,0.00,1,0,0.00,1
24,BROOKS,13,21412.51,41,12,6732.46,84
25,BROWN,183,184331.07,146,6,320.42,144
26,BURLESON,3,4518.50,38,0,0.00,25
27,BURNET,44,29554.44,113,13,5957.26,102
28,CALDWELL,12,16950.25,106,7,1716.50,106
29,CALHOUN,1,500.00,16,0,0.00,44
30,CALLAHAN,10,3157.14,32,0,0.00,68
31,CAMERON,191,160416.70,620,174,14806.36,3812
32,CAMP,12,8500.05,57,1,700.00,84
33,CARSON,3,360.00,5,3,203.00,8
34,CASS,33,36820.51,69,13,1253.10,74
35,CASTRO,2,4180.00,5,0,0.00,31
36,CHAMBERS,11,7370.36,56,2,61.12,63
37,CHEROKEE,37,20224.86,159,17,8575.87,272
38,CHILDRESS,2,5027.00,16,1,237.21,22
39,CLAY,8,8517.79,10,0,0.00,20
40,COCHRAN,0,0.00,6,0,0.00,10
41,COKE,0,0.00,7,1,339.30,20
42,COLEMAN,10,12824.88,62,7,978.46,99
43,COLLIN,206,98266.60,437,29,9646.15,913
44,COLLINGSWORTH,0,0.00,10,0,0.00,15
45,COLORADO,19,11695.19,35,0,0.00,84
46,COMAL,19,14625.70,243,27,8538.83,455
47,COMANCHE,15,18088.97,14,0,0.00,34
48,CONCHO,7,"$2,140.17",7,0,$0.00,14
49,COOKE,38,"$23,456.53",86,2,$277.46,104
50,CORYELL,8,11917.82,191,5,903.95,255
51,COTTLE,0,0.00,0,0,0.00,4
52,CRANE,1,765.00,4,0,0.00,1
53,CROCKETT,3,6023.00,9,0,0.00,7
54,CROSBY,0,0.00,24,1,27.00,66
55,CULBERSON,0,0.00,0,0,0.00,23
56,DALLAM,0,0.00,10,6,1739.54,65
57,DALLAS,1773,1347537.80,3663,113,31651.84,6083
58,DAWSON,17,10639.26,26,0,0.00,81
59,DEAF SMITH,2,72.00,48,2,451.90,133
60,DELTA,3,2842.00,11,3,624.89,15
61,DENTON,269,134901.62,579,32,17647.55,909
62,DEWITT,2,4079.07,50,0,0.00,18
63,DICKENS,0,0.00,17,0,0.00,20
64,DIMMIT,5,1610.00,99,2,424.13,19
65,DONLEY,1,84.00,17,1,361.82,24
66,DUVAL,4,1317.88,34,6,1070.84,95
67,EASTLAND,14,12482.80,37,1,27.00,63
68,ECTOR,152,164142.31,395,82,12671.88,761
69,EDWARDS,0,0.00,13,0,0.00,2
70,ELLIS,67,21630.24,103,20,5810.72,293
71,EL PASO,246,266399.73,820,68,10832.23,2906
72,ERATH,26,5188.41,52,5,1072.31,86
73,FALLS,1,4425.00,21,0,0.00,36
74,FANNIN,21,6793.56,38,1,565.00,73
75,FAYETTE,2,346.33,69,1,28.70,55
76,FISHER,2,1460.05,5,0,0.00,14
77,FLOYD,3,1582.50,30,0,0.00,28
78,FOARD,0,0.00,0,0,0.00,3
79,FORT BEND,138,97525.30,270,118,45834.19,1225
80,FRANKLIN,8,9581.55,12,1,1518.23,40
81,FREESTONE,0,0.00,29,0,0.00,36
82,FRIO,2,5555.00,75,5,183.00,58
