,County,Intakes,Completed Investigation,Confirmed Investigations
1,ANDERSON,8,6,2
2,ANDREWS,0,0,0
3,ANGELINA,319,293,39
4,ARANSAS,0,1,0
5,ARCHER,5,2,0
6,ARMSTRONG,0,0,0
7,ATASCOSA,2,2,1
8,AUSTIN,1,3,1
9,BAILEY,0,0,0
10,BANDERA,1,1,1
11,BASTROP,10,8,0
12,BAYLOR,0,0,0
13,BEE,2,1,0
14,BELL,96,84,15
15,BEXAR,953,904,111
16,BLANCO,0,0,0
17,BORDEN,0,0,0
18,BOSQUE,0,0,0
19,BOWIE,10,8,5
20,BRAZORIA,56,53,6
21,BRAZOS,49,49,5
22,BREWSTER,0,0,0
23,BRISCOE,0,0,0
24,BROOKS,2,2,2
25,BROWN,28,28,5
26,BURLESON,0,0,0
27,BURNET,1,2,0
28,CALDWELL,5,4,0
29,CALHOUN,4,4,1
30,CALLAHAN,2,2,1
31,CAMERON,329,298,24
32,CAMP,1,1,0
33,CARSON,0,0,0
34,CASS,0,0,0
35,CASTRO,0,0,0
36,CHAMBERS,0,0,0
37,CHEROKEE,446,438,22
38,CHILDRESS,0,0,0
39,CLAY,1,1,0
40,COCHRAN,0,0,0
41,COKE,0,0,0
42,COLEMAN,0,0,0
43,COLLIN,52,50,5
44,COLLINGSWORTH,0,0,0
45,COLORADO,0,0,0
46,COMAL,40,37,1
47,COMANCHE,0,0,0
48,CONCHO,0,0,0
49,COOKE,0,0,0
50,CORYELL,3,2,2
51,COTTLE,0,0,0
52,CRANE,0,0,0
53,CROCKETT,0,0,0
54,CROSBY,0,0,0
55,CULBERSON,0,0,0
56,DALLAM,0,0,0
57,DALLAS,278,247,31
58,DAWSON,0,0,0
59,DEAF SMITH,2,2,0
60,DELTA,0,0,0
61,DENTON,340,330,55
62,DEWITT,0,0,0
63,DICKENS,0,0,0
64,DIMMIT,1,1,0
65,DONLEY,0,0,0
66,DUVAL,0,0,0
67,EASTLAND,26,26,5
68,ECTOR,1,1,0
69,EDWARDS,0,0,0
70,ELLIS,6,5,0
71,EL PASO,236,242,39
72,ERATH,9,11,4
73,FALLS,6,6,1
74,FANNIN,0,0,0
75,FAYETTE,0,0,0
76,FISHER,0,0,0
77,FLOYD,0,0,0
78,FOARD,0,0,0
79,FORT BEND,291,298,50
80,FRANKLIN,5,5,0
81,FREESTONE,3,3,0
82,FRIO,0,0,0
83,GAINES,0,0,0
84,GALVESTON,23,26,4
85,GARZA,0,0,0
86,GILLESPIE,1,1,0
87,GLASSCOCK,0,0,0
88,GOLIAD,0,0,0
89,GONZALES,4,3,0
90,GRAY,1,1,0
91,GRAYSON,33,23,2
92,GREGG,103,105,23
93,GRIMES,0,0,0
94,GUADALUPE,30,30,5
95,HALE,8,8,1
96,HALL,0,0,0
97,HAMILTON,0,0,0
98,HANSFORD,0,0,0
99,HARDEMAN,1,1,0
100,HARDIN,6,7,0
101,HARRIS,461,427,52
102,HARRISON,9,8,3
103,HARTLEY,0,0,0
104,HASKELL,0,0,0
105,HAYS,28,28,2
106,HEMPHILL,0,0,0
107,HENDERSON,6,5,0
108,HIDALGO,30,30,4
109,HILL,0,0,0
110,HOCKLEY,10,9,3
111,HOOD,0,3,0
112,HOPKINS,0,0,0
113,HOUSTON,0,0,0
114,HOWARD,198,183,5
115,HUDSPETH,0,0,0
116,HUNT,21,21,0
117,HUTCHINSON,1,0,0
118,IRION,0,0,0
119,JACK,0,0,0
120,JACKSON,0,0,0
121,JASPER,2,1,0
122,JEFF DAVIS,0,0,0
123,JEFFERSON,106,100,34
124,JIM HOGG,0,0,0
125,JIM WELLS,4,4,0
126,JOHNSON,28,22,2
127,JONES,2,2,0
128,KARNES,0,0,0
129,KAUFMAN,149,144,9
130,KENDALL,0,0,0
131,KENEDY,0,0,0
132,KENT,0,0,0
133,KERR,60,60,6
134,KIMBLE,0,0,0
135,KING,0,0,0
136,KINNEY,0,0,0
137,KLEBERG,0,0,0
138,KNOX,0,0,0
139,LAMAR,16,14,5
140,LAMB,0,0,0
141,LAMPASAS,0,0,0
142,LASALLE,0,0,0
143,LAVACA,0,0,0
144,LEE,0,0,0
145,LEON,4,4,0
146,LIBERTY,21,18,5
147,LIMESTONE,1036,1000,57
148,LIPSCOMB,0,0,0
149,LIVE OAK,0,0,0
150,LLANO,1,1,0
151,LOVING,0,0,0
152,LUBBOCK,356,326,89
153,LYNN,0,0,0
154,MADISON,0,0,0
155,MARION,0,0,0
156,MARTIN,0,0,0
157,MASON,0,0,0
158,MATAGORDA,2,2,0
159,MAVERICK,0,0,0
160,MCCULLOCH,0,0,0
161,MCLENNAN,88,82,8
162,MCMULLEN,0,0,0
163,MEDINA,1,0,0
164,MENARD,0,0,0
165,MIDLAND,45,41,7
166,MILAM,0,1,0
167,MILLS,0,0,0
168,MITCHELL,0,0,0
169,MONTAGUE,0,0,0
170,MONTGOMERY,28,26,3
171,MOORE,5,2,0
172,MORRIS,1,0,0
173,MOTLEY,0,0,0
174,NACOGDOCHES,2,2,0
175,NAVARRO,60,49,9
176,NEWTON,0,0,0
177,NOLAN,7,6,0
178,NUECES,596,574,73
179,OCHILTREE,0,0,0
180,OLDHAM,0,0,0
181,ORANGE,7,7,2
182,PALO PINTO,0,0,0
183,PANOLA,0,0,0
184,PARKER,4,3,1
185,PARMER,0,0,0
186,PECOS,0,0,0
187,POLK,1,1,0
188,POTTER,34,21,5
189,PRESIDIO,0,0,0
190,RAINS,0,0,0
191,RANDALL,82,94,13
192,REAGAN,0,0,0
193,REAL,0,0,0
194,RED RIVER,0,0,0
195,REEVES,1,1,1
196,REFUGIO,0,0,0
197,ROBERTS,1,0,0
198,ROBERTSON,1,1,0
199,ROCKWALL,5,4,0
200,RUNNELS,0,0,0
201,RUSK,3,2,0
202,SABINE,1,1,0
203,SAN AUGUSTINE,6,7,1
204,SAN JACINTO,0,0,0
205,SAN PATRICIO,4,6,3
206,SAN SABA,0,0,0
207,SCHLEICHER,0,0,0
208,SCURRY,1,1,0
209,SHACKELFORD,0,0,0
210,SHELBY,0,0,0
211,SHERMAN,0,0,0
212,SMITH,48,48,8
213,SOMERVELL,0,0,0
214,STARR,2,1,0
215,STEPHENS,0,0,0
216,STERLING,0,0,0
217,STONEWALL,0,0,0
218,SUTTON,0,0,0
219,SWISHER,0,0,0
220,TARRANT,369,322,59
221,TAYLOR,604,569,125
222,TERRELL,0,0,0
223,TERRY,0,0,0
224,THROCKMORTON,0,0,0
225,TITUS,6,4,1
226,TOM GREEN,1089,1043,75
227,TRAVIS,922,917,109
228,TRINITY,0,0,0
229,TYLER,0,1,0
230,UPSHUR,2,1,0
231,UPTON,0,0,0
232,UVALDE,10,7,0
233,VAL VERDE,4,1,0
234,VAN ZANDT,1,1,0
235,VICTORIA,13,11,3
236,WALKER,1,0,0
237,WALLER,5,6,1
238,WARD,1,1,0
239,WASHINGTON,230,220,26
240,WEBB,28,28,4
241,WHARTON,7,8,1
242,WHEELER,0,0,0
243,WICHITA,313,312,31
244,WILBARGER,410,411,33
245,WILLACY,0,0,0
246,WILLIAMSON,68,56,8
247,WILSON,0,0,0
248,WINKLER,0,0,0
249,WISE,2,2,0
250,WOOD,0,0,0
251,YOAKUM,0,0,0
252,YOUNG,1,1,0
253,ZAPATA,0,0,0
254,ZAVALA,0,0,0
255,UNKNOWN,0,0,0
256,STATE TOTAL,11511,10981,1355
