,County,Total,African American,Anglo,Hispanic,Native American,Other
1,ANDERSON,28,10,13,5,0,0
2,ANDREWS,6,0,3,3,0,0
3,ANGELINA,13,2,10,1,0,0
4,ARANSAS,12,0,4,8,0,0
5,ARCHER,0,0,0,0,0,0
6,ARMSTRONG,0,0,0,0,0,0
7,ATASCOSA,26,0,11,15,0,0
8,AUSTIN,4,0,0,4,0,0
9,BAILEY,6,0,0,6,0,0
10,BANDERA,15,0,8,6,0,1
11,BASTROP,28,8,10,8,0,2
12,BAYLOR,0,0,0,0,0,0
13,BEE,9,0,1,8,0,0
14,BELL,118,68,32,16,0,2
15,BEXAR,878,172,90,606,1,9
16,BLANCO,0,0,0,0,0,0
17,BORDEN,0,0,0,0,0,0
18,BOSQUE,8,0,5,3,0,0
19,BOWIE,9,9,0,0,0,0
20,BRAZORIA,17,5,8,4,0,0
21,BRAZOS,30,13,8,9,0,0
22,BREWSTER,0,0,0,0,0,0
23,BRISCOE,0,0,0,0,0,0
24,BROOKS,9,0,0,9,0,0
25,BROWN,38,4,22,11,0,1
26,BURLESON,11,0,8,3,0,0
27,BURNET,12,0,11,0,0,1
28,CALDWELL,12,1,9,2,0,0
29,CALHOUN,3,0,2,1,0,0
30,CALLAHAN,2,0,2,0,0,0
31,CAMERON,47,2,1,44,0,0
32,CAMP,3,0,1,2,0,0
33,CARSON,0,0,0,0,0,0
34,CASS,4,3,1,0,0,0
35,CASTRO,0,0,0,0,0,0
36,CHAMBERS,12,3,8,1,0,0
37,CHEROKEE,17,9,5,3,0,0
38,CHILDRESS,7,0,4,2,0,1
39,CLAY,1,0,1,0,0,0
40,COCHRAN,1,1,0,0,0,0
41,COKE,1,1,0,0,0,0
42,COLEMAN,3,0,2,1,0,0
43,COLLIN,46,19,21,4,0,2
44,COLLINGSWORTH,4,0,0,4,0,0
45,COLORADO,3,3,0,0,0,0
46,COMAL,31,0,20,11,0,0
47,COMANCHE,2,0,2,0,0,0
48,CONCHO,0,0,0,0,0,0
49,COOKE,9,2,5,2,0,0
50,CORYELL,15,5,4,5,0,1
51,COTTLE,0,0,0,0,0,0
52,CRANE,0,0,0,0,0,0
53,CROCKETT,1,0,1,0,0,0
54,CROSBY,8,0,0,8,0,0
55,CULBERSON,0,0,0,0,0,0
56,DALLAM,0,0,0,0,0,0
57,DALLAS,441,243,85,103,1,9
58,DAWSON,8,2,0,6,0,0
59,DEAF SMITH,7,0,4,3,0,0
60,DELTA,0,0,0,0,0,0
61,DENTON,94,45,27,20,0,2
62,DEWITT,12,5,1,6,0,0
63,DICKENS,2,0,2,0,0,0
64,DIMMIT,24,0,0,23,0,1
65,DONLEY,3,1,2,0,0,0
66,DUVAL,3,0,0,3,0,0
67,EASTLAND,4,1,2,1,0,0
68,ECTOR,38,11,9,18,0,0
69,EDWARDS,3,0,0,3,0,0
70,ELLIS,8,1,2,5,0,0
71,EL PASO,103,8,13,81,1,0
72,ERATH,8,0,3,5,0,0
73,FALLS,1,0,0,1,0,0
74,FANNIN,3,2,1,0,0,0
75,FAYETTE,1,0,0,1,0,0
76,FISHER,0,0,0,0,0,0
77,FLOYD,0,0,0,0,0,0
78,FOARD,0,0,0,0,0,0
79,FORT BEND,21,12,2,7,0,0
80,FRANKLIN,2,0,2,0,0,0
81,FREESTONE,10,4,6,0,0,0
82,FRIO,21,0,1,20,0,0
83,GAINES,5,0,3,2,0,0
84,GALVESTON,59,31,18,10,0,0
85,GARZA,3,2,0,1,0,0
86,GILLESPIE,10,0,1,9,0,0
87,GLASSCOCK,0,0,0,0,0,0
88,GOLIAD,0,0,0,0,0,0
89,GONZALES,2,0,1,1,0,0
90,GRAY,16,1,12,3,0,0
91,GRAYSON,24,9,9,4,0,2
92,GREGG,44,26,16,2,0,0
93,GRIMES,17,6,9,2,0,0
94,GUADALUPE,22,2,4,16,0,0
95,HALE,14,0,4,10,0,0
96,HALL,2,1,1,0,0,0
97,HAMILTON,4,0,4,0,0,0
98,HANSFORD,0,0,0,0,0,0
99,HARDEMAN,0,0,0,0,0,0
100,HARDIN,7,0,6,0,0,1
101,HARRIS,1611,1030,203,346,0,32
102,HARRISON,14,6,7,1,0,0
103,HARTLEY,0,0,0,0,0,0
104,HASKELL,0,0,0,0,0,0
105,HAYS,13,2,6,5,0,0
106,HEMPHILL,1,0,1,0,0,0
107,HENDERSON,25,4,20,1,0,0
108,HIDALGO,21,0,0,21,0,0
109,HILL,12,2,8,2,0,0
110,HOCKLEY,16,7,3,5,0,1
111,HOOD,6,2,3,1,0,0
112,HOPKINS,5,1,4,0,0,0
113,HOUSTON,7,2,4,1,0,0
114,HOWARD,16,2,13,1,0,0
115,HUDSPETH,0,0,0,0,0,0
116,HUNT,34,15,14,0,0,5
117,HUTCHINSON,5,0,1,4,0,0
118,IRION,0,0,0,0,0,0
119,JACK,2,0,2,0,0,0
120,JACKSON,2,0,0,2,0,0
121,JASPER,9,2,7,0,0,0
122,JEFF DAVIS,0,0,0,0,0,0
123,JEFFERSON,43,30,8,4,0,1
124,JIM HOGG,0,0,0,0,0,0
