,County,Total,Family Reunification,Custody Given to Relative,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other*
1,ANDERSON,36,16,8,2,6,4,0
2,ANDREWS,11,4,5,1,0,1,0
3,ANGELINA,36,14,14,5,2,1,0
4,ARANSAS,15,8,4,0,2,1,0
5,ARCHER,0,0,0,0,0,0,0
6,ARMSTRONG,0,0,0,0,0,0,0
7,ATASCOSA,49,10,5,13,17,4,0
8,AUSTIN,9,4,3,0,0,2,0
9,BAILEY,7,4,0,1,1,1,0
10,BANDERA,25,9,4,2,5,5,0
11,BASTROP,78,40,14,7,10,5,2
12,BAYLOR,0,0,0,0,0,0,0
13,BEE,32,16,12,0,0,4,0
14,BELL,457,182,126,57,51,31,10
15,BEXAR,1658,512,238,401,335,165,7
16,BLANCO,5,1,0,2,2,0,0
17,BORDEN,0,0,0,0,0,0,0
18,BOSQUE,4,0,1,2,0,1,0
19,BOWIE,97,39,39,6,6,4,3
20,BRAZORIA,182,78,58,15,3,23,5
21,BRAZOS,82,24,17,18,16,6,1
22,BREWSTER,2,0,0,0,1,1,0
23,BRISCOE,0,0,0,0,0,0,0
24,BROOKS,17,2,2,4,0,4,5
25,BROWN,60,18,10,17,14,1,0
26,BURLESON,10,1,2,5,0,2,0
27,BURNET,54,14,10,20,5,4,1
28,CALDWELL,36,12,9,5,7,3,0
29,CALHOUN,4,0,0,0,0,4,0
30,CALLAHAN,15,7,2,4,0,2,0
31,CAMERON,351,131,176,16,4,20,4
32,CAMP,36,13,18,0,2,3,0
33,CARSON,2,1,0,0,0,1,0
34,CASS,44,14,17,11,1,1,0
35,CASTRO,3,1,0,1,0,1,0
36,CHAMBERS,21,11,7,1,1,1,0
37,CHEROKEE,59,22,19,0,13,4,1
38,CHILDRESS,2,1,0,0,0,1,0
39,CLAY,5,0,0,5,0,0,0
40,COCHRAN,0,0,0,0,0,0,0
41,COKE,0,0,0,0,0,0,0
42,COLEMAN,43,16,17,1,5,4,0
43,COLLIN,199,74,62,42,7,12,2
44,COLLINGSWORTH,1,0,0,0,1,0,0
45,COLORADO,14,4,5,2,0,2,1
46,COMAL,114,40,8,20,35,7,4
47,COMANCHE,5,1,1,2,0,1,0
48,CONCHO,4,1,1,0,1,1,0
49,COOKE,29,4,16,6,3,0,0
50,CORYELL,90,35,35,8,6,5,1
51,COTTLE,0,0,0,0,0,0,0
52,CRANE,2,0,2,0,0,0,0
53,CROCKETT,2,0,1,1,0,0,0
54,CROSBY,14,3,4,0,3,4,0
55,CULBERSON,0,0,0,0,0,0,0
56,DALLAM,3,2,0,0,0,1,0
57,DALLAS,1422,456,613,136,85,114,18
58,DAWSON,3,2,1,0,0,0,0
59,DEAF SMITH,14,6,3,0,4,1,0
60,DELTA,5,0,5,0,0,0,0
61,DENTON,180,66,48,42,18,2,4
62,DEWITT,7,0,0,4,2,1,0
63,DICKENS,9,7,2,0,0,0,0
64,DIMMIT,17,3,2,2,8,2,0
65,DONLEY,4,1,1,1,0,1,0
66,DUVAL,11,4,5,0,0,2,0
67,EASTLAND,8,3,2,1,0,2,0
68,ECTOR,123,47,40,11,9,11,5
69,EDWARDS,0,0,0,0,0,0,0
70,ELLIS,59,21,22,8,3,5,0
71,EL PASO,331,136,71,41,36,41,6
72,ERATH,13,2,11,0,0,0,0
73,FALLS,5,2,1,1,0,1,0
74,FANNIN,17,5,2,7,0,2,1
75,FAYETTE,16,7,3,0,3,3,0
76,FISHER,1,0,0,0,0,1,0
77,FLOYD,6,1,0,0,4,1,0
78,FOARD,0,0,0,0,0,0,0
79,FORT BEND,138,79,33,8,6,11,1
80,FRANKLIN,9,4,3,0,2,0,0
81,FREESTONE,7,5,0,0,1,1,0
82,FRIO,17,1,6,3,4,3,0
83,GAINES,12,2,6,0,2,2,0
84,GALVESTON,121,59,39,10,2,11,0
85,GARZA,5,2,0,2,1,0,0
86,GILLESPIE,23,12,2,3,1,5,0
87,GLASSCOCK,0,0,0,0,0,0,0
